Washington County, Utah, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.29,-0.44
200002,3.95,2.02
200003,1.79,-0.12
200004,0.43,-0.60
200005,0.27,-0.52
200006,0.20,-0.21
200007,0.11,-1.08
200008,2.70,1.27
200009,0.25,-0.78
200010,3.42,2.29
200011,0.72,-0.42
200012,0.20,-1.21
200101,1.87,0.14
200102,1.95,0.02
200103,1.91,0.00
200104,1.52,0.49
200105,0.22,-0.57
200106,0.18,-0.23
200107,0.54,-0.65
200108,1.50,0.07
200109,0.09,-0.94
200110,0.25,-0.88
200111,0.85,-0.29
200112,1.25,-0.16
200201,0.15,-1.58
200202,0.15,-1.78
200203,0.45,-1.46
200204,0.18,-0.85
200205,0.01,-0.78
200206,0.03,-0.38
200207,0.35,-0.84
200208,0.03,-1.40
200209,1.59,0.56
200210,1.24,0.11
200211,1.07,-0.07
200212,0.84,-0.57
200301,0.20,-1.53
200302,2.94,1.01
200303,1.76,-0.15
200304,1.33,0.30
200305,0.36,-0.43
200306,0.02,-0.39
200307,0.39,-0.80
200308,0.97,-0.46
200309,0.52,-0.51
200310,0.11,-1.02
200311,1.10,-0.04
200312,2.21,0.80
200401,0.55,-1.18
200402,3.86,1.93
200403,0.21,-1.70
200404,1.64,0.61
200405,0.23,-0.56
200406,0.12,-0.29
200407,0.78,-0.41
200408,1.02,-0.41
200409,0.81,-0.22
200410,6.03,4.90
200411,2.64,1.50
200412,2.59,1.18
200501,5.97,4.24
200502,3.91,1.98
200503,2.43,0.52
200504,2.45,1.42
200505,0.90,0.11
200506,1.18,0.77
200507,0.70,-0.49
200508,2.54,1.11
200509,0.32,-0.71
200510,1.77,0.64
200511,0.39,-0.75
200512,0.59,-0.82
200601,1.01,-0.72
200602,0.35,-1.58
200603,3.97,2.06
200604,0.99,-0.04
200605,0.17,-0.62
200606,0.25,-0.16
200607,1.50,0.31
200608,0.22,-1.21
200609,0.67,-0.36
200610,2.19,1.06
200611,0.11,-1.03
200612,1.10,-0.31
200701,0.51,-1.22
200702,0.94,-0.99
200703,0.40,-1.51
200704,1.20,0.17
200705,0.13,-0.66
200706,0.08,-0.33
200707,1.39,0.20
200708,1.53,0.10
200709,1.73,0.70
200710,0.05,-1.08
200711,0.42,-0.72
200712,3.44,2.03
200801,2.70,0.97
200802,2.20,0.27
200803,0.27,-1.64
200804,0.02,-1.01
200805,0.79,0.00
200806,0.25,-0.16
200807,1.14,-0.05
200808,0.75,-0.68
200809,0.16,-0.87
200810,0.72,-0.41
200811,1.50,0.36
200812,2.71,1.30
200901,1.40,-0.33
200902,2.31,0.38
200903,0.15,-1.76
200904,0.68,-0.35
200905,0.37,-0.42
200906,0.34,-0.07
200907,0.48,-0.71
200908,0.19,-1.24
200909,0.50,-0.53
200910,0.16,-0.97
200911,0.51,-0.63
200912,2.36,0.95
201001,3.75,2.02
201002,2.71,0.78
201003,1.72,-0.19
201004,0.95,-0.08
201005,0.29,-0.50
201006,0.18,-0.23
201007,0.56,-0.63
201008,1.34,-0.09
201009,0.04,-0.99
201010,3.40,2.27
201011,1.34,0.20
201012,6.87,5.46
201101,0.14,-1.59
201102,2.12,0.19
201103,1.54,-0.37
201104,1.14,0.11
201105,1.43,0.64
201106,0.04,-0.37
201107,0.90,-0.29
201108,0.19,-1.24
201109,0.99,-0.04
201110,2.07,0.94
201111,0.71,-0.43
201112,0.63,-0.78
201201,0.95,-0.78
201202,1.67,-0.26
201203,0.88,-1.03
201204,0.95,-0.08
201205,0.01,-0.78
201206,0.00,-0.41
201207,2.24,1.05
201208,2.79,1.36
201209,1.36,0.33
201210,1.36,0.23
201211,0.49,-0.65
201212,1.78,0.37
201301,0.97,-0.76
201302,0.68,-1.25
201303,0.93,-0.98
201304,0.52,-0.51
201305,0.36,-0.43
201306,0.01,-0.40
201307,1.70,0.51
201308,2.11,0.68
201309,3.04,2.01
201310,0.72,-0.41
201311,1.37,0.23
201312,0.87,-0.54
201401,0.59,-1.14
201402,0.70,-1.23
201403,0.80,-1.11
201404,0.72,-0.31
201405,0.71,-0.08
201406,0.00,-0.41
201407,1.35,0.16
201408,3.08,1.65
201409,3.97,2.94
201410,0.02,-1.11
201411,0.53,-0.61
201412,1.33,-0.08
201501,1.12,-0.61
201502,1.48,-0.45
201503,1.79,-0.12
201504,0.76,-0.27
201505,2.46,1.67
201506,0.54,0.13
201507,1.36,0.17
201508,1.20,-0.23
201509,1.10,0.07
201510,1.77,0.64
201511,1.03,-0.11
201512,1.28,-0.13
201601,2.41,0.68
201602,0.85,-1.08
201603,1.08,-0.83
201604,2.67,1.64
201605,0.36,-0.43
201606,0.44,0.03
201607,0.81,-0.38
201608,2.37,0.94
201609,1.27,0.24
201610,0.63,-0.50
201611,1.13,-0.01
201612,3.60,2.19
201701,4.00,2.27
201702,1.53,-0.40
201703,1.10,-0.81
201704,0.47,-0.56
201705,0.66,-0.13
201706,0.00,-0.41
201707,2.78,1.59
201708,1.60,0.17
201709,1.34,0.31
201710,0.01,-1.12
201711,0.13,-1.01
201712,0.16,-1.25
201801,2.02,0.29
201802,1.15,-0.78
201803,1.61,-0.30
201804,0.63,-0.40
201805,0.71,-0.08
201806,0.00,-0.41
201807,2.02,0.83
201808,1.49,0.06
201809,0.11,-0.92
201810,2.58,1.45
201811,0.79,-0.35
201812,1.12,-0.29
201901,2.96,1.23
201902,4.81,2.88
201903,4.40,2.49
201904,1.49,0.46
201905,2.97,2.18
201906,0.27,-0.14
201907,0.37,-0.82
201908,0.09,-1.34
201909,0.05,-0.98
201910,0.01,-1.12
201911,4.24,3.10
201912,2.30,0.89
202001,0.24,-1.49
