Franklin County, Ohio, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.43,0.54
200002,3.02,0.73
200003,2.78,-0.65
200004,4.63,1.01
200005,5.79,1.90
200006,3.19,-0.78
200007,3.24,-0.81
200008,3.95,0.43
200009,4.10,1.22
200010,2.89,0.55
200011,2.10,-0.64
200012,3.82,1.08
200101,1.27,-1.62
200102,1.42,-0.87
200103,1.16,-2.27
200104,4.28,0.66
200105,6.95,3.06
200106,2.56,-1.41
200107,4.20,0.15
200108,3.25,-0.27
200109,1.98,-0.90
200110,3.38,1.04
200111,3.56,0.82
200112,2.96,0.22
200201,1.73,-1.16
200202,1.80,-0.49
200203,3.31,-0.12
200204,4.16,0.54
200205,5.81,1.92
200206,3.96,-0.01
200207,3.06,-0.99
200208,1.84,-1.68
200209,4.57,1.69
200210,2.74,0.40
200211,2.84,0.10
200212,2.98,0.24
200301,1.36,-1.53
200302,2.74,0.45
200303,2.19,-1.24
200304,2.38,-1.24
200305,6.17,2.28
200306,4.11,0.14
200307,5.04,0.99
200308,7.77,4.25
200309,6.12,3.24
200310,2.03,-0.31
200311,3.08,0.34
200312,2.59,-0.15
200401,4.88,1.99
200402,1.84,-0.45
200403,3.15,-0.28
200404,3.64,0.02
200405,6.63,2.74
200406,4.80,0.83
200407,6.04,1.99
200408,3.19,-0.33
200409,3.02,0.14
200410,3.18,0.84
200411,3.45,0.71
200412,2.92,0.18
200501,8.80,5.91
200502,1.52,-0.77
200503,3.21,-0.22
200504,4.50,0.88
200505,3.34,-0.55
200506,2.18,-1.79
200507,3.25,-0.80
200508,6.19,2.67
200509,3.55,0.67
200510,1.80,-0.54
200511,3.85,1.11
200512,1.48,-1.26
200601,2.73,-0.16
200602,1.56,-0.73
200603,3.45,0.02
200604,3.33,-0.29
200605,3.59,-0.30
200606,5.47,1.50
200607,5.15,1.10
200608,3.17,-0.35
200609,5.18,2.30
200610,5.65,3.31
200611,2.11,-0.63
200612,2.72,-0.02
200701,4.08,1.19
200702,2.12,-0.17
200703,5.88,2.45
200704,2.66,-0.96
200705,1.18,-2.71
200706,2.51,-1.46
200707,3.20,-0.85
200708,4.49,0.97
200709,2.89,0.01
200710,3.26,0.92
200711,2.39,-0.35
200712,4.36,1.62
200801,1.68,-1.21
200802,4.10,1.81
200803,6.74,3.31
200804,2.29,-1.33
200805,4.10,0.21
200806,8.85,4.88
200807,1.74,-2.31
200808,2.19,-1.33
200809,2.59,-0.29
200810,1.49,-0.85
200811,2.31,-0.43
200812,4.72,1.98
200901,2.31,-0.58
200902,1.82,-0.47
200903,1.60,-1.83
200904,4.04,0.42
200905,3.45,-0.44
200906,4.07,0.10
200907,3.83,-0.22
200908,2.56,-0.96
200909,3.19,0.31
200910,4.56,2.22
200911,0.70,-2.04
200912,3.11,0.37
201001,1.81,-1.08
201002,1.88,-0.41
201003,2.81,-0.62
201004,2.19,-1.43
201005,4.84,0.95
201006,5.92,1.95
201007,4.43,0.38
201008,2.55,-0.97
201009,1.95,-0.93
201010,1.58,-0.76
201011,4.09,1.35
201012,1.32,-1.42
201101,1.19,-1.70
201102,4.28,1.99
201103,4.38,0.95
201104,7.56,3.94
201105,6.33,2.44
201106,3.89,-0.08
201107,5.69,1.64
201108,2.88,-0.64
201109,5.17,2.29
201110,3.90,1.56
201111,4.77,2.03
201112,5.05,2.31
201201,2.98,0.09
201202,1.35,-0.94
201203,3.67,0.24
201204,2.85,-0.77
201205,3.28,-0.61
201206,2.27,-1.70
201207,3.40,-0.65
201208,2.26,-1.26
201209,4.51,1.63
201210,3.72,1.38
201211,0.80,-1.94
201212,4.91,2.17
201301,2.02,-0.87
201302,1.58,-0.71
201303,2.76,-0.67
201304,3.75,0.13
201305,1.97,-1.92
201306,4.83,0.86
201307,6.63,2.58
201308,2.95,-0.57
201309,2.85,-0.03
201310,4.37,2.03
201311,2.61,-0.13
201312,3.68,0.94
201401,2.01,-0.88
201402,2.31,0.02
201403,2.32,-1.11
201404,5.55,1.93
201405,4.71,0.82
201406,6.14,2.17
201407,4.14,0.09
201408,4.85,1.33
201409,0.87,-2.01
201410,2.67,0.33
201411,1.48,-1.26
201412,2.74,0.00
201501,2.55,-0.34
201502,1.24,-1.05
201503,3.80,0.37
201504,4.69,1.07
201505,3.41,-0.48
201506,6.92,2.95
201507,5.41,1.36
201508,3.28,-0.24
201509,3.27,0.39
201510,2.71,0.37
201511,2.56,-0.18
201512,4.73,1.99
201601,1.04,-1.85
201602,3.13,0.84
201603,4.38,0.95
201604,2.71,-0.91
201605,3.48,-0.41
201606,5.71,1.74
201607,2.76,-1.29
201608,4.80,1.28
201609,4.90,2.02
201610,1.92,-0.42
201611,1.12,-1.62
201612,3.06,0.32
201701,2.86,-0.03
201702,2.15,-0.14
201703,4.96,1.53
201704,3.39,-0.23
201705,5.43,1.54
201706,3.91,-0.06
201707,8.37,4.32
201708,2.20,-1.32
201709,2.66,-0.22
201710,4.54,2.20
201711,5.30,2.56
201712,1.60,-1.14
201801,2.06,-0.83
201802,5.39,3.10
201803,2.80,-0.63
201804,5.21,1.59
201805,4.46,0.57
201806,6.73,2.76
201807,3.86,-0.19
201808,4.76,1.24
201809,8.16,5.28
201810,2.41,0.07
201811,5.96,3.22
201812,3.32,0.58
201901,2.69,-0.20
201902,5.18,2.89
201903,4.48,1.05
201904,3.52,-0.10
201905,4.79,0.90
201906,6.73,2.76
201907,3.18,-0.87
201908,3.15,-0.37
201909,1.84,-1.04
201910,3.62,1.28
201911,1.47,-1.27
201912,2.82,0.08
202001,3.77,0.88
