Fayette County, Kentucky, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.51,-0.48
200002,5.27,1.96
200003,3.72,-0.78
200004,3.99,0.18
200005,3.05,-1.12
200006,4.04,-0.24
200007,3.93,-0.51
200008,3.96,0.21
200009,5.20,2.09
200010,0.92,-1.66
200011,2.16,-1.13
200012,3.83,0.06
200101,1.69,-2.30
200102,3.60,0.29
200103,3.26,-1.24
200104,1.36,-2.45
200105,6.10,1.93
200106,3.00,-1.28
200107,8.11,3.67
200108,4.17,0.42
200109,2.12,-0.99
200110,3.78,1.20
200111,3.36,0.07
200112,3.06,-0.71
200201,2.87,-1.12
200202,1.16,-2.15
200203,7.57,3.07
200204,4.83,1.02
200205,5.04,0.87
200206,4.28,0.00
200207,1.98,-2.46
200208,2.49,-1.26
200209,5.55,2.44
200210,6.50,3.92
200211,4.46,1.17
200212,3.81,0.04
200301,1.52,-2.47
200302,5.43,2.12
200303,2.47,-2.03
200304,4.32,0.51
200305,7.74,3.57
200306,5.81,1.53
200307,4.07,-0.37
200308,4.61,0.86
200309,5.93,2.82
200310,2.02,-0.56
200311,5.53,2.24
200312,3.85,0.08
200401,3.89,-0.10
200402,1.69,-1.62
200403,4.04,-0.46
200404,4.11,0.30
200405,10.83,6.66
200406,3.95,-0.33
200407,6.70,2.26
200408,3.66,-0.09
200409,4.36,1.25
200410,6.74,4.16
200411,6.40,3.11
200412,3.81,0.04
200501,4.63,0.64
200502,2.00,-1.31
200503,3.49,-1.01
200504,4.00,0.19
200505,2.58,-1.59
200506,1.94,-2.34
200507,3.12,-1.32
200508,5.95,2.20
200509,0.95,-2.16
200510,1.18,-1.40
200511,2.12,-1.17
200512,2.44,-1.33
200601,5.26,1.27
200602,2.45,-0.86
200603,3.55,-0.95
200604,4.87,1.06
200605,3.79,-0.38
200606,2.71,-1.57
200607,4.58,0.14
200608,4.28,0.53
200609,9.33,6.22
200610,5.43,2.85
200611,2.05,-1.24
200612,2.79,-0.98
200701,3.69,-0.30
200702,2.38,-0.93
200703,2.56,-1.94
200704,4.39,0.58
200705,1.20,-2.97
200706,2.54,-1.74
200707,6.18,1.74
200708,2.76,-0.99
200709,1.82,-1.29
200710,6.00,3.42
200711,3.14,-0.15
200712,6.82,3.05
200801,4.07,0.08
200802,5.66,2.35
200803,6.94,2.44
200804,5.47,1.66
200805,5.09,0.92
200806,3.88,-0.40
200807,3.62,-0.82
200808,1.56,-2.19
200809,1.17,-1.94
200810,1.62,-0.96
200811,2.55,-0.74
200812,5.63,1.86
200901,4.81,0.82
200902,2.47,-0.84
200903,2.50,-2.00
200904,5.13,1.32
200905,5.75,1.58
200906,6.36,2.08
200907,6.12,1.68
200908,4.32,0.57
200909,6.70,3.59
200910,5.80,3.22
200911,1.05,-2.24
200912,4.01,0.24
201001,3.22,-0.77
201002,1.92,-1.39
201003,1.60,-2.90
201004,2.47,-1.34
201005,10.00,5.83
201006,4.56,0.28
201007,6.28,1.84
201008,1.59,-2.16
201009,0.96,-2.15
201010,1.44,-1.14
201011,4.36,1.07
201012,2.39,-1.38
201101,2.01,-1.98
201102,5.86,2.55
201103,4.93,0.43
201104,13.38,9.57
201105,7.20,3.03
201106,3.55,-0.73
201107,5.26,0.82
201108,3.44,-0.31
201109,6.58,3.47
201110,4.23,1.65
201111,7.41,4.12
201112,4.21,0.44
201201,3.55,-0.44
201202,2.92,-0.39
201203,4.20,-0.30
201204,2.55,-1.26
201205,4.25,0.08
201206,1.73,-2.55
201207,6.79,2.35
201208,2.04,-1.71
201209,5.47,2.36
201210,1.45,-1.13
201211,1.51,-1.78
201212,6.78,3.01
201301,4.48,0.49
201302,1.70,-1.61
201303,5.49,0.99
201304,4.87,1.06
201305,4.90,0.73
201306,6.78,2.50
201307,7.27,2.83
201308,5.02,1.27
201309,2.44,-0.67
201310,5.11,2.53
201311,3.03,-0.26
201312,5.76,1.99
201401,2.40,-1.59
201402,4.60,1.29
201403,2.49,-2.01
201404,6.14,2.33
201405,4.33,0.16
201406,4.93,0.65
201407,3.44,-1.00
201408,6.47,2.72
201409,3.47,0.36
201410,4.93,2.35
201411,2.12,-1.17
201412,3.23,-0.54
201501,1.78,-2.21
201502,2.59,-0.72
201503,6.78,2.28
201504,11.59,7.78
201505,2.25,-1.92
201506,6.77,2.49
201507,9.41,4.97
201508,2.31,-1.44
201509,3.17,0.06
201510,3.97,1.39
201511,3.26,-0.03
201512,7.01,3.24
201601,1.40,-2.59
201602,4.61,1.30
201603,3.57,-0.93
201604,3.65,-0.16
201605,6.36,2.19
201606,4.27,-0.01
201607,5.35,0.91
201608,5.58,1.83
201609,1.97,-1.14
201610,0.96,-1.62
201611,1.53,-1.76
201612,5.77,2.00
201701,4.81,0.82
201702,2.68,-0.63
201703,4.42,-0.08
201704,2.97,-0.84
201705,5.39,1.22
201706,5.61,1.33
201707,4.25,-0.19
201708,4.34,0.59
201709,4.16,1.05
201710,5.48,2.90
201711,2.51,-0.78
201712,2.34,-1.43
201801,2.09,-1.90
201802,9.62,6.31
201803,5.32,0.82
201804,4.52,0.71
201805,6.20,2.03
201806,5.73,1.45
201807,6.48,2.04
201808,6.27,2.52
201809,11.78,8.67
201810,3.92,1.34
201811,5.82,2.53
201812,5.56,1.79
201901,4.80,0.81
201902,7.33,4.02
201903,3.29,-1.21
201904,4.70,0.89
201905,4.07,-0.10
201906,7.42,3.14
201907,5.39,0.95
201908,2.80,-0.95
201909,0.09,-3.02
201910,7.58,5.00
201911,5.03,1.74
201912,6.57,2.80
202001,3.59,-0.40
