Black Hawk County, Iowa, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.81,-0.26
200002,0.92,-0.12
200003,1.01,-1.06
200004,2.68,-0.32
200005,6.60,2.48
200006,7.65,2.93
200007,4.03,-0.07
200008,2.15,-1.66
200009,2.05,-1.80
200010,1.25,-1.21
200011,2.53,0.59
200012,1.62,0.39
200101,1.22,0.15
200102,1.53,0.49
200103,1.22,-0.85
200104,2.62,-0.38
200105,5.71,1.59
200106,4.28,-0.44
200107,4.96,0.86
200108,2.87,-0.94
200109,4.65,0.80
200110,3.12,0.66
200111,1.03,-0.91
200112,0.95,-0.28
200201,0.37,-0.70
200202,1.29,0.25
200203,0.90,-1.17
200204,3.76,0.76
200205,3.73,-0.39
200206,3.55,-1.17
200207,6.53,2.43
200208,5.48,1.67
200209,1.44,-2.41
200210,2.87,0.41
200211,0.24,-1.70
200212,0.33,-0.90
200301,0.38,-0.69
200302,0.52,-0.52
200303,1.20,-0.87
200304,3.51,0.51
200305,5.64,1.52
200306,4.09,-0.63
200307,4.45,0.35
200308,0.47,-3.34
200309,2.80,-1.05
200310,0.99,-1.47
200311,5.17,3.23
200312,0.78,-0.45
200401,0.58,-0.49
200402,1.29,0.25
200403,3.99,1.92
200404,1.55,-1.45
200405,10.08,5.96
200406,4.07,-0.65
200407,3.16,-0.94
200408,4.70,0.89
200409,0.93,-2.92
200410,2.04,-0.42
200411,2.27,0.33
200412,0.64,-0.59
200501,1.54,0.47
200502,1.42,0.38
200503,1.07,-1.00
200504,2.70,-0.30
200505,3.40,-0.72
200506,7.43,2.71
200507,3.67,-0.43
200508,2.90,-0.91
200509,3.44,-0.41
200510,0.47,-1.99
200511,1.75,-0.19
200512,1.29,0.06
200601,0.97,-0.10
200602,0.22,-0.82
200603,2.87,0.80
200604,4.73,1.73
200605,2.05,-2.07
200606,2.99,-1.73
200607,4.52,0.42
200608,3.56,-0.25
200609,5.76,1.91
200610,1.99,-0.47
200611,2.70,0.76
200612,2.10,0.87
200701,0.87,-0.20
200702,1.59,0.55
200703,1.88,-0.19
200704,4.80,1.80
200705,4.31,0.19
200706,4.96,0.24
200707,4.57,0.47
200708,10.22,6.41
200709,3.92,0.07
200710,4.59,2.13
200711,0.19,-1.75
200712,2.32,1.09
200801,0.90,-0.17
200802,2.33,1.29
200803,1.37,-0.70
200804,9.74,6.74
200805,6.59,2.47
200806,8.96,4.24
200807,5.72,1.62
200808,2.15,-1.66
200809,3.32,-0.53
200810,1.80,-0.66
200811,2.01,0.07
200812,2.08,0.85
200901,0.85,-0.22
200902,0.69,-0.35
200903,2.98,0.91
200904,4.72,1.72
200905,3.84,-0.28
200906,4.51,-0.21
200907,4.91,0.81
200908,6.71,2.90
200909,2.53,-1.32
200910,6.36,3.90
200911,0.71,-1.23
200912,3.27,2.04
201001,1.10,0.03
201002,0.97,-0.07
201003,0.98,-1.09
201004,4.65,1.65
201005,4.39,0.27
201006,8.73,4.01
201007,9.62,5.52
201008,4.92,1.11
201009,3.88,0.03
201010,0.37,-2.09
201011,1.52,-0.42
201012,2.00,0.77
201101,0.95,-0.12
201102,1.72,0.68
201103,1.85,-0.22
201104,3.81,0.81
201105,3.71,-0.41
201106,4.19,-0.53
201107,3.54,-0.56
201108,3.24,-0.57
201109,2.84,-1.01
201110,1.37,-1.09
201111,2.39,0.45
201112,2.57,1.34
201201,1.26,0.19
201202,1.05,0.01
201203,1.57,-0.50
201204,3.71,0.71
201205,2.75,-1.37
201206,2.23,-2.49
201207,1.28,-2.82
201208,1.94,-1.87
201209,1.77,-2.08
201210,3.66,1.20
201211,1.32,-0.62
201212,1.33,0.10
201301,1.18,0.11
201302,1.77,0.73
201303,2.47,0.40
201304,6.73,3.73
201305,10.93,6.81
201306,5.06,0.34
201307,3.21,-0.89
201308,1.73,-2.08
201309,1.64,-2.21
201310,1.77,-0.69
201311,2.12,0.18
201312,0.92,-0.31
201401,0.61,-0.46
201402,1.94,0.90
201403,1.41,-0.66
201404,6.20,3.20
201405,2.72,-1.40
201406,8.92,4.20
201407,2.64,-1.46
201408,2.46,-1.35
201409,2.54,-1.31
201410,3.50,1.04
201411,0.54,-1.40
201412,1.56,0.33
201501,0.84,-0.23
201502,1.24,0.20
201503,0.44,-1.63
201504,3.13,0.13
201505,4.77,0.65
201506,5.78,1.06
201507,3.37,-0.73
201508,5.54,1.73
201509,3.14,-0.71
201510,1.72,-0.74
201511,3.16,1.22
201512,5.85,4.62
201601,0.69,-0.38
201602,0.88,-0.16
201603,2.60,0.53
201604,2.03,-0.97
201605,3.43,-0.69
201606,8.41,3.69
201607,4.07,-0.03
201608,6.09,2.28
201609,8.04,4.19
201610,2.22,-0.24
201611,1.48,-0.46
201612,1.71,0.48
201701,2.77,1.70
201702,1.05,0.01
201703,2.19,0.12
201704,3.79,0.79
201705,3.86,-0.26
201706,5.25,0.53
201707,3.13,-0.97
201708,1.82,-1.99
201709,1.07,-2.78
201710,5.81,3.35
201711,0.48,-1.46
201712,0.42,-0.81
201801,2.17,1.10
201802,2.02,0.98
201803,1.91,-0.16
201804,1.55,-1.45
201805,3.63,-0.49
201806,8.39,3.67
201807,3.85,-0.25
201808,7.05,3.24
201809,14.22,10.37
201810,5.51,3.05
201811,2.32,0.38
201812,2.62,1.39
201901,1.56,0.49
201902,2.66,1.62
201903,1.65,-0.42
201904,3.08,0.08
201905,6.93,2.81
201906,5.37,0.65
201907,2.28,-1.82
201908,2.93,-0.88
201909,5.45,1.60
201910,5.77,3.31
201911,1.66,-0.28
201912,1.10,-0.13
202001,1.02,-0.05
