Greene County, Arkansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.49,-0.68
200002,2.68,-0.95
200003,4.11,-0.63
200004,2.99,-1.74
200005,6.65,2.02
200006,4.44,0.70
200007,2.40,-1.12
200008,1.05,-2.34
200009,2.42,-1.01
200010,2.36,-0.86
200011,5.67,1.41
200012,2.47,-1.78
200101,2.02,-2.15
200102,6.83,3.20
200103,3.88,-0.86
200104,0.89,-3.84
200105,3.88,-0.75
200106,2.77,-0.97
200107,2.45,-1.07
200108,1.89,-1.50
200109,2.94,-0.49
200110,4.69,1.47
200111,7.01,2.75
200112,9.47,5.22
200201,4.50,0.33
200202,3.29,-0.34
200203,7.24,2.50
200204,2.00,-2.73
200205,6.04,1.41
200206,3.28,-0.46
200207,3.45,-0.07
200208,6.05,2.66
200209,5.05,1.62
200210,3.28,0.06
200211,1.78,-2.48
200212,6.57,2.32
200301,2.00,-2.17
200302,6.54,2.91
200303,2.37,-2.37
200304,4.08,-0.65
200305,9.48,4.85
200306,3.87,0.13
200307,5.54,2.02
200308,4.37,0.98
200309,3.51,0.08
200310,3.49,0.27
200311,5.26,1.00
200312,3.38,-0.87
200401,2.58,-1.59
200402,2.24,-1.39
200403,4.08,-0.66
200404,6.82,2.09
200405,5.92,1.29
200406,3.17,-0.57
200407,5.05,1.53
200408,4.05,0.66
200409,0.04,-3.39
200410,5.57,2.35
200411,9.57,5.31
200412,3.80,-0.45
200501,5.15,0.98
200502,3.03,-0.60
200503,4.88,0.14
200504,5.57,0.84
200505,0.31,-4.32
200506,2.33,-1.41
200507,6.06,2.54
200508,3.70,0.31
200509,3.95,0.52
200510,0.05,-3.17
200511,3.22,-1.04
200512,0.45,-3.80
200601,4.16,-0.01
200602,2.21,-1.42
200603,4.49,-0.25
200604,3.28,-1.45
200605,3.51,-1.12
200606,2.25,-1.49
200607,5.10,1.58
200608,4.79,1.40
200609,7.96,4.53
200610,5.07,1.85
200611,4.37,0.11
200612,4.91,0.66
200701,7.11,2.94
200702,3.44,-0.19
200703,1.37,-3.37
200704,4.48,-0.25
200705,3.24,-1.39
200706,2.37,-1.37
200707,3.40,-0.12
200708,0.35,-3.04
200709,3.92,0.49
200710,6.11,2.89
200711,3.34,-0.92
200712,6.49,2.24
200801,2.08,-2.09
200802,4.32,0.69
200803,10.23,5.49
200804,7.30,2.57
200805,3.25,-1.38
200806,1.30,-2.44
200807,2.53,-0.99
200808,4.77,1.38
200809,5.06,1.63
200810,2.59,-0.63
200811,1.77,-2.49
200812,5.05,0.80
200901,3.36,-0.81
200902,3.87,0.24
200903,4.17,-0.57
200904,6.66,1.93
200905,8.89,4.26
200906,4.13,0.39
200907,7.95,4.43
200908,4.13,0.74
200909,4.69,1.26
200910,11.29,8.07
200911,1.20,-3.06
200912,7.53,3.28
201001,3.61,-0.56
201002,1.86,-1.77
201003,4.39,-0.35
201004,3.10,-1.63
201005,6.68,2.05
201006,1.36,-2.38
201007,5.76,2.24
201008,0.50,-2.89
201009,3.25,-0.18
201010,0.61,-2.61
201011,3.80,-0.46
201012,1.69,-2.56
201101,1.13,-3.04
201102,6.64,3.01
201103,5.53,0.79
201104,9.68,4.95
201105,10.04,5.41
201106,2.54,-1.20
201107,4.01,0.49
201108,2.29,-1.10
201109,3.10,-0.33
201110,2.70,-0.52
201111,10.45,6.19
201112,6.94,2.69
201201,2.75,-1.42
201202,2.60,-1.03
201203,4.61,-0.13
201204,1.44,-3.29
201205,1.59,-3.04
201206,1.57,-2.17
201207,2.21,-1.31
201208,2.18,-1.21
201209,5.09,1.66
201210,2.56,-0.66
201211,2.03,-2.23
201212,3.24,-1.01
201301,6.17,2.00
201302,4.57,0.94
201303,2.17,-2.57
201304,5.73,1.00
201305,8.11,3.48
201306,3.89,0.15
201307,4.35,0.83
201308,4.70,1.31
201309,1.28,-2.15
201310,3.97,0.75
201311,2.66,-1.60
201312,7.05,2.80
201401,2.29,-1.88
201402,2.45,-1.18
201403,4.81,0.07
201404,8.37,3.64
201405,5.50,0.87
201406,7.60,3.86
201407,2.32,-1.20
201408,2.56,-0.83
201409,2.47,-0.96
201410,4.50,1.28
201411,1.92,-2.34
201412,2.65,-1.60
201501,2.46,-1.71
201502,3.50,-0.13
201503,7.35,2.61
201504,5.99,1.26
201505,8.27,3.64
201506,3.00,-0.74
201507,5.28,1.76
201508,4.64,1.25
201509,1.62,-1.81
201510,3.19,-0.03
201511,11.55,7.29
201512,7.61,3.36
201601,2.02,-2.15
201602,2.22,-1.41
201603,10.03,5.29
201604,4.79,0.06
201605,8.61,3.98
201606,2.53,-1.21
201607,4.03,0.51
201608,8.71,5.32
201609,2.93,-0.50
201610,1.50,-1.72
201611,3.71,-0.55
201612,3.98,-0.27
201701,3.29,-0.88
201702,1.84,-1.79
201703,6.62,1.88
201704,9.08,4.35
201705,7.23,2.60
201706,4.95,1.21
201707,4.21,0.69
201708,4.37,0.98
201709,1.38,-2.05
201710,1.44,-1.78
201711,1.53,-2.73
201712,4.01,-0.24
201801,2.47,-1.70
201802,11.34,7.71
201803,4.12,-0.62
201804,5.48,0.75
201805,4.99,0.36
201806,4.23,0.49
201807,2.01,-1.51
201808,8.31,4.92
201809,5.87,2.44
201810,2.47,-0.75
201811,5.52,1.26
201812,5.72,1.47
201901,4.50,0.33
201902,11.25,7.62
201903,3.97,-0.77
201904,7.08,2.35
201905,8.65,4.02
201906,4.53,0.79
201907,4.51,0.99
201908,6.65,3.26
201909,2.37,-1.06
201910,6.56,3.34
201911,5.77,1.51
201912,2.77,-1.48
202001,6.32,2.15
