Amherst County, Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.90,-0.65
200002,1.68,-1.39
200003,2.73,-1.18
200004,4.51,1.03
200005,2.90,-0.97
200006,5.26,1.20
200007,4.96,0.52
200008,4.84,0.45
200009,6.83,3.06
200010,0.00,-3.52
200011,1.74,-1.40
200012,2.08,-1.38
200101,2.27,-1.28
200102,1.21,-1.86
200103,4.55,0.64
200104,1.39,-2.09
200105,4.73,0.86
200106,3.81,-0.25
200107,4.20,-0.24
200108,3.29,-1.10
200109,2.36,-1.41
200110,1.08,-2.44
200111,0.58,-2.56
200112,2.86,-0.60
200201,1.83,-1.72
200202,0.80,-2.27
200203,3.99,0.08
200204,2.70,-0.78
200205,2.97,-0.90
200206,1.36,-2.70
200207,4.77,0.33
200208,1.78,-2.61
200209,3.66,-0.11
200210,6.06,2.54
200211,5.49,2.35
200212,4.04,0.58
200301,1.89,-1.66
200302,6.82,3.75
200303,4.57,0.66
200304,4.23,0.75
200305,9.69,5.82
200306,7.35,3.29
200307,4.94,0.50
200308,7.70,3.31
200309,8.25,4.48
200310,2.79,-0.73
200311,5.40,2.26
200312,3.69,0.23
200401,1.85,-1.70
200402,2.37,-0.70
200403,1.83,-2.08
200404,3.71,0.23
200405,3.84,-0.03
200406,4.58,0.52
200407,4.88,0.44
200408,3.37,-1.02
200409,8.53,4.76
200410,2.33,-1.19
200411,5.02,1.88
200412,2.77,-0.69
200501,3.77,0.22
200502,1.42,-1.65
200503,4.00,0.09
200504,3.16,-0.32
200505,2.90,-0.97
200506,2.66,-1.40
200507,5.89,1.45
200508,3.64,-0.75
200509,0.19,-3.58
200510,8.73,5.21
200511,5.60,2.46
200512,3.70,0.24
200601,3.31,-0.24
200602,1.74,-1.33
200603,0.83,-3.08
200604,3.90,0.42
200605,2.03,-1.84
200606,7.37,3.31
200607,2.94,-1.50
200608,3.31,-1.08
200609,6.54,2.77
200610,8.06,4.54
200611,4.79,1.65
200612,2.37,-1.09
200701,3.90,0.35
200702,2.69,-0.38
200703,4.90,0.99
200704,3.91,0.43
200705,2.66,-1.21
200706,4.72,0.66
200707,2.30,-2.14
200708,1.92,-2.47
200709,1.66,-2.11
200710,5.45,1.93
200711,0.66,-2.48
200712,3.26,-0.20
200801,1.23,-2.32
200802,2.62,-0.45
200803,3.36,-0.55
200804,5.21,1.73
200805,2.97,-0.90
200806,2.69,-1.37
200807,4.47,0.03
200808,3.98,-0.41
200809,2.96,-0.81
200810,2.10,-1.42
200811,3.49,0.35
200812,4.14,0.68
200901,3.28,-0.27
200902,1.12,-1.95
200903,3.84,-0.07
200904,3.43,-0.05
200905,6.79,2.92
200906,4.83,0.77
200907,4.91,0.47
200908,3.20,-1.19
200909,3.39,-0.38
200910,3.18,-0.34
200911,7.25,4.11
200912,8.87,5.41
201001,5.55,2.00
201002,2.77,-0.30
201003,4.54,0.63
201004,2.05,-1.43
201005,3.81,-0.06
201006,1.90,-2.16
201007,3.22,-1.22
201008,5.70,1.31
201009,5.52,1.75
201010,4.59,1.07
201011,2.43,-0.71
201012,2.99,-0.47
201101,0.99,-2.56
201102,1.67,-1.40
201103,5.76,1.85
201104,5.65,2.17
201105,3.98,0.11
201106,3.57,-0.49
201107,3.02,-1.42
201108,3.82,-0.57
201109,7.76,3.99
201110,4.26,0.74
201111,4.17,1.03
201112,5.43,1.97
201201,2.78,-0.77
201202,1.92,-1.15
201203,5.21,1.30
201204,3.01,-0.47
201205,4.57,0.70
201206,3.08,-0.98
201207,4.45,0.01
201208,4.46,0.07
201209,3.36,-0.41
201210,2.14,-1.38
201211,0.68,-2.46
201212,2.74,-0.72
201301,7.24,3.69
201302,1.74,-1.33
201303,4.25,0.34
201304,3.83,0.35
201305,5.64,1.77
201306,8.19,4.13
201307,7.34,2.90
201308,5.34,0.95
201309,1.14,-2.63
201310,2.76,-0.76
201311,3.56,0.42
201312,6.30,2.84
201401,3.25,-0.30
201402,4.29,1.22
201403,3.70,-0.21
201404,5.56,2.08
201405,4.49,0.62
201406,3.50,-0.56
201407,3.89,-0.55
201408,4.89,0.50
201409,1.70,-2.07
201410,5.06,1.54
201411,3.52,0.38
201412,3.18,-0.28
201501,2.07,-1.48
201502,2.71,-0.36
201503,4.37,0.46
201504,5.09,1.61
201505,1.77,-2.10
201506,5.68,1.62
201507,5.07,0.63
201508,3.30,-1.09
201509,7.97,4.20
201510,5.02,1.50
201511,4.21,1.07
201512,6.07,2.61
201601,3.44,-0.11
201602,5.60,2.53
201603,2.69,-1.22
201604,2.21,-1.27
201605,7.16,3.29
201606,7.24,3.18
201607,3.75,-0.69
201608,2.89,-1.50
201609,4.74,0.97
201610,2.82,-0.70
201611,1.86,-1.28
201612,3.35,-0.11
201701,3.60,0.05
201702,0.41,-2.66
201703,2.74,-1.17
201704,5.41,1.93
201705,9.45,5.58
201706,3.61,-0.45
201707,3.34,-1.10
201708,2.42,-1.97
201709,2.45,-1.32
201710,4.45,0.93
201711,1.15,-1.99
201712,0.65,-2.81
201801,3.36,-0.19
201802,5.47,2.40
201803,2.77,-1.14
201804,5.19,1.71
201805,6.92,3.05
201806,5.23,1.17
201807,4.38,-0.06
201808,5.06,0.67
201809,12.36,8.59
201810,5.42,1.90
201811,7.58,4.44
201812,8.08,4.62
201901,4.13,0.58
201902,6.20,3.13
201903,3.85,-0.06
201904,5.32,1.84
201905,2.84,-1.03
201906,4.83,0.77
201907,5.33,0.89
201908,3.47,-0.92
201909,0.99,-2.78
201910,7.63,4.11
201911,3.03,-0.11
201912,3.52,0.06
202001,4.64,1.09
