Benzie County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.68,-0.49
200002,1.21,-0.44
200003,1.09,-0.80
200004,1.27,-1.15
200005,3.45,0.64
200006,2.86,-0.12
200007,2.77,-0.06
200008,2.50,-0.45
200009,5.86,2.21
200010,1.28,-1.80
200011,3.89,1.01
200012,2.45,0.23
200101,1.39,-0.78
200102,1.83,0.18
200103,0.81,-1.08
200104,2.77,0.35
200105,6.23,3.42
200106,2.82,-0.16
200107,0.58,-2.25
200108,3.32,0.37
200109,5.74,2.09
200110,6.72,3.64
200111,3.18,0.30
200112,2.41,0.19
200201,0.95,-1.22
200202,2.11,0.46
200203,2.36,0.47
200204,4.03,1.61
200205,4.47,1.66
200206,2.63,-0.35
200207,1.75,-1.08
200208,5.29,2.34
200209,0.83,-2.82
200210,3.28,0.20
200211,0.89,-1.99
200212,0.65,-1.57
200301,0.70,-1.47
200302,0.86,-0.79
200303,1.93,0.04
200304,3.33,0.91
200305,2.90,0.09
200306,2.25,-0.73
200307,3.98,1.15
200308,3.27,0.32
200309,2.15,-1.50
200310,3.67,0.59
200311,4.87,1.99
200312,2.07,-0.15
200401,2.42,0.25
200402,1.48,-0.17
200403,3.55,1.66
200404,3.00,0.58
200405,6.35,3.54
200406,2.59,-0.39
200407,2.16,-0.67
200408,4.54,1.59
200409,0.81,-2.84
200410,4.94,1.86
200411,2.55,-0.33
200412,3.43,1.21
200501,2.50,0.33
200502,1.40,-0.25
200503,1.14,-0.75
200504,0.98,-1.44
200505,1.86,-0.95
200506,1.25,-1.73
200507,3.08,0.25
200508,3.76,0.81
200509,3.57,-0.08
200510,0.93,-2.15
200511,5.34,2.46
200512,1.55,-0.67
200601,2.80,0.63
200602,1.03,-0.62
200603,1.22,-0.67
200604,1.90,-0.52
200605,4.57,1.76
200606,1.94,-1.04
200607,2.97,0.14
200608,3.16,0.21
200609,3.72,0.07
200610,5.84,2.76
200611,2.11,-0.77
200612,2.59,0.37
200701,1.17,-1.00
200702,1.22,-0.43
200703,2.55,0.66
200704,2.45,0.03
200705,1.27,-1.54
200706,2.56,-0.42
200707,2.24,-0.59
200708,2.09,-0.86
200709,1.58,-2.07
200710,2.98,-0.10
200711,1.54,-1.34
200712,2.10,-0.12
200801,4.00,1.83
200802,2.19,0.54
200803,1.08,-0.81
200804,5.11,2.69
200805,3.06,0.25
200806,5.75,2.77
200807,3.84,1.01
200808,1.07,-1.88
200809,2.77,-0.88
200810,2.08,-1.00
200811,2.33,-0.55
200812,6.30,4.08
200901,1.49,-0.68
200902,1.86,0.21
200903,1.84,-0.05
200904,2.34,-0.08
200905,3.02,0.21
200906,2.71,-0.27
200907,1.97,-0.86
200908,5.12,2.17
200909,2.22,-1.43
200910,4.68,1.60
200911,1.60,-1.28
200912,2.12,-0.10
201001,1.02,-1.15
201002,0.75,-0.90
201003,0.58,-1.31
201004,2.57,0.15
201005,3.09,0.28
201006,4.84,1.86
201007,3.94,1.11
201008,2.99,0.04
201009,5.34,1.69
201010,2.09,-0.99
201011,1.20,-1.68
201012,1.68,-0.54
201101,1.98,-0.19
201102,0.83,-0.82
201103,1.71,-0.18
201104,5.02,2.60
201105,3.08,0.27
201106,4.46,1.48
201107,1.20,-1.63
201108,2.54,-0.41
201109,3.16,-0.49
201110,3.57,0.49
201111,4.32,1.44
201112,1.73,-0.49
201201,2.48,0.31
201202,1.15,-0.50
201203,3.39,1.50
201204,2.71,0.29
201205,3.79,0.98
201206,3.24,0.26
201207,2.67,-0.16
201208,0.99,-1.96
201209,3.16,-0.49
201210,6.69,3.61
201211,1.03,-1.85
201212,2.67,0.45
201301,3.51,1.34
201302,2.87,1.22
201303,1.93,0.04
201304,5.00,2.58
201305,2.73,-0.08
201306,2.13,-0.85
201307,3.00,0.17
201308,2.54,-0.41
201309,2.45,-1.20
201310,6.69,3.61
201311,6.20,3.32
201312,2.10,-0.12
201401,2.99,0.82
201402,1.07,-0.58
201403,1.69,-0.20
201404,4.64,2.22
201405,3.54,0.73
201406,4.08,1.10
201407,1.65,-1.18
201408,2.09,-0.86
201409,6.32,2.67
201410,7.26,4.18
201411,4.66,1.78
201412,1.27,-0.95
201501,1.09,-1.08
201502,0.96,-0.69
201503,0.86,-1.03
201504,2.11,-0.31
201505,4.06,1.25
201506,2.38,-0.60
201507,1.77,-1.06
201508,2.92,-0.03
201509,5.02,1.37
201510,2.85,-0.23
201511,3.79,0.91
201512,4.50,2.28
201601,2.63,0.46
201602,1.23,-0.42
201603,4.43,2.54
201604,1.98,-0.44
201605,1.34,-1.47
201606,2.65,-0.33
201607,2.26,-0.57
201608,3.04,0.09
201609,3.47,-0.18
201610,3.03,-0.05
201611,1.60,-1.28
201612,2.47,0.25
201701,2.66,0.49
201702,1.43,-0.22
201703,2.37,0.48
201704,3.24,0.82
201705,2.15,-0.66
201706,4.88,1.90
201707,2.28,-0.55
201708,3.03,0.08
201709,1.47,-2.18
201710,7.42,4.34
201711,2.01,-0.87
201712,2.59,0.37
201801,2.09,-0.08
201802,1.93,0.28
201803,1.05,-0.84
201804,3.51,1.09
201805,4.77,1.96
201806,2.11,-0.87
201807,2.74,-0.09
201808,4.69,1.74
201809,3.41,-0.24
201810,3.96,0.88
201811,2.55,-0.33
201812,2.01,-0.21
201901,2.44,0.27
201902,2.91,1.26
201903,1.65,-0.24
201904,3.33,0.91
201905,3.78,0.97
201906,4.19,1.21
201907,4.83,2.00
201908,1.23,-1.72
201909,5.77,2.12
201910,5.37,2.29
201911,2.97,0.09
201912,3.54,1.32
202001,2.25,0.08
