Rich County, Utah, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.31,0.67
200002,1.81,0.31
200003,1.19,-0.42
200004,0.96,-0.71
200005,1.91,0.29
200006,0.27,-0.90
200007,0.33,-0.52
200008,1.99,0.98
200009,1.37,0.19
200010,1.51,0.03
200011,1.01,-0.41
200012,1.33,-0.21
200101,0.46,-1.18
200102,1.95,0.45
200103,0.78,-0.83
200104,1.90,0.23
200105,0.83,-0.79
200106,0.62,-0.55
200107,0.97,0.12
200108,0.45,-0.56
200109,0.32,-0.86
200110,0.94,-0.54
200111,2.43,1.01
200112,2.07,0.53
200201,1.20,-0.44
200202,0.48,-1.02
200203,1.28,-0.33
200204,1.96,0.29
200205,1.11,-0.51
200206,0.26,-0.91
200207,1.41,0.56
200208,0.15,-0.86
200209,1.68,0.50
200210,1.82,0.34
200211,1.59,0.17
200212,0.84,-0.70
200301,0.56,-1.08
200302,1.88,0.38
200303,1.65,0.04
200304,0.75,-0.92
200305,1.98,0.36
200306,1.16,-0.01
200307,0.34,-0.51
200308,1.22,0.21
200309,0.62,-0.56
200310,0.79,-0.69
200311,2.08,0.66
200312,2.16,0.62
200401,1.05,-0.59
200402,1.58,0.08
200403,0.59,-1.02
200404,1.84,0.17
200405,1.62,0.00
200406,1.25,0.08
200407,0.48,-0.37
200408,1.42,0.41
200409,1.09,-0.09
200410,3.80,2.32
200411,1.42,0.00
200412,1.56,0.02
200501,3.70,2.06
200502,1.32,-0.18
200503,1.27,-0.34
200504,3.18,1.51
200505,2.72,1.10
200506,1.98,0.81
200507,0.09,-0.76
200508,0.87,-0.14
200509,0.50,-0.68
200510,1.17,-0.31
200511,1.54,0.12
200512,2.70,1.16
200601,2.24,0.60
200602,1.10,-0.40
200603,2.03,0.42
200604,1.37,-0.30
200605,0.90,-0.72
200606,0.90,-0.27
200607,0.63,-0.22
200608,1.31,0.30
200609,2.52,1.34
200610,1.65,0.17
200611,1.85,0.43
200612,1.01,-0.53
200701,0.65,-0.99
200702,1.55,0.05
200703,1.40,-0.21
200704,0.77,-0.90
200705,1.14,-0.48
200706,0.37,-0.80
200707,0.74,-0.11
200708,1.04,0.03
200709,1.47,0.29
200710,1.35,-0.13
200711,0.32,-1.10
200712,2.26,0.72
200801,2.44,0.80
200802,1.68,0.18
200803,1.17,-0.44
200804,0.70,-0.97
200805,2.16,0.54
200806,0.72,-0.45
200807,0.10,-0.75
200808,1.10,0.09
200809,0.98,-0.20
200810,0.97,-0.51
200811,1.16,-0.26
200812,1.52,-0.02
200901,1.78,0.14
200902,1.29,-0.21
200903,1.68,0.07
200904,2.32,0.65
200905,1.40,-0.22
200906,3.71,2.54
200907,0.37,-0.48
200908,0.92,-0.09
200909,0.58,-0.60
200910,1.90,0.42
200911,0.45,-0.97
200912,0.97,-0.57
201001,0.93,-0.71
201002,0.57,-0.93
201003,1.13,-0.48
201004,2.09,0.42
201005,3.15,1.53
201006,1.76,0.59
201007,0.42,-0.43
201008,1.28,0.27
201009,0.30,-0.88
201010,2.33,0.85
201011,2.33,0.91
201012,3.90,2.36
201101,1.01,-0.63
201102,1.79,0.29
201103,2.21,0.60
201104,3.45,1.78
201105,4.17,2.55
201106,0.81,-0.36
201107,0.98,0.13
201108,1.35,0.34
201109,0.76,-0.42
201110,1.17,-0.31
201111,1.96,0.54
201112,0.52,-1.02
201201,1.39,-0.25
201202,0.64,-0.86
201203,0.71,-0.90
201204,0.96,-0.71
201205,1.24,-0.38
201206,0.01,-1.16
201207,0.98,0.13
201208,0.21,-0.80
201209,0.79,-0.39
201210,2.53,1.05
201211,1.13,-0.29
201212,2.60,1.06
201301,0.77,-0.87
201302,0.89,-0.61
201303,0.62,-0.99
201304,1.91,0.24
201305,1.15,-0.47
201306,0.01,-1.16
201307,1.07,0.22
201308,0.65,-0.36
201309,2.84,1.66
201310,1.32,-0.16
201311,0.78,-0.64
201312,1.67,0.13
201401,1.01,-0.63
201402,2.93,1.43
201403,1.98,0.37
201404,1.00,-0.67
201405,1.42,-0.20
201406,1.25,0.08
201407,1.66,0.81
201408,3.55,2.54
201409,3.23,2.05
201410,0.37,-1.11
201411,1.67,0.25
201412,1.39,-0.15
201501,0.77,-0.87
201502,0.87,-0.63
201503,0.70,-0.91
201504,1.21,-0.46
201505,4.33,2.71
201506,0.94,-0.23
201507,1.21,0.36
201508,1.17,0.16
201509,1.25,0.07
201510,1.02,-0.46
201511,1.07,-0.35
201512,1.93,0.39
201601,1.61,-0.03
201602,0.79,-0.71
201603,2.54,0.93
201604,1.63,-0.04
201605,3.37,1.75
201606,0.35,-0.82
201607,0.06,-0.79
201608,0.34,-0.67
201609,2.71,1.53
201610,2.48,1.00
201611,0.93,-0.49
201612,2.58,1.04
201701,4.82,3.18
201702,3.75,2.25
201703,3.05,1.44
201704,2.44,0.77
201705,1.17,-0.45
201706,0.56,-0.61
201707,0.25,-0.60
201708,0.74,-0.27
201709,2.53,1.35
201710,0.29,-1.19
201711,2.37,0.95
201712,0.95,-0.59
201801,1.04,-0.60
201802,1.29,-0.21
201803,1.66,0.05
201804,1.47,-0.20
201805,1.58,-0.04
201806,0.79,-0.38
201807,0.41,-0.44
201808,0.39,-0.62
201809,0.04,-1.14
201810,2.57,1.09
201811,1.99,0.57
201812,1.37,-0.17
201901,1.61,-0.03
201902,1.94,0.44
201903,2.06,0.45
201904,2.38,0.71
201905,3.22,1.60
201906,0.88,-0.29
201907,0.29,-0.56
201908,0.30,-0.71
201909,1.84,0.66
201910,0.87,-0.61
201911,1.66,0.24
201912,1.47,-0.07
202001,1.37,-0.27
