Nez Perce County, Idaho, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.09,-0.21
200002,2.46,0.63
200003,1.85,-0.34
200004,1.56,-0.37
200005,2.65,0.35
200006,1.62,-0.36
200007,0.11,-0.71
200008,0.19,-0.65
200009,2.88,1.62
200010,2.27,0.53
200011,1.40,-1.04
200012,1.38,-0.91
200101,1.59,-0.71
200102,1.08,-0.75
200103,1.69,-0.50
200104,2.70,0.77
200105,1.13,-1.17
200106,2.04,0.06
200107,0.86,0.04
200108,0.18,-0.66
200109,0.22,-1.04
200110,3.16,1.42
200111,2.00,-0.44
200112,1.71,-0.58
200201,2.21,-0.09
200202,1.44,-0.39
200203,2.88,0.69
200204,1.49,-0.44
200205,1.69,-0.61
200206,2.48,0.50
200207,0.31,-0.51
200208,1.09,0.25
200209,0.69,-0.57
200210,0.99,-0.75
200211,1.27,-1.17
200212,1.79,-0.50
200301,4.36,2.06
200302,2.46,0.63
200303,3.80,1.61
200304,2.23,0.30
200305,2.83,0.53
200306,0.56,-1.42
200307,0.30,-0.52
200308,0.57,-0.27
200309,1.17,-0.09
200310,0.64,-1.10
200311,1.61,-0.83
200312,3.04,0.75
200401,2.30,0.00
200402,1.44,-0.39
200403,0.96,-1.23
200404,1.71,-0.22
200405,4.79,2.49
200406,1.50,-0.48
200407,0.60,-0.22
200408,1.89,1.05
200409,1.05,-0.21
200410,1.87,0.13
200411,1.72,-0.72
200412,1.43,-0.86
200501,0.97,-1.33
200502,0.45,-1.38
200503,1.75,-0.44
200504,2.09,0.16
200505,4.09,1.79
200506,1.93,-0.05
200507,0.35,-0.47
200508,0.12,-0.72
200509,0.29,-0.97
200510,2.15,0.41
200511,1.47,-0.97
200512,2.48,0.19
200601,2.70,0.40
200602,0.80,-1.03
200603,1.94,-0.25
200604,2.96,1.03
200605,2.14,-0.16
200606,2.45,0.47
200607,0.22,-0.60
200608,0.34,-0.50
200609,1.22,-0.04
200610,0.82,-0.92
200611,4.33,1.89
200612,1.87,-0.42
200701,1.06,-1.24
200702,1.95,0.12
200703,1.68,-0.51
200704,1.39,-0.54
200705,1.30,-1.00
200706,1.46,-0.52
200707,0.05,-0.77
200708,0.40,-0.44
200709,0.34,-0.92
200710,1.54,-0.20
200711,2.59,0.15
200712,2.80,0.51
200801,1.83,-0.47
200802,1.12,-0.71
200803,1.81,-0.38
200804,1.33,-0.60
200805,1.95,-0.35
200806,1.63,-0.35
200807,0.22,-0.60
200808,1.56,0.72
200809,0.84,-0.42
200810,0.69,-1.05
200811,2.55,0.11
200812,3.01,0.72
200901,2.72,0.42
200902,0.99,-0.84
200903,4.00,1.81
200904,1.56,-0.37
200905,1.76,-0.54
200906,1.32,-0.66
200907,0.66,-0.16
200908,1.88,1.04
200909,0.11,-1.15
200910,1.39,-0.35
200911,1.51,-0.93
200912,1.80,-0.49
201001,2.71,0.41
201002,0.73,-1.10
201003,1.89,-0.30
201004,2.50,0.57
201005,3.02,0.72
201006,4.09,2.11
201007,0.28,-0.54
201008,0.44,-0.40
201009,1.36,0.10
201010,1.99,0.25
201011,2.13,-0.31
201012,3.48,1.19
201101,2.29,-0.01
201102,3.39,1.56
201103,3.18,0.99
201104,2.95,1.02
201105,4.31,2.01
201106,1.83,-0.15
201107,0.49,-0.33
201108,0.09,-0.75
201109,0.31,-0.95
201110,1.92,0.18
201111,1.57,-0.87
201112,1.09,-1.20
201201,2.70,0.40
201202,1.61,-0.22
201203,5.24,3.05
201204,2.71,0.78
201205,1.72,-0.58
201206,3.10,1.12
201207,0.90,0.08
201208,0.00,-0.84
201209,0.01,-1.25
201210,3.11,1.37
201211,2.40,-0.04
201212,2.19,-0.10
201301,1.86,-0.44
201302,1.15,-0.68
201303,1.20,-0.99
201304,1.89,-0.04
201305,1.17,-1.13
201306,2.76,0.78
201307,0.09,-0.73
201308,0.64,-0.20
201309,2.63,1.37
201310,0.32,-1.42
201311,1.62,-0.82
201312,2.14,-0.15
201401,1.95,-0.35
201402,2.95,1.12
201403,3.02,0.83
201404,1.66,-0.27
201405,1.31,-0.99
201406,1.79,-0.19
201407,0.23,-0.59
201408,0.99,0.15
201409,0.45,-0.81
201410,1.27,-0.47
201411,3.46,1.02
201412,3.10,0.81
201501,1.77,-0.53
201502,2.40,0.57
201503,2.11,-0.08
201504,0.92,-1.01
201505,2.14,-0.16
201506,1.26,-0.72
201507,0.52,-0.30
201508,0.10,-0.74
201509,1.04,-0.22
201510,1.41,-0.33
201511,3.04,0.60
201512,3.72,1.43
201601,1.79,-0.51
201602,1.48,-0.35
201603,3.89,1.70
201604,2.25,0.32
201605,2.19,-0.11
201606,1.68,-0.30
201607,1.52,0.70
201608,0.30,-0.54
201609,0.69,-0.57
201610,4.49,2.75
201611,1.43,-1.01
201612,2.96,0.67
201701,1.65,-0.65
201702,3.71,1.88
201703,5.99,3.80
201704,3.15,1.22
201705,2.01,-0.29
201706,1.55,-0.43
201707,0.02,-0.80
201708,0.10,-0.74
201709,1.01,-0.25
201710,2.11,0.37
201711,3.15,0.71
201712,4.01,1.72
201801,2.49,0.19
201802,2.13,0.30
201803,2.33,0.14
201804,3.04,1.11
201805,3.76,1.46
201806,1.86,-0.12
201807,0.03,-0.79
201808,0.77,-0.07
201809,0.16,-1.10
201810,1.46,-0.28
201811,2.87,0.43
201812,2.08,-0.21
201901,1.52,-0.78
201902,4.71,2.88
201903,1.49,-0.70
201904,4.24,2.31
201905,2.24,-0.06
201906,1.58,-0.40
201907,0.38,-0.44
201908,0.55,-0.29
201909,1.63,0.37
201910,1.74,0.00
201911,1.12,-1.32
201912,1.52,-0.77
202001,3.21,0.91
