Comanche County, Oklahoma, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.81,-0.30
200002,1.68,0.38
200003,4.46,2.46
200004,2.64,-0.27
200005,1.99,-2.86
200006,7.35,3.60
200007,0.94,-1.35
200008,0.00,-2.46
200009,1.19,-1.94
200010,10.90,7.88
200011,4.14,2.36
200012,1.81,0.40
200101,2.20,1.09
200102,2.64,1.34
200103,0.86,-1.14
200104,0.96,-1.95
200105,7.51,2.66
200106,0.71,-3.04
200107,0.18,-2.11
200108,3.53,1.07
200109,2.49,-0.64
200110,0.99,-2.03
200111,1.71,-0.07
200112,0.90,-0.51
200201,1.76,0.65
200202,1.02,-0.28
200203,2.33,0.33
200204,4.72,1.81
200205,2.14,-2.71
200206,3.52,-0.23
200207,3.73,1.44
200208,1.67,-0.79
200209,2.56,-0.57
200210,6.13,3.11
200211,0.80,-0.98
200212,2.96,1.55
200301,0.06,-1.05
200302,0.84,-0.46
200303,1.05,-0.95
200304,2.02,-0.89
200305,2.78,-2.07
200306,6.77,3.02
200307,0.26,-2.03
200308,3.84,1.38
200309,1.23,-1.90
200310,0.36,-2.66
200311,1.29,-0.49
200312,0.36,-1.05
200401,1.76,0.65
200402,2.38,1.08
200403,2.98,0.98
200404,2.91,0.00
200405,0.57,-4.28
200406,4.25,0.50
200407,4.05,1.76
200408,3.59,1.13
200409,0.91,-2.22
200410,4.63,1.61
200411,7.09,5.31
200412,0.61,-0.80
200501,1.91,0.80
200502,1.72,0.42
200503,0.31,-1.69
200504,0.60,-2.31
200505,4.17,-0.68
200506,1.80,-1.95
200507,3.59,1.30
200508,5.40,2.94
200509,3.02,-0.11
200510,1.79,-1.23
200511,0.03,-1.75
200512,0.15,-1.26
200601,0.12,-0.99
200602,0.10,-1.20
200603,2.53,0.53
200604,2.54,-0.37
200605,3.17,-1.68
200606,1.61,-2.14
200607,1.19,-1.10
200608,2.99,0.53
200609,3.25,0.12
200610,4.23,1.21
200611,1.24,-0.54
200612,2.57,1.16
200701,1.97,0.86
200702,0.67,-0.63
200703,5.38,3.38
200704,1.55,-1.36
200705,9.38,4.53
200706,13.96,10.21
200707,2.73,0.44
200708,5.93,3.47
200709,1.62,-1.51
200710,2.47,-0.55
200711,0.51,-1.27
200712,2.92,1.51
200801,0.04,-1.07
200802,2.01,0.71
200803,2.38,0.38
200804,3.72,0.81
200805,3.56,-1.29
200806,2.50,-1.25
200807,1.83,-0.46
200808,6.16,3.70
200809,0.87,-2.26
200810,2.80,-0.22
200811,0.22,-1.56
200812,0.59,-0.82
200901,0.81,-0.30
200902,1.04,-0.26
200903,1.20,-0.80
200904,6.25,3.34
200905,5.04,0.19
200906,1.80,-1.95
200907,3.36,1.07
200908,1.18,-1.28
200909,4.58,1.45
200910,4.88,1.86
200911,0.18,-1.60
200912,1.54,0.13
201001,2.07,0.96
201002,1.64,0.34
201003,1.47,-0.53
201004,2.88,-0.03
201005,1.91,-2.94
201006,4.01,0.26
201007,5.92,3.63
201008,0.97,-1.49
201009,4.19,1.06
201010,2.88,-0.14
201011,0.79,-0.99
201012,0.08,-1.33
201101,0.10,-1.01
201102,0.81,-0.49
201103,0.03,-1.97
201104,0.66,-2.25
201105,3.98,-0.87
201106,0.51,-3.24
201107,0.15,-2.14
201108,0.84,-1.62
201109,1.20,-1.93
201110,3.50,0.48
201111,2.26,0.48
201112,1.77,0.36
201201,1.33,0.22
201202,0.75,-0.55
201203,3.53,1.53
201204,2.61,-0.30
201205,2.26,-2.59
201206,2.16,-1.59
201207,0.70,-1.59
201208,1.82,-0.64
201209,3.56,0.43
201210,0.35,-2.67
201211,0.42,-1.36
201212,1.05,-0.36
201301,1.02,-0.09
201302,2.74,1.44
201303,0.52,-1.48
201304,4.85,1.94
201305,3.17,-1.68
201306,2.83,-0.92
201307,7.10,4.81
201308,1.83,-0.63
201309,2.24,-0.89
201310,1.81,-1.21
201311,1.17,-0.61
201312,1.71,0.30
201401,0.01,-1.10
201402,0.41,-0.89
201403,1.55,-0.45
201404,1.14,-1.77
201405,2.48,-2.37
201406,4.97,1.22
201407,2.53,0.24
201408,1.13,-1.33
201409,1.19,-1.94
201410,1.44,-1.58
201411,3.91,2.13
201412,0.47,-0.94
201501,1.32,0.21
201502,0.75,-0.55
201503,2.08,0.08
201504,3.72,0.81
201505,18.82,13.97
201506,3.23,-0.52
201507,2.95,0.66
201508,1.64,-0.82
201509,1.02,-2.11
201510,3.64,0.62
201511,5.18,3.40
201512,2.79,1.38
201601,0.24,-0.87
201602,1.21,-0.09
201603,1.54,-0.46
201604,7.79,4.88
201605,4.41,-0.44
201606,6.37,2.62
201607,2.62,0.33
201608,1.46,-1.00
201609,4.14,1.01
201610,0.75,-2.27
201611,1.20,-0.58
201612,0.94,-0.47
201701,2.06,0.95
201702,3.56,2.26
201703,3.70,1.70
201704,4.22,1.31
201705,3.42,-1.43
201706,3.14,-0.61
201707,3.63,1.34
201708,8.18,5.72
201709,6.18,3.05
201710,3.43,0.41
201711,0.09,-1.69
201712,0.53,-0.88
201801,0.12,-0.99
201802,2.52,1.22
201803,1.22,-0.78
201804,1.33,-1.58
201805,4.42,-0.43
201806,1.92,-1.83
201807,2.66,0.37
201808,2.36,-0.10
201809,6.66,3.53
201810,6.34,3.32
201811,0.82,-0.96
201812,4.56,3.15
201901,1.33,0.22
201902,0.28,-1.02
201903,2.86,0.86
201904,3.98,1.07
201905,9.58,4.73
201906,1.74,-2.01
201907,0.57,-1.72
201908,2.81,0.35
201909,2.93,-0.20
201910,1.68,-1.34
201911,1.30,-0.48
201912,0.76,-0.65
202001,3.04,1.93
