McLeod County, Minnesota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.76,-0.04
200002,1.17,0.40
200003,0.85,-0.62
200004,1.47,-0.78
200005,4.21,0.72
200006,3.41,-1.09
200007,4.58,0.98
200008,2.43,-1.25
200009,0.50,-2.40
200010,1.56,-0.36
200011,3.04,1.64
200012,0.92,0.11
200101,0.98,0.18
200102,1.27,0.50
200103,0.69,-0.78
200104,6.65,4.40
200105,2.97,-0.52
200106,3.94,-0.56
200107,1.43,-2.17
200108,2.22,-1.46
200109,2.94,0.04
200110,1.11,-0.81
200111,3.15,1.75
200112,0.47,-0.34
200201,0.33,-0.47
200202,1.10,0.33
200203,1.42,-0.05
200204,2.98,0.73
200205,2.86,-0.63
200206,10.20,5.70
200207,4.48,0.88
200208,7.32,3.64
200209,1.48,-1.42
200210,3.96,2.04
200211,0.08,-1.32
200212,0.26,-0.55
200301,0.38,-0.42
200302,1.00,0.23
200303,1.11,-0.36
200304,2.41,0.16
200305,4.10,0.61
200306,4.92,0.42
200307,2.67,-0.93
200308,0.38,-3.30
200309,3.06,0.16
200310,0.65,-1.27
200311,0.77,-0.63
200312,0.56,-0.25
200401,0.44,-0.36
200402,0.88,0.11
200403,1.49,0.02
200404,1.35,-0.90
200405,6.94,3.45
200406,4.43,-0.07
200407,4.77,1.17
200408,2.79,-0.89
200409,5.61,2.71
200410,2.63,0.71
200411,0.90,-0.50
200412,0.22,-0.59
200501,1.32,0.52
200502,1.14,0.37
200503,0.71,-0.76
200504,3.77,1.52
200505,3.47,-0.02
200506,5.82,1.32
200507,3.51,-0.09
200508,3.38,-0.30
200509,6.90,4.00
200510,2.64,0.72
200511,2.38,0.98
200512,1.43,0.62
200601,0.12,-0.68
200602,0.34,-0.43
200603,1.90,0.43
200604,3.78,1.53
200605,1.72,-1.77
200606,3.04,-1.46
200607,1.58,-2.02
200608,3.66,-0.02
200609,3.89,0.99
200610,0.59,-1.33
200611,0.82,-0.58
200612,1.53,0.72
200701,0.47,-0.33
200702,0.85,0.08
200703,2.80,1.33
200704,2.61,0.36
200705,2.05,-1.44
200706,2.49,-2.01
200707,0.93,-2.67
200708,5.61,1.93
200709,2.94,0.04
200710,5.47,3.55
200711,0.08,-1.32
200712,0.73,-0.08
200801,0.22,-0.58
200802,0.42,-0.35
200803,1.48,0.01
200804,3.08,0.83
200805,3.30,-0.19
200806,3.55,-0.95
200807,3.16,-0.44
200808,4.18,0.50
200809,2.87,-0.03
200810,2.13,0.21
200811,1.70,0.30
200812,1.25,0.44
200901,0.45,-0.35
200902,1.10,0.33
200903,2.51,1.04
200904,1.49,-0.76
200905,1.05,-2.44
200906,3.21,-1.29
200907,1.28,-2.32
200908,5.72,2.04
200909,2.27,-0.63
200910,6.33,4.41
200911,0.55,-0.85
200912,1.79,0.98
201001,0.44,-0.36
201002,0.77,0.00
201003,1.22,-0.25
201004,1.55,-0.70
201005,2.65,-0.84
201006,6.93,2.43
201007,3.94,0.34
201008,5.22,1.54
201009,7.49,4.59
201010,1.47,-0.45
201011,1.60,0.20
201012,2.67,1.86
201101,0.88,0.08
201102,0.62,-0.15
201103,1.87,0.40
201104,2.81,0.56
201105,5.58,2.09
201106,3.78,-0.72
201107,5.85,2.25
201108,2.06,-1.62
201109,0.45,-2.45
201110,0.56,-1.36
201111,0.11,-1.29
201112,0.57,-0.24
201201,0.49,-0.31
201202,1.89,1.12
201203,2.14,0.67
201204,2.16,-0.09
201205,9.03,5.54
201206,4.51,0.01
201207,2.42,-1.18
201208,1.60,-2.08
201209,0.50,-2.40
201210,0.84,-1.08
201211,0.61,-0.79
201212,1.30,0.49
201301,0.57,-0.23
201302,1.48,0.71
201303,1.75,0.28
201304,3.93,1.68
201305,3.90,0.41
201306,7.86,3.36
201307,3.03,-0.57
201308,1.30,-2.38
201309,1.72,-1.18
201310,3.14,1.22
201311,0.46,-0.94
201312,1.07,0.26
201401,0.73,-0.07
201402,0.84,0.07
201403,0.86,-0.61
201404,5.44,3.19
201405,3.09,-0.40
201406,11.13,6.63
201407,2.36,-1.24
201408,2.06,-1.62
201409,1.87,-1.03
201410,0.75,-1.17
201411,0.84,-0.56
201412,1.00,0.19
201501,0.34,-0.46
201502,0.43,-0.34
201503,0.88,-0.59
201504,1.57,-0.68
201505,4.71,1.22
201506,3.21,-1.29
201507,4.34,0.74
201508,3.43,-0.25
201509,2.93,0.03
201510,2.21,0.29
201511,3.79,2.39
201512,1.70,0.89
201601,0.22,-0.58
201602,0.73,-0.04
201603,1.48,0.01
201604,1.90,-0.35
201605,2.88,-0.61
201606,2.91,-1.59
201607,5.92,2.32
201608,6.24,2.56
201609,5.51,2.61
201610,3.08,1.16
201611,0.87,-0.53
201612,1.36,0.55
201701,0.40,-0.40
201702,0.53,-0.24
201703,0.35,-1.12
201704,2.86,0.61
201705,3.14,-0.35
201706,2.06,-2.44
201707,2.79,-0.81
201708,5.57,1.89
201709,1.54,-1.36
201710,4.17,2.25
201711,0.23,-1.17
201712,0.31,-0.50
201801,0.60,-0.20
201802,0.78,0.01
201803,0.90,-0.57
201804,1.04,-1.21
201805,3.01,-0.48
201806,5.81,1.31
201807,4.81,1.21
201808,1.92,-1.76
201809,6.30,3.40
201810,2.24,0.32
201811,1.33,-0.07
201812,1.43,0.62
201901,0.28,-0.52
201902,1.60,0.83
201903,1.89,0.42
201904,3.14,0.89
201905,5.76,2.27
201906,2.08,-2.42
201907,6.02,2.42
201908,3.13,-0.55
201909,5.33,2.43
201910,2.84,0.92
201911,0.88,-0.52
201912,1.37,0.56
202001,0.63,-0.17
