Sarasota County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.73,-0.64
200002,0.61,-2.01
200003,1.47,-1.33
200004,1.71,-0.57
200005,0.56,-2.54
200006,6.92,-0.39
200007,7.79,-0.26
200008,8.88,0.28
200009,8.25,0.72
200010,0.41,-3.11
200011,1.37,-0.48
200012,1.06,-0.95
200101,0.30,-2.07
200102,0.01,-2.61
200103,7.65,4.85
200104,0.19,-2.09
200105,1.01,-2.09
200106,10.08,2.77
200107,12.12,4.07
200108,4.99,-3.61
200109,13.92,6.39
200110,1.85,-1.67
200111,0.10,-1.75
200112,0.98,-1.03
200201,2.71,0.34
200202,4.02,1.40
200203,0.58,-2.22
200204,1.72,-0.56
200205,3.07,-0.03
200206,8.23,0.92
200207,5.28,-2.77
200208,11.21,2.61
200209,5.75,-1.78
200210,1.73,-1.79
200211,4.52,2.67
200212,8.28,6.27
200301,0.62,-1.75
200302,1.37,-1.25
200303,3.34,0.54
200304,3.42,1.14
200305,4.15,1.05
200306,17.23,9.92
200307,5.64,-2.41
200308,13.23,4.63
200309,11.88,4.35
200310,0.69,-2.83
200311,1.42,-0.43
200312,3.93,1.92
200401,1.96,-0.41
200402,4.29,1.67
200403,0.79,-2.01
200404,2.73,0.45
200405,0.85,-2.25
200406,6.25,-1.06
200407,8.71,0.66
200408,11.60,3.00
200409,8.07,0.54
200410,1.93,-1.59
200411,1.75,-0.10
200412,3.05,1.04
200501,1.97,-0.40
200502,3.06,0.44
200503,4.90,2.10
200504,3.16,0.88
200505,4.46,1.36
200506,14.18,6.87
200507,7.65,-0.40
200508,4.50,-4.10
200509,2.37,-5.16
200510,7.28,3.76
200511,3.41,1.56
200512,0.69,-1.32
200601,0.53,-1.84
200602,2.92,0.30
200603,0.40,-2.40
200604,0.21,-2.07
200605,1.79,-1.31
200606,7.23,-0.08
200607,12.11,4.06
200608,10.12,1.52
200609,9.60,2.07
200610,1.79,-1.73
200611,0.98,-0.87
200612,2.23,0.22
200701,1.76,-0.61
200702,2.28,-0.34
200703,0.47,-2.33
200704,3.00,0.72
200705,0.51,-2.59
200706,3.49,-3.82
200707,7.17,-0.88
200708,5.64,-2.96
200709,6.02,-1.51
200710,4.44,0.92
200711,0.16,-1.69
200712,0.98,-1.03
200801,2.36,-0.01
200802,1.38,-1.24
200803,3.33,0.53
200804,3.65,1.37
200805,1.57,-1.53
200806,7.99,0.68
200807,10.31,2.26
200808,7.12,-1.48
200809,3.63,-3.90
200810,2.85,-0.67
200811,0.80,-1.05
200812,1.30,-0.71
200901,1.36,-1.01
200902,0.63,-1.99
200903,0.94,-1.86
200904,1.22,-1.06
200905,7.48,4.38
200906,4.66,-2.65
200907,5.70,-2.35
200908,8.10,-0.50
200909,6.54,-0.99
200910,0.76,-2.76
200911,2.23,0.38
200912,4.68,2.67
201001,2.75,0.38
201002,2.44,-0.18
201003,7.44,4.64
201004,2.77,0.49
201005,1.89,-1.21
201006,6.83,-0.48
201007,7.17,-0.88
201008,12.03,3.43
201009,5.01,-2.52
201010,0.01,-3.51
201011,1.87,0.02
201012,0.89,-1.12
201101,2.87,0.50
201102,0.48,-2.14
201103,6.19,3.39
201104,1.64,-0.64
201105,2.78,-0.32
201106,2.51,-4.80
201107,8.47,0.42
201108,8.55,-0.05
201109,5.31,-2.22
201110,3.77,0.25
201111,1.27,-0.58
201112,0.14,-1.87
201201,0.74,-1.63
201202,1.04,-1.58
201203,1.22,-1.58
201204,2.14,-0.14
201205,2.87,-0.23
201206,16.23,8.92
201207,6.42,-1.63
201208,11.07,2.47
201209,5.71,-1.82
201210,3.54,0.02
201211,0.26,-1.59
201212,2.00,-0.01
201301,0.42,-1.95
201302,1.28,-1.34
201303,1.81,-0.99
201304,4.34,2.06
201305,3.88,0.78
201306,11.14,3.83
201307,10.35,2.30
201308,9.76,1.16
201309,11.78,4.25
201310,1.93,-1.59
201311,1.85,0.00
201312,0.37,-1.64
201401,3.10,0.73
201402,1.60,-1.02
201403,5.48,2.68
201404,1.63,-0.65
201405,7.05,3.95
201406,5.52,-1.79
201407,5.90,-2.15
201408,6.04,-2.56
201409,13.04,5.51
201410,2.98,-0.54
201411,4.40,2.55
201412,0.32,-1.69
201501,1.60,-0.77
201502,4.43,1.81
201503,1.74,-1.06
201504,2.01,-0.27
201505,4.30,1.20
201506,5.31,-2.00
201507,11.01,2.96
201508,8.83,0.23
201509,7.75,0.22
201510,3.03,-0.49
201511,1.88,0.03
201512,2.76,0.75
201601,7.33,4.96
201602,2.64,0.02
201603,1.72,-1.08
201604,1.49,-0.79
201605,5.95,2.85
201606,8.46,1.15
201607,6.08,-1.97
201608,12.66,4.06
201609,7.16,-0.37
201610,3.36,-0.16
201611,0.05,-1.80
201612,0.57,-1.44
201701,1.44,-0.93
201702,1.35,-1.27
201703,1.34,-1.46
201704,0.82,-1.46
201705,3.89,0.79
201706,13.27,5.96
201707,8.80,0.75
201708,17.03,8.43
201709,9.69,2.16
201710,2.94,-0.58
201711,0.56,-1.29
201712,1.21,-0.80
201801,2.57,0.20
201802,0.89,-1.73
201803,1.02,-1.78
201804,2.14,-0.14
201805,12.23,9.13
201806,4.80,-2.51
201807,7.74,-0.31
201808,10.88,2.28
201809,7.43,-0.10
201810,1.67,-1.85
201811,1.78,-0.07
201812,6.70,4.69
201901,3.58,1.21
201902,1.83,-0.79
201903,1.21,-1.59
201904,1.95,-0.33
201905,2.94,-0.16
201906,6.55,-0.76
201907,9.53,1.48
201908,10.74,2.14
201909,1.54,-5.99
201910,5.10,1.58
201911,1.16,-0.69
201912,2.93,0.92
202001,1.05,-1.32
