McLennan County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.43,0.37
200002,2.77,0.36
200003,2.75,0.20
200004,3.54,-0.05
200005,6.05,1.49
200006,7.00,3.92
200007,0.39,-1.57
200008,0.12,-1.79
200009,1.60,-1.43
200010,4.21,1.08
200011,8.03,5.28
200012,3.05,0.37
200101,3.49,1.43
200102,2.59,0.18
200103,5.05,2.50
200104,0.98,-2.61
200105,4.27,-0.29
200106,2.41,-0.67
200107,0.58,-1.38
200108,5.46,3.55
200109,3.08,0.05
200110,3.20,0.07
200111,5.46,2.71
200112,4.62,1.94
200201,0.99,-1.07
200202,2.12,-0.29
200203,2.76,0.21
200204,1.67,-1.92
200205,3.19,-1.37
200206,2.68,-0.40
200207,4.37,2.41
200208,0.69,-1.22
200209,2.32,-0.71
200210,8.45,5.32
200211,1.71,-1.04
200212,7.34,4.66
200301,0.63,-1.43
200302,3.94,1.53
200303,1.56,-0.99
200304,0.90,-2.69
200305,2.13,-2.43
200306,5.46,2.38
200307,1.33,-0.63
200308,2.53,0.62
200309,4.29,1.26
200310,4.51,1.38
200311,1.66,-1.09
200312,0.82,-1.86
200401,3.56,1.50
200402,4.95,2.54
200403,2.44,-0.11
200404,7.02,3.43
200405,3.40,-1.16
200406,9.48,6.40
200407,3.89,1.93
200408,2.11,0.20
200409,0.89,-2.14
200410,6.99,3.86
200411,9.66,6.91
200412,1.12,-1.56
200501,3.10,1.04
200502,3.39,0.98
200503,1.96,-0.59
200504,1.18,-2.41
200505,3.76,-0.80
200506,1.39,-1.69
200507,1.78,-0.18
200508,6.87,4.96
200509,0.79,-2.24
200510,0.70,-2.43
200511,0.94,-1.81
200512,0.35,-2.33
200601,2.06,0.00
200602,1.91,-0.50
200603,3.62,1.07
200604,2.80,-0.79
200605,3.12,-1.44
200606,2.64,-0.44
200607,0.85,-1.11
200608,0.50,-1.41
200609,1.96,-1.07
200610,4.32,1.19
200611,0.90,-1.85
200612,2.90,0.22
200701,4.60,2.54
200702,0.54,-1.87
200703,10.30,7.75
200704,1.41,-2.18
200705,13.35,8.79
200706,9.06,5.98
200707,3.81,1.85
200708,0.68,-1.23
200709,2.79,-0.24
200710,1.16,-1.97
200711,2.01,-0.74
200712,1.49,-1.19
200801,0.80,-1.26
200802,1.26,-1.15
200803,4.70,2.15
200804,4.12,0.53
200805,4.56,0.00
200806,0.82,-2.26
200807,0.76,-1.20
200808,6.00,4.09
200809,0.74,-2.29
200810,3.99,0.86
200811,0.74,-2.01
200812,0.82,-1.86
200901,0.81,-1.25
200902,1.41,-1.00
200903,5.46,2.91
200904,5.09,1.50
200905,2.51,-2.05
200906,0.56,-2.52
200907,3.41,1.45
200908,0.86,-1.05
200909,8.55,5.52
200910,10.71,7.58
200911,1.56,-1.19
200912,1.70,-0.98
201001,4.46,2.40
201002,3.60,1.19
201003,3.66,1.11
201004,3.18,-0.41
201005,1.48,-3.08
201006,4.06,0.98
201007,4.69,2.73
201008,0.50,-1.41
201009,8.56,5.53
201010,0.89,-2.24
201011,1.10,-1.65
201012,1.11,-1.57
201101,3.97,1.91
201102,1.82,-0.59
201103,0.33,-2.22
201104,1.20,-2.39
201105,2.42,-2.14
201106,1.19,-1.89
201107,0.09,-1.87
201108,0.28,-1.63
201109,2.02,-1.01
201110,4.65,1.52
201111,2.42,-0.33
201112,5.12,2.44
201201,4.24,2.18
201202,3.79,1.38
201203,7.67,5.12
201204,1.47,-2.12
201205,2.37,-2.19
201206,2.90,-0.18
201207,2.98,1.02
201208,2.28,0.37
201209,4.49,1.46
201210,0.30,-2.83
201211,0.07,-2.68
201212,1.04,-1.64
201301,5.02,2.96
201302,1.71,-0.70
201303,1.87,-0.68
201304,1.76,-1.83
201305,3.59,-0.97
201306,1.23,-1.85
201307,5.59,3.63
201308,0.58,-1.33
201309,4.63,1.60
201310,8.07,4.94
201311,2.52,-0.23
201312,1.53,-1.15
201401,0.32,-1.74
201402,0.63,-1.78
201403,1.15,-1.40
201404,1.77,-1.82
201405,7.39,2.83
201406,6.73,3.65
201407,0.84,-1.12
201408,1.23,-0.68
201409,1.33,-1.70
201410,4.13,1.00
201411,2.82,0.07
201412,0.77,-1.91
201501,3.60,1.54
201502,1.63,-0.78
201503,3.80,1.25
201504,4.70,1.11
201505,10.49,5.93
201506,5.56,2.48
201507,0.04,-1.92
201508,0.95,-0.96
201509,0.74,-2.29
201510,14.19,11.06
201511,6.21,3.46
201512,3.35,0.67
201601,0.78,-1.28
201602,2.22,-0.19
201603,4.99,2.44
201604,7.16,3.57
201605,6.97,2.41
201606,4.74,1.66
201607,0.63,-1.33
201608,7.65,5.74
201609,1.28,-1.75
201610,0.35,-2.78
201611,5.25,2.50
201612,1.46,-1.22
201701,3.51,1.45
201702,2.98,0.57
201703,2.82,0.27
201704,6.30,2.71
201705,3.57,-0.99
201706,5.36,2.28
201707,2.58,0.62
201708,3.72,1.81
201709,0.98,-2.05
201710,1.50,-1.63
201711,1.21,-1.54
201712,2.44,-0.24
201801,0.34,-1.72
201802,2.86,0.45
201803,3.09,0.54
201804,1.00,-2.59
201805,3.30,-1.26
201806,0.66,-2.42
201807,0.66,-1.30
201808,2.36,0.45
201809,4.99,1.96
201810,10.92,7.79
201811,2.92,0.17
201812,5.60,2.92
201901,3.44,1.38
201902,1.77,-0.64
201903,1.53,-1.02
201904,6.23,2.64
201905,5.54,0.98
201906,6.75,3.67
201907,0.74,-1.22
201908,1.17,-0.74
201909,0.53,-2.50
201910,4.61,1.48
201911,0.60,-2.15
201912,0.77,-1.91
202001,2.49,0.43
