Natrona County, Wyoming, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.55,0.08
200002,0.68,0.10
200003,0.68,-0.20
200004,1.67,0.06
200005,2.51,0.36
200006,1.21,-0.35
200007,0.39,-0.68
200008,0.52,-0.23
200009,1.30,0.28
200010,0.46,-0.61
200011,0.87,0.17
200012,0.52,-0.08
200101,0.35,-0.12
200102,0.57,-0.01
200103,0.29,-0.59
200104,1.08,-0.53
200105,0.71,-1.44
200106,0.56,-1.00
200107,1.60,0.53
200108,0.41,-0.34
200109,1.27,0.25
200110,0.90,-0.17
200111,0.70,0.00
200112,0.21,-0.39
200201,0.19,-0.28
200202,0.39,-0.19
200203,0.86,-0.02
200204,0.85,-0.76
200205,1.01,-1.14
200206,0.42,-1.14
200207,1.05,-0.02
200208,1.07,0.32
200209,1.17,0.15
200210,0.88,-0.19
200211,0.40,-0.30
200212,0.22,-0.38
200301,0.16,-0.31
200302,0.67,0.09
200303,1.16,0.28
200304,1.62,0.01
200305,1.32,-0.83
200306,2.41,0.85
200307,0.38,-0.69
200308,1.13,0.38
200309,1.38,0.36
200310,0.68,-0.39
200311,0.51,-0.19
200312,0.60,0.00
200401,0.16,-0.31
200402,0.81,0.23
200403,0.32,-0.56
200404,1.55,-0.06
200405,0.75,-1.40
200406,0.92,-0.64
200407,1.28,0.21
200408,0.55,-0.20
200409,1.56,0.54
200410,1.39,0.32
200411,0.69,-0.01
200412,0.19,-0.41
200501,0.45,-0.02
200502,0.16,-0.42
200503,0.69,-0.19
200504,1.28,-0.33
200505,2.89,0.74
200506,0.67,-0.89
200507,0.69,-0.38
200508,1.28,0.53
200509,0.45,-0.57
200510,1.41,0.34
200511,0.63,-0.07
200512,0.53,-0.07
200601,0.63,0.16
200602,0.61,0.03
200603,0.66,-0.22
200604,0.73,-0.88
200605,0.94,-1.21
200606,0.26,-1.30
200607,0.83,-0.24
200608,0.96,0.21
200609,1.45,0.43
200610,0.74,-0.33
200611,0.58,-0.12
200612,0.45,-0.15
200701,0.45,-0.02
200702,0.33,-0.25
200703,1.81,0.93
200704,0.62,-0.99
200705,2.45,0.30
200706,1.23,-0.33
200707,1.58,0.51
200708,0.96,0.21
200709,0.87,-0.15
200710,1.40,0.33
200711,0.11,-0.59
200712,0.74,0.14
200801,0.41,-0.06
200802,0.42,-0.16
200803,0.85,-0.03
200804,1.02,-0.59
200805,4.96,2.81
200806,0.91,-0.65
200807,0.49,-0.58
200808,0.57,-0.18
200809,1.19,0.17
200810,1.06,-0.01
200811,0.38,-0.32
200812,0.37,-0.23
200901,0.80,0.33
200902,0.42,-0.16
200903,1.20,0.32
200904,2.09,0.48
200905,0.82,-1.33
200906,1.95,0.39
200907,1.84,0.77
200908,0.98,0.23
200909,1.14,0.12
200910,1.88,0.81
200911,0.13,-0.57
200912,0.64,0.04
201001,0.22,-0.25
201002,0.51,-0.07
201003,1.43,0.55
201004,1.69,0.08
201005,2.84,0.69
201006,2.34,0.78
201007,0.81,-0.26
201008,0.38,-0.37
201009,0.22,-0.80
201010,0.84,-0.23
201011,0.80,0.10
201012,0.97,0.37
201101,0.46,-0.01
201102,0.70,0.12
201103,0.64,-0.24
201104,1.99,0.38
201105,3.93,1.78
201106,1.50,-0.06
201107,0.82,-0.25
201108,0.27,-0.48
201109,0.28,-0.74
201110,1.47,0.40
201111,1.15,0.45
201112,0.61,0.01
201201,0.67,0.20
201202,1.00,0.42
201203,0.23,-0.65
201204,1.05,-0.56
201205,1.45,-0.70
201206,0.22,-1.34
201207,0.68,-0.39
201208,0.11,-0.64
201209,0.44,-0.58
201210,0.64,-0.43
201211,0.50,-0.20
201212,0.28,-0.32
201301,0.34,-0.13
201302,0.79,0.21
201303,0.60,-0.28
201304,1.59,-0.02
201305,1.65,-0.50
201306,0.60,-0.96
201307,1.13,0.06
201308,0.49,-0.26
201309,2.28,1.26
201310,2.92,1.85
201311,0.24,-0.46
201312,0.78,0.18
201401,0.60,0.13
201402,0.51,-0.07
201403,1.60,0.72
201404,1.09,-0.52
201405,1.31,-0.84
201406,1.38,-0.18
201407,1.02,-0.05
201408,1.71,0.96
201409,0.91,-0.11
201410,0.53,-0.54
201411,0.56,-0.14
201412,1.07,0.47
201501,0.33,-0.14
201502,0.81,0.23
201503,0.47,-0.41
201504,1.57,-0.04
201505,4.77,2.62
201506,1.56,0.00
201507,0.52,-0.55
201508,0.54,-0.21
201509,0.20,-0.82
201510,0.81,-0.26
201511,0.62,-0.08
201512,0.61,0.01
201601,0.66,0.19
201602,0.40,-0.18
201603,1.46,0.58
201604,2.72,1.11
201605,2.25,0.10
201606,0.64,-0.92
201607,0.49,-0.58
201608,0.87,0.12
201609,1.61,0.59
201610,0.53,-0.54
201611,0.57,-0.13
201612,0.87,0.27
201701,0.57,0.10
201702,0.79,0.21
201703,1.17,0.29
201704,2.78,1.17
201705,1.94,-0.21
201706,0.70,-0.86
201707,0.49,-0.58
201708,0.80,0.05
201709,1.30,0.28
201710,0.75,-0.32
201711,0.50,-0.20
201712,0.71,0.11
201801,0.49,0.02
201802,0.48,-0.10
201803,0.71,-0.17
201804,0.68,-0.93
201805,2.55,0.40
201806,2.31,0.75
201807,1.08,0.01
201808,0.57,-0.18
201809,0.20,-0.82
201810,0.91,-0.16
201811,0.90,0.20
201812,0.51,-0.09
201901,0.62,0.15
201902,0.44,-0.14
201903,1.23,0.35
201904,1.45,-0.16
201905,3.86,1.71
201906,1.64,0.08
201907,0.64,-0.43
201908,0.60,-0.15
201909,1.45,0.43
201910,1.36,0.29
201911,1.05,0.35
201912,0.50,-0.10
202001,0.36,-0.11
