Marion County, Indiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.72,-0.90
200002,3.09,0.97
200003,1.78,-1.73
200004,3.77,0.06
200005,4.88,0.65
200006,5.37,1.32
200007,2.79,-1.08
200008,4.45,1.01
200009,4.65,1.51
200010,3.24,0.47
200011,2.73,-0.28
200012,2.65,-0.08
200101,0.73,-1.89
200102,2.08,-0.04
200103,0.74,-2.77
200104,2.30,-1.41
200105,3.95,-0.28
200106,4.02,-0.03
200107,6.69,2.82
200108,3.16,-0.28
200109,4.78,1.64
200110,7.75,4.98
200111,2.77,-0.24
200112,3.24,0.51
200201,1.92,-0.70
200202,2.73,0.61
200203,4.36,0.85
200204,5.65,1.94
200205,7.61,3.38
200206,4.74,0.69
200207,2.15,-1.72
200208,2.17,-1.27
200209,4.08,0.94
200210,2.69,-0.08
200211,2.73,-0.28
200212,2.73,0.00
200301,1.25,-1.37
200302,2.93,0.81
200303,2.91,-0.60
200304,2.21,-1.50
200305,6.23,2.00
200306,3.08,-0.97
200307,8.46,4.59
200308,4.18,0.74
200309,8.83,5.69
200310,2.61,-0.16
200311,3.65,0.64
200312,3.46,0.73
200401,3.98,1.36
200402,0.78,-1.34
200403,3.79,0.28
200404,1.50,-2.21
200405,6.47,2.24
200406,4.57,0.52
200407,5.58,1.71
200408,3.94,0.50
200409,0.48,-2.66
200410,3.74,0.97
200411,4.39,1.38
200412,2.43,-0.30
200501,9.23,6.61
200502,2.23,0.11
200503,1.52,-1.99
200504,4.44,0.73
200505,2.44,-1.79
200506,3.65,-0.40
200507,4.65,0.78
200508,4.58,1.14
200509,4.70,1.56
200510,1.73,-1.04
200511,3.33,0.32
200512,2.58,-0.15
200601,3.32,0.70
200602,1.72,-0.40
200603,5.53,2.02
200604,4.59,0.88
200605,4.91,0.68
200606,5.73,1.68
200607,4.27,0.40
200608,3.73,0.29
200609,3.69,0.55
200610,5.52,2.75
200611,3.35,0.34
200612,5.89,3.16
200701,4.64,2.02
200702,2.69,0.57
200703,5.29,1.78
200704,4.19,0.48
200705,1.73,-2.50
200706,2.71,-1.34
200707,2.05,-1.82
200708,3.65,0.21
200709,2.10,-1.04
200710,3.19,0.42
200711,2.44,-0.57
200712,5.24,2.51
200801,2.58,-0.04
200802,4.78,2.66
200803,6.22,2.71
200804,1.98,-1.73
200805,6.61,2.38
200806,9.59,5.54
200807,5.60,1.73
200808,2.37,-1.07
200809,2.33,-0.81
200810,2.00,-0.77
200811,2.07,-0.94
200812,5.50,2.77
200901,1.29,-1.33
200902,2.87,0.75
200903,2.21,-1.30
200904,7.01,3.30
200905,6.54,2.31
200906,5.92,1.87
200907,3.76,-0.11
200908,4.83,1.39
200909,1.81,-1.33
200910,5.65,2.88
200911,1.26,-1.75
200912,3.47,0.74
201001,1.26,-1.36
201002,1.43,-0.69
201003,3.25,-0.26
201004,2.63,-1.08
201005,4.73,0.50
201006,10.14,6.09
201007,4.15,0.28
201008,1.12,-2.32
201009,0.67,-2.47
201010,1.30,-1.47
201011,4.67,1.66
201012,1.65,-1.08
201101,1.84,-0.78
201102,5.57,3.45
201103,3.67,0.16
201104,8.88,5.17
201105,5.43,1.20
201106,6.71,2.66
201107,0.95,-2.92
201108,2.26,-1.18
201109,5.85,2.71
201110,3.24,0.47
201111,4.96,1.95
201112,4.95,2.22
201201,3.24,0.62
201202,1.39,-0.73
201203,3.57,0.06
201204,2.76,-0.95
201205,3.04,-1.19
201206,0.56,-3.49
201207,1.20,-2.67
201208,6.01,2.57
201209,7.12,3.98
201210,4.47,1.70
201211,1.35,-1.66
201212,2.94,0.21
201301,5.20,2.58
201302,2.09,-0.03
201303,1.83,-1.68
201304,7.38,3.67
201305,3.36,-0.87
201306,4.73,0.68
201307,2.17,-1.70
201308,1.48,-1.96
201309,2.87,-0.27
201310,5.21,2.44
201311,3.17,0.16
201312,4.51,1.78
201401,2.28,-0.34
201402,2.61,0.49
201403,1.68,-1.83
201404,5.94,2.23
201405,4.23,0.00
201406,6.24,2.19
201407,3.40,-0.47
201408,2.97,-0.47
201409,3.55,0.41
201410,3.30,0.53
201411,2.78,-0.23
201412,2.63,-0.10
201501,1.83,-0.79
201502,1.04,-1.08
201503,3.28,-0.23
201504,4.75,1.04
201505,2.72,-1.51
201506,7.15,3.10
201507,10.19,6.32
201508,1.59,-1.85
201509,2.17,-0.97
201510,2.06,-0.71
201511,3.14,0.13
201512,5.51,2.78
201601,1.32,-1.30
201602,2.46,0.34
201603,3.84,0.33
201604,4.69,0.98
201605,3.34,-0.89
201606,6.29,2.24
201607,5.50,1.63
201608,7.68,4.24
201609,4.70,1.56
201610,3.02,0.25
201611,2.64,-0.37
201612,1.48,-1.25
201701,4.11,1.49
201702,0.94,-1.18
201703,4.11,0.60
201704,5.20,1.49
201705,8.15,3.92
201706,5.40,1.35
201707,6.63,2.76
201708,1.53,-1.91
201709,0.85,-2.29
201710,3.51,0.74
201711,4.25,1.24
201712,1.14,-1.59
201801,2.10,-0.52
201802,4.50,2.38
201803,3.87,0.36
201804,4.44,0.73
201805,1.91,-2.32
201806,5.54,1.49
201807,3.16,-0.71
201808,5.20,1.76
201809,6.18,3.04
201810,2.78,0.01
201811,3.93,0.92
201812,3.41,0.68
201901,2.98,0.36
201902,4.68,2.56
201903,4.31,0.80
201904,5.32,1.61
201905,4.81,0.58
201906,6.29,2.24
201907,2.95,-0.92
201908,3.73,0.29
201909,0.90,-2.24
201910,4.37,1.60
201911,2.55,-0.46
201912,2.99,0.26
202001,4.76,2.14
