Lynchburg City, Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.49,0.13
200002,1.75,-1.22
200003,2.46,-1.27
200004,4.11,0.82
200005,2.38,-1.26
200006,4.64,0.76
200007,5.87,1.66
200008,4.88,0.63
200009,5.71,2.20
200010,0.00,-3.34
200011,1.48,-1.40
200012,1.83,-1.50
200101,2.31,-1.05
200102,1.60,-1.37
200103,5.01,1.28
200104,1.16,-2.13
200105,4.44,0.80
200106,4.65,0.77
200107,3.97,-0.24
200108,2.71,-1.54
200109,2.44,-1.07
200110,0.99,-2.35
200111,0.37,-2.51
200112,3.16,-0.17
200201,2.28,-1.08
200202,0.91,-2.06
200203,3.88,0.15
200204,2.32,-0.97
200205,3.47,-0.17
200206,1.66,-2.22
200207,4.39,0.18
200208,1.89,-2.36
200209,2.80,-0.71
200210,5.41,2.07
200211,5.81,2.93
200212,4.13,0.80
200301,1.74,-1.62
200302,5.97,3.00
200303,4.51,0.78
200304,4.75,1.46
200305,9.80,6.16
200306,6.99,3.11
200307,7.06,2.85
200308,5.55,1.30
200309,6.63,3.12
200310,2.45,-0.89
200311,4.05,1.17
200312,3.47,0.14
200401,1.81,-1.55
200402,2.04,-0.93
200403,1.79,-1.94
200404,3.30,0.01
200405,2.92,-0.72
200406,4.15,0.27
200407,3.73,-0.48
200408,3.88,-0.37
200409,7.28,3.77
200410,2.57,-0.77
200411,4.92,2.04
200412,2.59,-0.74
200501,3.66,0.30
200502,1.36,-1.61
200503,3.94,0.21
200504,2.53,-0.76
200505,2.57,-1.07
200506,2.33,-1.55
200507,5.09,0.88
200508,2.81,-1.44
200509,0.14,-3.37
200510,7.60,4.26
200511,4.31,1.43
200512,3.22,-0.11
200601,3.22,-0.14
200602,1.83,-1.14
200603,0.76,-2.97
200604,3.22,-0.07
200605,1.77,-1.87
200606,6.14,2.26
200607,2.51,-1.70
200608,3.82,-0.43
200609,7.68,4.17
200610,7.43,4.09
200611,4.81,1.93
200612,1.94,-1.39
200701,3.74,0.38
200702,2.17,-0.80
200703,4.30,0.57
200704,3.40,0.11
200705,3.15,-0.49
200706,3.73,-0.15
200707,3.40,-0.81
200708,1.60,-2.65
200709,1.29,-2.22
200710,5.71,2.37
200711,0.56,-2.32
200712,2.95,-0.38
200801,1.12,-2.24
200802,2.12,-0.85
200803,3.27,-0.46
200804,5.00,1.71
200805,3.42,-0.22
200806,2.37,-1.51
200807,3.36,-0.85
200808,3.43,-0.82
200809,3.02,-0.49
200810,2.17,-1.17
200811,3.49,0.61
200812,4.03,0.70
200901,3.16,-0.20
200902,0.95,-2.02
200903,3.80,0.07
200904,3.27,-0.02
200905,7.04,3.40
200906,4.17,0.29
200907,3.90,-0.31
200908,3.73,-0.52
200909,3.07,-0.44
200910,2.95,-0.39
200911,8.05,5.17
200912,7.73,4.40
201001,4.84,1.48
201002,2.49,-0.48
201003,4.44,0.71
201004,2.49,-0.80
201005,4.24,0.60
201006,2.77,-1.11
201007,2.67,-1.54
201008,6.99,2.74
201009,5.93,2.42
201010,3.52,0.18
201011,1.87,-1.01
201012,2.65,-0.68
201101,1.17,-2.19
201102,1.61,-1.36
201103,4.08,0.35
201104,4.99,1.70
201105,4.01,0.37
201106,3.48,-0.40
201107,2.69,-1.52
201108,3.42,-0.83
201109,6.62,3.11
201110,3.81,0.47
201111,3.72,0.84
201112,5.18,1.85
201201,2.39,-0.97
201202,2.06,-0.91
201203,5.35,1.62
201204,2.77,-0.52
201205,3.84,0.20
201206,2.82,-1.06
201207,3.48,-0.73
201208,4.12,-0.13
201209,2.74,-0.77
201210,2.01,-1.33
201211,0.67,-2.21
201212,2.62,-0.71
201301,6.78,3.42
201302,1.76,-1.21
201303,3.82,0.09
201304,3.74,0.45
201305,6.01,2.37
201306,7.23,3.35
201307,5.32,1.11
201308,4.37,0.12
201309,1.10,-2.41
201310,2.60,-0.74
201311,3.50,0.62
201312,5.87,2.54
201401,3.30,-0.06
201402,3.87,0.90
201403,3.26,-0.47
201404,5.75,2.46
201405,4.72,1.08
201406,3.13,-0.75
201407,4.13,-0.08
201408,5.11,0.86
201409,1.71,-1.80
201410,4.20,0.86
201411,2.94,0.06
201412,3.36,0.03
201501,1.96,-1.40
201502,2.53,-0.44
201503,3.73,0.00
201504,4.60,1.31
201505,1.61,-2.03
201506,5.51,1.63
201507,4.37,0.16
201508,2.62,-1.63
201509,7.57,4.06
201510,4.85,1.51
201511,4.34,1.46
201512,6.01,2.68
201601,3.14,-0.22
201602,4.96,1.99
201603,3.10,-0.63
201604,2.25,-1.04
201605,7.53,3.89
201606,6.24,2.36
201607,4.65,0.44
201608,2.51,-1.74
201609,4.57,1.06
201610,2.66,-0.68
201611,1.38,-1.50
201612,3.29,-0.04
201701,3.75,0.39
201702,0.51,-2.46
201703,2.62,-1.11
201704,5.34,2.05
201705,8.79,5.15
201706,3.04,-0.84
201707,3.54,-0.67
201708,2.42,-1.83
201709,2.20,-1.31
201710,3.63,0.29
201711,1.14,-1.74
201712,0.66,-2.67
201801,3.04,-0.32
201802,5.44,2.47
201803,3.08,-0.65
201804,5.16,1.87
201805,8.30,4.66
201806,4.70,0.82
201807,4.74,0.53
201808,5.05,0.80
201809,9.94,6.43
201810,5.27,1.93
201811,7.27,4.39
201812,7.43,4.10
201901,3.44,0.08
201902,5.19,2.22
201903,3.55,-0.18
201904,4.71,1.42
201905,3.01,-0.63
201906,4.71,0.83
201907,4.09,-0.12
201908,3.24,-1.01
201909,0.70,-2.81
201910,7.14,3.80
201911,2.45,-0.43
201912,3.35,0.02
202001,4.24,0.88
