Brown County, Wisconsin, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.13,-0.24
200002,1.06,-0.16
200003,1.07,-0.86
200004,2.31,-0.32
200005,4.69,1.47
200006,4.55,0.95
200007,4.91,1.61
200008,3.58,0.35
200009,4.36,0.89
200010,0.59,-1.73
200011,1.64,-0.49
200012,1.65,0.19
200101,1.29,-0.08
200102,1.56,0.34
200103,0.39,-1.54
200104,3.68,1.05
200105,5.19,1.97
200106,4.69,1.09
200107,1.25,-2.05
200108,4.10,0.87
200109,2.62,-0.85
200110,1.94,-0.38
200111,1.98,-0.15
200112,1.24,-0.22
200201,0.74,-0.63
200202,1.32,0.10
200203,2.04,0.11
200204,3.54,0.91
200205,3.18,-0.04
200206,4.25,0.65
200207,1.91,-1.39
200208,3.66,0.43
200209,2.85,-0.62
200210,3.53,1.21
200211,0.53,-1.60
200212,0.73,-0.73
200301,0.58,-0.79
200302,0.59,-0.63
200303,2.09,0.16
200304,2.62,-0.01
200305,3.49,0.27
200306,3.60,0.00
200307,4.61,1.31
200308,3.51,0.28
200309,3.63,0.16
200310,1.30,-1.02
200311,4.28,2.15
200312,1.63,0.17
200401,1.35,-0.02
200402,1.56,0.34
200403,3.70,1.77
200404,1.69,-0.94
200405,8.63,5.41
200406,4.69,1.09
200407,2.21,-1.09
200408,2.16,-1.07
200409,0.76,-2.71
200410,3.93,1.61
200411,2.06,-0.07
200412,2.36,0.90
200501,1.86,0.49
200502,1.53,0.31
200503,1.17,-0.76
200504,1.45,-1.18
200505,2.31,-0.91
200506,2.66,-0.94
200507,2.23,-1.07
200508,4.36,1.13
200509,3.13,-0.34
200510,1.69,-0.63
200511,3.61,1.48
200512,1.05,-0.41
200601,2.00,0.63
200602,1.14,-0.08
200603,1.39,-0.54
200604,2.13,-0.50
200605,6.30,3.08
200606,2.39,-1.21
200607,3.38,0.08
200608,1.96,-1.27
200609,3.38,-0.09
200610,3.59,1.27
200611,1.47,-0.66
200612,2.66,1.20
200701,0.93,-0.44
200702,1.33,0.11
200703,2.79,0.86
200704,1.83,-0.80
200705,2.47,-0.75
200706,3.04,-0.56
200707,3.00,-0.30
200708,3.54,0.31
200709,2.70,-0.77
200710,4.11,1.79
200711,0.23,-1.90
200712,2.54,1.08
200801,2.85,1.48
200802,2.22,1.00
200803,1.56,-0.37
200804,4.92,2.29
200805,1.67,-1.55
200806,5.97,2.37
200807,4.50,1.20
200808,1.08,-2.15
200809,1.76,-1.71
200810,2.02,-0.30
200811,1.45,-0.68
200812,3.65,2.19
200901,0.67,-0.70
200902,1.52,0.30
200903,2.23,0.30
200904,2.84,0.21
200905,3.36,0.14
200906,2.41,-1.19
200907,1.34,-1.96
200908,4.10,0.87
200909,1.60,-1.87
200910,5.60,3.28
200911,1.31,-0.82
200912,2.42,0.96
201001,0.66,-0.71
201002,0.83,-0.39
201003,0.53,-1.40
201004,3.44,0.81
201005,2.68,-0.54
201006,6.68,3.08
201007,9.07,5.77
201008,3.59,0.36
201009,4.75,1.28
201010,2.15,-0.17
201011,1.26,-0.87
201012,1.60,0.14
201101,1.20,-0.17
201102,1.16,-0.06
201103,2.81,0.88
201104,5.75,3.12
201105,2.74,-0.48
201106,5.60,2.00
201107,4.17,0.87
201108,1.82,-1.41
201109,4.26,0.79
201110,1.56,-0.76
201111,3.61,1.48
201112,1.30,-0.16
201201,1.24,-0.13
201202,0.99,-0.23
201203,2.53,0.60
201204,2.62,-0.01
201205,4.42,1.20
201206,2.27,-1.33
201207,5.31,2.01
201208,3.41,0.18
201209,1.10,-2.37
201210,5.38,3.06
201211,0.99,-1.14
201212,2.34,0.88
201301,2.42,1.05
201302,2.24,1.02
201303,2.00,0.07
201304,3.48,0.85
201305,3.68,0.46
201306,4.15,0.55
201307,3.23,-0.07
201308,2.65,-0.58
201309,2.62,-0.85
201310,3.47,1.15
201311,3.94,1.81
201312,1.62,0.16
201401,1.22,-0.15
201402,1.16,-0.06
201403,0.96,-0.97
201404,4.69,2.06
201405,3.56,0.34
201406,5.36,1.76
201407,1.61,-1.69
201408,5.03,1.80
201409,4.40,0.93
201410,3.24,0.92
201411,2.57,0.44
201412,1.48,0.02
201501,0.58,-0.79
201502,0.37,-0.85
201503,0.76,-1.17
201504,2.10,-0.53
201505,4.06,0.84
201506,3.36,-0.24
201507,1.85,-1.45
201508,4.18,0.95
201509,5.75,2.28
201510,2.74,0.42
201511,3.03,0.90
201512,5.65,4.19
201601,1.44,0.07
201602,0.93,-0.29
201603,4.13,2.20
201604,1.73,-0.90
201605,2.75,-0.47
201606,4.94,1.34
201607,4.22,0.92
201608,3.22,-0.01
201609,4.69,1.22
201610,2.74,0.42
201611,2.17,0.04
201612,2.30,0.84
201701,2.67,1.30
201702,0.94,-0.28
201703,2.49,0.56
201704,4.28,1.65
201705,3.33,0.11
201706,5.77,2.17
201707,3.65,0.35
201708,4.12,0.89
201709,1.60,-1.87
201710,3.41,1.09
201711,1.31,-0.82
201712,1.22,-0.24
201801,1.27,-0.10
201802,1.33,0.11
201803,0.88,-1.05
201804,4.25,1.62
201805,4.78,1.56
201806,4.16,0.56
201807,3.47,0.17
201808,6.29,3.06
201809,4.53,1.06
201810,4.84,2.52
201811,1.54,-0.59
201812,1.70,0.24
201901,2.25,0.88
201902,2.87,1.65
201903,1.57,-0.36
201904,3.76,1.13
201905,4.88,1.66
201906,4.11,0.51
201907,3.86,0.56
201908,5.04,1.81
201909,8.62,5.15
201910,5.19,2.87
201911,2.76,0.63
201912,2.89,1.43
202001,1.55,0.18
