Lauderdale County, Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.85,-1.68
200002,1.48,-3.90
200003,4.21,-1.96
200004,4.84,-0.48
200005,1.96,-2.43
200006,5.38,1.34
200007,1.30,-4.12
200008,2.63,-1.40
200009,2.91,-0.40
200010,1.18,-1.56
200011,7.07,3.14
200012,4.31,-1.28
200101,6.34,0.81
200102,4.24,-1.14
200103,8.00,1.83
200104,4.55,-0.77
200105,4.06,-0.33
200106,5.94,1.90
200107,3.29,-2.13
200108,7.20,3.17
200109,6.37,3.06
200110,4.59,1.85
200111,6.06,2.13
200112,5.56,-0.03
200201,5.95,0.42
200202,3.21,-2.17
200203,4.75,-1.42
200204,1.94,-3.38
200205,2.30,-2.09
200206,3.10,-0.94
200207,4.97,-0.45
200208,2.56,-1.47
200209,10.43,7.12
200210,7.76,5.02
200211,3.41,-0.52
200212,8.41,2.82
200301,2.13,-3.40
200302,7.70,2.32
200303,4.11,-2.06
200304,9.92,4.60
200305,5.52,1.13
200306,9.28,5.24
200307,8.18,2.76
200308,6.50,2.47
200309,2.87,-0.44
200310,3.24,0.50
200311,5.47,1.54
200312,2.88,-2.71
200401,3.64,-1.89
200402,8.98,3.60
200403,2.02,-4.15
200404,3.15,-2.17
200405,4.14,-0.25
200406,10.16,6.12
200407,5.01,-0.41
200408,4.56,0.53
200409,3.95,0.64
200410,5.44,2.70
200411,9.36,5.43
200412,3.94,-1.65
200501,3.41,-2.12
200502,6.09,0.71
200503,6.45,0.28
200504,7.40,2.08
200505,3.04,-1.35
200506,4.24,0.20
200507,9.49,4.07
200508,4.88,0.85
200509,3.86,0.55
200510,0.11,-2.63
200511,2.36,-1.57
200512,3.84,-1.75
200601,5.59,0.06
200602,6.38,1.00
200603,4.94,-1.23
200604,2.92,-2.40
200605,6.33,1.94
200606,0.92,-3.12
200607,3.70,-1.72
200608,2.58,-1.45
200609,1.53,-1.78
200610,5.56,2.82
200611,2.94,-0.99
200612,5.00,-0.59
200701,3.16,-2.37
200702,2.32,-3.06
200703,0.39,-5.78
200704,3.18,-2.14
200705,2.16,-2.23
200706,2.90,-1.14
200707,7.70,2.28
200708,2.79,-1.24
200709,3.07,-0.24
200710,3.89,1.15
200711,1.98,-1.95
200712,3.37,-2.22
200801,4.41,-1.12
200802,7.32,1.94
200803,3.13,-3.04
200804,3.92,-1.40
200805,5.59,1.20
200806,3.15,-0.89
200807,3.12,-2.30
200808,9.07,5.04
200809,2.59,-0.72
200810,1.55,-1.19
200811,2.60,-1.33
200812,7.10,1.51
200901,3.36,-2.17
200902,3.02,-2.36
200903,8.71,2.54
200904,2.70,-2.62
200905,7.24,2.85
200906,0.40,-3.64
200907,5.11,-0.31
200908,3.53,-0.50
200909,7.82,4.51
200910,5.46,2.72
200911,2.51,-1.42
200912,8.03,2.44
201001,4.58,-0.95
201002,4.10,-1.28
201003,5.44,-0.73
201004,2.97,-2.35
201005,5.40,1.01
201006,2.95,-1.09
201007,3.78,-1.64
201008,3.96,-0.07
201009,0.57,-2.74
201010,2.47,-0.27
201011,5.00,1.07
201012,1.15,-4.44
201101,4.62,-0.91
201102,2.73,-2.65
201103,9.66,3.49
201104,4.81,-0.51
201105,1.15,-3.24
201106,3.28,-0.76
201107,7.99,2.57
201108,1.80,-2.23
201109,8.24,4.93
201110,0.45,-2.29
201111,2.74,-1.19
201112,5.57,-0.02
201201,6.42,0.89
201202,5.97,0.59
201203,7.25,1.08
201204,1.56,-3.76
201205,4.77,0.38
201206,3.17,-0.87
201207,8.00,2.58
201208,9.02,4.99
201209,3.19,-0.12
201210,2.29,-0.45
201211,2.02,-1.91
201212,8.53,2.94
201301,8.23,2.70
201302,8.01,2.63
201303,3.65,-2.52
201304,5.23,-0.09
201305,5.50,1.11
201306,5.48,1.44
201307,5.18,-0.24
201308,5.26,1.23
201309,3.06,-0.25
201310,2.66,-0.08
201311,5.34,1.41
201312,6.69,1.10
201401,1.98,-3.55
201402,6.17,0.79
201403,5.90,-0.27
201404,12.08,6.76
201405,2.85,-1.54
201406,3.61,-0.43
201407,2.59,-2.83
201408,2.73,-1.30
201409,1.50,-1.81
201410,2.19,-0.55
201411,3.50,-0.43
201412,8.14,2.55
201501,5.82,0.29
201502,4.36,-1.02
201503,5.51,-0.66
201504,5.67,0.35
201505,3.01,-1.38
201506,4.69,0.65
201507,4.24,-1.18
201508,3.76,-0.27
201509,2.55,-0.76
201510,5.41,2.67
201511,8.13,4.20
201512,7.02,1.43
201601,3.14,-2.39
201602,4.69,-0.69
201603,10.01,3.84
201604,5.18,-0.14
201605,1.27,-3.12
201606,3.69,-0.35
201607,3.16,-2.26
201608,3.81,-0.22
201609,0.91,-2.40
201610,0.05,-2.69
201611,2.60,-1.33
201612,3.17,-2.42
201701,7.07,1.54
201702,2.37,-3.01
201703,5.26,-0.91
201704,7.45,2.13
201705,4.98,0.59
201706,10.42,6.38
201707,4.90,-0.52
201708,5.35,1.32
201709,1.38,-1.93
201710,2.16,-0.58
201711,1.33,-2.60
201712,3.87,-1.72
201801,2.62,-2.91
201802,9.13,3.75
201803,4.35,-1.82
201804,6.96,1.64
201805,2.55,-1.84
201806,3.27,-0.77
201807,5.21,-0.21
201808,3.48,-0.55
201809,7.21,3.90
201810,1.60,-1.14
201811,7.00,3.07
201812,9.97,4.38
201901,5.59,0.06
201902,6.62,1.24
201903,2.86,-3.31
201904,9.07,3.75
201905,5.81,1.42
201906,3.18,-0.86
201907,3.35,-2.07
201908,4.36,0.33
201909,0.24,-3.07
201910,11.01,8.27
201911,2.63,-1.30
201912,4.23,-1.36
202001,9.43,3.90
