Silver Bow County, Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.04,-0.15
200002,0.99,-0.04
200003,1.04,-0.40
200004,1.01,-0.75
200005,2.76,0.23
200006,0.92,-1.79
200007,0.74,-0.68
200008,0.31,-0.97
200009,1.59,0.09
200010,2.37,1.07
200011,0.82,-0.42
200012,0.51,-0.73
200101,0.45,-0.74
200102,0.51,-0.52
200103,1.08,-0.36
200104,2.00,0.24
200105,1.09,-1.44
200106,3.25,0.54
200107,1.98,0.56
200108,0.47,-0.81
200109,1.33,-0.17
200110,1.45,0.15
200111,0.83,-0.41
200112,0.68,-0.56
200201,0.93,-0.26
200202,0.40,-0.63
200203,1.31,-0.13
200204,1.20,-0.56
200205,1.96,-0.57
200206,2.96,0.25
200207,1.47,0.05
200208,2.54,1.26
200209,1.34,-0.16
200210,0.28,-1.02
200211,0.69,-0.55
200212,0.55,-0.69
200301,1.38,0.19
200302,1.58,0.55
200303,1.12,-0.32
200304,3.63,1.87
200305,1.92,-0.61
200306,1.51,-1.20
200307,0.47,-0.95
200308,1.78,0.50
200309,0.35,-1.15
200310,0.55,-0.75
200311,0.74,-0.50
200312,1.20,-0.04
200401,0.72,-0.47
200402,0.83,-0.20
200403,0.54,-0.90
200404,2.14,0.38
200405,3.01,0.48
200406,2.45,-0.26
200407,1.06,-0.36
200408,1.96,0.68
200409,1.69,0.19
200410,0.57,-0.73
200411,0.33,-0.91
200412,0.91,-0.33
200501,0.65,-0.54
200502,0.32,-0.71
200503,1.17,-0.27
200504,1.91,0.15
200505,4.05,1.52
200506,3.28,0.57
200507,0.39,-1.03
200508,1.42,0.14
200509,1.62,0.12
200510,1.65,0.35
200511,1.96,0.72
200512,1.12,-0.12
200601,1.02,-0.17
200602,0.53,-0.50
200603,1.03,-0.41
200604,4.04,2.28
200605,1.41,-1.12
200606,3.06,0.35
200607,0.85,-0.57
200608,0.57,-0.71
200609,1.08,-0.42
200610,2.78,1.48
200611,1.24,0.00
200612,0.89,-0.35
200701,0.43,-0.76
200702,1.40,0.37
200703,0.86,-0.58
200704,1.85,0.09
200705,3.63,1.10
200706,2.30,-0.41
200707,1.24,-0.18
200708,0.67,-0.61
200709,2.86,1.36
200710,2.01,0.71
200711,0.98,-0.26
200712,0.88,-0.36
200801,0.95,-0.24
200802,1.15,0.12
200803,0.83,-0.61
200804,1.12,-0.64
200805,2.59,0.06
200806,2.82,0.11
200807,0.83,-0.59
200808,1.04,-0.24
200809,1.19,-0.31
200810,1.34,0.04
200811,1.51,0.27
200812,1.84,0.60
200901,0.71,-0.48
200902,0.37,-0.66
200903,2.16,0.72
200904,1.72,-0.04
200905,1.53,-1.00
200906,3.01,0.30
200907,1.68,0.26
200908,2.18,0.90
200909,0.98,-0.52
200910,2.20,0.90
200911,0.47,-0.77
200912,0.37,-0.87
201001,0.95,-0.24
201002,0.44,-0.59
201003,1.08,-0.36
201004,1.41,-0.35
201005,3.65,1.12
201006,4.70,1.99
201007,1.22,-0.20
201008,2.24,0.96
201009,1.78,0.28
201010,1.22,-0.08
201011,1.55,0.31
201012,1.47,0.23
201101,0.97,-0.22
201102,1.01,-0.02
201103,1.13,-0.31
201104,1.74,-0.02
201105,4.01,1.48
201106,3.65,0.94
201107,1.10,-0.32
201108,0.71,-0.57
201109,0.36,-1.14
201110,1.64,0.34
201111,0.96,-0.28
201112,0.68,-0.56
201201,0.48,-0.71
201202,0.73,-0.30
201203,1.94,0.50
201204,1.98,0.22
201205,1.70,-0.83
201206,1.28,-1.43
201207,1.87,0.45
201208,0.33,-0.95
201209,0.09,-1.41
201210,1.13,-0.17
201211,1.70,0.46
201212,0.57,-0.67
201301,0.68,-0.51
201302,0.37,-0.66
201303,0.36,-1.08
201304,0.63,-1.13
201305,3.27,0.74
201306,1.75,-0.96
201307,0.87,-0.55
201308,1.61,0.33
201309,4.06,2.56
201310,0.97,-0.33
201311,0.36,-0.88
201312,1.13,-0.11
201401,0.82,-0.37
201402,1.75,0.72
201403,2.00,0.56
201404,1.92,0.16
201405,1.34,-1.19
201406,3.48,0.77
201407,0.69,-0.73
201408,3.67,2.39
201409,1.07,-0.43
201410,1.23,-0.07
201411,1.39,0.15
201412,1.67,0.43
201501,0.48,-0.71
201502,0.58,-0.45
201503,0.52,-0.92
201504,1.60,-0.16
201505,2.95,0.42
201506,1.12,-1.59
201507,1.90,0.48
201508,0.67,-0.61
201509,2.14,0.64
201510,1.23,-0.07
201511,2.00,0.76
201512,1.87,0.63
201601,0.67,-0.52
201602,0.67,-0.36
201603,1.16,-0.28
201604,1.92,0.16
201605,2.38,-0.15
201606,0.91,-1.80
201607,0.94,-0.48
201608,0.54,-0.74
201609,1.79,0.29
201610,2.37,1.07
201611,0.71,-0.53
201612,0.96,-0.28
201701,0.85,-0.34
201702,1.40,0.37
201703,1.26,-0.18
201704,2.35,0.59
201705,2.50,-0.03
201706,3.09,0.38
201707,0.76,-0.66
201708,0.21,-1.07
201709,2.35,0.85
201710,0.74,-0.56
201711,1.26,0.02
201712,1.18,-0.06
201801,0.82,-0.37
201802,1.24,0.21
201803,1.17,-0.27
201804,2.91,1.15
201805,3.74,1.21
201806,5.48,2.77
201807,0.29,-1.13
201808,0.99,-0.29
201809,0.80,-0.70
201810,1.29,-0.01
201811,1.23,-0.01
201812,0.63,-0.61
201901,0.72,-0.47
201902,2.49,1.46
201903,1.14,-0.30
201904,2.13,0.37
201905,2.88,0.35
201906,1.53,-1.18
201907,2.14,0.72
201908,1.37,0.09
201909,2.54,1.04
201910,1.48,0.18
201911,0.62,-0.62
201912,0.41,-0.83
202001,0.52,-0.67
