Benson County, North Dakota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.22,-0.26
200002,0.85,0.45
200003,0.48,-0.20
200004,0.83,-0.38
200005,2.35,0.10
200006,4.04,0.77
200007,4.26,1.51
200008,4.28,1.93
200009,2.18,0.51
200010,1.92,0.84
200011,2.35,1.73
200012,0.43,-0.03
200101,0.10,-0.38
200102,0.46,0.06
200103,0.09,-0.59
200104,1.10,-0.11
200105,2.12,-0.13
200106,4.39,1.12
200107,4.93,2.18
200108,1.27,-1.08
200109,0.40,-1.27
200110,1.44,0.36
200111,0.19,-0.43
200112,0.45,-0.01
200201,0.32,-0.16
200202,0.02,-0.38
200203,0.42,-0.26
200204,1.02,-0.19
200205,0.98,-1.27
200206,5.56,2.29
200207,1.80,-0.95
200208,5.87,3.52
200209,1.54,-0.13
200210,0.62,-0.46
200211,0.11,-0.51
200212,0.80,0.34
200301,0.32,-0.16
200302,0.15,-0.25
200303,0.64,-0.04
200304,1.14,-0.07
200305,3.67,1.42
200306,3.69,0.42
200307,2.93,0.18
200308,1.92,-0.43
200309,1.70,0.03
200310,0.51,-0.57
200311,0.53,-0.09
200312,0.65,0.19
200401,0.98,0.50
200402,0.33,-0.07
200403,1.84,1.16
200404,0.59,-0.62
200405,5.26,3.01
200406,2.98,-0.29
200407,2.37,-0.38
200408,1.97,-0.38
200409,2.92,1.25
200410,0.92,-0.16
200411,0.13,-0.49
200412,0.45,-0.01
200501,0.77,0.29
200502,0.06,-0.34
200503,0.32,-0.36
200504,0.50,-0.71
200505,2.74,0.49
200506,8.47,5.20
200507,2.81,0.06
200508,2.13,-0.22
200509,0.32,-1.35
200510,1.82,0.74
200511,1.39,0.77
200512,0.66,0.20
200601,0.21,-0.27
200602,0.67,0.27
200603,0.73,0.05
200604,1.05,-0.16
200605,1.33,-0.92
200606,1.67,-1.60
200607,1.20,-1.55
200608,2.54,0.19
200609,1.04,-0.63
200610,0.89,-0.19
200611,0.07,-0.55
200612,0.75,0.29
200701,0.17,-0.31
200702,0.62,0.22
200703,1.33,0.65
200704,0.27,-0.94
200705,6.12,3.87
200706,3.28,0.01
200707,2.98,0.23
200708,2.28,-0.07
200709,0.94,-0.73
200710,0.42,-0.66
200711,0.19,-0.43
200712,0.43,-0.03
200801,0.07,-0.41
200802,0.45,0.05
200803,0.36,-0.32
200804,1.00,-0.21
200805,1.17,-1.08
200806,4.16,0.89
200807,2.31,-0.44
200808,3.93,1.58
200809,3.52,1.85
200810,2.92,1.84
200811,2.46,1.84
200812,1.30,0.84
200901,0.34,-0.14
200902,1.09,0.69
200903,1.03,0.35
200904,1.16,-0.05
200905,2.11,-0.14
200906,2.91,-0.36
200907,1.48,-1.27
200908,1.89,-0.46
200909,2.62,0.95
200910,2.63,1.55
200911,0.05,-0.57
200912,1.01,0.55
201001,0.83,0.35
201002,0.38,-0.02
201003,1.07,0.39
201004,2.23,1.02
201005,3.28,1.03
201006,4.41,1.14
201007,3.34,0.59
201008,2.04,-0.31
201009,4.29,2.62
201010,0.99,-0.09
201011,0.24,-0.38
201012,1.25,0.79
201101,0.88,0.40
201102,0.08,-0.32
201103,1.27,0.59
201104,1.43,0.22
201105,2.51,0.26
201106,3.40,0.13
201107,3.58,0.83
201108,2.59,0.24
201109,2.58,0.91
201110,1.06,-0.02
201111,0.27,-0.35
201112,0.30,-0.16
201201,0.34,-0.14
201202,0.39,-0.01
201203,0.37,-0.31
201204,1.61,0.40
201205,1.63,-0.62
201206,2.96,-0.31
201207,2.29,-0.46
201208,2.01,-0.34
201209,0.32,-1.35
201210,3.06,1.98
201211,0.58,-0.04
201212,0.21,-0.25
201301,0.15,-0.33
201302,0.41,0.01
201303,1.38,0.70
201304,0.74,-0.47
201305,5.59,3.34
201306,4.18,0.91
201307,2.14,-0.61
201308,1.73,-0.62
201309,1.72,0.05
201310,2.81,1.73
201311,0.12,-0.50
201312,0.76,0.30
201401,0.37,-0.11
201402,0.03,-0.37
201403,0.24,-0.44
201404,1.84,0.63
201405,2.74,0.49
201406,4.82,1.55
201407,2.32,-0.43
201408,2.32,-0.03
201409,1.16,-0.51
201410,0.54,-0.54
201411,0.38,-0.24
201412,0.02,-0.44
201501,0.45,-0.03
201502,0.27,-0.13
201503,0.24,-0.44
201504,0.34,-0.87
201505,3.82,1.57
201506,2.90,-0.37
201507,3.31,0.56
201508,1.06,-1.29
201509,1.93,0.26
201510,1.44,0.36
201511,0.29,-0.33
201512,0.42,-0.04
201601,0.05,-0.43
201602,0.27,-0.13
201603,0.34,-0.34
201604,1.76,0.55
201605,2.07,-0.18
201606,3.04,-0.23
201607,5.59,2.84
201608,3.21,0.86
201609,3.39,1.72
201610,0.55,-0.53
201611,0.29,-0.33
201612,0.40,-0.06
201701,0.21,-0.27
201702,0.14,-0.26
201703,0.39,-0.29
201704,0.87,-0.34
201705,0.92,-1.33
201706,4.44,1.17
201707,1.16,-1.59
201708,3.16,0.81
201709,2.06,0.39
201710,0.06,-1.02
201711,0.17,-0.45
201712,0.27,-0.19
201801,0.07,-0.41
201802,0.11,-0.29
201803,1.23,0.55
201804,0.05,-1.16
201805,1.54,-0.71
201806,5.73,2.46
201807,1.94,-0.81
201808,1.13,-1.22
201809,1.20,-0.47
201810,1.19,0.11
201811,0.44,-0.18
201812,0.57,0.11
201901,0.13,-0.35
201902,0.79,0.39
201903,0.14,-0.54
201904,1.01,-0.20
201905,1.24,-1.01
201906,4.53,1.26
201907,2.34,-0.41
201908,2.44,0.09
201909,6.28,4.61
201910,1.84,0.76
201911,0.28,-0.34
201912,0.34,-0.12
202001,0.34,-0.14
