Lane County, Oregon, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,11.78,2.08
200002,8.57,0.79
200003,5.11,-2.05
200004,4.01,-0.74
200005,4.60,1.00
200006,2.06,-0.28
200007,0.42,-0.25
200008,0.05,-0.77
200009,1.22,-1.08
200010,4.74,-0.30
200011,3.88,-5.78
200012,6.54,-3.50
200101,3.34,-6.36
200102,3.10,-4.68
200103,5.41,-1.75
200104,4.85,0.10
200105,2.68,-0.92
200106,2.76,0.42
200107,0.69,0.02
200108,0.70,-0.12
200109,0.89,-1.41
200110,5.48,0.44
200111,10.86,1.20
200112,12.42,2.38
200201,11.52,1.82
200202,4.48,-3.30
200203,6.95,-0.21
200204,5.03,0.28
200205,2.01,-1.59
200206,1.35,-0.99
200207,0.10,-0.57
200208,0.31,-0.51
200209,1.83,-0.47
200210,0.91,-4.13
200211,5.88,-3.78
200212,14.07,4.03
200301,9.79,0.09
200302,4.64,-3.14
200303,10.26,3.10
200304,7.63,2.88
200305,2.36,-1.24
200306,0.26,-2.08
200307,0.02,-0.65
200308,0.52,-0.30
200309,2.11,-0.19
200310,3.01,-2.03
200311,8.88,-0.78
200312,15.12,5.08
200401,11.33,1.63
200402,6.71,-1.07
200403,3.74,-3.42
200404,3.88,-0.87
200405,4.62,1.02
200406,2.12,-0.22
200407,0.09,-0.58
200408,2.78,1.96
200409,3.23,0.93
200410,6.06,1.02
200411,3.19,-6.47
200412,8.51,-1.53
200501,3.53,-6.17
200502,2.40,-5.38
200503,6.91,-0.25
200504,5.44,0.69
200505,7.51,3.91
200506,3.24,0.90
200507,0.43,-0.24
200508,0.14,-0.68
200509,1.21,-1.09
200510,4.80,-0.24
200511,10.39,0.73
200512,14.70,4.66
200601,18.09,8.39
200602,4.62,-3.16
200603,6.95,-0.21
200604,4.29,-0.46
200605,3.96,0.36
200606,2.68,0.34
200607,0.23,-0.44
200608,0.07,-0.75
200609,1.51,-0.79
200610,1.95,-3.09
200611,18.04,8.38
200612,11.62,1.58
200701,6.36,-3.34
200702,9.48,1.70
200703,5.10,-2.06
200704,4.50,-0.25
200705,1.82,-1.78
200706,1.63,-0.71
200707,0.80,0.13
200708,0.78,-0.04
200709,1.98,-0.32
200710,6.85,1.81
200711,8.12,-1.54
200712,12.74,2.70
200801,12.80,3.10
200802,5.18,-2.60
200803,8.28,1.12
200804,5.01,0.26
200805,2.14,-1.46
200806,1.98,-0.36
200807,0.08,-0.59
200808,1.43,0.61
200809,0.37,-1.93
200810,3.12,-1.92
200811,8.12,-1.54
200812,11.30,1.26
200901,5.52,-4.18
200902,5.01,-2.77
200903,7.98,0.82
200904,3.86,-0.89
200905,4.63,1.03
200906,2.02,-0.32
200907,0.32,-0.35
200908,0.45,-0.37
200909,1.63,-0.67
200910,6.56,1.52
200911,8.65,-1.01
200912,6.91,-3.13
201001,7.75,-1.95
201002,5.20,-2.58
201003,8.20,1.04
201004,7.83,3.08
201005,5.30,1.70
201006,5.21,2.87
201007,0.13,-0.54
201008,0.80,-0.02
201009,3.19,0.89
201010,6.97,1.93
201011,10.18,0.52
201012,13.44,3.40
201101,6.71,-2.99
201102,6.96,-0.82
201103,11.88,4.72
201104,8.29,3.54
201105,5.05,1.45
201106,2.05,-0.29
201107,1.91,1.24
201108,0.03,-0.79
201109,0.34,-1.96
201110,3.79,-1.25
201111,7.71,-1.95
201112,6.76,-3.28
201201,12.60,2.90
201202,7.33,-0.45
201203,15.82,8.66
201204,6.89,2.14
201205,4.11,0.51
201206,5.04,2.70
201207,0.49,-0.18
201208,0.13,-0.69
201209,0.11,-2.19
201210,8.00,2.96
201211,12.33,2.67
201212,14.29,4.25
201301,5.54,-4.16
201302,3.99,-3.79
201303,3.94,-3.22
201304,4.83,0.08
201305,4.06,0.46
201306,1.99,-0.35
201307,0.11,-0.56
201308,1.16,0.34
201309,8.53,6.23
201310,1.79,-3.25
201311,5.49,-4.17
201312,3.57,-6.47
201401,5.51,-4.19
201402,13.91,6.13
201403,12.10,4.94
201404,4.99,0.24
201405,4.35,0.75
201406,2.11,-0.23
201407,0.71,0.04
201408,0.57,-0.25
201409,2.03,-0.27
201410,7.90,2.86
201411,9.90,0.24
201412,13.45,3.41
201501,3.52,-6.18
201502,7.24,-0.54
201503,4.95,-2.21
201504,3.57,-1.18
201505,2.28,-1.32
201506,0.63,-1.71
201507,0.25,-0.42
201508,0.65,-0.17
201509,1.49,-0.81
201510,3.53,-1.51
201511,8.04,-1.62
201512,20.96,10.92
201601,10.25,0.55
201602,5.25,-2.53
201603,10.41,3.25
201604,4.48,-0.27
201605,1.84,-1.76
201606,1.53,-0.81
201607,1.20,0.53
201608,0.04,-0.78
201609,1.03,-1.27
201610,16.15,11.11
201611,8.10,-1.56
201612,10.66,0.62
201701,8.03,-1.67
201702,13.24,5.46
201703,12.39,5.23
201704,7.66,2.91
201705,3.01,-0.59
201706,2.34,0.00
201707,0.02,-0.65
201708,0.13,-0.69
201709,3.16,0.86
201710,7.61,2.57
201711,10.93,1.27
201712,4.17,-5.87
201801,8.41,-1.29
201802,4.73,-3.05
201803,5.84,-1.32
201804,6.55,1.80
201805,0.83,-2.77
201806,1.86,-0.48
201807,0.01,-0.66
201808,0.13,-0.69
201809,0.41,-1.89
201810,3.96,-1.08
201811,5.59,-4.07
201812,9.93,-0.11
201901,5.97,-3.73
201902,11.87,4.09
201903,3.23,-3.93
201904,11.32,6.57
201905,2.79,-0.81
201906,0.88,-1.46
201907,0.30,-0.37
201908,0.82,0.00
201909,5.72,3.42
201910,3.06,-1.98
201911,2.32,-7.34
201912,6.19,-3.85
202001,13.22,3.52
