Richmond City, Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.79,0.38
200002,1.70,-1.26
200003,3.70,-0.06
200004,5.22,1.95
200005,3.46,-0.31
200006,5.17,1.35
200007,4.76,0.21
200008,5.50,0.78
200009,3.51,-0.11
200010,0.04,-3.12
200011,1.76,-1.07
200012,2.65,-0.55
200101,2.40,-1.01
200102,2.53,-0.43
200103,4.67,0.91
200104,1.66,-1.61
200105,2.73,-1.04
200106,5.15,1.33
200107,3.86,-0.69
200108,5.17,0.45
200109,2.15,-1.47
200110,0.60,-2.56
200111,0.22,-2.61
200112,1.97,-1.23
200201,3.37,-0.04
200202,0.93,-2.03
200203,4.18,0.42
200204,2.69,-0.58
200205,3.46,-0.31
200206,2.02,-1.80
200207,1.78,-2.77
200208,2.70,-2.02
200209,2.81,-0.81
200210,6.36,3.20
200211,4.56,1.73
200212,3.81,0.61
200301,2.04,-1.37
200302,4.94,1.98
200303,5.70,1.94
200304,4.72,1.45
200305,8.78,5.01
200306,5.46,1.64
200307,8.26,3.71
200308,5.25,0.53
200309,10.50,6.88
200310,2.53,-0.63
200311,3.54,0.71
200312,4.71,1.51
200401,1.80,-1.61
200402,1.90,-1.06
200403,2.18,-1.58
200404,3.88,0.61
200405,4.34,0.57
200406,7.36,3.54
200407,6.95,2.40
200408,15.22,10.50
200409,6.15,2.53
200410,1.64,-1.52
200411,3.83,1.00
200412,2.20,-1.00
200501,3.49,0.08
200502,1.55,-1.41
200503,3.58,-0.18
200504,2.28,-0.99
200505,3.88,0.11
200506,1.02,-2.80
200507,6.44,1.89
200508,2.52,-2.20
200509,0.14,-3.48
200510,5.20,2.04
200511,3.30,0.47
200512,4.85,1.65
200601,3.17,-0.24
200602,1.72,-1.24
200603,0.36,-3.40
200604,2.65,-0.62
200605,2.96,-0.81
200606,6.42,2.60
200607,4.05,-0.50
200608,3.99,-0.73
200609,8.34,4.72
200610,7.39,4.23
200611,7.60,4.77
200612,1.49,-1.71
200701,4.39,0.98
200702,2.28,-0.68
200703,2.58,-1.18
200704,3.53,0.26
200705,3.31,-0.46
200706,4.20,0.38
200707,2.34,-2.21
200708,5.74,1.02
200709,0.99,-2.63
200710,4.17,1.01
200711,0.85,-1.98
200712,3.46,0.26
200801,1.24,-2.17
200802,3.09,0.13
200803,3.11,-0.65
200804,8.05,4.78
200805,4.99,1.22
200806,2.46,-1.36
200807,4.46,-0.09
200808,4.70,-0.02
200809,6.37,2.75
200810,1.43,-1.73
200811,3.75,0.92
200812,4.48,1.28
200901,1.75,-1.66
200902,0.57,-2.39
200903,4.46,0.70
200904,2.64,-0.63
200905,4.39,0.62
200906,5.12,1.30
200907,3.36,-1.19
200908,3.78,-0.94
200909,3.27,-0.35
200910,3.83,0.67
200911,10.24,7.41
200912,8.81,5.61
201001,4.06,0.65
201002,3.39,0.43
201003,5.68,1.92
201004,1.61,-1.66
201005,3.40,-0.37
201006,1.61,-2.21
201007,2.12,-2.43
201008,4.14,-0.58
201009,5.96,2.34
201010,3.69,0.53
201011,1.45,-1.38
201012,3.08,-0.12
201101,2.20,-1.21
201102,1.55,-1.41
201103,4.57,0.81
201104,2.52,-0.75
201105,3.86,0.09
201106,3.56,-0.26
201107,6.05,1.50
201108,5.71,0.99
201109,8.10,4.48
201110,3.11,-0.05
201111,3.91,1.08
201112,2.63,-0.57
201201,1.86,-1.55
201202,3.21,0.25
201203,3.18,-0.58
201204,2.86,-0.41
201205,3.85,0.08
201206,2.64,-1.18
201207,4.37,-0.18
201208,3.53,-1.19
201209,4.01,0.39
201210,4.12,0.96
201211,0.26,-2.57
201212,3.19,-0.01
201301,5.84,2.43
201302,2.47,-0.49
201303,4.92,1.16
201304,3.60,0.33
201305,3.76,-0.01
201306,7.49,3.67
201307,6.07,1.52
201308,6.45,1.73
201309,1.68,-1.94
201310,3.94,0.78
201311,3.17,0.34
201312,6.17,2.97
201401,3.16,-0.25
201402,3.26,0.30
201403,3.23,-0.53
201404,5.36,2.09
201405,3.39,-0.38
201406,3.66,-0.16
201407,2.70,-1.85
201408,4.14,-0.58
201409,2.09,-1.53
201410,2.67,-0.49
201411,3.15,0.32
201412,3.17,-0.03
201501,3.42,0.01
201502,3.45,0.49
201503,3.69,-0.07
201504,4.46,1.19
201505,1.59,-2.18
201506,8.82,5.00
201507,5.23,0.68
201508,2.93,-1.79
201509,4.29,0.67
201510,4.08,0.92
201511,4.13,1.30
201512,6.07,2.87
201601,3.27,-0.14
201602,4.44,1.48
201603,1.21,-2.55
201604,2.61,-0.66
201605,10.22,6.45
201606,5.53,1.71
201607,4.38,-0.17
201608,2.22,-2.50
201609,8.39,4.77
201610,4.48,1.32
201611,1.37,-1.46
201612,2.92,-0.28
201701,4.42,1.01
201702,0.79,-2.17
201703,3.23,-0.53
201704,3.05,-0.22
201705,6.94,3.17
201706,3.65,-0.17
201707,3.32,-1.23
201708,5.67,0.95
201709,2.16,-1.46
201710,4.51,1.35
201711,1.58,-1.25
201712,1.04,-2.16
201801,3.31,-0.10
201802,2.90,-0.06
201803,2.54,-1.22
201804,4.01,0.74
201805,9.73,5.96
201806,8.41,4.59
201807,5.73,1.18
201808,4.09,-0.63
201809,5.41,1.79
201810,6.71,3.55
201811,5.87,3.04
201812,3.57,0.37
201901,3.01,-0.40
201902,4.46,1.50
201903,3.73,-0.03
201904,3.48,0.21
201905,3.89,0.12
201906,5.47,1.65
201907,4.92,0.37
201908,3.54,-1.18
201909,0.53,-3.09
201910,4.78,1.62
201911,2.00,-0.83
201912,3.30,0.10
202001,3.27,-0.14
