McHenry County, Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.33,-0.37
200002,1.64,0.30
200003,1.16,-1.21
200004,4.14,0.90
200005,6.27,2.61
200006,7.66,3.62
200007,4.33,0.73
200008,2.85,-0.70
200009,5.65,1.95
200010,1.31,-1.33
200011,2.91,0.58
200012,2.09,0.27
200101,1.31,-0.39
200102,2.70,1.36
200103,0.88,-1.49
200104,3.23,-0.01
200105,4.12,0.46
200106,3.68,-0.36
200107,2.09,-1.51
200108,4.40,0.85
200109,6.86,3.16
200110,5.68,3.04
200111,1.68,-0.65
200112,1.03,-0.79
200201,0.92,-0.78
200202,1.39,0.05
200203,1.72,-0.65
200204,3.65,0.41
200205,3.15,-0.51
200206,4.43,0.39
200207,1.08,-2.52
200208,7.57,4.02
200209,3.55,-0.15
200210,2.53,-0.11
200211,0.81,-1.52
200212,0.76,-1.06
200301,0.41,-1.29
200302,0.19,-1.15
200303,1.35,-1.02
200304,1.86,-1.38
200305,6.06,2.40
200306,2.03,-2.01
200307,5.31,1.71
200308,1.49,-2.06
200309,2.03,-1.67
200310,1.60,-1.04
200311,4.89,2.56
200312,2.60,0.78
200401,0.76,-0.94
200402,0.90,-0.44
200403,4.50,2.13
200404,1.81,-1.43
200405,9.11,5.45
200406,4.67,0.63
200407,2.66,-0.94
200408,3.50,-0.05
200409,0.65,-3.05
200410,2.52,-0.12
200411,3.03,0.70
200412,1.35,-0.47
200501,3.62,1.92
200502,2.08,0.74
200503,0.80,-1.57
200504,1.83,-1.41
200505,2.39,-1.27
200506,1.29,-2.75
200507,2.08,-1.52
200508,3.64,0.09
200509,2.83,-0.87
200510,0.52,-2.12
200511,2.98,0.65
200512,1.17,-0.65
200601,2.68,0.98
200602,0.87,-0.47
200603,3.46,1.09
200604,3.56,0.32
200605,4.40,0.74
200606,3.92,-0.12
200607,4.00,0.40
200608,3.74,0.19
200609,3.43,-0.27
200610,4.17,1.53
200611,2.45,0.12
200612,2.80,0.98
200701,1.24,-0.46
200702,2.00,0.66
200703,2.89,0.52
200704,3.95,0.71
200705,1.70,-1.96
200706,5.06,1.02
200707,5.34,1.74
200708,12.32,8.77
200709,1.38,-2.32
200710,2.58,-0.06
200711,0.53,-1.80
200712,3.26,1.44
200801,1.54,-0.16
200802,3.80,2.46
200803,2.39,0.02
200804,4.82,1.58
200805,3.09,-0.57
200806,5.69,1.65
200807,6.01,2.41
200808,1.71,-1.84
200809,7.63,3.93
200810,2.41,-0.23
200811,1.25,-1.08
200812,4.87,3.05
200901,1.09,-0.61
200902,2.34,1.00
200903,4.30,1.93
200904,4.73,1.49
200905,4.32,0.66
200906,6.03,1.99
200907,2.09,-1.51
200908,5.36,1.81
200909,1.21,-2.49
200910,6.38,3.74
200911,1.70,-0.63
200912,3.75,1.93
201001,0.85,-0.85
201002,0.98,-0.36
201003,1.52,-0.85
201004,3.05,-0.19
201005,5.47,1.81
201006,6.75,2.71
201007,7.41,3.81
201008,2.63,-0.92
201009,2.73,-0.97
201010,1.65,-0.99
201011,1.18,-1.15
201012,1.37,-0.45
201101,0.84,-0.86
201102,2.43,1.09
201103,3.25,0.88
201104,4.56,1.32
201105,5.00,1.34
201106,3.12,-0.92
201107,6.92,3.32
201108,3.70,0.15
201109,4.06,0.36
201110,1.80,-0.84
201111,3.47,1.14
201112,2.41,0.59
201201,1.36,-0.34
201202,1.60,0.26
201203,2.59,0.22
201204,3.56,0.32
201205,2.66,-1.00
201206,1.41,-2.63
201207,2.94,-0.66
201208,2.11,-1.44
201209,1.81,-1.89
201210,3.18,0.54
201211,0.64,-1.69
201212,2.67,0.85
201301,3.76,2.06
201302,2.83,1.49
201303,1.95,-0.42
201304,7.56,4.32
201305,3.33,-0.33
201306,8.16,4.12
201307,2.33,-1.27
201308,2.77,-0.78
201309,2.39,-1.31
201310,2.38,-0.26
201311,2.92,0.59
201312,1.51,-0.31
201401,1.92,0.22
201402,1.73,0.39
201403,1.10,-1.27
201404,3.27,0.03
201405,4.09,0.43
201406,6.95,2.91
201407,3.27,-0.33
201408,5.82,2.27
201409,3.00,-0.70
201410,2.87,0.23
201411,1.58,-0.75
201412,0.75,-1.07
201501,1.08,-0.62
201502,0.95,-0.39
201503,1.13,-1.24
201504,3.47,0.23
201505,4.50,0.84
201506,6.11,2.07
201507,4.73,1.13
201508,3.11,-0.44
201509,4.39,0.69
201510,1.44,-1.20
201511,5.08,2.75
201512,5.61,3.79
201601,0.53,-1.17
201602,0.73,-0.61
201603,3.03,0.66
201604,2.54,-0.70
201605,3.83,0.17
201606,2.91,-1.13
201607,4.99,1.39
201608,3.85,0.30
201609,3.00,-0.70
201610,3.03,0.39
201611,2.72,0.39
201612,1.82,0.00
201701,2.67,0.97
201702,1.30,-0.04
201703,3.82,1.45
201704,5.05,1.81
201705,4.56,0.90
201706,6.85,2.81
201707,8.44,4.84
201708,2.26,-1.29
201709,0.24,-3.46
201710,6.64,4.00
201711,1.46,-0.87
201712,0.50,-1.32
201801,1.79,0.09
201802,3.04,1.70
201803,0.82,-1.55
201804,2.07,-1.17
201805,5.56,1.90
201806,8.28,4.24
201807,1.87,-1.73
201808,5.42,1.87
201809,6.88,3.18
201810,5.88,3.24
201811,2.55,0.22
201812,1.62,-0.20
201901,2.29,0.59
201902,3.30,1.96
201903,1.82,-0.55
201904,3.45,0.21
201905,7.28,3.62
201906,3.59,-0.45
201907,4.37,0.77
201908,3.76,0.21
201909,9.52,5.82
201910,5.65,3.01
201911,1.69,-0.64
201912,2.10,0.28
202001,2.35,0.65
