Bethel Census Area, Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.02,0.90
200002,1.10,0.08
200003,0.96,-0.15
200004,0.36,-0.48
200005,0.45,-0.63
200006,1.59,-0.18
200007,4.29,1.66
200008,4.03,0.18
200009,3.58,0.64
200010,1.38,-0.48
200011,2.95,1.39
200012,1.60,0.29
200101,1.33,0.21
200102,1.97,0.95
200103,1.08,-0.03
200104,2.41,1.57
200105,0.71,-0.37
200106,0.98,-0.79
200107,4.39,1.76
200108,5.20,1.35
200109,1.66,-1.28
200110,2.72,0.86
200111,0.24,-1.32
200112,1.03,-0.28
200201,2.23,1.11
200202,1.24,0.22
200203,0.47,-0.64
200204,1.56,0.72
200205,2.80,1.72
200206,2.01,0.24
200207,2.09,-0.54
200208,2.17,-1.68
200209,4.71,1.77
200210,2.71,0.85
200211,2.00,0.44
200212,0.73,-0.58
200301,0.44,-0.68
200302,2.48,1.46
200303,0.51,-0.60
200304,1.62,0.78
200305,1.79,0.71
200306,2.58,0.81
200307,3.31,0.68
200308,4.84,0.99
200309,1.58,-1.36
200310,1.73,-0.13
200311,4.73,3.17
200312,1.24,-0.07
200401,0.23,-0.89
200402,0.79,-0.23
200403,0.91,-0.20
200404,0.88,0.04
200405,2.52,1.44
200406,2.30,0.53
200407,2.58,-0.05
200408,2.00,-1.85
200409,3.88,0.94
200410,3.32,1.46
200411,3.31,1.75
200412,1.69,0.38
200501,0.92,-0.20
200502,1.28,0.26
200503,0.72,-0.39
200504,0.46,-0.38
200505,1.83,0.75
200506,2.09,0.32
200507,2.20,-0.43
200508,3.55,-0.30
200509,6.12,3.18
200510,3.32,1.46
200511,1.76,0.20
200512,1.77,0.46
200601,0.33,-0.79
200602,1.42,0.40
200603,1.22,0.11
200604,1.73,0.89
200605,1.22,0.14
200606,2.14,0.37
200607,2.02,-0.61
200608,5.02,1.17
200609,3.31,0.37
200610,4.67,2.81
200611,1.29,-0.27
200612,1.02,-0.29
200701,1.34,0.22
200702,0.39,-0.63
200703,0.51,-0.60
200704,0.52,-0.32
200705,1.07,-0.01
200706,2.06,0.29
200707,3.56,0.93
200708,3.38,-0.47
200709,6.66,3.72
200710,2.17,0.31
200711,2.39,0.83
200712,1.78,0.47
200801,2.74,1.62
200802,0.88,-0.14
200803,1.79,0.68
200804,1.16,0.32
200805,0.97,-0.11
200806,2.91,1.14
200807,3.37,0.74
200808,1.84,-2.01
200809,3.80,0.86
200810,2.66,0.80
200811,1.34,-0.22
200812,1.93,0.62
200901,2.82,1.70
200902,2.81,1.79
200903,1.71,0.60
200904,1.23,0.39
200905,0.90,-0.18
200906,1.76,-0.01
200907,3.58,0.95
200908,2.61,-1.24
200909,2.42,-0.52
200910,2.85,0.99
200911,1.59,0.03
200912,0.63,-0.68
201001,0.71,-0.41
201002,0.63,-0.39
201003,0.48,-0.63
201004,0.98,0.14
201005,0.55,-0.53
201006,2.27,0.50
201007,4.40,1.77
201008,4.41,0.56
201009,2.43,-0.51
201010,1.55,-0.31
201011,2.95,1.39
201012,1.37,0.06
201101,1.08,-0.04
201102,1.57,0.55
201103,0.18,-0.93
201104,1.33,0.49
201105,0.48,-0.60
201106,2.05,0.28
201107,3.23,0.60
201108,4.95,1.10
201109,1.43,-1.51
201110,2.14,0.28
201111,2.59,1.03
201112,1.98,0.67
201201,0.57,-0.55
201202,1.58,0.56
201203,1.31,0.20
201204,0.53,-0.31
201205,0.79,-0.29
201206,3.07,1.30
201207,4.41,1.78
201208,3.93,0.08
201209,4.89,1.95
201210,2.12,0.26
201211,1.21,-0.35
201212,1.40,0.09
201301,2.04,0.92
201302,1.27,0.25
201303,0.99,-0.12
201304,0.12,-0.72
201305,0.50,-0.58
201306,1.69,-0.08
201307,2.47,-0.16
201308,3.96,0.11
201309,3.30,0.36
201310,5.37,3.51
201311,2.97,1.41
201312,1.94,0.63
201401,1.76,0.64
201402,0.46,-0.56
201403,0.65,-0.46
201404,0.39,-0.45
201405,1.32,0.24
201406,2.33,0.56
201407,3.20,0.57
201408,2.77,-1.08
201409,1.67,-1.27
201410,1.76,-0.10
201411,1.57,0.01
201412,1.81,0.50
201501,0.62,-0.50
201502,0.65,-0.37
201503,0.75,-0.36
201504,1.33,0.49
201505,1.83,0.75
201506,0.85,-0.92
201507,2.87,0.24
201508,3.15,-0.70
201509,5.88,2.94
201510,1.43,-0.43
201511,3.07,1.51
201512,0.91,-0.40
201601,0.32,-0.80
201602,0.39,-0.63
201603,1.49,0.38
201604,0.78,-0.06
201605,1.83,0.75
201606,2.37,0.60
201607,3.85,1.22
201608,4.43,0.58
201609,4.54,1.60
201610,0.92,-0.94
201611,0.92,-0.64
201612,0.60,-0.71
201701,1.33,0.21
201702,1.00,-0.02
201703,0.25,-0.86
201704,0.49,-0.35
201705,2.11,1.03
201706,1.71,-0.06
201707,3.40,0.77
201708,4.97,1.12
201709,3.64,0.70
201710,4.62,2.76
201711,1.96,0.40
201712,1.38,0.07
201801,0.56,-0.56
201802,1.94,0.92
201803,1.03,-0.08
201804,1.61,0.77
201805,1.51,0.43
201806,3.23,1.46
201807,2.22,-0.41
201808,6.31,2.46
201809,2.22,-0.72
201810,2.38,0.52
201811,1.64,0.08
201812,1.15,-0.16
201901,1.15,0.03
201902,2.58,1.56
201903,1.32,0.21
201904,0.63,-0.21
201905,1.88,0.80
201906,1.32,-0.45
201907,2.91,0.28
201908,2.68,-1.17
201909,5.42,2.48
201910,3.41,1.55
201911,3.93,2.37
201912,1.24,-0.07
202001,0.53,-0.59
