Sonoma County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,8.33,-0.79
200002,15.29,7.67
200003,3.28,-2.44
200004,3.10,0.38
200005,1.86,0.72
200006,0.37,0.05
200007,0.00,-0.01
200008,0.01,-0.06
200009,0.37,-0.02
200010,3.63,1.49
200011,1.60,-3.61
200012,1.34,-6.22
200101,7.26,-1.86
200102,9.22,1.60
200103,2.85,-2.87
200104,1.31,-1.41
200105,0.00,-1.14
200106,0.53,0.21
200107,0.00,-0.01
200108,0.00,-0.07
200109,0.22,-0.17
200110,1.77,-0.37
200111,10.66,5.45
200112,14.98,7.42
200201,5.85,-3.27
200202,2.70,-4.92
200203,3.59,-2.13
200204,0.64,-2.08
200205,1.03,-0.11
200206,0.00,-0.32
200207,0.00,-0.01
200208,0.01,-0.06
200209,0.00,-0.39
200210,0.03,-2.11
200211,4.40,-0.81
200212,21.36,13.80
200301,6.31,-2.81
200302,2.47,-5.15
200303,3.62,-2.10
200304,7.17,4.45
200305,1.14,0.00
200306,0.01,-0.31
200307,0.03,0.02
200308,0.07,0.00
200309,0.06,-0.33
200310,0.04,-2.10
200311,4.15,-1.06
200312,16.88,9.32
200401,5.49,-3.63
200402,12.37,4.75
200403,1.81,-3.91
200404,1.24,-1.48
200405,0.08,-1.06
200406,0.01,-0.31
200407,0.01,0.00
200408,0.00,-0.07
200409,0.09,-0.30
200410,4.80,2.66
200411,2.76,-2.45
200412,12.96,5.40
200501,6.65,-2.47
200502,5.27,-2.35
200503,7.64,1.92
200504,2.66,-0.06
200505,5.51,4.37
200506,1.00,0.68
200507,0.00,-0.01
200508,0.01,-0.06
200509,0.00,-0.39
200510,1.42,-0.72
200511,3.55,-1.66
200512,21.89,14.33
200601,7.35,-1.77
200602,5.89,-1.73
200603,12.82,7.10
200604,8.90,6.18
200605,0.60,-0.54
200606,0.01,-0.31
200607,0.01,0.00
200608,0.00,-0.07
200609,0.00,-0.39
200610,0.50,-1.64
200611,4.18,-1.03
200612,7.91,0.35
200701,0.64,-8.48
200702,11.19,3.57
200703,0.42,-5.30
200704,2.44,-0.28
200705,0.53,-0.61
200706,0.00,-0.32
200707,0.09,0.08
200708,0.00,-0.07
200709,0.10,-0.29
200710,3.62,1.48
200711,0.76,-4.45
200712,7.01,-0.55
200801,15.81,6.69
200802,4.69,-2.93
200803,0.37,-5.35
200804,0.31,-2.41
200805,0.05,-1.09
200806,0.00,-0.32
200807,0.00,-0.01
200808,0.00,-0.07
200809,0.07,-0.32
200810,1.46,-0.68
200811,3.99,-1.22
200812,4.13,-3.43
200901,0.78,-8.34
200902,10.85,3.23
200903,3.63,-2.09
200904,0.78,-1.94
200905,3.25,2.11
200906,0.04,-0.28
200907,0.01,0.00
200908,0.00,-0.07
200909,0.19,-0.20
200910,4.25,2.11
200911,1.59,-3.62
200912,4.16,-3.40
201001,14.86,5.74
201002,6.41,-1.21
201003,4.32,-1.40
201004,6.90,4.18
201005,2.58,1.44
201006,0.08,-0.24
201007,0.01,0.00
201008,0.01,-0.06
201009,0.11,-0.28
201010,5.43,3.29
201011,4.18,-1.03
201012,12.04,4.48
201101,2.40,-6.72
201102,6.78,-0.84
201103,13.06,7.34
201104,0.71,-2.01
201105,2.61,1.47
201106,1.38,1.06
201107,0.02,0.01
201108,0.00,-0.07
201109,0.01,-0.38
201110,2.46,0.32
201111,3.14,-2.07
201112,0.28,-7.28
201201,8.08,-1.04
201202,2.30,-5.32
201203,10.39,4.67
201204,2.90,0.18
201205,0.24,-0.90
201206,0.04,-0.28
201207,0.01,0.00
201208,0.00,-0.07
201209,0.00,-0.39
201210,2.00,-0.14
201211,10.85,5.64
201212,14.22,6.66
201301,1.22,-7.90
201302,0.56,-7.06
201303,2.33,-3.39
201304,1.67,-1.05
201305,0.29,-0.85
201306,1.21,0.89
201307,0.02,0.01
201308,0.01,-0.06
201309,0.69,0.30
201310,0.00,-2.14
201311,1.51,-3.70
201312,0.61,-6.95
201401,0.25,-8.87
201402,12.65,5.03
201403,5.42,-0.30
201404,1.84,-0.88
201405,0.05,-1.09
201406,0.00,-0.32
201407,0.02,0.01
201408,0.08,0.01
201409,0.89,0.50
201410,1.05,-1.09
201411,4.16,-1.05
201412,17.78,10.22
201501,0.19,-8.93
201502,5.47,-2.15
201503,0.28,-5.44
201504,2.07,-0.65
201505,0.18,-0.96
201506,0.18,-0.14
201507,0.08,0.07
201508,0.06,-0.01
201509,0.62,0.23
201510,0.18,-1.96
201511,2.01,-3.20
201512,10.11,2.55
201601,12.73,3.61
201602,1.33,-6.29
201603,12.23,6.51
201604,1.57,-1.15
201605,0.39,-0.75
201606,0.15,-0.17
201607,0.00,-0.01
201608,0.01,-0.06
201609,0.00,-0.39
201610,8.13,5.99
201611,5.10,-0.11
201612,7.92,0.36
201701,19.58,10.46
201702,15.74,8.12
201703,4.38,-1.34
201704,5.30,2.58
201705,0.06,-1.08
201706,0.42,0.10
201707,0.00,-0.01
201708,0.01,-0.06
201709,0.13,-0.26
201710,0.44,-1.70
201711,6.51,1.30
201712,0.19,-7.37
201801,7.92,-1.20
201802,0.59,-7.03
201803,7.90,2.18
201804,6.49,3.77
201805,0.30,-0.84
201806,0.00,-0.32
201807,0.00,-0.01
201808,0.01,-0.06
201809,0.12,-0.27
201810,1.54,-0.60
201811,6.08,0.87
201812,5.07,-2.49
201901,9.67,0.55
201902,19.45,11.83
201903,8.79,3.07
201904,2.40,-0.32
201905,4.67,3.53
201906,0.00,-0.32
201907,0.00,-0.01
201908,0.02,-0.05
201909,0.20,-0.19
201910,0.05,-2.09
201911,1.59,-3.62
201912,10.99,3.43
202001,3.97,-5.15
