Oktibbeha County, Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.88,-1.28
200002,1.70,-3.14
200003,3.72,-2.15
200004,8.73,3.59
200005,2.17,-2.32
200006,3.84,0.19
200007,0.90,-3.90
200008,1.67,-1.76
200009,1.47,-1.65
200010,1.46,-1.32
200011,9.46,5.41
200012,3.13,-2.14
200101,6.61,1.45
200102,6.10,1.26
200103,7.34,1.47
200104,3.52,-1.62
200105,3.16,-1.33
200106,5.00,1.35
200107,2.55,-2.25
200108,6.12,2.69
200109,4.25,1.13
200110,5.58,2.80
200111,3.66,-0.39
200112,5.54,0.27
200201,5.91,0.75
200202,3.94,-0.90
200203,7.26,1.39
200204,2.67,-2.47
200205,3.43,-1.06
200206,2.39,-1.26
200207,4.95,0.15
200208,3.27,-0.16
200209,9.61,6.49
200210,6.63,3.85
200211,5.23,1.18
200212,5.59,0.32
200301,2.90,-2.26
200302,10.74,5.90
200303,3.97,-1.90
200304,5.78,0.64
200305,6.06,1.57
200306,7.98,4.33
200307,5.02,0.22
200308,7.08,3.65
200309,3.25,0.13
200310,2.85,0.07
200311,6.71,2.66
200312,3.26,-2.01
200401,3.41,-1.75
200402,7.67,2.83
200403,4.10,-1.77
200404,2.99,-2.15
200405,4.69,0.20
200406,10.19,6.54
200407,4.30,-0.50
200408,3.46,0.03
200409,3.99,0.87
200410,5.15,2.37
200411,7.51,3.46
200412,6.26,0.99
200501,3.95,-1.21
200502,5.68,0.84
200503,3.08,-2.79
200504,7.49,2.35
200505,2.91,-1.58
200506,5.03,1.38
200507,9.26,4.46
200508,6.53,3.10
200509,3.74,0.62
200510,0.05,-2.73
200511,2.71,-1.34
200512,4.86,-0.41
200601,6.57,1.41
200602,9.26,4.42
200603,4.28,-1.59
200604,2.84,-2.30
200605,3.20,-1.29
200606,1.45,-2.20
200607,2.59,-2.21
200608,2.51,-0.92
200609,4.62,1.50
200610,8.77,5.99
200611,2.98,-1.07
200612,5.02,-0.25
200701,3.41,-1.75
200702,2.75,-2.09
200703,0.48,-5.39
200704,2.39,-2.75
200705,1.08,-3.41
200706,2.69,-0.96
200707,6.67,1.87
200708,1.83,-1.60
200709,4.61,1.49
200710,4.40,1.62
200711,2.29,-1.76
200712,2.30,-2.97
200801,2.99,-2.17
200802,6.72,1.88
200803,4.12,-1.75
200804,6.11,0.97
200805,4.97,0.48
200806,1.82,-1.83
200807,2.70,-2.10
200808,8.21,4.78
200809,4.13,1.01
200810,2.60,-0.18
200811,2.93,-1.12
200812,11.74,6.47
200901,5.97,0.81
200902,6.37,1.53
200903,7.42,1.55
200904,3.10,-2.04
200905,10.68,6.19
200906,2.86,-0.79
200907,6.86,2.06
200908,4.83,1.40
200909,11.71,8.59
200910,11.54,8.76
200911,2.03,-2.02
200912,6.21,0.94
201001,5.61,0.45
201002,2.29,-2.55
201003,4.22,-1.65
201004,4.07,-1.07
201005,5.72,1.23
201006,3.21,-0.44
201007,2.61,-2.19
201008,3.08,-0.35
201009,1.27,-1.85
201010,1.86,-0.92
201011,6.85,2.80
201012,1.22,-4.05
201101,5.40,0.24
201102,2.38,-2.46
201103,6.49,0.62
201104,11.21,6.07
201105,2.63,-1.86
201106,3.81,0.16
201107,4.36,-0.44
201108,1.58,-1.85
201109,8.31,5.19
201110,1.07,-1.71
201111,3.32,-0.73
201112,6.65,1.38
201201,3.46,-1.70
201202,4.13,-0.71
201203,7.45,1.58
201204,3.16,-1.98
201205,3.91,-0.58
201206,2.22,-1.43
201207,7.66,2.86
201208,6.74,3.31
201209,4.63,1.51
201210,3.92,1.14
201211,2.30,-1.75
201212,7.34,2.07
201301,8.60,3.44
201302,5.99,1.15
201303,6.51,0.64
201304,6.44,1.30
201305,4.65,0.16
201306,3.46,-0.19
201307,3.94,-0.86
201308,2.66,-0.77
201309,4.73,1.61
201310,0.81,-1.97
201311,4.38,0.33
201312,6.21,0.94
201401,2.17,-2.99
201402,6.03,1.19
201403,5.08,-0.79
201404,11.37,6.23
201405,3.42,-1.07
201406,7.76,4.11
201407,2.91,-1.89
201408,2.91,-0.52
201409,1.36,-1.76
201410,4.28,1.50
201411,4.00,-0.05
201412,6.48,1.21
201501,5.73,0.57
201502,4.84,0.00
201503,6.18,0.31
201504,6.51,1.37
201505,5.10,0.61
201506,2.51,-1.14
201507,3.65,-1.15
201508,2.68,-0.75
201509,1.05,-2.07
201510,2.58,-0.20
201511,7.67,3.62
201512,7.02,1.75
201601,3.89,-1.27
201602,7.70,2.86
201603,7.90,2.03
201604,5.00,-0.14
201605,2.74,-1.75
201606,2.85,-0.80
201607,3.16,-1.64
201608,3.58,0.15
201609,1.92,-1.20
201610,0.09,-2.69
201611,3.53,-0.52
201612,4.34,-0.93
201701,4.72,-0.44
201702,3.57,-1.27
201703,4.64,-1.23
201704,4.08,-1.06
201705,6.01,1.52
201706,7.45,3.80
201707,3.25,-1.55
201708,5.86,2.43
201709,3.29,0.17
201710,1.99,-0.79
201711,1.25,-2.80
201712,4.95,-0.32
201801,1.90,-3.26
201802,8.84,4.00
201803,5.16,-0.71
201804,6.41,1.27
201805,2.10,-2.39
201806,3.67,0.02
201807,4.84,0.04
201808,2.64,-0.79
201809,9.44,6.32
201810,2.64,-0.14
201811,6.85,2.80
201812,8.87,3.60
201901,7.08,1.92
201902,8.38,3.54
201903,4.11,-1.76
201904,12.29,7.15
201905,6.98,2.49
201906,4.29,0.64
201907,10.00,5.20
201908,4.93,1.50
201909,0.06,-3.06
201910,11.17,8.39
201911,3.56,-0.49
201912,6.71,1.44
202001,9.45,4.29
