Hocking County, Ohio, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.76,-0.36
200002,4.64,2.03
200003,3.59,-0.30
200004,4.25,0.62
200005,4.66,0.65
200006,4.57,0.53
200007,4.11,-0.24
200008,3.87,0.20
200009,3.44,0.53
200010,1.44,-1.01
200011,1.44,-1.34
200012,3.89,0.98
200101,1.59,-1.53
200102,0.95,-1.66
200103,2.56,-1.33
200104,4.20,0.57
200105,6.66,2.65
200106,3.59,-0.45
200107,4.60,0.25
200108,2.81,-0.86
200109,1.91,-1.00
200110,3.89,1.44
200111,3.67,0.89
200112,2.46,-0.45
200201,2.27,-0.85
200202,0.97,-1.64
200203,4.21,0.32
200204,4.66,1.03
200205,4.30,0.29
200206,5.05,1.01
200207,5.13,0.78
200208,1.35,-2.32
200209,4.17,1.26
200210,4.85,2.40
200211,2.49,-0.29
200212,3.09,0.18
200301,1.81,-1.31
200302,3.66,1.05
200303,1.65,-2.24
200304,2.52,-1.11
200305,6.74,2.73
200306,5.08,1.04
200307,6.51,2.16
200308,4.16,0.49
200309,6.57,3.66
200310,2.28,-0.17
200311,4.35,1.57
200312,3.15,0.24
200401,3.63,0.51
200402,1.90,-0.71
200403,2.93,-0.96
200404,4.12,0.49
200405,8.45,4.44
200406,3.96,-0.08
200407,6.51,2.16
200408,2.77,-0.90
200409,7.79,4.88
200410,3.24,0.79
200411,3.83,1.05
200412,3.35,0.44
200501,7.50,4.38
200502,1.25,-1.36
200503,3.87,-0.02
200504,5.00,1.37
200505,2.56,-1.45
200506,0.74,-3.30
200507,3.49,-0.86
200508,4.72,1.05
200509,2.53,-0.38
200510,2.92,0.47
200511,4.64,1.86
200512,1.63,-1.28
200601,3.70,0.58
200602,1.45,-1.16
200603,2.96,-0.93
200604,4.38,0.75
200605,3.04,-0.97
200606,3.82,-0.22
200607,4.21,-0.14
200608,3.72,0.05
200609,6.55,3.64
200610,5.95,3.50
200611,1.84,-0.94
200612,1.95,-0.96
200701,4.04,0.92
200702,2.84,0.23
200703,3.17,-0.72
200704,3.26,-0.37
200705,1.00,-3.01
200706,2.23,-1.81
200707,4.63,0.28
200708,4.00,0.33
200709,2.53,-0.38
200710,3.55,1.10
200711,3.50,0.72
200712,4.88,1.97
200801,2.74,-0.38
200802,4.08,1.47
200803,7.85,3.96
200804,2.47,-1.16
200805,4.78,0.77
200806,6.34,2.30
200807,4.07,-0.28
200808,2.33,-1.34
200809,0.90,-2.01
200810,1.49,-0.96
200811,2.40,-0.38
200812,4.21,1.30
200901,2.96,-0.16
200902,1.53,-1.08
200903,1.69,-2.20
200904,3.90,0.27
200905,4.55,0.54
200906,3.79,-0.25
200907,4.47,0.12
200908,2.24,-1.43
200909,3.05,0.14
200910,4.03,1.58
200911,1.01,-1.77
200912,3.34,0.43
201001,2.32,-0.80
201002,2.47,-0.14
201003,2.74,-1.15
201004,1.34,-2.29
201005,7.07,3.06
201006,6.31,2.27
201007,3.56,-0.79
201008,4.30,0.63
201009,2.08,-0.83
201010,2.15,-0.30
201011,3.65,0.87
201012,2.39,-0.52
201101,1.54,-1.58
201102,4.89,2.28
201103,4.56,0.67
201104,9.44,5.81
201105,6.03,2.02
201106,4.39,0.35
201107,4.87,0.52
201108,4.79,1.12
201109,4.01,1.10
201110,4.62,2.17
201111,5.66,2.88
201112,3.84,0.93
201201,4.06,0.94
201202,1.29,-1.32
201203,3.31,-0.58
201204,2.39,-1.24
201205,4.36,0.35
201206,1.89,-2.15
201207,3.46,-0.89
201208,3.09,-0.58
201209,4.22,1.31
201210,4.20,1.75
201211,0.71,-2.07
201212,6.10,3.19
201301,2.31,-0.81
201302,1.78,-0.83
201303,3.08,-0.81
201304,3.18,-0.45
201305,2.60,-1.41
201306,6.01,1.97
201307,5.79,1.44
201308,3.70,0.03
201309,2.16,-0.75
201310,2.70,0.25
201311,3.54,0.76
201312,5.03,2.12
201401,2.11,-1.01
201402,3.32,0.71
201403,2.14,-1.75
201404,5.59,1.96
201405,4.05,0.04
201406,4.09,0.05
201407,3.12,-1.23
201408,3.34,-0.33
201409,1.04,-1.87
201410,3.82,1.37
201411,1.61,-1.17
201412,2.94,0.03
201501,2.39,-0.73
201502,1.56,-1.05
201503,4.55,0.66
201504,5.26,1.63
201505,2.41,-1.60
201506,6.96,2.92
201507,4.66,0.31
201508,2.44,-1.23
201509,3.12,0.21
201510,2.56,0.11
201511,2.56,-0.22
201512,4.08,1.17
201601,1.18,-1.94
201602,3.44,0.83
201603,4.03,0.14
201604,3.83,0.20
201605,4.13,0.12
201606,3.72,-0.32
201607,3.13,-1.22
201608,3.35,-0.32
201609,2.56,-0.35
201610,3.08,0.63
201611,1.05,-1.73
201612,4.42,1.51
201701,3.22,0.10
201702,2.22,-0.39
201703,6.41,2.52
201704,4.78,1.15
201705,3.67,-0.34
201706,5.43,1.39
201707,7.86,3.51
201708,2.14,-1.53
201709,2.32,-0.59
201710,3.45,1.00
201711,5.11,2.33
201712,1.90,-1.01
201801,2.46,-0.66
201802,6.41,3.80
201803,3.56,-0.33
201804,5.54,1.91
201805,5.35,1.34
201806,7.75,3.71
201807,1.97,-2.38
201808,4.91,1.24
201809,6.62,3.71
201810,3.11,0.66
201811,6.12,3.34
201812,3.85,0.94
201901,4.24,1.12
201902,6.76,4.15
201903,4.01,0.12
201904,3.80,0.17
201905,5.35,1.34
201906,5.70,1.66
201907,4.31,-0.04
201908,3.16,-0.51
201909,1.13,-1.78
201910,4.63,2.18
201911,2.61,-0.17
201912,3.99,1.08
202001,3.57,0.45
