San Diego County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.56,-2.18
200002,3.87,1.08
200003,1.34,-1.18
200004,0.78,-0.29
200005,0.06,-0.28
200006,0.03,-0.03
200007,0.00,-0.20
200008,0.41,0.09
200009,0.19,-0.09
200010,0.87,0.27
200011,0.35,-0.84
200012,0.02,-2.16
200101,2.52,-0.22
200102,3.80,1.01
200103,1.31,-1.21
200104,1.30,0.23
200105,0.09,-0.25
200106,0.00,-0.06
200107,0.17,-0.03
200108,0.00,-0.32
200109,0.04,-0.24
200110,0.00,-0.60
200111,0.89,-0.30
200112,0.96,-1.22
200201,0.38,-2.36
200202,0.13,-2.66
200203,0.94,-1.58
200204,0.47,-0.60
200205,0.02,-0.32
200206,0.00,-0.06
200207,0.03,-0.17
200208,0.00,-0.32
200209,0.43,0.15
200210,0.04,-0.56
200211,1.51,0.32
200212,2.05,-0.13
200301,0.17,-2.57
200302,4.23,1.44
200303,2.06,-0.46
200304,1.56,0.49
200305,0.74,0.40
200306,0.05,-0.01
200307,0.37,0.17
200308,0.67,0.35
200309,0.13,-0.15
200310,0.01,-0.59
200311,0.88,-0.31
200312,1.11,-1.07
200401,0.48,-2.26
200402,3.73,0.94
200403,0.47,-2.05
200404,0.76,-0.31
200405,0.00,-0.34
200406,0.02,-0.04
200407,0.03,-0.17
200408,0.06,-0.26
200409,0.12,-0.16
200410,3.38,2.78
200411,1.14,-0.05
200412,3.70,1.52
200501,5.60,2.86
200502,6.02,3.23
200503,1.65,-0.87
200504,1.10,0.03
200505,0.18,-0.16
200506,0.03,-0.03
200507,0.39,0.19
200508,0.58,0.26
200509,0.11,-0.17
200510,1.19,0.59
200511,0.07,-1.12
200512,0.15,-2.03
200601,0.94,-1.80
200602,1.57,-1.22
200603,3.09,0.57
200604,1.74,0.67
200605,0.46,0.12
200606,0.04,-0.02
200607,0.27,0.07
200608,0.09,-0.23
200609,0.03,-0.25
200610,0.30,-0.30
200611,0.12,-1.07
200612,0.83,-1.35
200701,0.74,-2.00
200702,2.03,-0.76
200703,0.37,-2.15
200704,0.52,-0.55
200705,0.02,-0.32
200706,0.00,-0.06
200707,0.04,-0.16
200708,0.16,-0.16
200709,0.23,-0.05
200710,0.15,-0.45
200711,1.02,-0.17
200712,2.15,-0.03
200801,5.44,2.70
200802,2.51,-0.28
200803,0.16,-2.36
200804,0.02,-1.05
200805,0.54,0.20
200806,0.01,-0.05
200807,0.02,-0.18
200808,0.24,-0.08
200809,0.01,-0.27
200810,0.04,-0.56
200811,1.58,0.39
200812,4.44,2.26
200901,0.19,-2.55
200902,3.49,0.70
200903,0.14,-2.38
200904,0.18,-0.89
200905,0.03,-0.31
200906,0.03,-0.03
200907,0.00,-0.20
200908,0.01,-0.31
200909,0.03,-0.25
200910,0.09,-0.51
200911,0.54,-0.65
200912,3.52,1.34
201001,5.70,2.96
201002,3.56,0.77
201003,0.80,-1.72
201004,1.92,0.85
201005,0.03,-0.31
201006,0.01,-0.05
201007,0.14,-0.06
201008,0.01,-0.31
201009,0.15,-0.13
201010,2.62,2.02
201011,1.31,0.12
201012,7.53,5.35
201101,0.96,-1.78
201102,3.73,0.94
201103,1.95,-0.57
201104,0.37,-0.70
201105,0.78,0.44
201106,0.05,-0.01
201107,0.25,0.05
201108,0.12,-0.20
201109,0.27,-0.01
201110,0.62,0.02
201111,2.73,1.54
201112,0.95,-1.23
201201,0.72,-2.02
201202,1.37,-1.42
201203,1.88,-0.64
201204,1.73,0.66
201205,0.05,-0.29
201206,0.00,-0.06
201207,0.24,0.04
201208,0.39,0.07
201209,0.18,-0.10
201210,0.41,-0.19
201211,0.45,-0.74
201212,2.38,0.20
201301,1.56,-1.18
201302,0.89,-1.90
201303,1.15,-1.37
201304,0.05,-1.02
201305,0.58,0.24
201306,0.00,-0.06
201307,0.39,0.19
201308,0.67,0.35
201309,0.27,-0.01
201310,1.05,0.45
201311,0.68,-0.51
201312,0.57,-1.61
201401,0.14,-2.60
201402,1.29,-1.50
201403,1.26,-1.26
201404,0.71,-0.36
201405,0.02,-0.32
201406,0.00,-0.06
201407,0.12,-0.08
201408,0.56,0.24
201409,0.23,-0.05
201410,0.00,-0.60
201411,0.50,-0.69
201412,3.24,1.06
201501,0.60,-2.14
201502,0.75,-2.04
201503,1.18,-1.34
201504,0.31,-0.76
201505,1.39,1.05
201506,0.09,0.03
201507,0.72,0.52
201508,0.05,-0.27
201509,0.91,0.63
201510,0.63,0.03
201511,0.88,-0.31
201512,1.57,-0.61
201601,4.03,1.29
201602,0.40,-2.39
201603,1.16,-1.36
201604,0.84,-0.23
201605,0.50,0.16
201606,0.00,-0.06
201607,0.00,-0.20
201608,0.00,-0.32
201609,0.70,0.42
201610,0.17,-0.43
201611,1.17,-0.02
201612,4.20,2.02
201701,5.78,3.04
201702,4.78,1.99
201703,0.19,-2.33
201704,0.01,-1.06
201705,1.15,0.81
201706,0.01,-0.05
201707,0.10,-0.10
201708,0.49,0.17
201709,0.19,-0.09
201710,0.02,-0.58
201711,0.03,-1.16
201712,0.04,-2.14
201801,2.55,-0.19
201802,0.64,-2.15
201803,1.74,-0.78
201804,0.03,-1.04
201805,0.16,-0.18
201806,0.00,-0.06
201807,0.18,-0.02
201808,0.02,-0.30
201809,0.00,-0.28
201810,0.51,-0.09
201811,1.59,0.40
201812,2.27,0.09
201901,2.92,0.18
201902,7.34,4.55
201903,1.45,-1.07
201904,0.29,-0.78
201905,1.27,0.93
201906,0.06,0.00
201907,0.15,-0.05
201908,0.00,-0.32
201909,0.31,0.03
201910,0.00,-0.60
201911,3.63,2.44
201912,3.74,1.56
202001,0.30,-2.44
