Erie County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.66,-0.32
200002,1.82,-0.54
200003,1.98,-0.83
200004,4.57,1.39
200005,4.22,1.03
200006,5.95,2.50
200007,3.93,0.56
200008,4.15,0.72
200009,5.17,1.58
200010,1.76,-1.50
200011,3.14,-0.27
200012,3.31,0.10
200101,1.89,-1.09
200102,1.92,-0.44
200103,3.20,0.39
200104,1.54,-1.64
200105,3.59,0.40
200106,2.26,-1.19
200107,1.48,-1.89
200108,2.79,-0.64
200109,3.38,-0.21
200110,4.06,0.80
200111,2.78,-0.63
200112,4.26,1.05
200201,2.56,-0.42
200202,2.85,0.49
200203,3.12,0.31
200204,4.74,1.56
200205,5.49,2.30
200206,2.94,-0.51
200207,3.31,-0.06
200208,2.08,-1.35
200209,3.35,-0.24
200210,3.11,-0.15
200211,3.77,0.36
200212,4.38,1.17
200301,2.35,-0.63
200302,2.25,-0.11
200303,2.51,-0.30
200304,1.71,-1.47
200305,4.95,1.76
200306,2.65,-0.80
200307,4.58,1.21
200308,3.01,-0.42
200309,4.41,0.82
200310,3.67,0.41
200311,4.48,1.07
200312,2.93,-0.28
200401,3.35,0.37
200402,1.04,-1.32
200403,2.74,-0.07
200404,3.84,0.66
200405,6.32,3.13
200406,2.33,-1.12
200407,6.88,3.51
200408,3.27,-0.16
200409,4.95,1.36
200410,2.93,-0.33
200411,3.18,-0.23
200412,4.26,1.05
200501,4.35,1.37
200502,2.21,-0.15
200503,1.57,-1.24
200504,4.51,1.33
200505,1.25,-1.94
200506,4.05,0.60
200507,3.12,-0.25
200508,5.38,1.95
200509,5.06,1.47
200510,3.48,0.22
200511,5.11,1.70
200512,2.13,-1.08
200601,3.39,0.41
200602,1.85,-0.51
200603,2.25,-0.56
200604,2.27,-0.91
200605,2.29,-0.90
200606,3.23,-0.22
200607,5.97,2.60
200608,4.16,0.73
200609,6.19,2.60
200610,7.31,4.05
200611,2.33,-1.08
200612,3.99,0.78
200701,5.17,2.19
200702,2.46,0.10
200703,2.49,-0.32
200704,3.36,0.18
200705,1.14,-2.05
200706,2.06,-1.39
200707,3.71,0.34
200708,1.96,-1.47
200709,3.48,-0.11
200710,3.00,-0.26
200711,5.13,1.72
200712,4.84,1.63
200801,2.16,-0.82
200802,4.37,2.01
200803,3.98,1.17
200804,1.90,-1.28
200805,2.60,-0.59
200806,4.63,1.18
200807,4.81,1.44
200808,5.00,1.57
200809,3.26,-0.33
200810,4.34,1.08
200811,2.95,-0.46
200812,6.07,2.86
200901,2.76,-0.22
200902,2.36,0.00
200903,3.64,0.83
200904,3.03,-0.15
200905,3.03,-0.16
200906,4.28,0.83
200907,5.07,1.70
200908,5.75,2.32
200909,2.83,-0.76
200910,4.14,0.88
200911,2.53,-0.88
200912,4.22,1.01
201001,2.91,-0.07
201002,1.78,-0.58
201003,2.21,-0.60
201004,2.21,-0.97
201005,3.20,0.01
201006,6.57,3.12
201007,3.46,0.09
201008,2.75,-0.68
201009,3.27,-0.32
201010,3.91,0.65
201011,3.27,-0.14
201012,3.00,-0.21
201101,2.13,-0.85
201102,3.23,0.87
201103,4.40,1.59
201104,6.00,2.82
201105,6.81,3.62
201106,3.35,-0.10
201107,1.87,-1.50
201108,4.21,0.78
201109,4.21,0.62
201110,5.47,2.21
201111,3.52,0.11
201112,4.11,0.90
201201,4.05,1.07
201202,1.66,-0.70
201203,2.10,-0.71
201204,2.88,-0.30
201205,1.66,-1.53
201206,3.35,-0.10
201207,2.28,-1.09
201208,2.28,-1.15
201209,4.44,0.85
201210,6.79,3.53
201211,1.17,-2.24
201212,4.39,1.18
201301,2.52,-0.46
201302,2.72,0.36
201303,1.12,-1.69
201304,4.23,1.05
201305,3.67,0.48
201306,6.49,3.04
201307,3.97,0.60
201308,3.23,-0.20
201309,3.45,-0.14
201310,6.05,2.79
201311,3.57,0.16
201312,4.88,1.67
201401,2.41,-0.57
201402,2.75,0.39
201403,2.65,-0.16
201404,4.27,1.09
201405,3.82,0.63
201406,4.34,0.89
201407,6.33,2.96
201408,2.71,-0.72
201409,3.17,-0.42
201410,3.83,0.57
201411,2.93,-0.48
201412,2.49,-0.72
201501,2.93,-0.05
201502,2.02,-0.34
201503,1.54,-1.27
201504,3.37,0.19
201505,3.49,0.30
201506,5.96,2.51
201507,3.99,0.62
201508,3.84,0.41
201509,4.87,1.28
201510,3.94,0.68
201511,1.68,-1.73
201512,3.07,-0.14
201601,1.97,-1.01
201602,3.72,1.36
201603,2.83,0.02
201604,2.34,-0.84
201605,1.54,-1.65
201606,2.17,-1.28
201607,2.23,-1.14
201608,4.13,0.70
201609,3.58,-0.01
201610,4.58,1.32
201611,2.69,-0.72
201612,3.66,0.45
201701,3.22,0.24
201702,2.80,0.44
201703,3.76,0.95
201704,6.46,3.28
201705,6.15,2.96
201706,3.32,-0.13
201707,5.16,1.79
201708,3.93,0.50
201709,3.06,-0.53
201710,4.89,1.63
201711,5.61,2.20
201712,3.55,0.34
201801,3.01,0.03
201802,2.90,0.54
201803,2.78,-0.03
201804,3.78,0.60
201805,2.66,-0.53
201806,3.15,-0.30
201807,3.41,0.04
201808,4.33,0.90
201809,4.00,0.41
201810,5.55,2.29
201811,5.33,1.92
201812,2.70,-0.51
201901,4.48,1.50
201902,2.37,0.01
201903,2.35,-0.46
201904,3.59,0.41
201905,3.75,0.56
201906,5.01,1.56
201907,2.72,-0.65
201908,3.53,0.10
201909,4.44,0.85
201910,4.77,1.51
201911,2.98,-0.43
201912,4.74,1.53
202001,3.07,0.09
