Monroe County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.76,-1.06
200002,1.61,-0.09
200003,1.57,-0.34
200004,3.41,0.95
200005,1.99,-3.03
200006,7.38,-0.34
200007,6.45,-0.15
200008,7.21,0.38
200009,6.78,-0.95
200010,6.61,1.02
200011,0.20,-1.77
200012,1.56,0.06
200101,0.40,-1.42
200102,0.04,-1.66
200103,2.99,1.08
200104,2.21,-0.25
200105,3.78,-1.24
200106,5.89,-1.83
200107,9.57,2.97
200108,8.90,2.07
200109,12.16,4.43
200110,7.73,2.14
200111,1.23,-0.74
200112,2.40,0.90
200201,1.33,-0.49
200202,2.89,1.19
200203,0.93,-0.98
200204,0.91,-1.55
200205,4.41,-0.61
200206,12.40,4.68
200207,7.71,1.11
200208,4.42,-2.41
200209,6.74,-0.99
200210,2.17,-3.42
200211,2.20,0.23
200212,2.75,1.25
200301,0.83,-0.99
200302,1.31,-0.39
200303,4.55,2.64
200304,3.81,1.35
200305,7.66,2.64
200306,8.08,0.36
200307,5.08,-1.52
200308,7.80,0.97
200309,10.15,2.42
200310,1.76,-3.83
200311,2.99,1.02
200312,1.30,-0.20
200401,3.09,1.27
200402,3.04,1.34
200403,0.44,-1.47
200404,2.32,-0.14
200405,1.04,-3.98
200406,4.55,-3.17
200407,6.39,-0.21
200408,7.46,0.63
200409,6.65,-1.08
200410,3.56,-2.03
200411,1.10,-0.87
200412,0.24,-1.26
200501,0.79,-1.03
200502,0.31,-1.39
200503,3.08,1.17
200504,1.76,-0.70
200505,2.03,-2.99
200506,12.60,4.88
200507,4.97,-1.63
200508,9.39,2.56
200509,6.82,-0.91
200510,3.84,-1.75
200511,1.35,-0.62
200512,1.13,-0.37
200601,0.28,-1.54
200602,1.76,0.06
200603,0.34,-1.57
200604,0.66,-1.80
200605,3.87,-1.15
200606,5.82,-1.90
200607,11.91,5.31
200608,7.67,0.84
200609,7.62,-0.11
200610,1.12,-4.47
200611,1.11,-0.86
200612,1.81,0.31
200701,1.01,-0.81
200702,2.33,0.63
200703,1.43,-0.48
200704,4.30,1.84
200705,3.55,-1.47
200706,9.91,2.19
200707,6.29,-0.31
200708,3.64,-3.19
200709,9.31,1.58
200710,4.64,-0.95
200711,0.47,-1.50
200712,1.79,0.29
200801,0.66,-1.16
200802,3.36,1.66
200803,2.42,0.51
200804,3.08,0.62
200805,1.02,-4.00
200806,7.03,-0.69
200807,8.08,1.48
200808,12.12,5.29
200809,7.75,0.02
200810,4.13,-1.46
200811,0.42,-1.55
200812,0.77,-0.73
200901,0.27,-1.55
200902,0.58,-1.12
200903,1.20,-0.71
200904,0.35,-2.11
200905,6.32,1.30
200906,7.45,-0.27
200907,5.61,-0.99
200908,7.50,0.67
200909,7.24,-0.49
200910,1.36,-4.23
200911,3.28,1.31
200912,3.09,1.59
201001,1.52,-0.30
201002,3.84,2.14
201003,3.47,1.56
201004,2.85,0.39
201005,1.83,-3.19
201006,4.83,-2.89
201007,6.76,0.16
201008,10.56,3.73
201009,11.53,3.80
201010,2.37,-3.22
201011,1.92,-0.05
201012,1.05,-0.45
201101,2.78,0.96
201102,0.14,-1.56
201103,1.25,-0.66
201104,1.38,-1.08
201105,2.73,-2.29
201106,4.12,-3.60
201107,6.36,-0.24
201108,10.62,3.79
201109,9.44,1.71
201110,11.82,6.23
201111,0.80,-1.17
201112,0.61,-0.89
201201,0.23,-1.59
201202,2.22,0.52
201203,1.25,-0.66
201204,6.61,4.15
201205,8.91,3.89
201206,7.23,-0.49
201207,6.39,-0.21
201208,8.86,2.03
201209,6.71,-1.02
201210,7.19,1.60
201211,0.39,-1.58
201212,1.06,-0.44
201301,0.25,-1.57
201302,1.53,-0.17
201303,1.22,-0.69
201304,5.32,2.86
201305,6.81,1.79
201306,7.09,-0.63
201307,9.64,3.04
201308,4.68,-2.15
201309,7.19,-0.54
201310,2.43,-3.16
201311,4.47,2.50
201312,1.10,-0.40
201401,2.40,0.58
201402,1.55,-0.15
201403,2.27,0.36
201404,1.24,-1.22
201405,2.70,-2.32
201406,7.13,-0.59
201407,8.00,1.40
201408,6.64,-0.19
201409,6.09,-1.64
201410,3.67,-1.92
201411,1.84,-0.13
201412,1.08,-0.42
201501,0.86,-0.96
201502,1.67,-0.03
201503,1.47,-0.44
201504,4.59,2.13
201505,2.11,-2.91
201506,7.00,-0.72
201507,6.79,0.19
201508,7.55,0.72
201509,8.00,0.27
201510,2.22,-3.37
201511,3.27,1.30
201512,5.80,4.30
201601,6.26,4.44
201602,2.27,0.57
201603,1.48,-0.43
201604,1.42,-1.04
201605,4.46,-0.56
201606,6.46,-1.26
201607,5.10,-1.50
201608,8.25,1.42
201609,7.03,-0.70
201610,3.74,-1.85
201611,0.32,-1.65
201612,1.01,-0.49
201701,1.69,-0.13
201702,1.58,-0.12
201703,1.48,-0.43
201704,2.21,-0.25
201705,3.03,-1.99
201706,11.03,3.31
201707,7.17,0.57
201708,7.73,0.90
201709,8.79,1.06
201710,6.01,0.42
201711,1.14,-0.83
201712,0.79,-0.71
201801,0.78,-1.04
201802,0.66,-1.04
201803,0.72,-1.19
201804,2.46,0.00
201805,10.57,5.55
201806,5.38,-2.34
201807,7.34,0.74
201808,5.75,-1.08
201809,7.55,-0.18
201810,1.69,-3.90
201811,1.12,-0.85
201812,1.49,-0.01
201901,2.41,0.59
201902,1.59,-0.11
201903,1.50,-0.41
201904,2.91,0.45
201905,3.59,-1.43
201906,7.94,0.22
201907,7.47,0.87
201908,9.35,2.52
201909,3.39,-4.34
201910,4.10,-1.49
201911,0.82,-1.15
201912,4.04,2.54
202001,0.97,-0.85
