Perry County, Alabama, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.64,0.41
200002,1.75,-3.48
200003,6.07,-0.15
200004,4.44,-0.44
200005,2.63,-1.43
200006,3.86,-0.07
200007,1.12,-4.06
200008,2.59,-1.39
200009,1.79,-1.55
200010,1.12,-1.51
200011,6.87,3.22
200012,4.59,-0.66
200101,4.08,-1.15
200102,6.08,0.85
200103,10.26,4.04
200104,4.65,-0.23
200105,3.45,-0.61
200106,5.75,1.82
200107,2.89,-2.29
200108,5.05,1.07
200109,5.23,1.89
200110,3.41,0.78
200111,3.21,-0.44
200112,4.47,-0.78
200201,5.67,0.44
200202,3.43,-1.80
200203,4.78,-1.44
200204,1.65,-3.23
200205,3.88,-0.18
200206,3.00,-0.93
200207,4.62,-0.56
200208,3.14,-0.84
200209,7.83,4.49
200210,3.68,1.05
200211,5.40,1.75
200212,7.46,2.21
200301,2.78,-2.45
200302,6.40,1.17
200303,3.79,-2.43
200304,8.85,3.97
200305,8.27,4.21
200306,8.72,4.79
200307,7.88,2.70
200308,5.35,1.37
200309,2.56,-0.78
200310,2.03,-0.60
200311,5.43,1.78
200312,2.81,-2.44
200401,3.00,-2.23
200402,7.11,1.88
200403,1.36,-4.86
200404,3.41,-1.47
200405,4.34,0.28
200406,5.17,1.24
200407,2.89,-2.29
200408,5.14,1.16
200409,6.29,2.95
200410,2.65,0.02
200411,8.43,4.78
200412,4.08,-1.17
200501,2.87,-2.36
200502,6.74,1.51
200503,6.39,0.17
200504,7.74,2.86
200505,3.80,-0.26
200506,7.40,3.47
200507,10.83,5.65
200508,5.48,1.50
200509,5.09,1.75
200510,0.20,-2.43
200511,3.32,-0.33
200512,3.37,-1.88
200601,5.20,-0.03
200602,5.62,0.39
200603,3.57,-2.65
200604,1.78,-3.10
200605,4.21,0.15
200606,1.78,-2.15
200607,2.40,-2.78
200608,3.19,-0.79
200609,2.31,-1.03
200610,4.24,1.61
200611,5.70,2.05
200612,5.38,0.13
200701,4.01,-1.22
200702,2.86,-2.37
200703,1.21,-5.01
200704,2.62,-2.26
200705,0.42,-3.64
200706,2.36,-1.57
200707,4.41,-0.77
200708,2.87,-1.11
200709,2.46,-0.88
200710,3.30,0.67
200711,1.66,-1.99
200712,2.63,-2.62
200801,4.14,-1.09
200802,7.37,2.14
200803,3.60,-2.62
200804,4.74,-0.14
200805,4.35,0.29
200806,3.16,-0.77
200807,2.80,-2.38
200808,9.52,5.54
200809,0.87,-2.47
200810,1.71,-0.92
200811,2.30,-1.35
200812,4.68,-0.57
200901,3.83,-1.40
200902,3.96,-1.27
200903,10.39,4.17
200904,4.24,-0.64
200905,7.09,3.03
200906,1.63,-2.30
200907,5.83,0.65
200908,5.67,1.69
200909,8.48,5.14
200910,5.92,3.29
200911,5.73,2.08
200912,9.59,4.34
201001,5.66,0.43
201002,3.68,-1.55
201003,4.60,-1.62
201004,2.47,-2.41
201005,6.74,2.68
201006,2.96,-0.97
201007,3.57,-1.61
201008,4.61,0.63
201009,1.26,-2.08
201010,3.59,0.96
201011,4.84,1.19
201012,2.62,-2.63
201101,3.59,-1.64
201102,3.70,-1.53
201103,8.74,2.52
201104,4.46,-0.42
201105,1.44,-2.62
201106,3.28,-0.65
201107,4.97,-0.21
201108,0.90,-3.08
201109,5.79,2.45
201110,0.64,-1.99
201111,4.20,0.55
201112,4.76,-0.49
201201,6.62,1.39
201202,5.08,-0.15
201203,7.25,1.03
201204,1.58,-3.30
201205,3.92,-0.14
201206,2.50,-1.43
201207,6.09,0.91
201208,5.56,1.58
201209,8.18,4.84
201210,2.27,-0.36
201211,1.32,-2.33
201212,6.78,1.53
201301,6.70,1.47
201302,9.94,4.71
201303,3.68,-2.54
201304,5.25,0.37
201305,2.48,-1.58
201306,5.18,1.25
201307,7.20,2.02
201308,5.02,1.04
201309,2.05,-1.29
201310,2.18,-0.45
201311,3.42,-0.23
201312,8.95,3.70
201401,1.82,-3.41
201402,5.04,-0.19
201403,7.10,0.88
201404,8.64,3.76
201405,4.06,0.00
201406,4.47,0.54
201407,3.01,-2.17
201408,1.81,-2.17
201409,2.07,-1.27
201410,4.06,1.43
201411,2.58,-1.07
201412,6.01,0.76
201501,4.37,-0.86
201502,3.99,-1.24
201503,5.45,-0.77
201504,5.12,0.24
201505,3.94,-0.12
201506,3.28,-0.65
201507,4.21,-0.97
201508,3.01,-0.97
201509,1.67,-1.67
201510,2.46,-0.17
201511,4.99,1.34
201512,9.06,3.81
201601,3.32,-1.91
201602,7.54,2.31
201603,4.65,-1.57
201604,7.55,2.67
201605,2.74,-1.32
201606,3.48,-0.45
201607,3.70,-1.48
201608,4.65,0.67
201609,2.09,-1.25
201610,0.18,-2.45
201611,3.57,-0.08
201612,3.56,-1.69
201701,7.49,2.26
201702,3.32,-1.91
201703,4.40,-1.82
201704,3.46,-1.42
201705,6.16,2.10
201706,11.61,7.68
201707,4.00,-1.18
201708,3.83,-0.15
201709,1.69,-1.65
201710,3.77,1.14
201711,1.34,-2.31
201712,2.93,-2.32
201801,2.42,-2.81
201802,6.92,1.69
201803,3.89,-2.33
201804,6.79,1.91
201805,8.05,3.99
201806,2.62,-1.31
201807,3.07,-2.11
201808,3.70,-0.28
201809,5.91,2.57
201810,1.52,-1.11
201811,5.42,1.77
201812,8.75,3.50
201901,5.80,0.57
201902,5.27,0.04
201903,2.43,-3.79
201904,5.65,0.77
201905,2.86,-1.20
201906,5.13,1.20
201907,2.16,-3.02
201908,5.34,1.36
201909,0.03,-3.31
201910,5.48,2.85
201911,2.81,-0.84
201912,5.98,0.73
202001,6.55,1.32
