Coffee County, Tennessee, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.23,-0.96
200002,3.55,-1.17
200003,6.04,0.26
200004,8.49,3.95
200005,4.36,-0.38
200006,6.13,1.89
200007,2.31,-2.33
200008,3.08,-1.05
200009,4.58,0.85
200010,0.39,-2.81
200011,5.62,1.51
200012,5.14,-0.23
200101,4.57,-0.62
200102,7.32,2.60
200103,3.89,-1.89
200104,3.36,-1.18
200105,4.94,0.20
200106,5.32,1.08
200107,4.59,-0.05
200108,6.14,2.01
200109,4.91,1.18
200110,4.03,0.83
200111,3.42,-0.69
200112,5.00,-0.37
200201,9.32,4.13
200202,2.27,-2.45
200203,10.10,4.32
200204,1.81,-2.73
200205,6.77,2.03
200206,1.65,-2.59
200207,3.63,-1.01
200208,3.48,-0.65
200209,6.52,2.79
200210,3.89,0.69
200211,4.29,0.18
200212,7.20,1.83
200301,2.51,-2.68
200302,10.28,5.56
200303,2.51,-3.27
200304,4.63,0.09
200305,13.10,8.36
200306,5.17,0.93
200307,7.70,3.06
200308,4.25,0.12
200309,5.70,1.97
200310,1.49,-1.71
200311,5.61,1.50
200312,4.17,-1.20
200401,3.10,-2.09
200402,6.85,2.13
200403,5.71,-0.07
200404,4.37,-0.17
200405,5.17,0.43
200406,8.22,3.98
200407,5.47,0.83
200408,3.94,-0.19
200409,4.96,1.23
200410,5.47,2.27
200411,6.73,2.62
200412,7.89,2.52
200501,3.85,-1.34
200502,4.55,-0.17
200503,2.66,-3.12
200504,5.31,0.77
200505,1.51,-3.23
200506,4.90,0.66
200507,4.46,-0.18
200508,4.50,0.37
200509,2.89,-0.84
200510,0.38,-2.82
200511,4.51,0.40
200512,3.63,-1.74
200601,6.77,1.58
200602,3.04,-1.68
200603,3.24,-2.54
200604,6.45,1.91
200605,4.35,-0.39
200606,2.97,-1.27
200607,2.85,-1.79
200608,3.26,-0.87
200609,4.04,0.31
200610,3.81,0.61
200611,4.87,0.76
200612,3.14,-2.23
200701,3.61,-1.58
200702,1.83,-2.89
200703,2.18,-3.60
200704,3.85,-0.69
200705,2.31,-2.43
200706,2.33,-1.91
200707,4.79,0.15
200708,2.15,-1.98
200709,2.27,-1.46
200710,2.56,-0.64
200711,3.51,-0.60
200712,2.83,-2.54
200801,2.94,-2.25
200802,4.04,-0.68
200803,5.11,-0.67
200804,4.94,0.40
200805,4.29,-0.45
200806,2.67,-1.57
200807,3.36,-1.28
200808,3.45,-0.68
200809,0.51,-3.22
200810,4.04,0.84
200811,2.95,-1.16
200812,9.56,4.19
200901,4.01,-1.18
200902,2.17,-2.55
200903,5.38,-0.40
200904,5.31,0.77
200905,9.09,4.35
200906,1.99,-2.25
200907,5.89,1.25
200908,2.78,-1.35
200909,8.87,5.14
200910,5.81,2.61
200911,1.78,-2.33
200912,6.00,0.63
201001,6.10,0.91
201002,3.24,-1.48
201003,3.91,-1.87
201004,2.65,-1.89
201005,7.46,2.72
201006,4.40,0.16
201007,3.63,-1.01
201008,4.94,0.81
201009,2.20,-1.53
201010,3.31,0.11
201011,6.20,2.09
201012,2.19,-3.18
201101,4.25,-0.94
201102,3.43,-1.29
201103,7.07,1.29
201104,10.37,5.83
201105,4.01,-0.73
201106,6.34,2.10
201107,3.67,-0.97
201108,1.59,-2.54
201109,7.56,3.83
201110,3.36,0.16
201111,7.31,3.20
201112,6.45,1.08
201201,6.83,1.64
201202,3.23,-1.49
201203,3.78,-2.00
201204,0.89,-3.65
201205,2.96,-1.78
201206,2.04,-2.20
201207,7.95,3.31
201208,4.37,0.24
201209,7.10,3.37
201210,4.27,1.07
201211,1.91,-2.20
201212,7.44,2.07
201301,8.32,3.13
201302,2.16,-2.56
201303,4.79,-0.99
201304,8.86,4.32
201305,5.01,0.27
201306,7.91,3.67
201307,9.21,4.57
201308,3.55,-0.58
201309,2.79,-0.94
201310,1.48,-1.72
201311,3.71,-0.40
201312,7.03,1.66
201401,3.06,-2.13
201402,4.89,0.17
201403,3.42,-2.36
201404,6.88,2.34
201405,2.14,-2.60
201406,5.22,0.98
201407,3.96,-0.68
201408,6.07,1.94
201409,1.54,-2.19
201410,8.85,5.65
201411,3.98,-0.13
201412,6.01,0.64
201501,4.43,-0.76
201502,4.59,-0.13
201503,6.06,0.28
201504,5.94,1.40
201505,3.23,-1.51
201506,4.12,-0.12
201507,6.50,1.86
201508,6.29,2.16
201509,3.02,-0.71
201510,3.66,0.46
201511,6.00,1.89
201512,10.52,5.15
201601,4.09,-1.10
201602,6.86,2.14
201603,2.78,-3.00
201604,2.72,-1.82
201605,2.56,-2.18
201606,5.54,1.30
201607,4.01,-0.63
201608,5.40,1.27
201609,2.64,-1.09
201610,0.58,-2.62
201611,3.93,-0.18
201612,7.78,2.41
201701,4.44,-0.75
201702,2.91,-1.81
201703,6.10,0.32
201704,6.97,2.43
201705,7.04,2.30
201706,5.78,1.54
201707,7.02,2.38
201708,5.25,1.12
201709,5.04,1.31
201710,5.79,2.59
201711,2.64,-1.47
201712,4.92,-0.45
201801,2.06,-3.13
201802,10.79,6.07
201803,5.30,-0.48
201804,6.67,2.13
201805,4.50,-0.24
201806,6.89,2.65
201807,3.94,-0.70
201808,5.78,1.65
201809,7.86,4.13
201810,2.90,-0.30
201811,6.00,1.89
201812,9.10,3.73
201901,6.37,1.18
201902,12.95,8.23
201903,5.45,-0.33
201904,5.94,1.40
201905,3.59,-1.15
201906,6.33,2.09
201907,6.95,2.31
201908,3.45,-0.68
201909,0.79,-2.94
201910,6.20,3.00
201911,4.55,0.44
201912,6.79,1.42
202001,7.43,2.24
