Hughes County, South Dakota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.16,-0.24
200002,0.21,-0.28
200003,0.82,-0.12
200004,1.68,-0.11
200005,3.31,0.66
200006,2.17,-0.92
200007,1.68,-0.66
200008,2.02,-0.04
200009,0.16,-1.16
200010,0.83,-0.33
200011,1.13,0.60
200012,0.45,0.04
200101,0.68,0.28
200102,0.94,0.45
200103,0.31,-0.63
200104,3.51,1.72
200105,2.65,0.00
200106,2.41,-0.68
200107,3.26,0.92
200108,0.23,-1.83
200109,1.98,0.66
200110,1.05,-0.11
200111,1.05,0.52
200112,0.05,-0.36
200201,0.32,-0.08
200202,0.04,-0.45
200203,0.70,-0.24
200204,0.80,-0.99
200205,0.87,-1.78
200206,2.83,-0.26
200207,2.01,-0.33
200208,3.94,1.88
200209,1.71,0.39
200210,0.68,-0.48
200211,0.02,-0.51
200212,0.21,-0.20
200301,0.54,0.14
200302,0.63,0.14
200303,0.38,-0.56
200304,2.47,0.68
200305,3.15,0.50
200306,2.90,-0.19
200307,1.82,-0.52
200308,0.90,-1.16
200309,1.21,-0.11
200310,0.67,-0.49
200311,0.71,0.18
200312,0.10,-0.31
200401,0.20,-0.20
200402,0.24,-0.25
200403,2.80,1.86
200404,0.23,-1.56
200405,3.31,0.66
200406,2.87,-0.22
200407,2.93,0.59
200408,2.05,-0.01
200409,4.61,3.29
200410,1.82,0.66
200411,0.36,-0.17
200412,0.03,-0.38
200501,0.25,-0.15
200502,0.24,-0.25
200503,0.54,-0.40
200504,1.92,0.13
200505,3.32,0.67
200506,4.25,1.16
200507,0.65,-1.69
200508,0.98,-1.08
200509,1.66,0.34
200510,0.53,-0.63
200511,1.11,0.58
200512,0.43,0.02
200601,0.52,0.12
200602,0.20,-0.29
200603,1.13,0.19
200604,1.13,-0.66
200605,0.62,-2.03
200606,1.01,-2.08
200607,0.60,-1.74
200608,3.73,1.67
200609,2.50,1.18
200610,0.10,-1.06
200611,0.24,-0.29
200612,0.33,-0.08
200701,0.13,-0.27
200702,0.69,0.20
200703,2.32,1.38
200704,1.87,0.08
200705,4.16,1.51
200706,4.12,1.03
200707,0.29,-2.05
200708,3.37,1.31
200709,1.13,-0.19
200710,3.71,2.55
200711,0.01,-0.52
200712,0.37,-0.04
200801,0.15,-0.25
200802,0.21,-0.28
200803,0.81,-0.13
200804,0.90,-0.89
200805,2.73,0.08
200806,4.90,1.81
200807,3.34,1.00
200808,1.19,-0.87
200809,2.40,1.08
200810,1.72,0.56
200811,0.81,0.28
200812,0.88,0.47
200901,0.19,-0.21
200902,1.15,0.66
200903,1.45,0.51
200904,1.48,-0.31
200905,0.80,-1.85
200906,2.48,-0.61
200907,2.79,0.45
200908,4.18,2.12
200909,0.86,-0.46
200910,3.85,2.69
200911,0.09,-0.44
200912,0.97,0.56
201001,0.63,0.23
201002,0.56,0.07
201003,1.36,0.42
201004,2.32,0.53
201005,4.49,1.84
201006,3.96,0.87
201007,4.16,1.82
201008,1.31,-0.75
201009,3.45,2.13
201010,1.19,0.03
201011,0.11,-0.42
201012,1.08,0.67
201101,0.72,0.32
201102,1.43,0.94
201103,0.84,-0.10
201104,2.72,0.93
201105,3.14,0.49
201106,6.62,3.53
201107,3.53,1.19
201108,1.75,-0.31
201109,0.87,-0.45
201110,1.69,0.53
201111,0.32,-0.21
201112,0.12,-0.29
201201,0.57,0.17
201202,1.56,1.07
201203,0.17,-0.77
201204,3.73,1.94
201205,2.16,-0.49
201206,2.48,-0.61
201207,1.05,-1.29
201208,0.28,-1.78
201209,0.04,-1.28
201210,0.31,-0.85
201211,0.27,-0.26
201212,0.64,0.23
201301,0.76,0.36
201302,0.84,0.35
201303,0.26,-0.68
201304,2.91,1.12
201305,4.57,1.92
201306,2.62,-0.47
201307,2.40,0.06
201308,2.22,0.16
201309,1.17,-0.15
201310,4.80,3.64
201311,0.27,-0.26
201312,0.84,0.43
201401,0.09,-0.31
201402,0.35,-0.14
201403,0.54,-0.40
201404,2.03,0.24
201405,2.90,0.25
201406,4.17,1.08
201407,0.79,-1.55
201408,2.54,0.48
201409,0.71,-0.61
201410,0.36,-0.80
201411,0.67,0.14
201412,0.67,0.26
201501,0.18,-0.22
201502,0.13,-0.36
201503,0.14,-0.80
201504,0.32,-1.47
201505,4.89,2.24
201506,4.79,1.70
201507,2.70,0.36
201508,2.64,0.58
201509,1.15,-0.17
201510,1.06,-0.10
201511,0.81,0.28
201512,0.96,0.55
201601,0.17,-0.23
201602,0.61,0.12
201603,0.86,-0.08
201604,4.55,2.76
201605,2.15,-0.50
201606,1.90,-1.19
201607,2.38,0.04
201608,2.31,0.25
201609,1.49,0.17
201610,0.82,-0.34
201611,0.89,0.36
201612,1.03,0.62
201701,0.76,0.36
201702,0.15,-0.34
201703,0.39,-0.55
201704,1.60,-0.19
201705,1.05,-1.60
201706,3.02,-0.07
201707,1.97,-0.37
201708,3.15,1.09
201709,2.27,0.95
201710,0.89,-0.27
201711,0.05,-0.48
201712,0.34,-0.07
201801,0.06,-0.34
201802,1.02,0.53
201803,1.07,0.13
201804,1.45,-0.34
201805,2.60,-0.05
201806,4.98,1.89
201807,1.43,-0.91
201808,1.33,-0.73
201809,1.87,0.55
201810,1.71,0.55
201811,0.48,-0.05
201812,0.71,0.30
201901,0.45,0.05
201902,0.92,0.43
201903,1.34,0.40
201904,2.63,0.84
201905,6.27,3.62
201906,1.67,-1.42
201907,4.77,2.43
201908,4.88,2.82
201909,3.45,2.13
201910,1.63,0.47
201911,0.85,0.32
201912,0.82,0.41
202001,0.26,-0.14
