Washington, D.C., Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.36,0.22
200002,2.18,-0.55
200003,4.05,0.46
200004,4.87,1.51
200005,2.66,-1.13
200006,4.75,1.04
200007,5.59,1.52
200008,4.19,-0.20
200009,5.08,1.45
200010,0.09,-2.96
200011,1.73,-1.17
200012,2.71,-0.53
200101,2.54,-0.60
200102,2.12,-0.61
200103,4.41,0.82
200104,1.93,-1.43
200105,4.80,1.01
200106,5.19,1.48
200107,5.44,1.37
200108,5.29,0.90
200109,2.50,-1.13
200110,0.86,-2.19
200111,0.86,-2.04
200112,1.68,-1.56
200201,1.46,-1.68
200202,0.43,-2.30
200203,3.59,0.00
200204,3.90,0.54
200205,3.02,-0.77
200206,2.73,-0.98
200207,2.80,-1.27
200208,2.67,-1.72
200209,3.09,-0.54
200210,5.75,2.70
200211,4.35,1.45
200212,4.46,1.22
200301,2.58,-0.56
200302,7.11,4.38
200303,4.09,0.50
200304,2.74,-0.62
200305,7.22,3.43
200306,7.95,4.24
200307,6.94,2.87
200308,4.70,0.31
200309,7.69,4.06
200310,4.76,1.71
200311,4.84,1.94
200312,4.87,1.63
200401,1.64,-1.50
200402,2.35,-0.38
200403,2.24,-1.35
200404,4.45,1.09
200405,3.04,-0.75
200406,4.61,0.90
200407,6.91,2.84
200408,4.27,-0.12
200409,4.41,0.78
200410,1.43,-1.62
200411,4.52,1.62
200412,3.11,-0.13
200501,3.33,0.19
200502,1.37,-1.36
200503,4.72,1.13
200504,3.86,0.50
200505,4.69,0.90
200506,2.78,-0.93
200507,6.12,2.05
200508,2.66,-1.73
200509,0.31,-3.32
200510,9.33,6.28
200511,2.16,-0.74
200512,3.36,0.12
200601,3.31,0.17
200602,2.18,-0.55
200603,0.09,-3.50
200604,3.40,0.04
200605,1.94,-1.85
200606,11.83,8.12
200607,3.37,-0.70
200608,0.92,-3.47
200609,7.08,3.45
200610,5.01,1.96
200611,5.77,2.87
200612,1.72,-1.52
200701,2.45,-0.69
200702,2.48,-0.25
200703,3.24,-0.35
200704,4.47,1.11
200705,1.22,-2.57
200706,2.31,-1.40
200707,2.59,-1.48
200708,3.46,-0.93
200709,0.88,-2.75
200710,5.61,2.56
200711,1.60,-1.30
200712,3.54,0.30
200801,1.41,-1.73
200802,3.86,1.13
200803,2.89,-0.70
200804,5.81,2.45
200805,7.99,4.20
200806,5.58,1.87
200807,4.11,0.04
200808,1.54,-2.85
200809,5.76,2.13
200810,1.62,-1.43
200811,2.07,-0.83
200812,3.58,0.34
200901,2.92,-0.22
200902,0.31,-2.42
200903,2.19,-1.40
200904,4.54,1.18
200905,7.76,3.97
200906,6.28,2.57
200907,2.95,-1.12
200908,4.67,0.28
200909,3.04,-0.59
200910,5.79,2.74
200911,4.62,1.72
200912,6.97,3.73
201001,1.93,-1.21
201002,3.38,0.65
201003,3.74,0.15
201004,1.64,-1.72
201005,2.84,-0.95
201006,1.95,-1.76
201007,4.58,0.51
201008,5.35,0.96
201009,4.53,0.90
201010,5.00,1.95
201011,2.14,-0.76
201012,1.89,-1.35
201101,2.14,-1.00
201102,1.88,-0.85
201103,4.95,1.36
201104,3.66,0.30
201105,2.38,-1.41
201106,1.71,-2.00
201107,2.85,-1.22
201108,9.26,4.87
201109,10.00,6.37
201110,3.86,0.81
201111,2.12,-0.78
201112,4.69,1.45
201201,2.25,-0.89
201202,1.53,-1.20
201203,2.44,-1.15
201204,2.03,-1.33
201205,3.29,-0.50
201206,2.75,-0.96
201207,3.33,-0.74
201208,2.79,-1.60
201209,3.40,-0.23
201210,7.18,4.13
201211,0.64,-2.26
201212,3.46,0.22
201301,2.85,-0.29
201302,1.73,-1.00
201303,2.85,-0.74
201304,2.52,-0.84
201305,2.96,-0.83
201306,8.12,4.41
201307,4.66,0.59
201308,2.28,-2.11
201309,1.73,-1.90
201310,6.41,3.36
201311,2.75,-0.15
201312,5.44,2.20
201401,2.56,-0.58
201402,4.47,1.74
201403,4.26,0.67
201404,5.19,1.83
201405,6.69,2.90
201406,3.55,-0.16
201407,3.77,-0.30
201408,4.15,-0.24
201409,2.34,-1.29
201410,3.66,0.61
201411,2.86,-0.04
201412,3.67,0.43
201501,3.46,0.32
201502,1.58,-1.15
201503,4.26,0.67
201504,3.59,0.23
201505,2.33,-1.46
201506,10.94,7.23
201507,4.13,0.06
201508,1.37,-3.02
201509,2.65,-0.98
201510,3.37,0.32
201511,2.21,-0.69
201512,4.83,1.59
201601,2.42,-0.72
201602,4.05,1.32
201603,1.32,-2.27
201604,1.90,-1.46
201605,5.79,2.00
201606,3.63,-0.08
201607,4.86,0.79
201608,2.87,-1.52
201609,3.41,-0.22
201610,0.86,-2.19
201611,0.56,-2.34
201612,3.48,0.24
201701,2.79,-0.35
201702,0.51,-2.22
201703,2.90,-0.69
201704,3.53,0.17
201705,6.35,2.56
201706,1.20,-2.51
201707,8.86,4.79
201708,5.19,0.80
201709,1.94,-1.69
201710,2.59,-0.46
201711,2.07,-0.83
201712,0.66,-2.58
201801,0.99,-2.15
201802,4.45,1.72
201803,2.06,-1.53
201804,3.99,0.63
201805,7.99,4.20
201806,5.79,2.08
201807,9.36,5.29
201808,5.48,1.09
201809,10.52,6.89
201810,3.22,0.17
201811,7.70,4.80
201812,5.77,2.53
201901,3.55,0.41
201902,3.37,0.64
201903,4.35,0.76
201904,2.41,-0.95
201905,5.03,1.24
201906,3.82,0.11
201907,6.03,1.96
201908,2.78,-1.61
201909,0.26,-3.37
201910,6.14,3.09
201911,2.10,-0.80
201912,3.40,0.16
202001,2.95,-0.19
