Bannock County, Idaho, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.60,0.33
200002,3.19,1.28
200003,1.53,-0.40
200004,1.31,-0.48
200005,1.22,-0.73
200006,0.29,-1.11
200007,0.35,-0.49
200008,0.79,-0.19
200009,0.79,-0.31
200010,2.20,0.77
200011,1.04,-0.76
200012,1.39,-0.71
200101,1.12,-1.15
200102,1.20,-0.71
200103,0.98,-0.95
200104,1.53,-0.26
200105,0.54,-1.41
200106,0.50,-0.90
200107,0.70,-0.14
200108,0.36,-0.62
200109,0.65,-0.45
200110,1.10,-0.33
200111,2.06,0.26
200112,3.11,1.01
200201,1.70,-0.57
200202,0.54,-1.37
200203,1.47,-0.46
200204,2.02,0.23
200205,1.89,-0.06
200206,0.62,-0.78
200207,0.63,-0.21
200208,0.04,-0.94
200209,1.98,0.88
200210,0.91,-0.52
200211,1.08,-0.72
200212,1.82,-0.28
200301,0.76,-1.51
200302,1.63,-0.28
200303,1.29,-0.64
200304,1.42,-0.37
200305,1.29,-0.66
200306,0.30,-1.10
200307,0.23,-0.61
200308,0.94,-0.04
200309,0.91,-0.19
200310,0.15,-1.28
200311,1.71,-0.09
200312,3.50,1.40
200401,1.58,-0.69
200402,2.79,0.88
200403,1.07,-0.86
200404,1.03,-0.76
200405,2.08,0.13
200406,1.26,-0.14
200407,1.03,0.19
200408,1.29,0.31
200409,1.12,0.02
200410,3.55,2.12
200411,0.70,-1.10
200412,2.06,-0.04
200501,2.36,0.09
200502,1.05,-0.86
200503,1.69,-0.24
200504,2.56,0.77
200505,3.53,1.58
200506,2.18,0.78
200507,0.23,-0.61
200508,0.75,-0.23
200509,1.18,0.08
200510,1.83,0.40
200511,1.79,-0.01
200512,3.43,1.33
200601,3.67,1.40
200602,1.09,-0.82
200603,2.92,0.99
200604,3.14,1.35
200605,0.84,-1.11
200606,0.97,-0.43
200607,0.56,-0.28
200608,0.57,-0.41
200609,2.33,1.23
200610,1.72,0.29
200611,1.67,-0.13
200612,2.12,0.02
200701,0.66,-1.61
200702,1.96,0.05
200703,1.03,-0.90
200704,1.85,0.06
200705,0.64,-1.31
200706,1.47,0.07
200707,0.63,-0.21
200708,0.95,-0.03
200709,1.59,0.49
200710,2.00,0.57
200711,0.72,-1.08
200712,2.09,-0.01
200801,2.17,-0.10
200802,1.92,0.01
200803,1.35,-0.58
200804,0.68,-1.11
200805,2.13,0.18
200806,0.79,-0.61
200807,0.15,-0.69
200808,0.47,-0.51
200809,0.39,-0.71
200810,1.29,-0.14
200811,2.24,0.44
200812,2.67,0.57
200901,1.96,-0.31
200902,1.59,-0.32
200903,2.04,0.11
200904,2.18,0.39
200905,1.77,-0.18
200906,5.21,3.81
200907,0.82,-0.02
200908,1.01,0.03
200909,0.84,-0.26
200910,1.83,0.40
200911,0.20,-1.60
200912,1.18,-0.92
201001,2.13,-0.14
201002,1.12,-0.79
201003,1.06,-0.87
201004,2.29,0.50
201005,2.24,0.29
201006,1.74,0.34
201007,0.31,-0.53
201008,1.04,0.06
201009,0.28,-0.82
201010,2.12,0.69
201011,3.09,1.29
201012,3.55,1.45
201101,1.99,-0.28
201102,1.13,-0.78
201103,3.05,1.12
201104,1.91,0.12
201105,3.67,1.72
201106,1.23,-0.17
201107,0.75,-0.09
201108,1.06,0.08
201109,0.77,-0.33
201110,2.74,1.31
201111,1.57,-0.23
201112,0.67,-1.43
201201,2.98,0.71
201202,1.24,-0.67
201203,1.59,-0.34
201204,1.56,-0.23
201205,1.96,0.01
201206,0.20,-1.20
201207,0.83,-0.01
201208,0.28,-0.70
201209,0.43,-0.67
201210,1.49,0.06
201211,1.58,-0.22
201212,3.20,1.10
201301,1.39,-0.88
201302,1.01,-0.90
201303,1.03,-0.90
201304,1.25,-0.54
201305,1.50,-0.45
201306,0.33,-1.07
201307,0.99,0.15
201308,0.94,-0.04
201309,2.19,1.09
201310,1.12,-0.31
201311,0.69,-1.11
201312,1.14,-0.96
201401,1.42,-0.85
201402,2.49,0.58
201403,2.72,0.79
201404,1.85,0.06
201405,0.78,-1.17
201406,0.85,-0.55
201407,0.53,-0.31
201408,3.77,2.79
201409,2.97,1.87
201410,0.30,-1.13
201411,1.70,-0.10
201412,1.85,-0.25
201501,0.96,-1.31
201502,1.14,-0.77
201503,0.57,-1.36
201504,1.32,-0.47
201505,4.68,2.73
201506,0.52,-0.88
201507,1.58,0.74
201508,1.15,0.17
201509,2.05,0.95
201510,1.85,0.42
201511,1.49,-0.31
201512,2.26,0.16
201601,2.47,0.20
201602,0.80,-1.11
201603,3.52,1.59
201604,1.74,-0.05
201605,2.25,0.30
201606,0.21,-1.19
201607,0.30,-0.54
201608,0.10,-0.88
201609,3.52,2.42
201610,3.66,2.23
201611,0.98,-0.82
201612,3.75,1.65
201701,4.91,2.64
201702,3.85,1.94
201703,1.53,-0.40
201704,3.52,1.73
201705,1.02,-0.93
201706,0.92,-0.48
201707,0.35,-0.49
201708,0.52,-0.46
201709,3.22,2.12
201710,0.72,-0.71
201711,2.08,0.28
201712,1.08,-1.02
201801,1.36,-0.91
201802,1.08,-0.83
201803,3.24,1.31
201804,1.84,0.05
201805,1.88,-0.07
201806,0.60,-0.80
201807,0.11,-0.73
201808,0.36,-0.62
201809,0.01,-1.09
201810,1.69,0.26
201811,1.52,-0.28
201812,1.25,-0.85
201901,2.02,-0.25
201902,4.35,2.44
201903,1.78,-0.15
201904,2.91,1.12
201905,2.77,0.82
201906,0.75,-0.65
201907,0.36,-0.48
201908,0.25,-0.73
201909,2.10,1.00
201910,0.74,-0.69
201911,0.63,-1.17
201912,1.56,-0.54
202001,2.35,0.08
