Pitkin County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.77,0.87
200002,3.67,0.70
200003,3.57,0.20
200004,2.37,-0.72
200005,2.14,-0.08
200006,1.16,-0.20
200007,1.69,-0.38
200008,2.40,0.39
200009,2.47,0.53
200010,1.17,-0.94
200011,2.30,-0.19
200012,2.29,-0.36
200101,1.34,-1.56
200102,2.42,-0.55
200103,2.92,-0.45
200104,3.19,0.10
200105,2.33,0.11
200106,1.41,0.05
200107,2.34,0.27
200108,3.39,1.38
200109,1.41,-0.53
200110,1.51,-0.60
200111,2.84,0.35
200112,1.88,-0.77
200201,1.62,-1.28
200202,1.74,-1.23
200203,2.84,-0.53
200204,1.48,-1.61
200205,0.58,-1.64
200206,0.14,-1.22
200207,1.31,-0.76
200208,1.35,-0.66
200209,3.76,1.82
200210,2.72,0.61
200211,3.12,0.63
200212,1.49,-1.16
200301,0.86,-2.04
200302,2.92,-0.05
200303,3.13,-0.24
200304,2.96,-0.13
200305,2.81,0.59
200306,1.41,0.05
200307,0.89,-1.18
200308,2.17,0.16
200309,2.74,0.80
200310,0.71,-1.40
200311,3.73,1.24
200312,2.85,0.20
200401,2.19,-0.71
200402,2.26,-0.71
200403,1.59,-1.78
200404,4.01,0.92
200405,1.01,-1.21
200406,1.54,0.18
200407,1.49,-0.58
200408,0.82,-1.19
200409,3.02,1.08
200410,2.27,0.16
200411,3.09,0.60
200412,2.00,-0.65
200501,4.89,1.99
200502,2.68,-0.29
200503,2.38,-0.99
200504,3.11,0.02
200505,1.74,-0.48
200506,2.07,0.71
200507,1.31,-0.76
200508,2.19,0.18
200509,2.80,0.86
200510,4.04,1.93
200511,3.10,0.61
200512,4.01,1.36
200601,3.09,0.19
200602,1.67,-1.30
200603,3.16,-0.21
200604,1.99,-1.10
200605,1.03,-1.19
200606,0.47,-0.89
200607,2.85,0.78
200608,2.33,0.32
200609,3.11,1.17
200610,4.51,2.40
200611,3.18,0.69
200612,1.56,-1.09
200701,1.98,-0.92
200702,2.80,-0.17
200703,2.38,-0.99
200704,2.71,-0.38
200705,1.87,-0.35
200706,0.78,-0.58
200707,2.52,0.45
200708,1.95,-0.06
200709,3.27,1.33
200710,2.96,0.85
200711,1.01,-1.48
200712,5.67,3.02
200801,5.31,2.41
200802,4.47,1.50
200803,3.56,0.19
200804,2.74,-0.35
200805,2.86,0.64
200806,0.72,-0.64
200807,1.37,-0.70
200808,1.91,-0.10
200809,1.28,-0.66
200810,1.24,-0.87
200811,2.60,0.11
200812,5.53,2.88
200901,3.30,0.40
200902,2.22,-0.75
200903,2.68,-0.69
200904,3.50,0.41
200905,2.70,0.48
200906,1.89,0.53
200907,1.51,-0.56
200908,0.74,-1.27
200909,1.71,-0.23
200910,2.91,0.80
200911,1.26,-1.23
200912,2.59,-0.06
201001,1.71,-1.19
201002,3.26,0.29
201003,2.40,-0.97
201004,4.05,0.96
201005,2.03,-0.19
201006,1.53,0.17
201007,1.97,-0.10
201008,2.99,0.98
201009,1.00,-0.94
201010,3.22,1.11
201011,2.70,0.21
201012,3.95,1.30
201101,2.63,-0.27
201102,3.20,0.23
201103,3.57,0.20
201104,6.04,2.95
201105,3.04,0.82
201106,0.89,-0.47
201107,2.57,0.50
201108,1.14,-0.87
201109,1.27,-0.67
201110,3.01,0.90
201111,1.90,-0.59
201112,0.98,-1.67
201201,3.14,0.24
201202,2.53,-0.44
201203,1.04,-2.33
201204,2.22,-0.87
201205,1.23,-0.99
201206,0.29,-1.07
201207,2.99,0.92
201208,2.48,0.47
201209,1.81,-0.13
201210,1.47,-0.64
201211,0.95,-1.54
201212,2.69,0.04
201301,2.07,-0.83
201302,2.11,-0.86
201303,2.70,-0.67
201304,4.48,1.39
201305,2.85,0.63
201306,0.19,-1.17
201307,2.81,0.74
201308,2.14,0.13
201309,4.36,2.42
201310,2.75,0.64
201311,2.48,-0.01
201312,3.15,0.50
201401,4.41,1.51
201402,3.12,0.15
201403,2.95,-0.42
201404,2.17,-0.92
201405,2.41,0.19
201406,0.34,-1.02
201407,2.07,0.00
201408,3.15,1.14
201409,2.78,0.84
201410,1.84,-0.27
201411,3.24,0.75
201412,3.69,1.04
201501,0.98,-1.92
201502,1.99,-0.98
201503,2.31,-1.06
201504,2.52,-0.57
201505,5.07,2.85
201506,1.37,0.01
201507,2.95,0.88
201508,1.96,-0.05
201509,1.58,-0.36
201510,2.30,0.19
201511,2.61,0.12
201512,3.05,0.40
201601,3.20,0.30
201602,1.69,-1.28
201603,2.59,-0.78
201604,3.70,0.61
201605,2.42,0.20
201606,0.78,-0.58
201607,1.53,-0.54
201608,2.67,0.66
201609,1.48,-0.46
201610,1.08,-1.03
201611,1.90,-0.59
201612,4.56,1.91
201701,5.98,3.08
201702,2.84,-0.13
201703,1.76,-1.61
201704,2.52,-0.57
201705,2.53,0.31
201706,0.20,-1.16
201707,2.25,0.18
201708,1.76,-0.25
201709,2.12,0.18
201710,2.28,0.17
201711,1.07,-1.42
201712,1.16,-1.49
201801,2.06,-0.84
201802,3.19,0.22
201803,1.82,-1.55
201804,4.00,0.91
201805,0.86,-1.36
201806,0.63,-0.73
201807,0.82,-1.25
201808,1.73,-0.28
201809,0.66,-1.28
201810,3.20,1.09
201811,2.64,0.15
201812,2.00,-0.65
201901,3.09,0.19
201902,3.20,0.23
201903,6.84,3.47
201904,3.45,0.36
201905,4.15,1.93
201906,1.50,0.14
201907,0.87,-1.20
201908,1.25,-0.76
201909,0.69,-1.25
201910,2.21,0.10
201911,1.93,-0.56
201912,2.82,0.17
202001,2.45,-0.45
