Sullivan County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.64,0.31
200002,3.24,0.35
200003,3.90,0.38
200004,4.61,0.66
200005,5.77,1.65
200006,7.55,3.31
200007,5.84,1.56
200008,3.64,-0.68
200009,4.13,0.09
200010,2.36,-1.27
200011,2.66,-1.10
200012,5.41,1.88
200101,1.57,-1.76
200102,2.59,-0.30
200103,4.81,1.29
200104,1.39,-2.56
200105,3.42,-0.70
200106,4.83,0.59
200107,2.59,-1.69
200108,2.94,-1.38
200109,5.06,1.02
200110,0.98,-2.65
200111,1.13,-2.63
200112,2.87,-0.66
200201,1.88,-1.45
200202,1.49,-1.40
200203,3.74,0.22
200204,4.21,0.26
200205,5.98,1.86
200206,5.67,1.43
200207,1.61,-2.67
200208,4.17,-0.15
200209,5.35,1.31
200210,6.37,2.74
200211,4.40,0.64
200212,4.70,1.17
200301,2.83,-0.50
200302,3.36,0.47
200303,3.66,0.14
200304,2.12,-1.83
200305,3.98,-0.14
200306,6.84,2.60
200307,4.06,-0.22
200308,6.02,1.70
200309,10.20,6.16
200310,6.89,3.26
200311,4.85,1.09
200312,5.52,1.99
200401,2.89,-0.44
200402,1.50,-1.39
200403,2.20,-1.32
200404,3.82,-0.13
200405,4.37,0.25
200406,2.95,-1.29
200407,6.79,2.51
200408,8.65,4.33
200409,9.66,5.62
200410,2.58,-1.05
200411,3.66,-0.10
200412,4.13,0.60
200501,6.45,3.12
200502,2.18,-0.71
200503,4.41,0.89
200504,6.07,2.12
200505,1.71,-2.41
200506,3.65,-0.59
200507,3.00,-1.28
200508,3.77,-0.55
200509,2.01,-2.03
200510,14.08,10.45
200511,4.41,0.65
200512,3.13,-0.40
200601,5.74,2.41
200602,1.67,-1.22
200603,1.10,-2.42
200604,4.03,0.08
200605,4.69,0.57
200606,10.83,6.59
200607,3.21,-1.07
200608,6.41,2.09
200609,5.55,1.51
200610,5.89,2.26
200611,4.62,0.86
200612,2.11,-1.42
200701,4.06,0.73
200702,2.63,-0.26
200703,3.78,0.26
200704,6.95,3.00
200705,1.40,-2.72
200706,3.42,-0.82
200707,5.87,1.59
200708,4.12,-0.20
200709,1.88,-2.16
200710,6.85,3.22
200711,4.22,0.46
200712,5.85,2.32
200801,1.96,-1.37
200802,7.62,4.73
200803,6.72,3.20
200804,3.17,-0.78
200805,2.90,-1.22
200806,4.15,-0.09
200807,5.33,1.05
200808,2.64,-1.68
200809,5.76,1.72
200810,4.73,1.10
200811,2.50,-1.26
200812,6.66,3.13
200901,3.25,-0.08
200902,1.46,-1.43
200903,2.42,-1.10
200904,2.50,-1.45
200905,6.21,2.09
200906,8.74,4.50
200907,6.94,2.66
200908,7.52,3.20
200909,2.31,-1.73
200910,5.31,1.68
200911,1.61,-2.15
200912,5.13,1.60
201001,2.50,-0.83
201002,3.84,0.95
201003,5.91,2.39
201004,2.55,-1.40
201005,3.24,-0.88
201006,4.13,-0.11
201007,4.25,-0.03
201008,5.59,1.27
201009,2.66,-1.38
201010,7.73,4.10
201011,3.12,-0.64
201012,4.20,0.67
201101,1.95,-1.38
201102,3.80,0.91
201103,6.21,2.69
201104,6.96,3.01
201105,6.78,2.66
201106,6.90,2.66
201107,5.23,0.95
201108,11.91,7.59
201109,12.23,8.19
201110,4.25,0.62
201111,3.76,0.00
201112,4.14,0.61
201201,3.04,-0.29
201202,1.17,-1.72
201203,1.62,-1.90
201204,2.72,-1.23
201205,6.80,2.68
201206,3.33,-0.91
201207,5.45,1.17
201208,3.58,-0.74
201209,5.75,1.71
201210,5.53,1.90
201211,1.13,-2.63
201212,5.36,1.83
201301,2.37,-0.96
201302,1.82,-1.07
201303,2.27,-1.25
201304,3.00,-0.95
201305,3.98,-0.14
201306,8.79,4.55
201307,4.93,0.65
201308,5.14,0.82
201309,2.88,-1.16
201310,1.98,-1.65
201311,3.80,0.04
201312,4.17,0.64
201401,3.32,-0.01
201402,3.84,0.95
201403,2.34,-1.18
201404,2.67,-1.28
201405,4.70,0.58
201406,5.87,1.63
201407,6.18,1.90
201408,2.54,-1.78
201409,1.26,-2.78
201410,4.90,1.27
201411,2.51,-1.25
201412,3.49,-0.04
201501,2.82,-0.51
201502,2.17,-0.72
201503,2.00,-1.52
201504,3.11,-0.84
201505,2.29,-1.83
201506,7.34,3.10
201507,4.53,0.25
201508,3.97,-0.35
201509,4.47,0.43
201510,4.17,0.54
201511,2.64,-1.12
201512,4.63,1.10
201601,1.75,-1.58
201602,4.34,1.45
201603,1.45,-2.07
201604,2.43,-1.52
201605,3.54,-0.58
201606,3.62,-0.62
201607,5.39,1.11
201608,4.84,0.52
201609,1.57,-2.47
201610,2.85,-0.78
201611,3.19,-0.57
201612,4.46,0.93
201701,3.46,0.13
201702,2.54,-0.35
201703,4.13,0.61
201704,5.56,1.61
201705,4.58,0.46
201706,3.64,-0.60
201707,4.96,0.68
201708,4.21,-0.11
201709,2.69,-1.35
201710,6.61,2.98
201711,1.53,-2.23
201712,1.91,-1.62
201801,3.90,0.57
201802,5.03,2.14
201803,3.73,0.21
201804,4.11,0.16
201805,4.04,-0.08
201806,2.77,-1.47
201807,7.26,2.98
201808,7.34,3.02
201809,8.02,3.98
201810,6.01,2.38
201811,8.28,4.52
201812,4.09,0.56
201901,5.78,2.45
201902,2.58,-0.31
201903,2.57,-0.95
201904,6.11,2.16
201905,6.35,2.23
201906,5.03,0.79
201907,3.82,-0.46
201908,4.32,0.00
201909,1.57,-2.47
201910,6.77,3.14
201911,3.65,-0.11
201912,4.20,0.67
202001,2.37,-0.96
