St. Joseph County, Indiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.13,-0.06
200002,1.64,-0.14
200003,1.88,-0.92
200004,3.68,0.13
200005,4.70,0.91
200006,7.34,3.30
200007,3.12,-0.43
200008,2.45,-1.23
200009,3.67,0.25
200010,2.36,-0.70
200011,2.98,0.20
200012,2.98,0.40
200101,0.98,-1.21
200102,4.07,2.29
200103,0.88,-1.92
200104,3.90,0.35
200105,3.97,0.18
200106,4.45,0.41
200107,4.47,0.92
200108,4.15,0.47
200109,3.36,-0.06
200110,7.60,4.54
200111,2.76,-0.02
200112,1.88,-0.70
200201,2.89,0.70
200202,1.99,0.21
200203,3.17,0.37
200204,4.22,0.67
200205,5.62,1.83
200206,2.27,-1.77
200207,3.19,-0.36
200208,2.78,-0.90
200209,1.45,-1.97
200210,1.55,-1.51
200211,1.90,-0.88
200212,1.92,-0.66
200301,1.24,-0.95
200302,0.94,-0.84
200303,1.71,-1.09
200304,2.94,-0.61
200305,6.95,3.16
200306,1.56,-2.48
200307,6.07,2.52
200308,2.89,-0.79
200309,4.13,0.71
200310,2.72,-0.34
200311,5.09,2.31
200312,2.42,-0.16
200401,1.44,-0.75
200402,0.80,-0.98
200403,3.28,0.48
200404,0.69,-2.86
200405,6.41,2.62
200406,4.72,0.68
200407,4.31,0.76
200408,6.55,2.87
200409,1.16,-2.26
200410,1.88,-1.18
200411,4.58,1.80
200412,2.90,0.32
200501,5.56,3.37
200502,2.23,0.45
200503,2.06,-0.74
200504,1.17,-2.38
200505,1.23,-2.56
200506,2.47,-1.57
200507,4.77,1.22
200508,2.87,-0.81
200509,4.04,0.62
200510,1.35,-1.71
200511,2.61,-0.17
200512,2.07,-0.51
200601,3.20,1.01
200602,1.17,-0.61
200603,3.29,0.49
200604,2.28,-1.27
200605,4.56,0.77
200606,1.98,-2.06
200607,8.01,4.46
200608,4.24,0.56
200609,2.95,-0.47
200610,4.70,1.64
200611,2.93,0.15
200612,3.80,1.22
200701,3.82,1.63
200702,1.54,-0.24
200703,2.12,-0.68
200704,4.40,0.85
200705,2.09,-1.70
200706,2.56,-1.48
200707,5.12,1.57
200708,10.49,6.81
200709,1.93,-1.49
200710,4.02,0.96
200711,2.64,-0.14
200712,4.05,1.47
200801,5.48,3.29
200802,4.18,2.40
200803,2.49,-0.31
200804,2.69,-0.86
200805,3.10,-0.69
200806,3.86,-0.18
200807,2.89,-0.66
200808,2.40,-1.28
200809,11.25,7.83
200810,3.30,0.24
200811,1.80,-0.98
200812,4.08,1.50
200901,1.63,-0.56
200902,3.32,1.54
200903,5.12,2.32
200904,4.35,0.80
200905,3.73,-0.06
200906,4.72,0.68
200907,2.52,-1.03
200908,6.19,2.51
200909,0.96,-2.46
200910,5.90,2.84
200911,1.58,-1.20
200912,2.41,-0.17
201001,1.49,-0.70
201002,1.55,-0.23
201003,1.77,-1.03
201004,3.05,-0.50
201005,5.74,1.95
201006,5.88,1.84
201007,4.00,0.45
201008,1.29,-2.39
201009,2.38,-1.04
201010,1.16,-1.90
201011,2.97,0.19
201012,1.84,-0.74
201101,1.66,-0.53
201102,2.77,0.99
201103,2.33,-0.47
201104,7.48,3.93
201105,6.83,3.04
201106,4.23,0.19
201107,3.63,0.08
201108,2.23,-1.45
201109,4.95,1.53
201110,4.75,1.69
201111,4.11,1.33
201112,2.88,0.30
201201,2.86,0.67
201202,2.16,0.38
201203,1.57,-1.23
201204,1.99,-1.56
201205,2.02,-1.77
201206,1.87,-2.17
201207,4.96,1.41
201208,4.61,0.93
201209,1.83,-1.59
201210,4.13,1.07
201211,0.50,-2.28
201212,3.19,0.61
201301,4.35,2.16
201302,2.12,0.34
201303,1.29,-1.51
201304,6.19,2.64
201305,3.08,-0.71
201306,5.38,1.34
201307,2.22,-1.33
201308,3.13,-0.55
201309,3.10,-0.32
201310,3.92,0.86
201311,3.23,0.45
201312,2.33,-0.25
201401,2.69,0.50
201402,2.50,0.72
201403,1.49,-1.31
201404,2.69,-0.86
201405,5.17,1.38
201406,7.35,3.31
201407,2.30,-1.25
201408,4.87,1.19
201409,3.23,-0.19
201410,4.60,1.54
201411,3.20,0.42
201412,1.56,-1.02
201501,1.73,-0.46
201502,1.94,0.16
201503,0.72,-2.08
201504,2.38,-1.17
201505,5.76,1.97
201506,6.04,2.00
201507,5.30,1.75
201508,3.10,-0.58
201509,3.70,0.28
201510,1.46,-1.60
201511,2.48,-0.30
201512,4.95,2.37
201601,1.47,-0.72
201602,1.76,-0.02
201603,3.69,0.89
201604,3.64,0.09
201605,3.57,-0.22
201606,4.20,0.16
201607,3.14,-0.41
201608,10.18,6.50
201609,3.76,0.34
201610,4.25,1.19
201611,3.39,0.61
201612,2.16,-0.42
201701,3.67,1.48
201702,2.19,0.41
201703,3.99,1.19
201704,3.14,-0.41
201705,5.13,1.34
201706,2.42,-1.62
201707,4.60,1.05
201708,2.59,-1.09
201709,2.17,-1.25
201710,6.62,3.56
201711,3.78,1.00
201712,1.19,-1.39
201801,1.77,-0.42
201802,7.41,5.63
201803,1.86,-0.94
201804,2.97,-0.58
201805,7.05,3.26
201806,4.71,0.67
201807,3.62,0.07
201808,5.23,1.55
201809,2.27,-1.15
201810,5.34,2.28
201811,3.25,0.47
201812,2.36,-0.22
201901,2.33,0.14
201902,1.95,0.17
201903,2.83,0.03
201904,4.65,1.10
201905,6.65,2.86
201906,5.16,1.12
201907,3.14,-0.41
201908,1.93,-1.75
201909,6.39,2.97
201910,4.46,1.40
201911,1.67,-1.11
201912,2.42,-0.16
202001,4.19,2.00
