Collin County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.03,-0.13
200002,2.36,-0.19
200003,3.07,0.03
200004,3.17,-1.03
200005,5.30,0.16
200006,7.85,4.25
200007,0.24,-2.36
200008,0.00,-2.29
200009,0.67,-2.47
200010,4.54,0.83
200011,8.15,5.29
200012,4.96,2.22
200101,2.78,0.62
200102,7.37,4.82
200103,5.41,2.37
200104,1.46,-2.74
200105,5.62,0.48
200106,2.53,-1.07
200107,0.72,-1.88
200108,4.38,2.09
200109,4.87,1.73
200110,2.59,-1.12
200111,1.46,-1.40
200112,4.24,1.50
200201,3.83,1.67
200202,1.48,-1.07
200203,7.21,4.17
200204,4.51,0.31
200205,5.02,-0.12
200206,2.16,-1.44
200207,3.44,0.84
200208,2.34,0.05
200209,2.05,-1.09
200210,7.35,3.64
200211,0.75,-2.11
200212,4.46,1.72
200301,0.19,-1.97
200302,3.34,0.79
200303,0.96,-2.08
200304,1.76,-2.44
200305,3.94,-1.20
200306,4.29,0.69
200307,0.74,-1.86
200308,1.72,-0.57
200309,4.88,1.74
200310,0.64,-3.07
200311,3.04,0.18
200312,1.43,-1.31
200401,3.24,1.08
200402,4.64,2.09
200403,2.09,-0.95
200404,3.95,-0.25
200405,2.48,-2.66
200406,8.85,5.25
200407,4.19,1.59
200408,2.34,0.05
200409,1.00,-2.14
200410,4.67,0.96
200411,6.23,3.37
200412,1.11,-1.63
200501,5.19,3.03
200502,1.94,-0.61
200503,2.48,-0.56
200504,1.09,-3.11
200505,3.54,-1.60
200506,0.97,-2.63
200507,2.29,-0.31
200508,2.26,-0.03
200509,0.79,-2.35
200510,0.51,-3.20
200511,0.67,-2.19
200512,0.32,-2.42
200601,2.50,0.34
200602,3.34,0.79
200603,5.53,2.49
200604,2.00,-2.20
200605,1.85,-3.29
200606,0.41,-3.19
200607,0.93,-1.67
200608,1.05,-1.24
200609,2.86,-0.28
200610,4.80,1.09
200611,3.64,0.78
200612,3.67,0.93
200701,5.40,3.24
200702,0.49,-2.06
200703,4.57,1.53
200704,3.72,-0.48
200705,7.55,2.41
200706,10.58,6.98
200707,4.45,1.85
200708,2.13,-0.16
200709,2.40,-0.74
200710,4.95,1.24
200711,1.29,-1.57
200712,3.09,0.35
200801,0.37,-1.79
200802,2.76,0.21
200803,8.99,5.95
200804,5.26,1.06
200805,3.79,-1.35
200806,2.81,-0.79
200807,0.71,-1.89
200808,5.20,2.91
200809,2.28,-0.86
200810,1.26,-2.45
200811,3.48,0.62
200812,0.77,-1.97
200901,0.95,-1.21
200902,0.96,-1.59
200903,4.09,1.05
200904,5.31,1.11
200905,6.61,1.47
200906,2.42,-1.18
200907,4.89,2.29
200908,2.21,-0.08
200909,6.12,2.98
200910,11.70,7.99
200911,2.51,-0.35
200912,2.74,0.00
201001,3.01,0.85
201002,3.60,1.05
201003,3.69,0.65
201004,1.65,-2.55
201005,1.69,-3.45
201006,1.49,-2.11
201007,3.15,0.55
201008,1.18,-1.11
201009,7.74,4.60
201010,1.82,-1.89
201011,2.71,-0.15
201012,2.16,-0.58
201101,1.50,-0.66
201102,1.42,-1.13
201103,0.22,-2.82
201104,4.15,-0.05
201105,6.56,1.42
201106,1.63,-1.97
201107,0.03,-2.57
201108,0.58,-1.71
201109,1.46,-1.68
201110,3.77,0.06
201111,1.67,-1.19
201112,4.95,2.21
201201,6.37,4.21
201202,1.82,-0.73
201203,6.62,3.58
201204,2.06,-2.14
201205,3.20,-1.94
201206,2.99,-0.61
201207,1.71,-0.89
201208,3.06,0.77
201209,2.16,-0.98
201210,1.45,-2.26
201211,0.04,-2.82
201212,2.68,-0.06
201301,4.09,1.93
201302,1.84,-0.71
201303,3.83,0.79
201304,2.57,-1.63
201305,4.47,-0.67
201306,2.58,-1.02
201307,1.85,-0.75
201308,0.34,-1.95
201309,3.33,0.19
201310,3.59,-0.12
201311,2.63,-0.23
201312,2.67,-0.07
201401,0.33,-1.83
201402,0.59,-1.96
201403,1.74,-1.30
201404,2.99,-1.21
201405,3.63,-1.51
201406,2.63,-0.97
201407,5.41,2.81
201408,1.62,-0.67
201409,0.58,-2.56
201410,3.92,0.21
201411,1.71,-1.15
201412,1.63,-1.11
201501,3.43,1.27
201502,3.63,1.08
201503,4.28,1.24
201504,7.31,3.11
201505,14.66,9.52
201506,5.45,1.85
201507,1.12,-1.48
201508,0.29,-2.00
201509,1.02,-2.12
201510,9.27,5.56
201511,13.52,10.66
201512,6.13,3.39
201601,1.38,-0.78
201602,2.28,-0.27
201603,4.25,1.21
201604,8.16,3.96
201605,5.79,0.65
201606,5.11,1.51
201607,2.29,-0.31
201608,3.59,1.30
201609,4.47,1.33
201610,1.75,-1.96
201611,4.25,1.39
201612,0.74,-2.00
201701,2.52,0.36
201702,2.47,-0.08
201703,1.47,-1.57
201704,4.01,-0.19
201705,1.14,-4.00
201706,6.00,2.40
201707,4.78,2.18
201708,7.13,4.84
201709,0.27,-2.87
201710,2.24,-1.47
201711,0.95,-1.91
201712,4.52,1.78
201801,0.66,-1.50
201802,8.06,5.51
201803,3.31,0.27
201804,1.64,-2.56
201805,2.58,-2.56
201806,1.68,-1.92
201807,0.97,-1.63
201808,3.47,1.18
201809,12.99,9.85
201810,11.61,7.90
201811,1.68,-1.18
201812,5.96,3.22
201901,1.93,-0.23
201902,1.96,-0.59
201903,3.47,0.43
201904,7.73,3.53
201905,8.23,3.09
201906,5.96,2.36
201907,0.59,-2.01
201908,2.40,0.11
201909,0.34,-2.80
201910,5.63,1.92
201911,3.43,0.57
201912,1.35,-1.39
202001,3.59,1.43
