Elko County, Nevada, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.10,0.52
200002,2.58,1.19
200003,1.25,-0.12
200004,1.03,-0.29
200005,1.65,0.03
200006,0.21,-0.91
200007,0.07,-0.49
200008,0.40,-0.14
200009,0.50,-0.21
200010,1.93,0.88
200011,0.62,-0.70
200012,0.89,-0.56
200101,1.00,-0.58
200102,0.86,-0.53
200103,1.41,0.04
200104,1.51,0.19
200105,0.26,-1.36
200106,0.49,-0.63
200107,0.90,0.34
200108,0.27,-0.27
200109,0.42,-0.29
200110,0.45,-0.60
200111,2.13,0.81
200112,2.08,0.63
200201,1.14,-0.44
200202,0.62,-0.77
200203,0.88,-0.49
200204,1.83,0.51
200205,1.09,-0.53
200206,0.57,-0.55
200207,0.23,-0.33
200208,0.09,-0.45
200209,1.06,0.35
200210,0.36,-0.69
200211,1.37,0.05
200212,1.17,-0.28
200301,0.82,-0.76
200302,0.72,-0.67
200303,1.24,-0.13
200304,2.60,1.28
200305,1.51,-0.11
200306,0.20,-0.92
200307,0.40,-0.16
200308,1.47,0.93
200309,0.40,-0.31
200310,0.21,-0.84
200311,1.32,0.00
200312,2.56,1.11
200401,1.06,-0.52
200402,1.61,0.22
200403,0.40,-0.97
200404,1.85,0.53
200405,1.59,-0.03
200406,0.44,-0.68
200407,0.91,0.35
200408,1.20,0.66
200409,0.92,0.21
200410,2.26,1.21
200411,1.23,-0.09
200412,1.37,-0.08
200501,2.27,0.69
200502,0.99,-0.40
200503,1.67,0.30
200504,2.77,1.45
200505,3.29,1.67
200506,1.28,0.16
200507,0.25,-0.31
200508,0.46,-0.08
200509,0.54,-0.17
200510,1.07,0.02
200511,1.62,0.30
200512,2.83,1.38
200601,2.53,0.95
200602,1.26,-0.13
200603,2.23,0.86
200604,2.26,0.94
200605,1.10,-0.52
200606,0.75,-0.37
200607,0.70,0.14
200608,0.10,-0.44
200609,0.51,-0.20
200610,1.24,0.19
200611,1.51,0.19
200612,1.29,-0.16
200701,0.40,-1.18
200702,1.59,0.20
200703,1.12,-0.25
200704,1.27,-0.05
200705,0.51,-1.11
200706,0.79,-0.33
200707,0.55,-0.01
200708,0.26,-0.28
200709,0.77,0.06
200710,1.50,0.45
200711,0.50,-0.82
200712,1.74,0.29
200801,1.83,0.25
200802,1.55,0.16
200803,0.94,-0.43
200804,0.80,-0.52
200805,1.23,-0.39
200806,0.73,-0.39
200807,0.29,-0.27
200808,0.16,-0.38
200809,0.10,-0.61
200810,0.69,-0.36
200811,1.69,0.37
200812,1.85,0.40
200901,1.36,-0.22
200902,0.95,-0.44
200903,1.12,-0.25
200904,1.70,0.38
200905,1.07,-0.55
200906,3.70,2.58
200907,0.42,-0.14
200908,0.67,0.13
200909,0.41,-0.30
200910,1.51,0.46
200911,0.25,-1.07
200912,1.47,0.02
201001,1.40,-0.18
201002,0.72,-0.67
201003,1.37,0.00
201004,1.92,0.60
201005,1.98,0.36
201006,0.47,-0.65
201007,0.42,-0.14
201008,0.15,-0.39
201009,0.79,0.08
201010,2.25,1.20
201011,2.32,1.00
201012,3.24,1.79
201101,0.65,-0.93
201102,0.92,-0.47
201103,2.28,0.91
201104,2.50,1.18
201105,2.53,0.91
201106,1.02,-0.10
201107,0.38,-0.18
201108,0.35,-0.19
201109,0.41,-0.30
201110,0.99,-0.06
201111,0.66,-0.66
201112,0.18,-1.27
201201,1.92,0.34
201202,0.60,-0.79
201203,1.29,-0.08
201204,0.87,-0.45
201205,0.72,-0.90
201206,0.18,-0.94
201207,0.84,0.28
201208,0.47,-0.07
201209,0.44,-0.27
201210,0.64,-0.41
201211,0.67,-0.65
201212,2.41,0.96
201301,1.08,-0.50
201302,0.81,-0.58
201303,0.48,-0.89
201304,1.07,-0.25
201305,1.24,-0.38
201306,0.16,-0.96
201307,0.85,0.29
201308,0.45,-0.09
201309,1.70,0.99
201310,0.80,-0.25
201311,0.55,-0.77
201312,1.00,-0.45
201401,0.92,-0.66
201402,2.08,0.69
201403,1.74,0.37
201404,1.33,0.01
201405,1.33,-0.29
201406,0.29,-0.83
201407,0.78,0.22
201408,2.07,1.53
201409,1.16,0.45
201410,0.18,-0.87
201411,1.53,0.21
201412,2.21,0.76
201501,0.55,-1.03
201502,0.54,-0.85
201503,0.48,-0.89
201504,1.03,-0.29
201505,3.48,1.86
201506,0.71,-0.41
201507,1.92,1.36
201508,0.75,0.21
201509,0.68,-0.03
201510,1.46,0.41
201511,1.93,0.61
201512,2.39,0.94
201601,1.87,0.29
201602,0.53,-0.86
201603,1.79,0.42
201604,2.31,0.99
201605,1.38,-0.24
201606,0.44,-0.68
201607,0.13,-0.43
201608,0.14,-0.40
201609,1.88,1.17
201610,2.38,1.33
201611,0.77,-0.55
201612,2.69,1.24
201701,3.31,1.73
201702,1.94,0.55
201703,1.62,0.25
201704,2.25,0.93
201705,0.89,-0.73
201706,1.07,-0.05
201707,0.40,-0.16
201708,0.43,-0.11
201709,1.47,0.76
201710,0.47,-0.58
201711,1.90,0.58
201712,0.53,-0.92
201801,0.98,-0.60
201802,0.82,-0.57
201803,2.18,0.81
201804,1.16,-0.16
201805,2.02,0.40
201806,0.32,-0.80
201807,0.22,-0.34
201808,0.17,-0.37
201809,0.03,-0.68
201810,1.41,0.36
201811,1.36,0.04
201812,1.53,0.08
201901,1.25,-0.33
201902,2.83,1.44
201903,1.84,0.47
201904,2.28,0.96
201905,4.17,2.55
201906,0.41,-0.71
201907,0.26,-0.30
201908,0.35,-0.19
201909,1.97,1.26
201910,0.37,-0.68
201911,0.65,-0.67
201912,1.99,0.54
202001,2.04,0.46
