Del Norte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,21.32,7.42
200002,13.79,2.17
200003,4.85,-5.19
200004,4.34,-1.38
200005,4.91,1.20
200006,1.47,-0.04
200007,0.22,-0.15
200008,0.08,-0.44
200009,1.00,-0.78
200010,6.81,1.28
200011,4.85,-7.04
200012,5.74,-7.66
200101,4.77,-9.13
200102,5.61,-6.01
200103,4.28,-5.76
200104,3.99,-1.73
200105,2.55,-1.16
200106,1.77,0.26
200107,0.37,0.00
200108,0.73,0.21
200109,0.77,-1.01
200110,4.07,-1.46
200111,15.02,3.13
200112,17.97,4.57
200201,12.51,-1.39
200202,9.44,-2.18
200203,7.08,-2.96
200204,4.16,-1.56
200205,1.54,-2.17
200206,0.75,-0.76
200207,0.01,-0.36
200208,0.01,-0.51
200209,0.36,-1.42
200210,0.04,-5.49
200211,7.37,-4.52
200212,28.02,14.62
200301,13.20,-0.70
200302,6.30,-5.32
200303,12.24,2.20
200304,15.21,9.49
200305,1.91,-1.80
200306,0.13,-1.38
200307,0.01,-0.36
200308,0.29,-0.23
200309,0.70,-1.08
200310,0.94,-4.59
200311,9.16,-2.73
200312,23.13,9.73
200401,12.37,-1.53
200402,14.35,2.73
200403,5.13,-4.91
200404,6.10,0.38
200405,1.65,-2.06
200406,0.29,-1.22
200407,0.10,-0.27
200408,1.19,0.67
200409,0.97,-0.81
200410,8.62,3.09
200411,2.70,-9.19
200412,15.49,2.09
200501,8.10,-5.80
200502,2.28,-9.34
200503,10.83,0.79
200504,10.23,4.51
200505,8.15,4.44
200506,3.66,2.15
200507,0.10,-0.27
200508,0.03,-0.49
200509,0.48,-1.30
200510,4.71,-0.82
200511,13.98,2.09
200512,25.53,12.13
200601,20.44,6.54
200602,8.62,-3.00
200603,15.79,5.75
200604,6.62,0.90
200605,3.26,-0.45
200606,1.78,0.27
200607,0.05,-0.32
200608,0.14,-0.38
200609,0.38,-1.40
200610,1.20,-4.33
200611,20.86,8.97
200612,19.38,5.98
200701,5.15,-8.75
200702,14.69,3.07
200703,5.79,-4.25
200704,5.25,-0.47
200705,1.36,-2.35
200706,1.34,-0.17
200707,1.20,0.83
200708,0.35,-0.17
200709,0.91,-0.87
200710,10.45,4.92
200711,8.09,-3.80
200712,13.13,-0.27
200801,15.79,1.89
200802,6.35,-5.27
200803,8.08,-1.96
200804,3.49,-2.23
200805,0.32,-3.39
200806,0.50,-1.01
200807,0.05,-0.32
200808,0.87,0.35
200809,0.03,-1.75
200810,3.06,-2.47
200811,10.11,-1.78
200812,18.73,5.33
200901,3.75,-10.15
200902,10.29,-1.33
200903,10.06,0.02
200904,1.48,-4.24
200905,5.94,2.23
200906,0.99,-0.52
200907,0.19,-0.18
200908,0.10,-0.42
200909,0.60,-1.18
200910,4.73,-0.80
200911,9.17,-2.72
200912,8.07,-5.33
201001,14.69,0.79
201002,9.35,-2.27
201003,10.89,0.85
201004,12.22,6.50
201005,5.38,1.67
201006,5.35,3.84
201007,0.01,-0.36
201008,0.10,-0.42
201009,2.49,0.71
201010,8.22,2.69
201011,10.49,-1.40
201012,20.33,6.93
201101,4.73,-9.17
201102,7.06,-4.56
201103,20.31,10.27
201104,8.06,2.34
201105,4.90,1.19
201106,1.60,0.09
201107,0.52,0.15
201108,0.07,-0.45
201109,0.29,-1.49
201110,4.78,-0.75
201111,8.90,-2.99
201112,6.13,-7.27
201201,15.85,1.95
201202,4.84,-6.78
201203,23.65,13.61
201204,8.86,3.14
201205,1.87,-1.84
201206,3.03,1.52
201207,0.82,0.45
201208,0.16,-0.36
201209,0.02,-1.76
201210,6.97,1.44
201211,15.52,3.63
201212,21.03,7.63
201301,5.16,-8.74
201302,3.62,-8.00
201303,5.82,-4.22
201304,4.01,-1.71
201305,3.38,-0.33
201306,1.33,-0.18
201307,0.02,-0.35
201308,0.54,0.02
201309,5.87,4.09
201310,0.11,-5.42
201311,3.34,-8.55
201312,1.80,-11.60
201401,3.11,-10.79
201402,11.58,-0.04
201403,13.72,3.68
201404,2.91,-2.81
201405,2.14,-1.57
201406,0.95,-0.56
201407,0.12,-0.25
201408,0.15,-0.37
201409,3.74,1.96
201410,8.17,2.64
201411,6.68,-5.21
201412,13.89,0.49
201501,3.49,-10.41
201502,11.17,-0.45
201503,5.65,-4.39
201504,4.36,-1.36
201505,0.68,-3.03
201506,0.45,-1.06
201507,0.64,0.27
201508,0.86,0.34
201509,1.05,-0.73
201510,2.04,-3.49
201511,8.15,-3.74
201512,30.81,17.41
201601,19.64,5.74
201602,5.76,-5.86
201603,13.98,3.94
201604,4.37,-1.35
201605,1.34,-2.37
201606,0.61,-0.90
201607,0.71,0.34
201608,0.00,-0.52
201609,0.06,-1.72
201610,22.70,17.17
201611,11.84,-0.05
201612,16.58,3.18
201701,19.87,5.97
201702,22.11,10.49
201703,13.67,3.63
201704,11.46,5.74
201705,2.31,-1.40
201706,1.64,0.13
201707,0.00,-0.37
201708,0.10,-0.42
201709,1.42,-0.36
201710,2.75,-2.78
201711,13.35,1.46
201712,3.88,-9.52
201801,13.33,-0.57
201802,2.90,-8.72
201803,13.42,3.38
201804,7.41,1.69
201805,0.72,-2.99
201806,1.34,-0.17
201807,0.01,-0.36
201808,0.00,-0.52
201809,0.24,-1.54
201810,1.85,-3.68
201811,5.15,-6.74
201812,8.09,-5.31
201901,13.57,-0.33
201902,21.03,9.41
201903,4.78,-5.26
201904,10.27,4.55
201905,4.92,1.21
201906,0.01,-1.50
201907,0.02,-0.35
201908,0.93,0.41
201909,4.10,2.32
201910,2.81,-2.72
201911,2.90,-8.99
201912,14.37,0.97
202001,18.19,4.29
