King County, Washington, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,8.99,-1.31
200002,7.19,-0.63
200003,6.72,-0.51
200004,4.78,-0.41
200005,5.87,1.90
200006,3.53,0.24
200007,0.94,-0.58
200008,0.84,-0.95
200009,4.06,0.36
200010,5.05,-1.63
200011,5.54,-4.97
200012,5.18,-5.59
200101,4.97,-5.33
200102,3.81,-4.01
200103,6.97,-0.26
200104,6.20,1.01
200105,3.86,-0.11
200106,5.07,1.78
200107,1.75,0.23
200108,2.38,0.59
200109,1.33,-2.37
200110,9.34,2.66
200111,13.21,2.70
200112,11.64,0.87
200201,13.25,2.95
200202,7.33,-0.49
200203,9.03,1.80
200204,6.89,1.70
200205,3.95,-0.02
200206,3.60,0.31
200207,1.20,-0.32
200208,0.52,-1.27
200209,1.39,-2.31
200210,1.77,-4.91
200211,5.55,-4.96
200212,8.51,-2.26
200301,13.69,3.39
200302,4.95,-2.87
200303,12.61,5.38
200304,5.23,0.04
200305,2.69,-1.28
200306,1.26,-2.03
200307,0.19,-1.33
200308,0.36,-1.43
200309,3.00,-0.70
200310,11.60,4.92
200311,12.57,2.06
200312,7.45,-3.32
200401,12.18,1.88
200402,4.16,-3.66
200403,5.65,-1.58
200404,1.97,-3.22
200405,6.07,2.10
200406,2.24,-1.05
200407,0.84,-0.68
200408,6.38,4.59
200409,6.11,2.41
200410,6.29,-0.39
200411,7.90,-2.61
200412,8.40,-2.37
200501,7.66,-2.64
200502,2.23,-5.59
200503,6.98,-0.25
200504,5.60,0.41
200505,5.49,1.52
200506,3.80,0.51
200507,2.19,0.67
200508,0.90,-0.89
200509,4.15,0.45
200510,6.35,-0.33
200511,9.73,-0.78
200512,9.97,-0.80
200601,19.50,9.20
200602,6.36,-1.46
200603,4.10,-3.13
200604,4.81,-0.38
200605,4.30,0.33
200606,3.51,0.22
200607,0.55,-0.97
200608,0.54,-1.25
200609,2.99,-0.71
200610,4.00,-2.68
200611,24.26,13.75
200612,10.31,-0.46
200701,9.70,-0.60
200702,7.37,-0.45
200703,11.00,3.77
200704,3.68,-1.51
200705,2.79,-1.18
200706,3.69,0.40
200707,1.44,-0.08
200708,1.53,-0.26
200709,3.11,-0.59
200710,7.62,0.94
200711,6.08,-4.43
200712,14.71,3.94
200801,9.45,-0.85
200802,7.67,-0.15
200803,7.81,0.58
200804,5.36,0.17
200805,3.56,-0.41
200806,4.23,0.94
200807,1.23,-0.29
200808,4.29,2.50
200809,1.78,-1.92
200810,4.14,-2.54
200811,14.33,3.82
200812,10.48,-0.29
200901,13.08,2.78
200902,2.73,-5.09
200903,9.92,2.69
200904,5.65,0.46
200905,5.89,1.92
200906,1.48,-1.81
200907,0.23,-1.29
200908,1.54,-0.25
200909,3.64,-0.06
200910,10.27,3.59
200911,13.30,2.79
200912,4.66,-6.11
201001,9.32,-0.98
201002,4.44,-3.38
201003,6.63,-0.60
201004,7.08,1.89
201005,7.63,3.66
201006,5.41,2.12
201007,0.70,-0.82
201008,1.59,-0.20
201009,6.67,2.97
201010,7.02,0.34
201011,10.05,-0.46
201012,12.09,1.32
201101,13.98,3.68
201102,7.64,-0.18
201103,12.44,5.21
201104,9.92,4.73
201105,6.88,2.91
201106,3.56,0.27
201107,1.71,0.19
201108,0.41,-1.38
201109,2.46,-1.24
201110,7.46,0.78
201111,10.83,0.32
201112,5.66,-5.11
201201,10.62,0.32
201202,9.36,1.54
201203,10.98,3.75
201204,6.29,1.10
201205,5.21,1.24
201206,6.46,3.17
201207,1.91,0.39
201208,0.10,-1.69
201209,0.58,-3.12
201210,11.22,4.54
201211,10.89,0.38
201212,12.25,1.48
201301,8.13,-2.17
201302,5.42,-2.40
201303,7.51,0.28
201304,10.75,5.56
201305,4.47,0.50
201306,2.90,-0.39
201307,0.15,-1.37
201308,2.51,0.72
201309,8.76,5.06
201310,3.04,-3.64
201311,8.43,-2.08
201312,7.38,-3.39
201401,8.71,-1.59
201402,11.09,3.27
201403,15.49,8.26
201404,7.74,2.55
201405,4.81,0.84
201406,2.76,-0.53
201407,1.79,0.27
201408,2.93,1.14
201409,3.85,0.15
201410,10.05,3.37
201411,11.75,1.24
201412,9.01,-1.76
201501,8.87,-1.43
201502,7.68,-0.14
201503,6.87,-0.36
201504,3.90,-1.29
201505,1.52,-2.45
201506,0.52,-2.77
201507,0.75,-0.77
201508,2.78,0.99
201509,2.88,-0.82
201510,9.69,3.01
201511,13.61,3.10
201512,18.70,7.93
201601,10.12,-0.18
201602,9.98,2.16
201603,10.01,2.78
201604,2.69,-2.50
201605,3.06,-0.91
201606,4.02,0.73
201607,1.89,0.37
201608,0.78,-1.01
201609,3.30,-0.40
201610,14.48,7.80
201611,10.48,-0.03
201612,9.07,-1.70
201701,4.32,-5.98
201702,11.59,3.77
201703,14.16,6.93
201704,7.04,1.85
201705,4.50,0.53
201706,3.04,-0.25
201707,0.03,-1.49
201708,0.30,-1.49
201709,2.71,-0.99
201710,10.04,3.36
201711,13.87,3.36
201712,9.24,-1.53
201801,13.43,3.13
201802,9.59,1.77
201803,5.33,-1.90
201804,10.62,5.43
201805,1.53,-2.44
201806,2.60,-0.69
201807,0.47,-1.05
201808,0.83,-0.96
201809,3.01,-0.69
201810,7.14,0.46
201811,10.52,0.01
201812,11.29,0.52
201901,6.48,-3.82
201902,6.27,-1.55
201903,2.29,-4.94
201904,7.18,1.99
201905,2.39,-1.58
201906,2.39,-0.90
201907,1.99,0.47
201908,1.43,-0.36
201909,5.85,2.15
201910,8.12,1.44
201911,3.82,-6.69
201912,10.73,-0.04
202001,18.13,7.83
