Attala County, Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.15,-2.17
200002,1.50,-3.59
200003,5.48,-0.38
200004,9.73,4.44
200005,2.68,-1.81
200006,3.59,-0.01
200007,1.59,-2.79
200008,1.65,-1.88
200009,2.72,-0.32
200010,1.89,-0.86
200011,10.62,6.42
200012,5.26,-0.29
200101,6.83,1.51
200102,5.90,0.81
200103,8.14,2.28
200104,4.94,-0.35
200105,4.28,-0.21
200106,5.38,1.78
200107,5.04,0.66
200108,3.43,-0.10
200109,6.24,3.20
200110,5.04,2.29
200111,6.43,2.23
200112,5.78,0.23
200201,5.43,0.11
200202,3.47,-1.62
200203,7.74,1.88
200204,2.77,-2.52
200205,3.65,-0.84
200206,2.65,-0.95
200207,5.40,1.02
200208,2.97,-0.56
200209,9.25,6.21
200210,6.93,4.18
200211,4.76,0.56
200212,5.70,0.15
200301,2.33,-2.99
200302,9.87,4.78
200303,3.01,-2.85
200304,6.82,1.53
200305,4.50,0.01
200306,7.72,4.12
200307,3.54,-0.84
200308,5.68,2.15
200309,3.70,0.66
200310,3.42,0.67
200311,5.15,0.95
200312,4.26,-1.29
200401,3.80,-1.52
200402,7.69,2.60
200403,2.77,-3.09
200404,3.37,-1.92
200405,7.88,3.39
200406,9.91,6.31
200407,3.28,-1.10
200408,5.37,1.84
200409,2.08,-0.96
200410,3.89,1.14
200411,8.29,4.09
200412,6.03,0.48
200501,3.30,-2.02
200502,5.40,0.31
200503,3.78,-2.08
200504,7.14,1.85
200505,4.47,-0.02
200506,3.08,-0.52
200507,6.02,1.64
200508,7.22,3.69
200509,4.62,1.58
200510,0.02,-2.73
200511,3.06,-1.14
200512,5.04,-0.51
200601,7.74,2.42
200602,10.37,5.28
200603,4.35,-1.51
200604,2.19,-3.10
200605,2.34,-2.15
200606,2.17,-1.43
200607,3.05,-1.33
200608,2.04,-1.49
200609,4.34,1.30
200610,10.42,7.67
200611,2.85,-1.35
200612,5.52,-0.03
200701,5.13,-0.19
200702,2.51,-2.58
200703,0.82,-5.04
200704,2.75,-2.54
200705,2.46,-2.03
200706,2.36,-1.24
200707,8.52,4.14
200708,0.94,-2.59
200709,4.49,1.45
200710,3.88,1.13
200711,1.48,-2.72
200712,2.85,-2.70
200801,2.45,-2.87
200802,6.86,1.77
200803,3.67,-2.19
200804,6.69,1.40
200805,5.73,1.24
200806,1.08,-2.52
200807,4.05,-0.33
200808,10.63,7.10
200809,5.24,2.20
200810,2.48,-0.27
200811,2.98,-1.22
200812,11.49,5.94
200901,5.67,0.35
200902,2.60,-2.49
200903,8.65,2.79
200904,1.94,-3.35
200905,10.80,6.31
200906,1.93,-1.67
200907,8.86,4.48
200908,4.51,0.98
200909,10.07,7.03
200910,11.77,9.02
200911,1.57,-2.63
200912,5.97,0.42
201001,5.06,-0.26
201002,3.52,-1.57
201003,4.56,-1.30
201004,3.07,-2.22
201005,7.31,2.82
201006,2.62,-0.98
201007,4.71,0.33
201008,3.40,-0.13
201009,0.38,-2.66
201010,1.69,-1.06
201011,6.63,2.43
201012,1.12,-4.43
201101,5.93,0.61
201102,2.32,-2.77
201103,6.15,0.29
201104,7.34,2.05
201105,1.29,-3.20
201106,2.25,-1.35
201107,8.12,3.74
201108,2.25,-1.28
201109,7.57,4.53
201110,1.22,-1.53
201111,4.26,0.06
201112,6.95,1.40
201201,2.91,-2.41
201202,5.24,0.15
201203,6.99,1.13
201204,4.17,-1.12
201205,3.61,-0.88
201206,3.02,-0.58
201207,6.74,2.36
201208,9.65,6.12
201209,2.19,-0.85
201210,4.03,1.28
201211,3.05,-1.15
201212,7.92,2.37
201301,8.87,3.55
201302,6.56,1.47
201303,6.05,0.19
201304,6.29,1.00
201305,5.97,1.48
201306,3.68,0.08
201307,2.86,-1.52
201308,1.60,-1.93
201309,6.04,3.00
201310,1.44,-1.31
201311,5.56,1.36
201312,5.46,-0.09
201401,2.77,-2.55
201402,5.22,0.13
201403,5.81,-0.05
201404,14.33,9.04
201405,4.34,-0.15
201406,4.90,1.30
201407,3.23,-1.15
201408,2.59,-0.94
201409,2.77,-0.27
201410,4.07,1.32
201411,4.14,-0.06
201412,4.89,-0.66
201501,5.62,0.30
201502,5.64,0.55
201503,6.51,0.65
201504,5.28,-0.01
201505,6.18,1.69
201506,3.40,-0.20
201507,3.65,-0.73
201508,2.05,-1.48
201509,0.83,-2.21
201510,4.53,1.78
201511,7.46,3.26
201512,7.41,1.86
201601,4.50,-0.82
201602,5.50,0.41
201603,9.67,3.81
201604,5.40,0.11
201605,1.25,-3.24
201606,3.22,-0.38
201607,2.89,-1.49
201608,4.92,1.39
201609,0.34,-2.70
201610,0.20,-2.55
201611,3.50,-0.70
201612,4.73,-0.82
201701,4.29,-1.03
201702,2.90,-2.19
201703,4.22,-1.64
201704,5.44,0.15
201705,6.47,1.98
201706,10.32,6.72
201707,3.69,-0.69
201708,4.72,1.19
201709,3.80,0.76
201710,1.25,-1.50
201711,1.38,-2.82
201712,3.88,-1.67
201801,1.97,-3.35
201802,10.17,5.08
201803,6.66,0.80
201804,7.35,2.06
201805,3.19,-1.30
201806,2.24,-1.36
201807,4.85,0.47
201808,3.39,-0.14
201809,6.97,3.93
201810,2.11,-0.64
201811,6.25,2.05
201812,6.60,1.05
201901,7.65,2.33
201902,8.09,3.00
201903,3.55,-2.31
201904,10.12,4.83
201905,5.62,1.13
201906,4.67,1.07
201907,8.54,4.16
201908,6.31,2.78
201909,0.42,-2.62
201910,11.21,8.46
201911,2.92,-1.28
201912,6.41,0.86
202001,9.43,4.11
