La Plata County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.95,-0.17
200002,2.04,0.11
200003,4.47,2.02
200004,0.99,-0.85
200005,0.38,-1.01
200006,0.52,-0.41
200007,1.06,-1.11
200008,3.18,0.49
200009,0.98,-1.13
200010,4.20,2.06
200011,1.42,-0.27
200012,1.00,-0.97
200101,2.47,0.35
200102,2.36,0.43
200103,2.11,-0.34
200104,1.93,0.09
200105,1.13,-0.26
200106,0.38,-0.55
200107,1.74,-0.43
200108,3.55,0.86
200109,0.64,-1.47
200110,0.90,-1.24
200111,1.67,-0.02
200112,1.05,-0.92
200201,0.27,-1.85
200202,0.34,-1.59
200203,0.87,-1.58
200204,0.58,-1.26
200205,0.10,-1.29
200206,0.07,-0.86
200207,1.34,-0.83
200208,1.19,-1.50
200209,3.67,1.56
200210,2.44,0.30
200211,1.86,0.17
200212,1.54,-0.43
200301,0.46,-1.66
200302,3.20,1.27
200303,1.79,-0.66
200304,0.59,-1.25
200305,0.61,-0.78
200306,0.32,-0.61
200307,1.22,-0.95
200308,3.19,0.50
200309,3.06,0.95
200310,0.76,-1.38
200311,2.92,1.23
200312,1.46,-0.51
200401,2.22,0.10
200402,3.19,1.26
200403,0.47,-1.98
200404,4.37,2.53
200405,0.14,-1.25
200406,0.67,-0.26
200407,1.56,-0.61
200408,0.91,-1.78
200409,4.65,2.54
200410,2.15,0.01
200411,2.51,0.82
200412,1.68,-0.29
200501,5.83,3.71
200502,3.19,1.26
200503,1.71,-0.74
200504,2.15,0.31
200505,0.78,-0.61
200506,0.59,-0.34
200507,0.96,-1.21
200508,2.41,-0.28
200509,3.44,1.33
200510,2.91,0.77
200511,0.48,-1.21
200512,0.87,-1.10
200601,1.38,-0.74
200602,0.38,-1.55
200603,3.02,0.57
200604,1.33,-0.51
200605,0.34,-1.05
200606,0.72,-0.21
200607,3.41,1.24
200608,2.64,-0.05
200609,3.01,0.90
200610,4.35,2.21
200611,1.03,-0.66
200612,1.43,-0.54
200701,1.15,-0.97
200702,1.27,-0.66
200703,1.25,-1.20
200704,1.51,-0.33
200705,2.63,1.24
200706,0.18,-0.75
200707,2.89,0.72
200708,2.89,0.20
200709,2.49,0.38
200710,0.92,-1.22
200711,1.03,-0.66
200712,4.97,3.00
200801,4.48,2.36
200802,3.14,1.21
200803,0.36,-2.09
200804,0.63,-1.21
200805,1.34,-0.05
200806,0.32,-0.61
200807,2.33,0.16
200808,2.75,0.06
200809,1.07,-1.04
200810,1.27,-0.87
200811,1.62,-0.07
200812,4.32,2.35
200901,1.05,-1.07
200902,1.39,-0.54
200903,0.68,-1.77
200904,1.37,-0.47
200905,1.81,0.42
200906,1.99,1.06
200907,0.79,-1.38
200908,1.15,-1.54
200909,1.78,-0.33
200910,1.61,-0.53
200911,0.74,-0.95
200912,2.81,0.84
201001,3.70,1.58
201002,2.46,0.53
201003,1.24,-1.21
201004,1.12,-0.72
201005,0.21,-1.18
201006,0.23,-0.70
201007,2.39,0.22
201008,3.37,0.68
201009,1.71,-0.40
201010,2.53,0.39
201011,1.13,-0.56
201012,4.52,2.55
201101,0.29,-1.83
201102,1.12,-0.81
201103,1.14,-1.31
201104,2.19,0.35
201105,2.32,0.93
201106,0.01,-0.92
201107,1.99,-0.18
201108,1.40,-1.29
201109,1.91,-0.20
201110,3.78,1.64
201111,1.49,-0.20
201112,1.50,-0.47
201201,1.38,-0.74
201202,2.48,0.55
201203,0.72,-1.73
201204,0.94,-0.90
201205,0.36,-1.03
201206,0.15,-0.78
201207,2.66,0.49
201208,1.49,-1.20
201209,0.98,-1.13
201210,0.30,-1.84
201211,1.04,-0.65
201212,2.18,0.21
201301,2.83,0.71
201302,1.37,-0.56
201303,0.85,-1.60
201304,0.94,-0.90
201305,0.74,-0.65
201306,0.13,-0.80
201307,2.66,0.49
201308,2.92,0.23
201309,5.98,3.87
201310,1.75,-0.39
201311,2.59,0.90
201312,1.01,-0.96
201401,0.66,-1.46
201402,1.30,-0.63
201403,1.34,-1.11
201404,0.91,-0.93
201405,1.32,-0.07
201406,0.02,-0.91
201407,2.20,0.03
201408,2.88,0.19
201409,4.26,2.15
201410,0.93,-1.21
201411,1.49,-0.20
201412,1.74,-0.23
201501,1.75,-0.37
201502,2.05,0.12
201503,0.73,-1.72
201504,0.84,-1.00
201505,4.25,2.86
201506,2.01,1.08
201507,2.65,0.48
201508,2.12,-0.57
201509,1.69,-0.42
201510,3.22,1.08
201511,2.20,0.51
201512,3.00,1.03
201601,1.72,-0.40
201602,0.84,-1.09
201603,0.63,-1.82
201604,1.42,-0.42
201605,2.11,0.72
201606,0.34,-0.59
201607,1.67,-0.50
201608,3.89,1.20
201609,1.84,-0.27
201610,0.63,-1.51
201611,2.70,1.01
201612,3.53,1.56
201701,4.56,2.44
201702,1.97,0.04
201703,1.10,-1.35
201704,1.07,-0.77
201705,1.32,-0.07
201706,0.06,-0.87
201707,3.23,1.06
201708,1.43,-1.26
201709,2.08,-0.03
201710,0.36,-1.78
201711,0.26,-1.43
201712,0.15,-1.82
201801,0.98,-1.14
201802,1.62,-0.31
201803,0.66,-1.79
201804,0.55,-1.29
201805,0.75,-0.64
201806,0.92,-0.01
201807,1.65,-0.52
201808,1.08,-1.61
201809,0.73,-1.38
201810,3.10,0.96
201811,0.57,-1.12
201812,1.15,-0.82
201901,2.71,0.59
201902,4.46,2.53
201903,4.63,2.18
201904,1.27,-0.57
201905,2.72,1.33
201906,0.48,-0.45
201907,0.70,-1.47
201908,1.00,-1.69
201909,0.86,-1.25
201910,0.33,-1.81
201911,2.31,0.62
201912,2.96,0.99
202001,1.04,-1.08
