Park County, Wyoming, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.24,0.35
200002,1.86,0.37
200003,1.61,-0.27
200004,1.82,-0.39
200005,3.33,0.73
200006,1.86,-0.42
200007,0.89,-0.62
200008,0.75,-0.57
200009,1.28,-0.33
200010,1.85,0.34
200011,0.79,-0.94
200012,1.41,-0.33
200101,0.36,-1.53
200102,1.28,-0.21
200103,1.32,-0.56
200104,1.89,-0.32
200105,1.65,-0.95
200106,2.50,0.22
200107,1.24,-0.27
200108,0.43,-0.89
200109,1.33,-0.28
200110,1.47,-0.04
200111,1.32,-0.41
200112,1.31,-0.43
200201,1.63,-0.26
200202,0.96,-0.53
200203,2.39,0.51
200204,2.28,0.07
200205,1.65,-0.95
200206,1.76,-0.52
200207,1.66,0.15
200208,1.07,-0.25
200209,1.39,-0.22
200210,1.49,-0.02
200211,1.38,-0.35
200212,0.93,-0.81
200301,2.16,0.27
200302,1.82,0.33
200303,3.28,1.40
200304,1.77,-0.44
200305,2.19,-0.41
200306,1.43,-0.85
200307,0.42,-1.09
200308,0.73,-0.59
200309,0.94,-0.67
200310,1.30,-0.21
200311,1.75,0.02
200312,2.03,0.29
200401,1.23,-0.66
200402,1.14,-0.35
200403,0.64,-1.24
200404,1.62,-0.59
200405,2.61,0.01
200406,2.19,-0.09
200407,1.73,0.22
200408,2.14,0.82
200409,2.10,0.49
200410,1.82,0.31
200411,0.66,-1.07
200412,1.28,-0.46
200501,1.17,-0.72
200502,0.87,-0.62
200503,1.38,-0.50
200504,2.14,-0.07
200505,4.07,1.47
200506,2.72,0.44
200507,0.94,-0.57
200508,1.91,0.59
200509,1.69,0.08
200510,1.75,0.24
200511,2.59,0.86
200512,1.75,0.01
200601,1.70,-0.19
200602,1.06,-0.43
200603,1.27,-0.61
200604,1.67,-0.54
200605,1.52,-1.08
200606,1.33,-0.95
200607,1.22,-0.29
200608,0.50,-0.82
200609,1.54,-0.07
200610,2.13,0.62
200611,1.63,-0.10
200612,1.55,-0.19
200701,1.26,-0.63
200702,1.88,0.39
200703,1.26,-0.62
200704,2.30,0.09
200705,1.28,-1.32
200706,1.68,-0.60
200707,1.49,-0.02
200708,1.69,0.37
200709,1.29,-0.32
200710,3.44,1.93
200711,1.36,-0.37
200712,1.88,0.14
200801,1.84,-0.05
200802,1.45,-0.04
200803,2.50,0.62
200804,1.12,-1.09
200805,4.76,2.16
200806,2.05,-0.23
200807,0.42,-1.09
200808,0.76,-0.56
200809,1.43,-0.18
200810,1.38,-0.13
200811,1.51,-0.22
200812,2.38,0.64
200901,2.26,0.37
200902,0.96,-0.53
200903,2.58,0.70
200904,2.78,0.57
200905,1.74,-0.86
200906,4.11,1.83
200907,1.57,0.06
200908,1.31,-0.01
200909,0.55,-1.06
200910,2.30,0.79
200911,0.76,-0.97
200912,0.99,-0.75
201001,1.15,-0.74
201002,0.68,-0.81
201003,1.35,-0.53
201004,2.35,0.14
201005,3.10,0.50
201006,3.29,1.01
201007,0.87,-0.64
201008,1.80,0.48
201009,0.72,-0.89
201010,1.40,-0.11
201011,2.90,1.17
201012,2.65,0.91
201101,1.81,-0.08
201102,1.50,0.01
201103,2.67,0.79
201104,3.87,1.66
201105,5.44,2.84
201106,1.91,-0.37
201107,0.82,-0.69
201108,1.15,-0.17
201109,0.54,-1.07
201110,2.94,1.43
201111,2.42,0.69
201112,1.86,0.12
201201,1.20,-0.69
201202,1.85,0.36
201203,1.73,-0.15
201204,1.93,-0.28
201205,2.79,0.19
201206,0.66,-1.62
201207,1.21,-0.30
201208,0.35,-0.97
201209,0.63,-0.98
201210,1.59,0.08
201211,1.65,-0.08
201212,2.82,1.08
201301,1.65,-0.24
201302,0.90,-0.59
201303,1.19,-0.69
201304,2.15,-0.06
201305,3.70,1.10
201306,0.90,-1.38
201307,1.55,0.04
201308,0.87,-0.45
201309,3.47,1.86
201310,2.28,0.77
201311,1.01,-0.72
201312,2.16,0.42
201401,1.86,-0.03
201402,3.67,2.18
201403,3.02,1.14
201404,2.97,0.76
201405,1.48,-1.12
201406,2.66,0.38
201407,0.75,-0.76
201408,3.18,1.86
201409,2.06,0.45
201410,1.04,-0.47
201411,2.96,1.23
201412,2.26,0.52
201501,1.44,-0.45
201502,1.54,0.05
201503,0.69,-1.19
201504,1.73,-0.48
201505,4.09,1.49
201506,1.61,-0.67
201507,1.65,0.14
201508,1.16,-0.16
201509,0.99,-0.62
201510,2.11,0.60
201511,2.07,0.34
201512,2.17,0.43
201601,1.09,-0.80
201602,1.16,-0.33
201603,2.26,0.38
201604,2.39,0.18
201605,2.28,-0.32
201606,0.76,-1.52
201607,1.05,-0.46
201608,0.79,-0.53
201609,2.21,0.60
201610,4.32,2.81
201611,1.34,-0.39
201612,3.68,1.94
201701,2.44,0.55
201702,4.07,2.58
201703,2.92,1.04
201704,3.76,1.55
201705,1.66,-0.94
201706,1.87,-0.41
201707,1.27,-0.24
201708,0.89,-0.43
201709,3.90,2.29
201710,1.16,-0.35
201711,3.68,1.95
201712,2.11,0.37
201801,1.75,-0.14
201802,2.76,1.27
201803,1.67,-0.21
201804,3.16,0.95
201805,3.32,0.72
201806,3.36,1.08
201807,0.56,-0.95
201808,1.49,0.17
201809,0.33,-1.28
201810,1.44,-0.07
201811,2.34,0.61
201812,1.28,-0.46
201901,1.53,-0.36
201902,3.33,1.84
201903,1.14,-0.74
201904,2.87,0.66
201905,4.37,1.77
201906,1.95,-0.33
201907,1.46,-0.05
201908,1.00,-0.32
201909,3.69,2.08
201910,2.01,0.50
201911,1.34,-0.39
201912,1.13,-0.61
202001,1.92,0.03
