Brevard County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.15,-0.22
200002,0.60,-1.99
200003,1.76,-1.31
200004,2.37,-0.02
200005,0.39,-3.37
200006,6.26,-0.59
200007,6.63,0.12
200008,3.10,-3.01
200009,8.47,1.11
200010,3.54,-1.46
200011,0.60,-1.77
200012,0.68,-1.35
200101,0.98,-1.39
200102,1.27,-1.32
200103,3.35,0.28
200104,1.81,-0.58
200105,4.44,0.68
200106,7.83,0.98
200107,9.94,3.43
200108,6.34,0.23
200109,12.12,4.76
200110,3.93,-1.07
200111,4.34,1.97
200112,0.68,-1.35
200201,2.30,-0.07
200202,3.62,1.03
200203,0.52,-2.55
200204,2.12,-0.27
200205,1.67,-2.09
200206,11.92,5.07
200207,6.95,0.44
200208,8.63,2.52
200209,5.03,-2.33
200210,3.84,-1.16
200211,2.05,-0.32
200212,7.66,5.63
200301,2.30,-0.07
200302,1.53,-1.06
200303,4.98,1.91
200304,1.84,-0.55
200305,1.72,-2.04
200306,10.96,4.11
200307,5.23,-1.28
200308,6.77,0.66
200309,5.70,-1.66
200310,1.11,-3.89
200311,1.99,-0.38
200312,2.60,0.57
200401,1.98,-0.39
200402,4.08,1.49
200403,0.82,-2.25
200404,1.36,-1.03
200405,1.83,-1.93
200406,9.24,2.39
200407,4.18,-2.33
200408,10.10,3.99
200409,14.71,7.35
200410,2.88,-2.12
200411,0.94,-1.43
200412,2.65,0.62
200501,2.11,-0.26
200502,1.99,-0.60
200503,5.66,2.59
200504,2.14,-0.25
200505,3.28,-0.48
200506,13.82,6.97
200507,2.57,-3.94
200508,5.91,-0.20
200509,7.49,0.13
200510,11.97,6.97
200511,1.53,-0.84
200512,2.15,0.12
200601,0.75,-1.62
200602,2.55,-0.04
200603,0.17,-2.90
200604,2.05,-0.34
200605,2.01,-1.75
200606,6.61,-0.24
200607,7.16,0.65
200608,7.91,1.80
200609,6.56,-0.80
200610,0.91,-4.09
200611,2.80,0.43
200612,2.13,0.10
200701,1.75,-0.62
200702,2.05,-0.54
200703,0.86,-2.21
200704,1.79,-0.60
200705,1.60,-2.16
200706,8.91,2.06
200707,8.71,2.20
200708,1.56,-4.55
200709,8.14,0.78
200710,5.77,0.77
200711,1.15,-1.22
200712,1.10,-0.93
200801,3.36,0.99
200802,2.39,-0.20
200803,3.14,0.07
200804,2.81,0.42
200805,1.17,-2.59
200806,5.64,-1.21
200807,9.17,2.66
200808,19.58,13.47
200809,3.40,-3.96
200810,7.34,2.34
200811,1.42,-0.95
200812,0.92,-1.11
200901,1.30,-1.07
200902,0.68,-1.91
200903,0.94,-2.13
200904,1.82,-0.57
200905,10.88,7.12
200906,4.32,-2.53
200907,7.87,1.36
200908,3.90,-2.21
200909,5.54,-1.82
200910,0.73,-4.27
200911,1.22,-1.15
200912,4.84,2.81
201001,1.35,-1.02
201002,3.95,1.36
201003,8.68,5.61
201004,2.86,0.47
201005,2.34,-1.42
201006,4.11,-2.74
201007,1.99,-4.52
201008,6.05,-0.06
201009,5.02,-2.34
201010,0.10,-4.90
201011,1.71,-0.66
201012,1.03,-1.00
201101,4.43,2.06
201102,0.37,-2.22
201103,3.54,0.47
201104,3.41,1.02
201105,1.13,-2.63
201106,5.36,-1.49
201107,6.69,0.18
201108,8.43,2.32
201109,4.18,-3.18
201110,9.36,4.36
201111,1.52,-0.85
201112,2.03,0.00
201201,0.04,-2.33
201202,1.84,-0.75
201203,2.30,-0.77
201204,2.40,0.01
201205,5.31,1.55
201206,8.64,1.79
201207,3.45,-3.06
201208,7.57,1.46
201209,4.22,-3.14
201210,3.22,-1.78
201211,0.48,-1.89
201212,2.09,0.06
201301,1.29,-1.08
201302,1.22,-1.37
201303,1.06,-2.01
201304,5.48,3.09
201305,6.14,2.38
201306,9.02,2.17
201307,7.00,0.49
201308,3.95,-2.16
201309,5.27,-2.09
201310,0.74,-4.26
201311,3.31,0.94
201312,1.68,-0.35
201401,3.78,1.41
201402,3.23,0.64
201403,2.45,-0.62
201404,2.79,0.40
201405,3.65,-0.11
201406,5.80,-1.05
201407,11.51,5.00
201408,5.45,-0.66
201409,12.05,4.69
201410,2.29,-2.71
201411,5.36,2.99
201412,1.61,-0.42
201501,2.82,0.45
201502,3.69,1.10
201503,1.14,-1.93
201504,3.88,1.49
201505,1.63,-2.13
201506,6.91,0.06
201507,8.41,1.90
201508,6.86,0.75
201509,6.96,-0.40
201510,1.48,-3.52
201511,2.54,0.17
201512,2.23,0.20
201601,8.29,5.92
201602,2.46,-0.13
201603,3.56,0.49
201604,1.91,-0.48
201605,7.17,3.41
201606,7.08,0.23
201607,1.85,-4.66
201608,5.37,-0.74
201609,10.29,2.93
201610,6.79,1.79
201611,0.33,-2.04
201612,1.18,-0.85
201701,1.99,-0.38
201702,2.33,-0.26
201703,0.61,-2.46
201704,1.01,-1.38
201705,2.55,-1.21
201706,9.38,2.53
201707,6.63,0.12
201708,5.53,-0.58
201709,17.21,9.85
201710,8.44,3.44
201711,2.39,0.02
201712,0.88,-1.15
201801,3.13,0.76
201802,0.41,-2.18
201803,0.85,-2.22
201804,3.55,1.16
201805,8.51,4.75
201806,10.09,3.24
201807,7.68,1.17
201808,4.11,-2.00
201809,2.23,-5.13
201810,1.62,-3.38
201811,1.39,-0.98
201812,3.15,1.12
201901,4.19,1.82
201902,3.35,0.76
201903,2.51,-0.56
201904,1.76,-0.63
201905,4.61,0.85
201906,8.24,1.39
201907,6.48,-0.03
201908,8.34,2.23
201909,2.93,-4.43
201910,6.37,1.37
201911,1.74,-0.63
201912,5.67,3.64
202001,1.12,-1.25
