Somerset County, Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.84,-1.65
200002,3.99,1.11
200003,3.05,-0.89
200004,4.64,0.84
200005,5.13,1.01
200006,5.21,0.72
200007,4.10,-0.10
200008,4.98,0.98
200009,4.30,0.92
200010,1.98,-1.02
200011,2.43,-0.56
200012,2.24,-0.96
200101,2.54,-0.95
200102,1.59,-1.29
200103,4.12,0.18
200104,3.66,-0.14
200105,3.08,-1.04
200106,4.80,0.31
200107,3.67,-0.53
200108,2.81,-1.19
200109,2.63,-0.75
200110,1.55,-1.45
200111,2.20,-0.79
200112,2.82,-0.38
200201,2.37,-1.12
200202,1.39,-1.49
200203,4.55,0.61
200204,4.69,0.89
200205,5.92,1.80
200206,4.43,-0.06
200207,2.74,-1.46
200208,3.79,-0.21
200209,3.95,0.57
200210,4.59,1.59
200211,3.19,0.20
200212,3.66,0.46
200301,3.00,-0.49
200302,4.57,1.69
200303,2.42,-1.52
200304,2.98,-0.82
200305,7.25,3.13
200306,6.57,2.08
200307,4.28,0.08
200308,6.21,2.21
200309,7.18,3.80
200310,3.44,0.44
200311,4.90,1.91
200312,3.76,0.56
200401,4.87,1.38
200402,2.86,-0.02
200403,3.77,-0.17
200404,6.63,2.83
200405,5.04,0.92
200406,4.49,0.00
200407,5.63,1.43
200408,4.65,0.65
200409,7.82,4.44
200410,2.43,-0.57
200411,3.48,0.49
200412,2.96,-0.24
200501,6.27,2.78
200502,2.58,-0.30
200503,4.61,0.67
200504,2.40,-1.40
200505,3.04,-1.08
200506,2.83,-1.66
200507,3.84,-0.36
200508,2.92,-1.08
200509,1.02,-2.36
200510,5.36,2.36
200511,4.42,1.43
200512,2.64,-0.56
200601,4.40,0.91
200602,1.57,-1.31
200603,1.37,-2.57
200604,3.94,0.14
200605,4.03,-0.09
200606,5.76,1.27
200607,4.61,0.41
200608,2.41,-1.59
200609,4.36,0.98
200610,4.51,1.51
200611,3.65,0.66
200612,1.80,-1.40
200701,3.51,0.02
200702,2.44,-0.44
200703,5.14,1.20
200704,4.56,0.76
200705,1.95,-2.17
200706,4.17,-0.32
200707,3.35,-0.85
200708,8.67,4.67
200709,2.24,-1.14
200710,2.89,-0.11
200711,3.75,0.76
200712,5.84,2.64
200801,2.75,-0.74
200802,4.41,1.53
200803,4.42,0.48
200804,3.90,0.10
200805,6.89,2.77
200806,5.02,0.53
200807,5.44,1.24
200808,2.70,-1.30
200809,3.77,0.39
200810,1.62,-1.38
200811,2.37,-0.62
200812,7.25,4.05
200901,3.46,-0.03
200902,1.76,-1.12
200903,1.56,-2.38
200904,3.59,-0.21
200905,6.08,1.96
200906,4.99,0.50
200907,3.71,-0.49
200908,3.46,-0.54
200909,2.37,-1.01
200910,5.20,2.20
200911,1.31,-1.68
200912,5.02,1.82
201001,3.60,0.11
201002,4.42,1.54
201003,3.45,-0.49
201004,2.37,-1.43
201005,5.75,1.63
201006,3.67,-0.82
201007,4.68,0.48
201008,2.83,-1.17
201009,2.97,-0.41
201010,4.18,1.18
201011,3.57,0.58
201012,3.24,0.04
201101,1.89,-1.60
201102,3.75,0.87
201103,5.23,1.29
201104,7.28,3.48
201105,6.33,2.21
201106,3.32,-1.17
201107,3.44,-0.76
201108,4.18,0.18
201109,9.16,5.78
201110,5.78,2.78
201111,3.79,0.80
201112,3.52,0.32
201201,3.94,0.45
201202,2.01,-0.87
201203,4.85,0.91
201204,2.10,-1.70
201205,4.74,0.62
201206,3.10,-1.39
201207,6.60,2.40
201208,3.92,-0.08
201209,5.03,1.65
201210,6.24,3.24
201211,0.59,-2.40
201212,5.24,2.04
201301,3.37,-0.12
201302,2.44,-0.44
201303,3.12,-0.82
201304,2.73,-1.07
201305,3.65,-0.47
201306,4.86,0.37
201307,5.35,1.15
201308,8.80,4.80
201309,2.01,-1.37
201310,2.64,-0.36
201311,2.74,-0.25
201312,5.00,1.80
201401,1.79,-1.70
201402,4.30,1.42
201403,2.40,-1.54
201404,3.48,-0.32
201405,5.92,1.80
201406,5.92,1.43
201407,4.30,0.10
201408,3.04,-0.96
201409,1.44,-1.94
201410,3.83,0.83
201411,2.26,-0.73
201412,3.32,0.12
201501,2.70,-0.79
201502,1.85,-1.03
201503,4.89,0.95
201504,4.81,1.01
201505,3.30,-0.82
201506,9.93,5.44
201507,4.55,0.35
201508,1.77,-2.23
201509,4.05,0.67
201510,3.36,0.36
201511,1.99,-1.00
201512,4.09,0.89
201601,3.19,-0.30
201602,2.73,-0.15
201603,2.33,-1.61
201604,2.42,-1.38
201605,5.37,1.25
201606,4.85,0.36
201607,3.67,-0.53
201608,4.52,0.52
201609,3.89,0.51
201610,4.03,1.03
201611,1.07,-1.92
201612,5.35,2.15
201701,5.24,1.75
201702,2.68,-0.20
201703,5.33,1.39
201704,4.96,1.16
201705,7.22,3.10
201706,5.65,1.16
201707,8.39,4.19
201708,3.68,-0.32
201709,1.98,-1.40
201710,5.65,2.65
201711,3.02,0.03
201712,1.88,-1.32
201801,2.87,-0.62
201802,7.57,4.69
201803,3.60,-0.34
201804,5.06,1.26
201805,5.83,1.71
201806,8.37,3.88
201807,5.07,0.87
201808,6.21,2.21
201809,12.44,9.06
201810,4.90,1.90
201811,5.00,2.01
201812,4.50,1.30
201901,4.23,0.74
201902,5.84,2.96
201903,2.34,-1.60
201904,4.38,0.58
201905,6.71,2.59
201906,5.43,0.94
201907,6.42,2.22
201908,3.91,-0.09
201909,1.48,-1.90
201910,4.25,1.25
201911,1.98,-1.01
201912,4.98,1.78
202001,4.02,0.53
