Westchester County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.12,-0.36
200002,2.11,-0.95
200003,3.72,-0.35
200004,3.91,-0.15
200005,4.37,0.25
200006,5.43,1.54
200007,6.58,2.19
200008,4.41,-0.06
200009,4.52,0.40
200010,0.81,-2.86
200011,3.74,-0.17
200012,4.08,0.31
200101,2.56,-0.92
200102,2.15,-0.91
200103,6.72,2.65
200104,1.67,-2.39
200105,2.93,-1.19
200106,6.56,2.67
200107,2.45,-1.94
200108,3.67,-0.80
200109,4.66,0.54
200110,0.98,-2.69
200111,1.20,-2.71
200112,2.39,-1.38
200201,1.74,-1.74
200202,1.13,-1.93
200203,3.84,-0.23
200204,4.04,-0.02
200205,5.40,1.28
200206,5.71,1.82
200207,1.92,-2.47
200208,4.51,0.04
200209,5.11,0.99
200210,5.92,2.25
200211,5.22,1.31
200212,4.42,0.65
200301,2.88,-0.60
200302,3.89,0.83
200303,4.23,0.16
200304,2.91,-1.15
200305,4.31,0.19
200306,8.26,4.37
200307,3.01,-1.38
200308,5.61,1.14
200309,7.29,3.17
200310,5.07,1.40
200311,4.14,0.23
200312,5.72,1.95
200401,2.15,-1.33
200402,2.31,-0.75
200403,3.13,-0.94
200404,5.29,1.23
200405,4.14,0.02
200406,3.08,-0.81
200407,6.89,2.50
200408,5.02,0.55
200409,10.30,6.18
200410,1.60,-2.07
200411,4.09,0.18
200412,3.90,0.13
200501,4.74,1.26
200502,2.65,-0.41
200503,4.28,0.21
200504,5.08,1.02
200505,1.83,-2.29
200506,3.75,-0.14
200507,4.28,-0.11
200508,2.68,-1.79
200509,1.60,-2.52
200510,15.96,12.29
200511,4.46,0.55
200512,4.23,0.46
200601,5.48,2.00
200602,1.98,-1.08
200603,0.80,-3.27
200604,5.19,1.13
200605,4.54,0.42
200606,7.58,3.69
200607,4.86,0.47
200608,5.47,1.00
200609,3.91,-0.21
200610,6.71,3.04
200611,6.03,2.12
200612,2.17,-1.60
200701,3.34,-0.14
200702,1.77,-1.29
200703,4.97,0.90
200704,10.03,5.97
200705,1.44,-2.68
200706,3.93,0.04
200707,5.14,0.75
200708,4.34,-0.13
200709,1.51,-2.61
200710,5.27,1.60
200711,3.02,-0.89
200712,5.20,1.43
200801,2.20,-1.28
200802,6.60,3.54
200803,5.00,0.93
200804,2.79,-1.27
200805,3.58,-0.54
200806,4.07,0.18
200807,4.58,0.19
200808,3.28,-1.19
200809,7.22,3.10
200810,3.21,-0.46
200811,2.84,-1.07
200812,5.92,2.15
200901,2.62,-0.86
200902,0.85,-2.21
200903,1.80,-2.27
200904,3.35,-0.71
200905,3.97,-0.15
200906,8.31,4.42
200907,5.91,1.52
200908,5.26,0.79
200909,2.05,-2.07
200910,5.33,1.66
200911,1.49,-2.42
200912,5.83,2.06
201001,2.60,-0.88
201002,5.05,1.99
201003,10.01,5.94
201004,2.44,-1.62
201005,2.62,-1.50
201006,2.67,-1.22
201007,3.57,-0.82
201008,4.44,-0.03
201009,3.32,-0.80
201010,5.30,1.63
201011,2.60,-1.31
201012,4.19,0.42
201101,3.31,-0.17
201102,3.87,0.81
201103,7.05,2.98
201104,6.90,2.84
201105,5.84,1.72
201106,5.48,1.59
201107,2.47,-1.92
201108,14.97,10.50
201109,8.97,4.85
201110,5.25,1.58
201111,3.28,-0.63
201112,4.42,0.65
201201,2.74,-0.74
201202,1.40,-1.66
201203,1.20,-2.87
201204,2.95,-1.11
201205,5.29,1.17
201206,3.91,0.02
201207,3.98,-0.41
201208,3.98,-0.49
201209,5.74,1.62
201210,4.37,0.70
201211,1.02,-2.89
201212,4.95,1.18
201301,2.52,-0.96
201302,2.72,-0.34
201303,2.37,-1.70
201304,1.41,-2.65
201305,5.36,1.24
201306,9.12,5.23
201307,4.17,-0.22
201308,3.33,-1.14
201309,2.67,-1.45
201310,0.79,-2.88
201311,3.81,-0.10
201312,3.63,-0.14
201401,2.74,-0.74
201402,4.01,0.95
201403,3.43,-0.64
201404,5.02,0.96
201405,4.76,0.64
201406,3.59,-0.30
201407,6.21,1.82
201408,2.60,-1.87
201409,1.07,-3.05
201410,4.59,0.92
201411,4.00,0.09
201412,4.82,1.05
201501,3.99,0.51
201502,1.67,-1.39
201503,3.70,-0.37
201504,2.45,-1.61
201505,2.55,-1.57
201506,5.48,1.59
201507,4.21,-0.18
201508,2.10,-2.37
201509,3.87,-0.25
201510,3.58,-0.09
201511,2.49,-1.42
201512,4.17,0.40
201601,2.43,-1.05
201602,4.56,1.50
201603,1.16,-2.91
201604,2.63,-1.43
201605,3.44,-0.68
201606,2.03,-1.86
201607,5.71,1.32
201608,2.52,-1.95
201609,1.63,-2.49
201610,3.45,-0.22
201611,4.36,0.45
201612,3.11,-0.66
201701,3.38,-0.10
201702,1.89,-1.17
201703,3.75,-0.32
201704,4.32,0.26
201705,5.52,1.40
201706,2.83,-1.06
201707,4.66,0.27
201708,2.75,-1.72
201709,2.32,-1.80
201710,5.29,1.62
201711,1.36,-2.55
201712,1.68,-2.09
201801,2.81,-0.67
201802,5.32,2.26
201803,3.33,-0.74
201804,4.99,0.93
201805,3.30,-0.82
201806,3.72,-0.17
201807,5.95,1.56
201808,7.18,2.71
201809,7.21,3.09
201810,4.62,0.95
201811,7.24,3.33
201812,5.55,1.78
201901,4.87,1.39
201902,2.78,-0.28
201903,2.65,-1.42
201904,5.04,0.98
201905,6.24,2.12
201906,3.76,-0.13
201907,6.75,2.36
201908,2.70,-1.77
201909,0.81,-3.31
201910,7.47,3.80
201911,2.30,-1.61
201912,5.79,2.02
202001,1.99,-1.49
