Hennepin County, Minnesota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.87,-0.02
200002,1.18,0.28
200003,1.12,-0.43
200004,1.37,-0.91
200005,3.48,-0.19
200006,3.83,-0.60
200007,4.92,1.17
200008,3.37,-0.46
200009,1.91,-1.23
200010,1.09,-0.97
200011,3.93,2.35
200012,1.13,0.27
200101,1.23,0.34
200102,1.41,0.51
200103,0.99,-0.56
200104,6.96,4.68
200105,4.54,0.87
200106,4.45,0.02
200107,2.08,-1.67
200108,3.14,-0.69
200109,3.47,0.33
200110,0.99,-1.07
200111,2.69,1.11
200112,0.68,-0.18
200201,0.40,-0.49
200202,0.61,-0.29
200203,1.68,0.13
200204,3.57,1.29
200205,3.13,-0.54
200206,8.82,4.39
200207,7.18,3.43
200208,6.75,2.92
200209,4.24,1.10
200210,4.11,2.05
200211,0.12,-1.46
200212,0.24,-0.62
200301,0.24,-0.65
200302,0.71,-0.19
200303,1.47,-0.08
200304,2.64,0.36
200305,5.68,2.01
200306,5.97,1.54
200307,2.53,-1.22
200308,0.64,-3.19
200309,2.43,-0.71
200310,0.95,-1.11
200311,0.90,-0.68
200312,0.69,-0.17
200401,0.40,-0.49
200402,1.11,0.21
200403,2.00,0.45
200404,2.49,0.21
200405,6.84,3.17
200406,3.96,-0.47
200407,3.86,0.11
200408,1.69,-2.14
200409,4.85,1.71
200410,3.17,1.11
200411,0.89,-0.69
200412,0.40,-0.46
200501,1.05,0.16
200502,0.95,0.05
200503,1.08,-0.47
200504,2.43,0.15
200505,3.57,-0.10
200506,6.05,1.62
200507,2.73,-1.02
200508,3.91,0.08
200509,7.72,4.58
200510,4.49,2.43
200511,1.66,0.08
200512,0.96,0.10
200601,0.56,-0.33
200602,0.32,-0.58
200603,1.47,-0.08
200604,4.66,2.38
200605,2.38,-1.29
200606,3.52,-0.91
200607,1.46,-2.29
200608,5.40,1.57
200609,3.84,0.70
200610,0.65,-1.41
200611,1.02,-0.56
200612,1.79,0.93
200701,0.42,-0.47
200702,0.96,0.06
200703,3.01,1.46
200704,2.12,-0.16
200705,2.22,-1.45
200706,1.81,-2.62
200707,1.61,-2.14
200708,6.52,2.69
200709,5.27,2.13
200710,4.87,2.81
200711,0.08,-1.50
200712,1.28,0.42
200801,0.10,-0.79
200802,0.37,-0.53
200803,1.43,-0.12
200804,3.61,1.33
200805,2.93,-0.74
200806,3.49,-0.94
200807,2.56,-1.19
200808,2.44,-1.39
200809,2.35,-0.79
200810,1.79,-0.27
200811,1.23,-0.35
200812,1.13,0.27
200901,0.41,-0.48
200902,0.90,0.00
200903,1.84,0.29
200904,1.43,-0.85
200905,0.62,-3.05
200906,3.46,-0.97
200907,1.81,-1.94
200908,6.77,2.94
200909,0.73,-2.41
200910,6.16,4.10
200911,0.58,-1.00
200912,1.79,0.93
201001,0.52,-0.37
201002,0.75,-0.15
201003,0.86,-0.69
201004,2.09,-0.19
201005,2.70,-0.97
201006,6.34,1.91
201007,3.94,0.19
201008,5.93,2.10
201009,5.88,2.74
201010,1.81,-0.25
201011,1.70,0.12
201012,2.50,1.64
201101,0.84,-0.05
201102,1.05,0.15
201103,2.04,0.49
201104,3.06,0.78
201105,5.67,2.00
201106,4.21,-0.22
201107,6.53,2.78
201108,4.07,0.24
201109,0.55,-2.59
201110,0.78,-1.28
201111,0.18,-1.40
201112,0.68,-0.18
201201,0.41,-0.48
201202,1.65,0.75
201203,1.39,-0.16
201204,2.71,0.43
201205,10.21,6.54
201206,3.80,-0.63
201207,4.38,0.63
201208,1.82,-2.01
201209,0.40,-2.74
201210,1.24,-0.82
201211,0.79,-0.79
201212,1.42,0.56
201301,0.63,-0.26
201302,1.08,0.18
201303,1.82,0.27
201304,4.01,1.73
201305,5.16,1.49
201306,7.27,2.84
201307,3.50,-0.25
201308,1.52,-2.31
201309,1.45,-1.69
201310,3.80,1.74
201311,0.56,-1.02
201312,1.33,0.47
201401,1.15,0.26
201402,1.21,0.31
201403,0.73,-0.82
201404,6.19,3.91
201405,4.64,0.97
201406,10.27,5.84
201407,3.01,-0.74
201408,2.81,-1.02
201409,1.82,-1.32
201410,1.12,-0.94
201411,0.98,-0.60
201412,0.93,0.07
201501,0.28,-0.61
201502,0.31,-0.59
201503,0.68,-0.87
201504,2.00,-0.28
201505,4.61,0.94
201506,3.74,-0.69
201507,7.08,3.33
201508,3.44,-0.39
201509,3.77,0.63
201510,3.06,1.00
201511,4.10,2.52
201512,1.96,1.10
201601,0.28,-0.61
201602,0.74,-0.16
201603,1.65,0.10
201604,3.15,0.87
201605,2.41,-1.26
201606,3.77,-0.66
201607,5.60,1.85
201608,8.65,4.82
201609,5.81,2.67
201610,3.16,1.10
201611,1.69,0.11
201612,1.67,0.81
201701,0.64,-0.25
201702,0.71,-0.19
201703,0.56,-0.99
201704,3.85,1.57
201705,5.01,1.34
201706,3.31,-1.12
201707,3.13,-0.62
201708,6.78,2.95
201709,1.65,-1.49
201710,5.46,3.40
201711,0.29,-1.29
201712,0.59,-0.27
201801,0.89,0.00
201802,1.04,0.14
201803,1.00,-0.55
201804,1.78,-0.50
201805,2.92,-0.75
201806,4.09,-0.34
201807,3.90,0.15
201808,2.97,-0.86
201809,6.06,2.92
201810,3.08,1.02
201811,1.36,-0.22
201812,1.38,0.52
201901,0.28,-0.61
201902,1.91,1.01
201903,1.95,0.40
201904,3.05,0.77
201905,6.48,2.81
201906,3.32,-1.11
201907,5.88,2.13
201908,5.44,1.61
201909,4.70,1.56
201910,4.93,2.87
201911,1.47,-0.11
201912,1.63,0.77
202001,0.55,-0.34
