Duval County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.12,0.18
200002,1.19,-1.96
200003,2.35,-1.26
200004,2.44,-0.32
200005,0.99,-2.43
200006,3.89,-2.00
200007,4.48,-1.87
200008,5.97,-0.45
200009,11.80,5.17
200010,0.65,-3.67
200011,1.49,-0.49
200012,1.13,-1.57
200101,0.96,-1.98
200102,0.99,-2.16
200103,5.53,1.92
200104,0.57,-2.19
200105,2.25,-1.17
200106,7.34,1.45
200107,6.28,-0.07
200108,5.60,-0.82
200109,12.17,5.54
200110,0.36,-3.96
200111,3.20,1.22
200112,2.43,-0.27
200201,3.76,0.82
200202,1.05,-2.10
200203,4.36,0.75
200204,1.61,-1.15
200205,1.13,-2.29
200206,6.73,0.84
200207,4.53,-1.82
200208,9.11,2.69
200209,7.36,0.73
200210,4.13,-0.19
200211,3.13,1.15
200212,5.19,2.49
200301,0.74,-2.20
200302,5.28,2.13
200303,9.11,5.50
200304,2.16,-0.60
200305,2.93,-0.49
200306,6.49,0.60
200307,6.91,0.56
200308,5.53,-0.89
200309,2.70,-3.93
200310,3.58,-0.74
200311,1.12,-0.86
200312,0.95,-1.75
200401,1.15,-1.79
200402,4.93,1.78
200403,1.58,-2.03
200404,2.15,-0.61
200405,1.25,-2.17
200406,8.02,2.13
200407,7.42,1.07
200408,8.33,1.91
200409,12.25,5.62
200410,1.38,-2.94
200411,2.39,0.41
200412,2.46,-0.24
200501,1.76,-1.18
200502,3.46,0.31
200503,3.70,0.09
200504,4.73,1.97
200505,3.09,-0.33
200506,8.88,2.99
200507,6.49,0.14
200508,5.26,-1.16
200509,4.31,-2.32
200510,5.81,1.49
200511,1.44,-0.54
200512,6.54,3.84
200601,2.23,-0.71
200602,3.89,0.74
200603,0.50,-3.11
200604,1.50,-1.26
200605,1.58,-1.84
200606,4.79,-1.10
200607,4.63,-1.72
200608,5.64,-0.78
200609,3.47,-3.16
200610,1.98,-2.34
200611,0.64,-1.34
200612,3.35,0.65
200701,2.83,-0.11
200702,2.27,-0.88
200703,1.94,-1.67
200704,0.56,-2.20
200705,0.83,-2.59
200706,7.73,1.84
200707,6.51,0.16
200708,2.77,-3.65
200709,7.48,0.85
200710,9.12,4.80
200711,0.26,-1.72
200712,1.81,-0.89
200801,3.08,0.14
200802,4.86,1.71
200803,3.25,-0.36
200804,2.60,-0.16
200805,1.08,-2.34
200806,6.14,0.25
200807,8.54,2.19
200808,15.01,8.59
200809,3.56,-3.07
200810,1.64,-2.68
200811,1.20,-0.78
200812,0.76,-1.94
200901,3.83,0.89
200902,1.34,-1.81
200903,3.39,-0.22
200904,5.58,2.82
200905,11.65,8.23
200906,4.42,-1.47
200907,7.42,1.07
200908,8.48,2.06
200909,4.00,-2.63
200910,1.53,-2.79
200911,1.39,-0.59
200912,5.73,3.03
201001,3.46,0.52
201002,2.97,-0.18
201003,2.54,-1.07
201004,0.83,-1.93
201005,3.10,-0.32
201006,4.07,-1.82
201007,2.85,-3.50
201008,5.59,-0.83
201009,4.08,-2.55
201010,0.10,-4.22
201011,2.21,0.23
201012,0.45,-2.25
201101,5.18,2.24
201102,4.67,1.52
201103,2.41,-1.20
201104,1.47,-1.29
201105,1.66,-1.76
201106,3.94,-1.95
201107,5.38,-0.97
201108,4.45,-1.97
201109,8.33,1.70
201110,4.11,-0.21
201111,2.35,0.37
201112,1.92,-0.78
201201,0.25,-2.69
201202,1.32,-1.83
201203,2.76,-0.85
201204,1.52,-1.24
201205,7.80,4.38
201206,21.69,15.80
201207,2.83,-3.52
201208,10.79,4.37
201209,4.19,-2.44
201210,2.63,-1.69
201211,0.33,-1.65
201212,3.10,0.40
201301,0.97,-1.97
201302,4.36,1.21
201303,3.36,-0.25
201304,3.79,1.03
201305,6.58,3.16
201306,6.56,0.67
201307,7.05,0.70
201308,6.19,-0.23
201309,4.59,-2.04
201310,2.50,-1.82
201311,3.79,1.81
201312,1.82,-0.88
201401,5.88,2.94
201402,3.62,0.47
201403,5.42,1.81
201404,4.06,1.30
201405,3.44,0.02
201406,4.35,-1.54
201407,6.57,0.22
201408,4.81,-1.61
201409,9.54,2.91
201410,1.49,-2.83
201411,3.85,1.87
201412,2.99,0.29
201501,2.88,-0.06
201502,2.83,-0.32
201503,1.88,-1.73
201504,3.04,0.28
201505,0.77,-2.65
201506,4.98,-0.91
201507,6.31,-0.04
201508,8.58,2.16
201509,8.51,1.88
201510,1.01,-3.31
201511,3.72,1.74
201512,0.90,-1.80
201601,2.82,-0.12
201602,4.10,0.95
201603,2.28,-1.33
201604,3.09,0.33
201605,2.96,-0.46
201606,4.98,-0.91
201607,2.26,-4.09
201608,3.45,-2.97
201609,4.60,-2.03
201610,6.57,2.25
201611,0.11,-1.87
201612,3.14,0.44
201701,2.70,-0.24
201702,1.67,-1.48
201703,1.06,-2.55
201704,2.59,-0.17
201705,6.50,3.08
201706,11.16,5.27
201707,7.85,1.50
201708,6.31,-0.11
201709,10.39,3.76
201710,4.30,-0.02
201711,2.57,0.59
201712,2.15,-0.55
201801,3.40,0.46
201802,1.40,-1.75
201803,2.15,-1.46
201804,3.96,1.20
201805,6.38,2.96
201806,7.33,1.44
201807,5.81,-0.54
201808,6.19,-0.23
201809,2.76,-3.87
201810,1.81,-2.51
201811,4.12,2.14
201812,6.54,3.84
201901,3.89,0.95
201902,2.02,-1.13
201903,2.16,-1.45
201904,2.59,-0.17
201905,1.96,-1.46
201906,4.64,-1.25
201907,4.86,-1.49
201908,6.66,0.24
201909,2.44,-4.19
201910,5.21,0.89
201911,2.82,0.84
201912,4.81,2.11
202001,0.49,-2.45
