Yellowstone County, Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.43,-0.16
200002,1.42,0.95
200003,0.84,0.02
200004,1.35,0.04
200005,1.69,-0.58
200006,1.48,-0.93
200007,0.86,-0.30
200008,0.20,-0.80
200009,1.51,0.22
200010,0.82,-0.23
200011,0.68,0.07
200012,0.36,-0.18
200101,0.22,-0.37
200102,0.64,0.17
200103,0.67,-0.15
200104,1.33,0.02
200105,0.50,-1.77
200106,4.47,2.06
200107,1.44,0.28
200108,0.03,-0.97
200109,0.92,-0.37
200110,0.70,-0.35
200111,0.46,-0.15
200112,0.19,-0.35
200201,0.49,-0.10
200202,0.32,-0.15
200203,0.46,-0.36
200204,1.82,0.51
200205,1.61,-0.66
200206,1.60,-0.81
200207,0.68,-0.48
200208,0.78,-0.22
200209,1.17,-0.12
200210,0.93,-0.12
200211,0.11,-0.50
200212,0.30,-0.24
200301,0.80,0.21
200302,0.90,0.43
200303,1.06,0.24
200304,1.24,-0.07
200305,2.58,0.31
200306,2.40,-0.01
200307,0.10,-1.06
200308,0.16,-0.84
200309,0.28,-1.01
200310,1.47,0.42
200311,0.42,-0.19
200312,0.83,0.29
200401,0.31,-0.28
200402,0.78,0.31
200403,0.19,-0.63
200404,0.91,-0.40
200405,1.29,-0.98
200406,2.15,-0.26
200407,1.68,0.52
200408,0.44,-0.56
200409,1.16,-0.13
200410,1.65,0.60
200411,0.07,-0.54
200412,0.26,-0.28
200501,0.48,-0.11
200502,0.22,-0.25
200503,0.84,0.02
200504,3.62,2.31
200505,2.43,0.16
200506,2.80,0.39
200507,1.11,-0.05
200508,0.70,-0.30
200509,0.85,-0.44
200510,1.98,0.93
200511,1.40,0.79
200512,0.48,-0.06
200601,0.10,-0.49
200602,0.24,-0.23
200603,1.92,1.10
200604,1.68,0.37
200605,1.20,-1.07
200606,0.64,-1.77
200607,0.44,-0.72
200608,0.69,-0.31
200609,2.46,1.17
200610,2.28,1.23
200611,0.59,-0.02
200612,0.43,-0.11
200701,0.22,-0.37
200702,0.71,0.24
200703,1.15,0.33
200704,2.29,0.98
200705,4.33,2.06
200706,1.78,-0.63
200707,1.26,0.10
200708,0.43,-0.57
200709,1.45,0.16
200710,2.05,1.00
200711,0.50,-0.11
200712,0.25,-0.29
200801,0.33,-0.26
200802,0.18,-0.29
200803,0.41,-0.41
200804,0.24,-1.07
200805,5.42,3.15
200806,1.12,-1.29
200807,0.79,-0.37
200808,0.79,-0.21
200809,2.50,1.21
200810,2.21,1.16
200811,0.37,-0.24
200812,1.06,0.52
200901,0.41,-0.18
200902,0.34,-0.13
200903,1.22,0.40
200904,1.84,0.53
200905,0.64,-1.63
200906,2.12,-0.29
200907,1.24,0.08
200908,1.71,0.71
200909,0.35,-0.94
200910,1.84,0.79
200911,0.16,-0.45
200912,0.51,-0.03
201001,0.83,0.24
201002,0.53,0.06
201003,0.25,-0.57
201004,0.98,-0.33
201005,2.70,0.43
201006,3.81,1.40
201007,1.42,0.26
201008,2.74,1.74
201009,1.08,-0.21
201010,0.54,-0.51
201011,1.57,0.96
201012,0.78,0.24
201101,0.40,-0.19
201102,0.78,0.31
201103,0.76,-0.06
201104,2.10,0.79
201105,8.21,5.94
201106,2.16,-0.25
201107,1.53,0.37
201108,1.07,0.07
201109,0.22,-1.07
201110,1.74,0.69
201111,0.50,-0.11
201112,0.25,-0.29
201201,0.69,0.10
201202,0.24,-0.23
201203,0.62,-0.20
201204,1.16,-0.15
201205,2.05,-0.22
201206,0.42,-1.99
201207,0.57,-0.59
201208,0.28,-0.72
201209,0.02,-1.27
201210,1.02,-0.03
201211,0.50,-0.11
201212,0.28,-0.26
201301,0.54,-0.05
201302,0.23,-0.24
201303,0.21,-0.61
201304,1.12,-0.19
201305,4.89,2.62
201306,1.78,-0.63
201307,0.80,-0.36
201308,0.74,-0.26
201309,2.80,1.51
201310,2.36,1.31
201311,0.27,-0.34
201312,1.43,0.89
201401,0.79,0.20
201402,1.35,0.88
201403,1.53,0.71
201404,0.97,-0.34
201405,1.94,-0.33
201406,2.50,0.09
201407,0.45,-0.71
201408,2.86,1.86
201409,0.79,-0.50
201410,0.28,-0.77
201411,0.77,0.16
201412,0.57,0.03
201501,0.87,0.28
201502,0.21,-0.26
201503,0.27,-0.55
201504,1.33,0.02
201505,2.64,0.37
201506,1.91,-0.50
201507,1.50,0.34
201508,1.11,0.11
201509,0.23,-1.06
201510,1.82,0.77
201511,0.60,-0.01
201512,0.57,0.03
201601,0.40,-0.19
201602,0.18,-0.29
201603,1.22,0.40
201604,1.62,0.31
201605,2.60,0.33
201606,0.64,-1.77
201607,1.31,0.15
201608,1.74,0.74
201609,1.98,0.69
201610,3.05,2.00
201611,0.33,-0.28
201612,1.14,0.60
201701,0.57,-0.02
201702,0.70,0.23
201703,1.91,1.09
201704,2.46,1.15
201705,1.44,-0.83
201706,1.68,-0.73
201707,0.35,-0.81
201708,0.38,-0.62
201709,2.59,1.30
201710,0.46,-0.59
201711,1.27,0.66
201712,1.45,0.91
201801,0.66,0.07
201802,1.49,1.02
201803,0.80,-0.02
201804,2.50,1.19
201805,4.20,1.93
201806,4.36,1.95
201807,0.95,-0.21
201808,1.83,0.83
201809,0.62,-0.67
201810,0.71,-0.34
201811,0.69,0.08
201812,0.52,-0.02
201901,0.61,0.02
201902,1.46,0.99
201903,0.36,-0.46
201904,2.15,0.84
201905,3.70,1.43
201906,2.34,-0.07
201907,2.01,0.85
201908,1.04,0.04
201909,3.30,2.01
201910,0.96,-0.09
201911,1.00,0.39
201912,0.24,-0.30
202001,0.22,-0.37
