Kosciusko County, Indiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.39,-0.72
200002,1.83,0.06
200003,1.58,-1.16
200004,2.88,-0.63
200005,5.18,1.39
200006,6.39,2.28
200007,2.57,-1.03
200008,4.00,0.52
200009,4.63,1.36
200010,2.06,-0.81
200011,3.13,0.42
200012,2.51,0.13
200101,0.81,-1.30
200102,3.61,1.84
200103,0.67,-2.07
200104,4.68,1.17
200105,3.74,-0.05
200106,3.82,-0.29
200107,4.44,0.84
200108,6.03,2.55
200109,2.83,-0.44
200110,8.21,5.34
200111,2.40,-0.31
200112,2.01,-0.37
200201,2.35,0.24
200202,2.10,0.33
200203,3.08,0.34
200204,4.42,0.91
200205,5.28,1.49
200206,2.50,-1.61
200207,3.69,0.09
200208,2.22,-1.26
200209,1.57,-1.70
200210,1.82,-1.05
200211,1.69,-1.02
200212,1.41,-0.97
200301,1.03,-1.08
200302,1.28,-0.49
200303,1.73,-1.01
200304,2.66,-0.85
200305,6.46,2.67
200306,1.90,-2.21
200307,7.59,3.99
200308,4.17,0.69
200309,5.97,2.70
200310,2.19,-0.68
200311,3.41,0.70
200312,2.76,0.38
200401,1.64,-0.47
200402,0.62,-1.15
200403,2.80,0.06
200404,0.43,-3.08
200405,6.96,3.17
200406,4.77,0.66
200407,4.41,0.81
200408,6.28,2.80
200409,1.21,-2.06
200410,2.25,-0.62
200411,4.49,1.78
200412,2.78,0.40
200501,6.09,3.98
200502,2.64,0.87
200503,2.03,-0.71
200504,1.54,-1.97
200505,2.03,-1.76
200506,2.81,-1.30
200507,4.45,0.85
200508,3.05,-0.43
200509,4.19,0.92
200510,0.87,-2.00
200511,2.74,0.03
200512,1.81,-0.57
200601,2.93,0.82
200602,1.48,-0.29
200603,3.15,0.41
200604,2.56,-0.95
200605,5.71,1.92
200606,2.69,-1.42
200607,5.12,1.52
200608,4.63,1.15
200609,2.23,-1.04
200610,4.50,1.63
200611,2.70,-0.01
200612,3.58,1.20
200701,3.77,1.66
200702,1.36,-0.41
200703,2.55,-0.19
200704,3.84,0.33
200705,1.63,-2.16
200706,2.46,-1.65
200707,3.55,-0.05
200708,8.16,4.68
200709,1.50,-1.77
200710,3.26,0.39
200711,3.27,0.56
200712,4.75,2.37
200801,5.13,3.02
200802,5.50,3.73
200803,2.92,0.18
200804,2.54,-0.97
200805,4.37,0.58
200806,5.54,1.43
200807,2.51,-1.09
200808,1.69,-1.79
200809,5.34,2.07
200810,2.50,-0.37
200811,1.42,-1.29
200812,4.63,2.25
200901,1.07,-1.04
200902,2.98,1.21
200903,6.40,3.66
200904,5.02,1.51
200905,5.28,1.49
200906,3.68,-0.43
200907,2.91,-0.69
200908,7.57,4.09
200909,1.44,-1.83
200910,5.38,2.51
200911,1.33,-1.38
200912,2.78,0.40
201001,1.05,-1.06
201002,1.09,-0.68
201003,1.88,-0.86
201004,3.56,0.05
201005,5.54,1.75
201006,6.39,2.28
201007,3.40,-0.20
201008,1.73,-1.75
201009,2.56,-0.71
201010,0.96,-1.91
201011,3.23,0.52
201012,1.16,-1.22
201101,1.19,-0.92
201102,3.16,1.39
201103,2.75,0.01
201104,6.79,3.28
201105,6.51,2.72
201106,3.43,-0.68
201107,3.12,-0.48
201108,2.49,-0.99
201109,5.80,2.53
201110,4.32,1.45
201111,4.86,2.15
201112,3.50,1.12
201201,2.98,0.87
201202,2.18,0.41
201203,1.75,-0.99
201204,1.00,-2.51
201205,1.63,-2.16
201206,1.54,-2.57
201207,4.31,0.71
201208,3.89,0.41
201209,2.18,-1.09
201210,3.36,0.49
201211,0.62,-2.09
201212,2.85,0.47
201301,3.81,1.70
201302,2.00,0.23
201303,1.35,-1.39
201304,7.39,3.88
201305,2.37,-1.42
201306,9.25,5.14
201307,2.37,-1.23
201308,3.63,0.15
201309,2.58,-0.69
201310,2.76,-0.11
201311,2.77,0.06
201312,2.96,0.58
201401,2.42,0.31
201402,3.36,1.59
201403,1.33,-1.41
201404,3.48,-0.03
201405,4.36,0.57
201406,4.91,0.80
201407,2.23,-1.37
201408,3.81,0.33
201409,3.71,0.44
201410,2.94,0.07
201411,3.00,0.29
201412,1.50,-0.88
201501,1.50,-0.61
201502,1.14,-0.63
201503,0.96,-1.78
201504,2.53,-0.98
201505,4.97,1.18
201506,7.13,3.02
201507,5.55,1.95
201508,3.08,-0.40
201509,2.77,-0.50
201510,1.69,-1.18
201511,2.18,-0.53
201512,4.04,1.66
201601,1.22,-0.89
201602,1.69,-0.08
201603,3.26,0.52
201604,2.68,-0.83
201605,3.15,-0.64
201606,5.11,1.00
201607,2.38,-1.22
201608,5.04,1.56
201609,4.18,0.91
201610,3.08,0.21
201611,2.59,-0.12
201612,1.62,-0.76
201701,3.54,1.43
201702,2.12,0.35
201703,2.97,0.23
201704,3.55,0.04
201705,6.60,2.81
201706,3.79,-0.32
201707,7.17,3.57
201708,2.90,-0.58
201709,2.37,-0.90
201710,3.32,0.45
201711,4.65,1.94
201712,0.89,-1.49
201801,1.26,-0.85
201802,5.33,3.56
201803,1.91,-0.83
201804,2.93,-0.58
201805,4.15,0.36
201806,3.85,-0.26
201807,3.83,0.23
201808,7.06,3.58
201809,1.86,-1.41
201810,3.77,0.90
201811,3.66,0.95
201812,1.67,-0.71
201901,2.35,0.24
201902,1.73,-0.04
201903,2.93,0.19
201904,4.80,1.29
201905,5.08,1.29
201906,4.95,0.84
201907,2.53,-1.07
201908,2.96,-0.52
201909,5.48,2.21
201910,3.39,0.52
201911,1.37,-1.34
201912,2.21,-0.17
202001,3.50,1.39
