,departure_delay_avg,arrival_delay_avg,departure_cancelled_avg,arrival_diverted_avg
ABE,11.94507111329083,5.558259587020649,0.020873320537428023,0.004561824729891957
ABI,8.02725896012115,5.784016186140617,0.020276953511374877,0.0009891196834817012
ABQ,8.635997144416915,5.599697313658721,0.009897284484551088,0.001746506986027944
ABY,15.052261306532664,10.642137096774194,0.010805500982318271,0.0068762278978389
ACK,23.306623931623932,6.503218884120171,0.0360082304526749,0.0102880658436214
ACT,5.046223958333333,2.739921976592978,0.037037037037037035,0.0018820577164366374
ACV,13.676696990902729,7.172778561354019,0.033152909336941816,0.009465855307640297
ACY,7.031702062172976,7.815522020326455,0.012165450121654502,0.00030413625304136254
AEX,7.0581915846016114,3.5549236755462434,0.014105201292976785,0.00411522633744856
AGS,12.01822272215973,9.982215218370104,0.019586267605633804,0.002422373926447919
ALB,8.080228042634058,6.532616783794957,0.02127831715210356,0.0011327777328262805
ALO,7.896341463414634,3.7339449541284404,0.03249630723781388,0.004431314623338257
AMA,6.519946808510638,7.078692263828169,0.019381289601192696,0.001490590646543693
APN,12.521381578947368,0.4050420168067227,0.022508038585209004,0.008038585209003215
ASE,14.43520973023546,11.16426193118757,0.06521739130434782,0.038915609969392216
ATL,9.601254702550746,2.913905639379901,0.006522307625254457,0.0019278146221662791
ATW,7.7627489072365226,3.6710366593833457,0.013610315186246419,0.0023872045834328003
AUS,9.462007437317459,4.036635071847578,0.009674053934431413,0.0022920914939694283
AVL,11.794160778562858,9.677544469707101,0.023654795944892122,0.005584415584415584
AVP,10.57173645320197,6.801848998459168,0.03069129916567342,0.004468275245755138
AZO,5.988632196552989,5.40683572216097,0.028877005347593583,0.003920171062009979
BDL,8.268254771544246,6.872575976845152,0.023025851108913687,0.001589319771137953
BFF,0.3631578947368421,-1.718804920913884,0.005235602094240838,0.0017452006980802793
BFL,5.6305953933072574,5.209019947961838,0.009896729776247849,0.0004302925989672978
BGM,11.42024202420242,4.847345132743363,0.011956521739130435,0.007608695652173913
BGR,10.713369258403901,4.472886147519918,0.04327628361858191,0.0007338551859099804
BHM,9.545677089128741,7.1820511392123,0.017707820954254796,0.0023503689532659196
BIL,4.935819811092274,1.0588235294117647,0.005539499036608863,0.004096385542168675
BIS,8.267995570321151,3.481636060100167,0.01527133896918462,0.0043656207366985
BJI,5.359565807327002,-0.8961748633879781,0.004054054054054054,0.004054054054054054
BLI,2.363224637681159,0.5346938775510204,0.007640449438202248,0.0017977528089887641
BLV,21.368941641938676,8.993069306930693,0.007850834151128557,0.0029469548133595285
