airport_code,length_ft_sum,width_ft_avg
CEZ,7205.0,100.0
CFD,5330.0,57.5
CFV,9872.0,87.5
CGC,7575.0,87.5
CGF,5102.0,100.0
CGI,10495.0,125.0
CGZ,5200.0,100.0
CHA,12400.0,150.0
CHO,6001.0,150.0
CHS,16005.0,175.0
CIC,9729.0,105.0
CID,14801.0,150.0
CIK,4000.0,90.0
CIU,12201.0,137.5
CKB,7800.0,150.0
CKF,15047.0,133.33333333333334
CKV,10004.0,100.0
CLD,4897.0,150.0
CLE,31112.0,150.0
CLL,17308.0,150.0
CLM,9592.0,100.0
CLS,5000.0,150.0
CLT,36178.0,150.0
CLU,11400.0,125.0
CLW,3300.0,75.0
CMH,18125.0,150.0
CMI,23716.0,131.25
CMX,11697.0,125.0
CNM,23641.0,118.75
CNO,17881.0,150.0
CNU,6455.0,105.0
CNW,14892.0,150.0
CNY,7100.0,75.0
COD,8268.0,100.0
COE,12800.0,87.5
COF,13023.0,200.0
CON,13204.0,108.33333333333333
COS,32792.0,150.0
COT,5005.0,75.0
COU,12001.0,125.0
CPR,33023.0,105.0
CQW,5000.0,75.0
CRE,5996.0,100.0
CRG,8002.0,100.0
CRP,13588.0,150.0
CRW,11053.0,150.0
CSG,10994.0,150.0
CSV,5418.0,100.0
CTB,10599.0,75.0
CTH,5400.0,100.0
CTJ,5652.0,100.0
CTY,10006.0,87.5
CUB,5002.0,75.0
CVG,41000.0,150.0
CVN,14339.0,125.0
CVO,9235.0,112.5
CVS,18200.0,150.0
CVX,5830.0,137.5
CWA,14146.0,150.0
CWI,8904.0,100.0
CWT,9173.0,79.0
CXL,4679.0,75.0
CXO,9974.0,125.0
CXY,8926.0,125.0
CYF,2500.0,28.0
CYS,15958.0,150.0
CYT,4350.0,75.0
CZF,3990.0,135.0
CZG,3900.0,75.0
DAA,5618.0,75.0
DAB,19696.0,133.33333333333334
DAG,11519.0,125.0
DAL,22699.0,150.0
DAN,10520.0,125.0
DAW,4001.0,100.0
DAY,26403.0,150.0
DBN,11006.0,150.0
DBQ,12829.0,125.0
DCA,16984.0,150.0
DDC,11548.0,100.0
DEC,20594.0,150.0
DEN,76000.0,158.33333333333334
DET,9115.0,100.0
DFW,80403.0,171.42857142857142
DGL,9855.0,87.5
DHN,13498.0,150.0
DHT,12069.0,75.0
DIK,11100.0,87.5
DKK,9000.0,100.0
DKX,3497.0,75.0
DLF,23414.0,150.0
DLG,6400.0,150.0
DLH,15851.0,150.0
DLL,7538.0,100.0
DMA,13643.0,200.0
DMN,12302.0,67.5
DNL,7740.0,100.0
DNN,5498.0,100.0
DNV,12501.0,116.66666666666667
DOV,22505.0,175.0
DPA,20822.0,93.75
DQH,6005.0,100.0
DRA,7515.0,100.0
DRG,5940.0,75.0
DRI,18716.0,115.0
DRM,6500.0,112.5
DRO,9201.0,150.0
DRT,6300.0,100.0
DSM,18004.0,150.0
DTA,11435.0,80.0
DTS,4999.0,100.0
DTW,57713.0,175.0
DUC,6650.0,100.0
DUG,26972.0,118.75
DUJ,5504.0,100.0
DUT,3900.0,100.0
DVL,9822.0,112.5
DVT,12708.0,87.5
DWA,6000.0,100.0
DWH,13526.0,78.33333333333333
DXR,7557.0,125.0
DYL,3004.0,60.0
DYS,20500.0,140.0
E25,5050.0,75.0
E38,11021.0,67.5
E63,5200.0,75.0
EAA,3600.0,75.0
EAT,11460.0,150.0
EAU,13100.0,125.0
ECA,4802.0,75.0
ECG,11737.0,150.0
ECP,10000.0,
EDF,17500.0,175.0
EDN,5100.0,100.0
EDW,35024.0,183.33333333333334
EED,9240.0,100.0
EEK,3243.0,60.0
EEN,10202.0,125.0
EET,5000.0,75.0
EFD,21611.0,125.0
EGE,14013.0,105.0
EGI,11500.0,105.0
EGT,4201.0,100.0
EGV,8400.0,68.0
EGX,7100.0,87.5
EHA,9800.0,60.0
EHM,3950.0,150.0
EIL,14530.0,150.0
EKA,5028.0,62.5
EKI,13001.0,98.33333333333333
EKN,9044.0,140.0
EKO,10085.0,105.0
EKY,5700.0,100.0
ELD,15433.0,108.33333333333333
ELI,3401.0,60.0
ELM,14421.0,150.0
ELP,26538.0,125.0
ELV,10000.0,1500.0
ELY,10832.0,105.0
EMK,4601.0,100.0
EMT,3995.0,75.0
EMV,5044.0,100.0
ENA,14176.0,154.0
END,28399.0,150.0
ENN,10721.0,86.66666666666667
ENV,16001.0,125.0
ENW,13241.0,91.66666666666667
EOK,9076.0,100.0
EPM,4000.0,75.0
ERI,11928.0,150.0
ERV,10047.0,80.0
ERY,7200.0,112.5
ESC,11501.0,125.0
ESD,2900.0,60.0
ESF,11600.0,150.0
ESN,9503.0,100.0
EUF,5000.0,100.0
EUG,19237.0,150.0
EVV,17807.0,125.0
EVW,14600.0,100.0
EWB,9997.0,150.0
EWK,10504.0,80.0
EWN,10004.0,150.0
EWR,27800.0,150.0
EYW,4801.0,100.0
FAF,3020.0,75.0
FAI,26601.0,106.25
FAR,19100.0,133.33333333333334
FAT,16422.0,125.0
FAY,12513.0,150.0
FBG,4650.0,100.0
FBK,8575.0,150.0
FBR,10444.0,65.0
FCA,15554.0,125.0
FCI,5500.0,100.0
FCM,10199.0,75.0
FCS,4573.0,75.0
FDW,5004.0,100.0
FDY,12383.0,100.0
FET,7944.0,75.0
FFA,3000.0,60.0
FFC,5219.0,100.0
FFO,19601.0,225.0
FFT,5005.0,100.0
FFZ,8900.0,87.5
FHU,21652.0,108.33333333333333
FIT,8014.0,87.5
FKL,8898.0,125.0
FLD,9543.0,87.5
FLG,6999.0,150.0
FLL,23930.0,150.0
FLO,12498.0,150.0
FLV,5905.0,100.0
FME,3000.0,75.0
FMH,17500.0,200.0
FMN,13204.0,125.0
FMY,11318.0,150.0
FNL,10773.0,70.0
FNR,10500.0,500.0
FNT,15050.0,150.0
FOD,11848.0,125.0
FOE,19802.0,175.0
FOK,19000.0,150.0
FRD,3402.0,75.0
FRI,9000.0,150.0
FRN,4175.0,100.0
FRP,11248.0,125.0
FSD,20151.0,125.0
FSI,5000.0,200.0
FSM,13002.0,150.0
FST,24987.0,112.0
FTG,20000.0,86.66666666666667
FTK,17337.0,116.25
FTW,15184.0,108.33333333333333
FTY,12754.0,86.66666666666667
FUL,3121.0,75.0
FWA,24002.0,125.0
FXE,10001.0,100.0
FYU,5810.0,150.0
FYV,6006.0,100.0
FZG,8402.0,200.0
FZI,4198.0,100.0
GAD,11608.0,150.0
GAI,4202.0,75.0
GAL,10040.0,115.0
GAM,4501.0,96.0
GBG,9394.0,125.0
GBN,12548.0,87.5
GCC,13303.0,112.5
GCK,13000.0,100.0
GCN,8999.0,150.0
GDV,8704.0,80.0
GDW,7200.0,112.5
GED,8109.0,112.5
GEG,19200.0,150.0
GEU,7099.0,100.0
GFK,18755.0,96.25
GFL,9000.0,125.0
GGE,14526.0,133.33333333333334
GGG,16109.0,150.0
GGW,10001.0,87.5
GHG,3001.0,75.0
GIF,9007.0,100.0
GJT,16003.0,112.5
GKN,5001.0,100.0
GKY,6080.0,100.0
GLD,10800.0,71.66666666666667
GLH,15020.0,150.0
GLS,15775.0,150.0
GLV,4000.0,75.0
GMJ,5250.0,75.0
GMU,9391.0,90.0
GNT,9522.0,57.5
GNV,11662.0,125.0
GON,9000.0,125.0
GPT,20937.0,150.0
GPZ,10205.0,103.33333333333333
GQQ,3505.0,75.0
GRB,19099.0,125.0
GRF,6125.0,150.0
GRI,13610.0,125.0
GRK,10000.0,200.0
GRM,4199.0,75.0
GRR,23501.0,133.33333333333334
GSB,11758.0,300.0
GSO,25381.0,150.0
GSP,11000.0,150.0
GST,9730.0,105.0
GTB,19481.0,150.0
GTF,21153.0,125.0
GTR,8002.0,150.0
GTU,9100.0,87.5
GUC,12400.0,150.0
GUP,7316.0,100.0
GUS,12501.0,200.0
GUY,7695.0,150.0
GVL,9501.0,100.0
GVQ,5500.0,100.0
GVT,13030.0,150.0
GWO,14197.0,120.0
GXY,19400.0,91.66666666666667
GYH,8000.0,150.0
GYY,10606.0,125.0
HAF,5000.0,150.0
HBG,6099.0,150.0
HBI,5501.0,100.0
HBR,16093.0,133.33333333333334
HCR,4000.0,100.0
HDE,6470.0,187.5
HDH,9007.0,75.0
HDI,3300.0,75.0
HDN,10000.0,150.0
HDO,26752.0,148.0
HFD,9040.0,123.66666666666667
HGR,8621.0,125.0
HHH,4300.0,100.0
HHI,5604.0,295.0
HHR,4956.0,100.0
HIB,9833.0,112.5
HIF,13508.0,200.0
HII,8001.0,100.0
HIO,14249.0,103.33333333333333
HKB,2912.0,60.0
HKY,10800.0,150.0
HLG,9500.0,150.0
HLN,16633.0,100.0
HLR,3803.0,144.0
