airport_code,length_ft_sum,width_ft_avg
RBK,6000.0,75.0
RBY,4000.0,100.0
RCA,13497.0,300.0
RCZ,7492.0,300.0
RDD,12070.0,150.0
RDG,11501.0,150.0
RDM,14038.0,125.0
RDR,12350.0,150.0
RDU,21070.0,133.33333333333334
REI,4505.0,75.0
RFD,18203.0,150.0
RHI,16904.0,116.66666666666667
RHV,6199.0,75.0
RIC,20936.0,133.33333333333334
RID,14060.0,133.33333333333334
RIF,6600.0,75.0
RIL,7000.0,100.0
RIR,3200.0,50.0
RIU,3800.0,75.0
RIV,16310.0,150.0
RIW,13003.0,110.0
RKD,8907.0,100.0
RKH,5500.0,100.0
RKP,14456.0,150.0
RKR,4006.0,75.0
RKS,15223.0,112.5
RME,11820.0,200.0
RMG,14093.0,108.33333333333333
RMY,3306.0,60.0
RND,16704.0,200.0
RNH,6113.0,75.0
RNM,5001.0,150.0
RNO,26104.0,150.0
RNT,5382.0,200.0
ROA,12610.0,150.0
ROC,18403.0,133.33333333333334
ROW,30425.0,150.0
RSH,6600.0,300.0
RSL,6602.0,187.5
RST,16333.0,150.0
RSW,12000.0,150.0
RUT,8170.0,87.5
RVS,12122.0,83.33333333333333
RWF,6051.0,150.0
RWI,7100.0,150.0
RWL,11126.0,80.0
RYY,6305.0,75.0
S40,3450.0,60.0
S46,4650.0,66.66666666666667
SAA,8800.0,100.0
SAC,12824.0,133.33333333333334
SAD,10815.0,87.5
SAF,20949.0,125.0
SAN,9401.0,200.0
SAT,21526.0,133.33333333333334
SAV,16353.0,150.0
SBA,14414.0,108.33333333333333
SBD,10001.0,200.0
SBM,10402.0,87.5
SBN,18713.0,125.0
SBO,6021.0,100.0
SBP,8600.0,125.0
SBS,4452.0,100.0
SBY,10500.0,125.0
SCC,6500.0,150.0
SCD,5390.0,100.0
SCE,6701.0,150.0
SCH,14479.0,116.66666666666667
SCK,15104.0,112.5
SCM,13000.0,287.5
SDC,3800.0,60.0
SDF,26679.0,150.0
SDM,11152.0,112.5
SDP,4000.0,150.0
SDX,5129.0,100.0
SDY,9727.0,100.0
SEA,40752.0,612.5
SEE,12225.0,86.66666666666667
SEF,20414.0,262.5
SEM,8002.0,150.0
SFB,22681.0,112.5
SFF,13559.0,108.33333333333333
SFO,38620.0,200.0
SFZ,8210.0,112.5
SGF,15003.0,150.0
SGH,14508.0,125.0
SGR,8000.0,100.0
SGU,6606.0,100.0
SGY,3550.0,75.0
SHD,6002.0,150.0
SHG,4000.0,60.0
SHH,5000.0,70.0
SHN,5005.0,100.0
SHR,19987.0,108.33333333333333
SHV,14553.0,175.0
SHX,8400.0,525.0
SIK,5502.0,100.0
SIT,6500.0,150.0
SJC,26599.0,133.33333333333334
SJT,18390.0,125.0
SKA,13901.0,200.0
SKF,11550.0,300.0
SKK,4001.0,75.0
SKY,6152.0,50.0
SLC,38492.0,150.0
SLE,10956.0,125.0
SLK,10571.0,125.0
SLN,26758.0,100.0
SLQ,3100.0,60.0
SMD,6020.0,100.0
SME,5800.0,100.0
SMF,17201.0,150.0
SMK,4001.0,75.0
SMN,5150.0,60.0
SMO,3500.0,150.0
SMX,11434.0,112.5
SNA,8587.0,112.5
SNP,6500.0,150.0
SNS,12729.0,116.66666666666667
SNY,11300.0,87.5
SOA,4036.0,60.0
SOP,7502.0,125.0
SOW,11137.0,80.0
SPF,12398.0,108.33333333333333
SPG,10218.0,100.0
SPI,20299.0,150.0
SPS,36125.0,187.5
SPW,11100.0,87.5
SPZ,5998.0,75.0
SQL,2600.0,75.0
SRQ,14509.0,150.0
SRR,14599.0,87.5
SSC,18017.0,150.0
SSF,8963.0,100.0
SSI,9113.0,87.5
STC,10000.0,112.5
STE,9663.0,97.5
STG,5000.0,150.0
STJ,12856.0,112.5
STK,7192.0,112.5
STL,36625.0,162.5
STP,14483.0,133.33333333333334
STS,11202.0,125.0
SUA,15478.0,100.0
SUN,6952.0,100.0
SUS,12485.0,112.5
SUT,4000.0,100.0
SUU,21993.0,150.0
SUX,15602.0,150.0
SUZ,5001.0,100.0
SVA,4400.0,100.0
SVH,7006.0,100.0
SVN,11375.0,200.0
SVW,4100.0,150.0
SWD,6519.0,87.5
SWF,17824.0,150.0
SXQ,5000.0,132.0
SYA,10000.0,150.0
SYR,19764.0,150.0
SZL,12400.0,200.0
TAN,5400.0,67.5
TBN,6038.0,150.0
TCC,11701.0,80.0
TCL,10500.0,125.0
TCM,13108.0,105.0
TCS,23441.0,125.0
TDF,5826.0,100.0
TEB,13013.0,150.0
TEX,6870.0,100.0
TIK,21100.0,200.0
TIW,5002.0,150.0
TIX,12319.0,125.0
TKA,3500.0,75.0
TKF,11650.0,87.5
TKI,7001.0,100.0
TKJ,2509.0,50.0
TLA,3000.0,60.0
TLH,14076.0,150.0
TLJ,3800.0,150.0
TMA,12698.0,83.33333333333333
TMB,14001.0,150.0
TNC,4700.0,100.0
TNT,10499.0,150.0
TOA,8001.0,112.5
TOC,6954.0,62.5
TOG,5600.0,73.5
TOI,10031.0,100.0
TOL,16199.0,150.0
TOP,12432.0,91.66666666666667
TPA,26301.0,150.0
TPF,6093.0,87.5
TPH,12521.0,65.0
TPL,11041.0,125.0
TQK,6899.0,65.0
TRI,12472.0,150.0
TRM,13495.0,125.0
TTD,5399.0,150.0
TTN,10806.0,150.0
TUL,23472.0,166.66666666666666
TUP,6500.0,100.0
TUS,26404.0,125.0
TVC,15084.0,125.0
TVF,11500.0,112.5
TVI,10500.0,100.0
TVL,8544.0,150.0
TWF,11927.0,112.5
TXK,11801.0,122.0
TYR,17250.0,150.0
TYS,18005.0,150.0
TZR,8205.0,
UAO,5004.0,100.0
UDD,5002.0,70.0
UDG,15198.0,133.33333333333334
UGN,9751.0,112.5
UIN,17622.0,150.0
UKF,6200.0,100.0
UKI,4415.0,150.0
UKT,3201.0,50.0
ULS,10600.0,80.0
UMP,3850.0,100.0
UNK,8004.0,115.0
UOX,5600.0,100.0
UPP,3800.0,75.0
UST,46312.0,419.2857142857143
UTM,7000.0,150.0
UTO,4100.0,120.0
UUK,6000.0,130.0
UVA,5255.0,100.0
UWL,4002.0,65.0
UYF,4001.0,75.0
VAD,17300.0,150.0
VAK,5200.0,237.5
VAY,3911.0,50.0
VBG,15000.0,200.0
VCT,22843.0,131.25
VCV,24188.0,150.0
VDZ,6508.0,150.0
VEE,4000.0,75.0
VEL,10309.0,105.0
VGT,14206.0,75.0
VIS,6559.0,150.0
VLD,17236.0,108.33333333333333
VNC,14999.0,150.0
VNW,6610.0,90.0
VNY,12012.0,112.5
VOK,9000.0,150.0
VPC,5760.0,100.0
VPS,22017.0,300.0
VPZ,11000.0,112.5
VRB,15792.0,91.66666666666667
VTN,7507.0,75.0
VYS,6000.0,100.0
WAA,4000.0,75.0
WAL,21562.0,166.66666666666666
WBQ,3954.0,75.0
WBU,8200.0,47.5
WBW,5576.0,87.5
WDR,9110.0,100.0
WFK,4600.0,75.0
WHP,4120.0,75.0
WJF,7201.0,150.0
WKK,2040.0,80.0
WKL,26.0,26.0
WLK,5661.0,60.0
WMC,11800.0,87.5
WMH,5001.0,75.0
WMO,3000.0,60.0
WNA,3248.0,60.0
WRB,12001.0,300.0
WRG,5999.0,150.0
WRI,17141.0,175.0
WRL,11746.0,73.33333333333333
WSD,6125.0,75.0
WSN,5578.0,60.0
WST,7970.0,87.5
WTK,4000.0,60.0
WVI,8500.0,125.0
WWA,5390.0,67.5
WWD,9996.0,150.0
WWR,13503.0,103.33333333333333
WYS,8399.0,150.0
XFL,22999.0,220.0
XMR,10000.0,200.0
XNA,8800.0,150.0
YAK,14220.0,150.0
YIP,34900.0,158.0
YKM,11438.0,150.0
YKN,9475.0,87.5
YNG,17505.0,120.0
YUM,34393.0,162.5
Z84,4000.0,100.0
ZPH,10073.0,100.0
ZSY,8249.0,100.0
ZUN,4807.0,50.0
ZZV,9999.0,150.0
