airport_code
ABE
ABI
ABQ
ABY
ACK
ACT
ACV
ACY
ADK
ADQ
AEX
AGS
AKN
ALB
ALO
AMA
ANC
ASE
ATL
ATW
AUS
AVL
AVP
AZO
BDL
BET
BFL
BGM
BGR
BHM
BIL
BIS
BJI
BKG
BLI
BMI
BNA
BOI
BOS
BQK
BQN
BRO
BRW
BTM
BTR
BTV
BUF
BUR
BWI
BZN
CAE
CAK
CDC
CDV
CEC
CHA
CHO
CHS
CIC
CID
CLD
CLE
CLL
CLT
CMH
CMI
CMX
COD
COS
CPR
CRP
CRW
CSG
CVG
CWA
DAB
DAL
DAY
DBQ
DCA
DEN
DFW
DHN
DLG
DLH
DRO
DSM
DTW
EGE
EKO
ELM
ELP
ERI
EUG
EVV
EWN
EWR
EYW
FAI
FAR
FAT
FAY
FCA
FLG
FLL
FLO
FNT
FSD
FSM
FWA
GCC
GEG
GFK
GGG
GJT
GNV
GPT
GRB
GRK
GRR
GSO
GSP
GST
GTF
GTR
GUC
HDN
HLN
HNL
HOU
HPN
HRL
HSV
HTS
IAD
IAH
ICT
IDA
ILM
IND
IPL
ISP
ITH
ITO
IYK
JAC
JAN
JAX
JFK
JNU
KOA
KTN
LAN
LAS
LAW
LAX
LBB
LCH
LEX
LFT
LGA
LGB
LIH
LIT
LMT
LNK
LRD
LSE
LWB
LWS
LYH
MAF
MBS
MCI
MCO
MDT
MDW
MEI
MEM
MFE
MFR
MGM
MHK
MHT
MIA
MKE
MLB
MLI
MLU
MOB
MOD
MOT
MQT
MRY
MSN
MSO
MSP
MSY
MTJ
MWH
MYR
OAJ
OAK
OGG
OKC
OMA
OME
ONT
ORD
ORF
OTH
OTZ
OXR
PBI
PDX
PFN
PHF
PHL
PHX
PIA
PIH
PIR
PIT
PLN
PNS
PSC
PSE
PSG
PSP
PVD
PWM
RAP
RDD
RDM
RDU
RHI
RIC
RKS
RNO
ROA
ROC
ROW
RST
RSW
SAF
SAN
SAT
SAV
SBA
SBN
SBP
SCC
SCE
SDF
SEA
SFO
SGF
SGU
SHV
SIT
SJC
SJT
SJU
SLC
SMF
SMX
SNA
SPI
SPS
SRQ
STL
STT
STX
SUN
SUX
SWF
SYR
TEX
TLH
TOL
TPA
TRI
TUL
TUS
TVC
TWF
TXK
TYR
TYS
VLD
VPS
WRG
WYS
XNA
YAK
YUM
