airport_code,total_departure,average_departure_delay,average_departure_taxi,average_departure_cancelled,averge_departure_distance,total_departure_lg10,total_arrival,average_arrival_delay,average_arrival_taxi,average_arrival_diverted,averge_arrival_distance,total_arrival_lg10
ABE,4168,11.94507111329083,15.095051445369917,0.020873320537428023,619.5734165067179,3.619927710291468,4165,5.558259587020649,5.037680450207977,0.004561824729891957,619.5183673469388,3.6196150057428063
ABI,2022,8.02725896012115,13.50630994447249,0.020276953511374877,158.0,3.3057811512549824,2022,5.784016186140617,3.7473471450227387,0.0009891196834817012,158.0,3.3057811512549824
ABQ,24047,8.635997144416915,12.688534229315414,0.009897284484551088,678.4904561899614,4.381060903382891,24048,5.599697313658721,5.385894206549119,0.001746506986027944,678.5864520958083,4.381078963242833
ABR,745,7.742198100407055,19.37720488466757,0.010738255033557046,257.0,2.8721562727482928,745,3.7166212534059944,4.771739130434782,0.0026845637583892616,257.0,2.8721562727482928
ABY,1018,15.052261306532664,15.779543197616682,0.010805500982318271,145.0,3.00774777800074,1018,10.642137096774194,3.673286991062562,0.0068762278978389,145.0,3.00774777800074
ACK,972,23.306623931623932,15.843116328708645,0.0360082304526749,222.88168724279836,2.9876662649262746,972,6.503218884120171,6.231914893617021,0.0102880658436214,222.88168724279836,2.9876662649262746
ACT,1593,5.046223958333333,13.121903520208605,0.037037037037037035,89.0,3.2022157758011316,1594,2.739921976592978,3.681375730045425,0.0018820577164366374,89.0,3.2024883170600935
ACV,1478,13.676696990902729,13.306508047585725,0.033152909336941816,296.01894451962113,3.1696744340588068,1479,7.172778561354019,6.072027972027972,0.009465855307640297,295.8972278566599,3.1699681739968923
ACY,3288,7.031702062172976,11.416564039408867,0.012165450121654502,871.1654501216545,3.5169318088680126,3288,7.815522020326455,5.0344827586206895,0.00030413625304136254,871.1149635036496,3.5169318088680126
ADK,104,3.8514851485148514,9.148514851485148,0.028846153846153848,1192.0,2.0170333392987803,104,-6.079207920792079,4.99009900990099,0.0,1192.0,2.0170333392987803
ADQ,636,-2.838187702265372,7.7216828478964405,0.02830188679245283,253.0,2.803457115648414,636,-1.6422764227642277,3.2022653721682848,0.0047169811320754715,253.0,2.803457115648414
AEX,3403,7.0581915846016114,15.96662693682956,0.014105201292976785,340.11166617690276,3.531861949095809,3402,3.5549236755462434,3.6808700834326578,0.00411522633744856,340.15579071134624,3.5317343092765503
AGS,4544,12.01822272215973,16.656116722783388,0.019586267605633804,147.70532570422534,3.6574383227029625,4541,9.982215218370104,4.88009861048857,0.002422373926447919,147.73926447918961,3.657151501900967
AKN,63,1.6825396825396826,9.793650793650794,0.0,288.0,1.7993405494535817,63,-0.8253968253968254,3.6825396825396823,0.0,288.0,1.7993405494535817
ALB,12360,8.080228042634058,13.706208150781185,0.02127831715210356,675.557928802589,4.092018470752797,12359,6.532616783794957,3.8473736372646186,0.0011327777328262805,675.3573913747067,4.091983332237311
ALO,677,7.896341463414634,15.28702290076336,0.03249630723781388,234.0,2.8305886686851442,677,3.7339449541284404,4.211567732115677,0.004431314623338257,234.0,2.8305886686851442
