airport_code,city_population
ABE,682899
ABI,114964
ABQ,758523
ABY,90515
ACK,201
ACT,188448
ACV,33806
ACY,241363
AEX,82131
AGS,270
ALB,597270
ALO,112060
AMA,206072
ASE,8521
ATL,5228750
ATW,222222
AUS,1638716
AVL,309250
AVP,389022
AZO,214083
BDL,1315
BFL,574362
BGM,6240
BGR,59107
BHM,744189
BIL,120800
BIS,97457
BJI,16733
BKG,24682
BLI,126015
BMI,134892
BNA,1076645
BOI,385218
BOS,4637537
BQK,54017
BRO,227883
BTM,30628
BTR,583613
BTV,108277
BUF,926261
BUR,104834
BWI,7565
BZN,53949
CAE,17265
CAK,565920
CDC,36592
CEC,15886
CHA,407182
CHO,102016
CHS,616085
CIC,106268
CID,186160
CLD,115330
CLE,1730363
CLL,207308
CLT,1467362
CMH,1528314
CMI,156794
CMX,4560
COD,9696
COS,623946
CPR,67462
CRP,341435
CRW,142858
CSG,259160
CVG,1648254
CWA,4002
DAB,68055
DAL,5733259
DAY,718169
DBQ,68573
DCA,5289420
DEN,2787266
DFW,5733259
DHN,71620
DLH,120101
DRO,19662
DSM,481222
DTW,1797
EGE,6017
EKO,21178
ELM,3893
ELP,845674
ERI,188079
EUG,267568
EVV,232285
EWN,50617
EWR,285154
EYW,32820
FAR,204820
FAT,698021
FAY,324700
FCA,37024
FLG,78628
FLL,180072
FLO,91311
FNT,335354
FSD,180204
FSM,125562
FWA,328564
GCC,34378
GEG,403043
GFK,66159
GGG,100196
GJT,136688
GNV,199695
GPT,221348
GRB,208625
GRK,247489
GRR,11731
GSO,335588
GSP,467894
GTF,65624
GTR,31701
GUC,7075
HDN,1932
HLN,50227
HOU,5446468
HPN,59047
HRL,136968
HSV,309716
HTS,194155
IAD,565
IAH,5446468
ICT,483057
IDA,97548
ILM,245910
IND,1564699
IPL,17550
ISP,5611
ITH,2244
IYK,731
JAC,132
JAN,338185
JAX,1156291
JFK,9953
LAN,320928
LAS,2073045
LAW,91383
LAX,12815475
LBB,262505
LCH,153633
LEX,315939
LFT,265746
LGA,19354922
LGB,469450
LIT,442699
LMT,42463
LNK,285118
LRD,260244
LSE,101886
LWB,7099
LWS,53436
LYH,125004
MAF,144247
MBS,119336
MCI,152938
MCO,1776841
MDT,441580
MDW,14186
MEI,38294
MEM,1068873
MFE,800904
MFR,168219
MGM,255908
MHK,57284
MHT,160742
MIA,14424
MKE,4157
MLB,82011
MLI,42231
MLU,115462
MOB,318084
MOD,381398
MOT,49884
MQT,2072
MRY,28639
MSN,439553
MSO,90218
MSP,2926757
MSY,1203
MTJ,22912
MWH,3787
MYR,260487
OAJ,108872
OAK,425195
OKC,955998
OMA,827786
ONT,175841
ORD,8675982
ORF,244703
OTH,9702
OXR,389792
PBI,24892
PDX,2052796
PFN,145239
PHF,179388
PHL,5637884
PHX,4081849
PIA,4566
PIH,71020
PIR,14803
PIT,1715297
PLN,840
PNS,344400
PSC,73013
PSP,48142
PVD,1206642
PWM,206023
RAP,9034
RDD,120270
RDM,31695
RDU,1018336
RHI,8738
RIC,1059907
RKS,26710
RNO,433271
ROA,216177
ROC,711998
ROW,49119
RST,116713
RSW,79943
SAF,110078
SAN,3210314
SAT,2002530
SAV,280082
SBA,204034
SBN,281100
SBP,62398
SCE,88285
SDF,1011696
SEA,3643765
SFO,43299
SGF,287222
SGU,113906
SHV,287432
SJC,1821899
SJT,99890
SLC,1098400
SMF,53512
SMX,140219
SNA,334136
SPI,159394
SPS,99617
SRQ,706245
STL,2078283
SUN,10875
SUX,106279
SWF,28363
SYR,2971
TEX,2426
TLH,253030
TOL,488672
TPA,2804240
TRI,69865
TUL,672054
TUS,868391
TVC,49806
TWF,54455
TXK,30259
TYR,141116
TYS,585249
VLD,79294
VPS,4946
WYS,1365
XNA,49298
YUM,138802
