,total_departure,average_departure_delay,average_departure_taxi,average_departure_cancelled,averge_departure_distance,total_arrival,average_arrival_delay,average_arrival_taxi,average_arrival_diverted,averge_arrival_distance,city,latitude,longitude,altitude_ft,city_id,temp_avg,pcp_avg
ABE,4034,5.877463365336029,13.556651492159839,0.02032721864154685,562.0696579077838,4037,5.126924047438809,4.179299924452279,0.002972504334902155,561.860044587565,allentown,40.652099609375,-75.44080352783203,393,10988,51.90248962655603,4.16103734439834
ABI,2490,8.68557336621455,8.305098684210526,0.023293172690763052,158.0,2490,10.4064039408867,3.5184426229508197,0.001606425702811245,158.0,abilene,32.4113006592,-99.68190002440001,1791,5333,64.4887966804979,2.1314107883817432
ABQ,35582,5.050531013444808,9.963723689786693,0.005311674442133663,641.429964588837,35577,2.210594716767905,5.2421863971314835,0.000674593136014841,642.1587261432949,albuquerque,35.04019927978516,-106.60900115966795,5355,3742,54.316597510373434,0.9284647302904563
ABY,995,7.742564102564103,10.82340862422998,0.021105527638190954,146.0,997,6.965270684371808,3.421859039836568,0.0020060180541624875,146.0,albany,31.535499572753906,-84.19450378417969,197,17309,66.57800829875518,4.069336099585061
ACK,342,16.47878787878788,20.081818181818182,0.03508771929824561,199.0,343,2.516616314199396,5.5568862275449105,0.008746355685131196,198.64723032069972,nantucket,41.25310135,-70.06020355,47,19193,50.79336099585066,3.7031950207468856
ACT,1053,7.921157684630739,8.134865134865136,0.04938271604938271,89.0,1052,6.996003996003996,3.87125748502994,0.0009505703422053232,89.0,waco,31.61129951477051,-97.23049926757812,516,5814,66.86224066390038,3.144439834024898
ACV,3370,10.242682926829268,9.438987187309335,0.027596439169139467,272.54836795252226,3364,4.432556713672594,4.1576535288725935,0.008620689655172414,272.59304399524376,arcata,40.97809982299805,-124.10900115966795,221,13722,54.50331950207469,5.060331950207463
ACY,522,5.66015625,12.9140625,0.019157088122605363,717.3333333333334,522,7.693359375,5.236328125,0.0,717.0,atlantic,39.45759963989258,-74.57720184326172,75,3361,55.071369294605844,3.9609958506224077
AEX,2947,7.656732117812061,12.474219572079972,0.032914828639294194,335.4757380386834,2948,7.219555241793152,3.4330874604847206,0.007801899592944369,335.42639077340567,alexandria,31.32740020751953,-92.54979705810548,89,6089,67.01203319502072,4.88053941908714
AGS,3107,12.303947368421053,17.69651086240948,0.02252977148374638,142.96266495011264,3106,9.490615739216333,3.222295297599474,0.00128783000643915,143.2066967160335,bush,33.36989974975586,-81.9645004272461,144,15688,56.445643153526916,4.122946058091284
ALB,12018,6.313421518240795,13.704652730950775,0.01289732068563821,649.0463471459477,12020,4.9248861911987865,4.2909763686821965,0.0024958402662229617,650.9351913477537,albany,42.74829864501953,-73.80169677734375,285,8899,47.81535269709543,3.6017842323651448
ALO,330,1.8538205980066444,14.199335548172758,0.08787878787878788,166.0,331,5.752442996742671,3.870550161812298,0.006042296072507553,166.0,waterloo,42.55709838867188,-92.40029907226562,873,18224,47.42572614107886,3.0903734439834007
AMA,6649,6.666921781723557,8.684524720649012,0.017747029628515567,379.9288614829298,6649,5.834712009803922,4.6097523693060225,0.003459166791998797,380.0351932621447,amarillo,35.219398498535156,-101.70600128173828,3607,4497,58.77593360995856,1.5346473029045629
ASE,4701,11.453469852104664,10.902939166097061,0.06658157838757711,271.6760263773665,4708,9.043518094365552,3.253935660506502,0.01656754460492778,271.5649957519116,aspen,39.22320175,-106.8690033,7820,12534,38.47510373443983,2.3790041493775944
ATL,417449,10.864442870724277,21.97717352536558,0.012930920902912691,617.2955163385228,417457,10.679022586106788,11.493781475804687,0.002879338470788608,616.5261332304884,atlanta,33.63669967651367,-84.4281005859375,1026,17464,61.60871369294608,4.298174273858921
ATW,5303,3.4550203134068487,12.190052254693246,0.025834433339619083,290.97265698661136,5306,5.582882534775889,4.204392217299172,0.003769317753486619,290.9200904636261,appleton,44.258098602299995,-88.51909637450001,918,909,45.23568464730289,2.8375933609958515
AUS,41843,5.9225235196458215,11.910694517976609,0.006978467127118036,705.5565088545277,41846,4.323136952647045,5.392103111624104,0.0016728002676480427,707.8332935047555,austin,30.194499969482425,-97.6698989868164,542,5600,68.31161825726142,2.9107053941908694
