ABBR_x,length_ft,width_ft
ABE,21333.0,98.08333333333333
ABI,58481.0,103.33333333333333
ABQ,61678.0,120.38461538461539
ABY,137766.0,77.36666666666666
ACK,13199.0,125.0
ACT,64724.0,84.95833333333333
ACY,26940.0,105.11111111111111
ADK,15395.0,200.0
ADQ,26991.0,143.14285714285714
AEX,44975.0,86.29411764705883
AKN,16919.0,250.0
ALB,137766.0,77.36666666666666
ALO,35263.0,82.46666666666667
AMA,48440.0,99.5
ANC,89101.0,105.62962962962963
ASE,9656.0,75.0
ATL,123072.0,76.59574468085107
ATW,20768.0,114.4
AUS,67407.0,66.61290322580645
AVL,10701.0,116.66666666666667
AVP,4954.0,73.75
AZO,17908.0,100.0
BDL,60.0,60.0
BET,29698.0,268.5
BFL,24703.0,77.33333333333333
BGM,17302.0,124.0
BGR,28080.0,1072.5
BHM,19232.0,60.8
BIL,26086.0,62.22222222222222
BIS,22124.0,67.5
BJI,46840.0,534.0
BKG,11870.0,60.714285714285715
BLI,19473.0,904.4
BMI,36186.0,440.6363636363636
BNA,61715.0,84.8
BOI,26998.0,76.11111111111111
BOS,43085.0,99.25
BQK,30111.0,122.5
BRO,30726.0,76.92307692307692
BTM,20771.0,69.16666666666667
BTR,25690.0,76.71428571428571
BTV,61709.0,73.44444444444444
BUF,60614.0,96.63157894736842
BUR,12837.0,112.5
BWI,49660.0,85.68181818181819
BZN,26905.0,81.66666666666667
CAE,78570.0,78.33333333333333
CAK,53825.0,87.73684210526316
CDC,17655.0,72.0
CDV,23099.0,590.0
CEC,22849.0,125.71428571428571
CHA,19040.0,82.14285714285714
CHS,116684.0,91.38888888888889
CIC,20460.0,60.125
CID,14971.0,78.33333333333333
CLD,33948.0,100.71428571428571
CLE,87487.0,92.59375
CLL,17608.0,150.0
CLT,61736.0,80.71428571428571
CMH,366354.0,89.70967741935483
CMI,3500.0,60.0
CMX,15707.0,105.0
COD,11938.0,55.0
COS,57827.0,82.6875
CPR,36978.0,72.5
CRP,64583.0,136.88888888888889
CRW,116684.0,91.38888888888889
CSG,366354.0,89.70967741935483
CVG,60255.0,105.875
DAB,23998.0,126.83333333333333
DAL,65149.0,71.78571428571429
DAY,91516.0,93.14285714285714
DCA,243124.0,86.51020408163265
DEN,141303.0,77.42424242424242
DHN,15618.0,92.0
DLG,8800.0,100.0
DLH,55126.0,916.6666666666666
DRO,18426.0,103.57142857142857
DSM,22296.0,93.23076923076923
DTW,101913.0,130.88235294117646
EGE,100.0,100.0
EKO,11935.0,75.0
ELM,8325.0,77.2
ELP,40651.0,74.84615384615384
ERI,32878.0,92.91666666666667
