Penobscot County, Maine, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,15.2,1.4
200002,18.6,2.7
200003,33.2,6.0
200004,40.1,0.5
200005,50.4,-1.3
200006,60.4,-0.6
200007,64.2,-2.3
200008,64.3,0.1
200009,55.2,-0.6
200010,45.4,0.3
200011,36.7,3.5
200012,19.0,-0.4
200101,14.8,1.0
200102,16.4,0.5
200103,25.5,-1.7
200104,39.2,-0.4
200105,55.4,3.7
200106,64.5,3.5
200107,65.5,-1.0
200108,68.4,4.2
200109,58.4,2.6
200110,47.4,2.3
200111,38.2,5.0
200112,29.0,9.6
200201,20.8,7.0
200202,21.0,5.1
200203,27.8,0.6
200204,40.7,1.1
200205,50.0,-1.7
200206,59.2,-1.8
200207,66.3,-0.2
200208,68.1,3.9
200209,59.7,3.9
200210,42.5,-2.6
200211,31.8,-1.4
200212,22.3,2.9
200301,10.4,-3.4
200302,13.1,-2.8
200303,25.0,-2.2
200304,36.9,-2.7
200305,50.7,-1.0
200306,62.1,1.1
200307,67.2,0.7
200308,67.4,3.2
200309,59.4,3.6
200310,45.9,0.8
200311,36.4,3.2
200312,24.6,5.2
200401,7.2,-6.6
200402,19.2,3.3
200403,29.6,2.4
200404,40.4,0.8
200405,52.6,0.9
200406,58.5,-2.5
200407,65.4,-1.1
200408,66.0,1.8
200409,57.0,1.2
200410,46.7,1.6
200411,34.3,1.1
200412,20.1,0.7
200501,12.0,-1.8
200502,20.5,4.6
200503,26.5,-0.7
200504,42.2,2.6
200505,48.4,-3.3
200506,64.3,3.3
200507,67.5,1.0
200508,66.4,2.2
200509,59.2,3.4
200510,48.2,3.1
200511,36.3,3.1
200512,22.3,2.9
200601,23.3,9.5
200602,20.2,4.3
200603,30.7,3.5
200604,43.5,3.9
200605,54.6,2.9
200606,64.3,3.3
200607,69.9,3.4
200608,62.4,-1.8
200609,57.2,1.4
200610,46.1,1.0
200611,39.8,6.6
200612,28.5,9.1
200701,17.8,4.0
200702,12.3,-3.6
200703,27.0,-0.2
200704,38.0,-1.6
200705,52.2,0.5
200706,62.2,1.2
200707,65.7,-0.8
200708,64.8,0.6
200709,57.9,2.1
200710,50.6,5.5
200711,32.6,-0.6
200712,18.6,-0.8
200801,19.3,5.5
200802,19.3,3.4
200803,24.4,-2.8
200804,42.2,2.6
200805,51.2,-0.5
200806,61.8,0.8
200807,69.1,2.6
200808,63.9,-0.3
200809,56.7,0.9
200810,45.2,0.1
200811,36.0,2.8
200812,21.2,1.8
200901,8.6,-5.2
200902,19.9,4.0
200903,27.2,0.0
200904,43.1,3.5
200905,52.2,0.5
200906,59.6,-1.4
200907,64.0,-2.5
200908,67.4,3.2
200909,55.6,-0.2
200910,41.9,-3.2
200911,39.2,6.0
200912,22.9,3.5
201001,21.6,7.8
201002,25.7,9.8
201003,35.9,8.7
201004,46.4,6.8
201005,55.6,3.9
201006,61.8,0.8
201007,70.4,3.9
201008,66.5,2.3
201009,59.4,3.6
201010,46.3,1.2
201011,35.4,2.2
201012,25.0,5.6
201101,16.6,2.8
201102,16.7,0.8
201103,28.1,0.9
201104,40.1,0.5
201105,52.7,1.0
201106,61.1,0.1
201107,68.7,2.2
201108,66.0,1.8
201109,59.8,4.0
201110,48.5,3.4
201111,39.4,6.2
201112,26.5,7.1
201201,19.4,5.6
201202,22.3,6.4
201203,35.2,8.0
201204,43.7,4.1
201205,54.5,2.8
201206,61.0,0.0
201207,69.0,2.5
201208,68.8,4.6
201209,56.6,0.8
201210,48.8,3.7
201211,33.7,0.5
201212,25.0,5.6
201301,16.6,2.8
201302,21.0,5.1
201303,31.7,4.5
201304,40.3,0.7
201305,53.2,1.5
201306,62.0,1.0
201307,69.5,3.0
201308,64.9,0.7
201309,57.9,2.1
201310,48.2,3.1
201311,33.4,0.2
201312,17.6,-1.8
201401,15.6,1.8
201402,16.5,0.6
201403,19.8,-7.4
201404,40.0,0.4
201405,52.7,1.0
201406,62.7,1.7
201407,68.9,2.4
201408,66.0,1.8
201409,57.4,1.6
201410,49.4,4.3
201411,32.4,-0.8
201412,27.1,7.7
201501,12.8,-1.0
201502,5.9,-10.0
201503,22.7,-4.5
201504,39.3,-0.3
201505,56.5,4.8
201506,58.3,-2.7
201507,65.9,-0.6
201508,68.5,4.3
201509,62.8,7.0
201510,44.0,-1.1
201511,37.7,4.5
201512,31.8,12.4
201601,21.4,7.6
201602,23.2,7.3
201603,30.0,2.8
201604,39.0,-0.6
201605,53.7,2.0
201606,61.1,0.1
201607,68.2,1.7
201608,67.5,3.3
201609,60.0,4.2
201610,47.8,2.7
201611,38.2,5.0
201612,21.0,1.6
201701,22.4,8.6
201702,21.1,5.2
201703,23.6,-3.6
201704,43.0,3.4
201705,51.6,-0.1
201706,61.8,0.8
201707,66.2,-0.3
201708,64.6,0.4
201709,62.1,6.3
201710,52.8,7.7
201711,33.9,0.7
201712,17.1,-2.3
201801,16.4,2.6
201802,23.3,7.4
201803,30.1,2.9
201804,38.4,-1.2
201805,54.8,3.1
201806,60.2,-0.8
201807,70.1,3.6
201808,69.2,5.0
201809,58.6,2.8
201810,42.7,-2.4
201811,29.9,-3.3
201812,21.2,1.8
201901,15.2,1.4
201902,17.4,1.5
201903,25.6,-1.6
201904,40.1,0.5
201905,49.0,-2.7
201906,60.6,-0.4
201907,69.6,3.1
201908,65.6,1.4
201909,56.3,0.5
201910,46.9,1.8
201911,30.9,-2.3
201912,24.0,4.6
202001,21.9,8.1
