Dougherty County, Georgia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,50.0,0.8
200002,54.3,2.7
200003,61.8,3.5
200004,63.0,-2.6
200005,76.6,3.2
200006,79.9,0.6
200007,82.6,1.6
200008,81.5,0.8
200009,75.2,-1.6
200010,65.9,-0.9
200011,56.5,-0.2
200012,44.6,-5.4
200101,45.4,-3.8
200102,57.9,6.3
200103,57.0,-1.3
200104,66.5,0.9
200105,72.9,-0.5
200106,78.7,-0.6
200107,81.9,0.9
200108,80.7,0.0
200109,74.2,-2.6
200110,64.3,-2.5
200111,62.7,6.0
200112,55.5,5.5
200201,50.6,1.4
200202,50.7,-0.9
200203,59.4,1.1
200204,71.1,5.5
200205,74.2,0.8
200206,79.7,0.4
200207,82.0,1.0
200208,80.7,0.0
200209,79.2,2.4
200210,71.6,4.8
200211,54.8,-1.9
200212,48.4,-1.6
200301,45.3,-3.9
200302,52.3,0.7
200303,62.3,4.0
200304,66.0,0.4
200305,74.9,1.5
200306,78.8,-0.5
200307,80.3,-0.7
200308,80.4,-0.3
200309,75.2,-1.6
200310,67.5,0.7
200311,61.5,4.8
200312,46.6,-3.4
200401,48.0,-1.2
200402,49.3,-2.3
200403,61.7,3.4
200404,63.9,-1.7
200405,75.3,1.9
200406,79.3,0.0
200407,81.3,0.3
200408,79.8,-0.9
200409,75.8,-1.0
200410,70.4,3.6
200411,60.6,3.9
200412,49.4,-0.6
200501,52.3,3.1
200502,54.2,2.6
200503,56.3,-2.0
200504,62.5,-3.1
200505,70.9,-2.5
200506,78.9,-0.4
200507,82.4,1.4
200508,81.3,0.6
200509,79.2,2.4
200510,67.9,1.1
200511,60.1,3.4
200512,47.6,-2.4
200601,55.0,5.8
200602,50.5,-1.1
200603,59.2,0.9
200604,70.0,4.4
200605,73.2,-0.2
200606,79.9,0.6
200607,82.5,1.5
200608,82.6,1.9
200609,75.8,-1.0
200610,65.4,-1.4
200611,56.0,-0.7
200612,54.7,4.7
200701,52.1,2.9
200702,49.5,-2.1
200703,62.0,3.7
200704,63.0,-2.6
200705,73.2,-0.2
200706,79.6,0.3
200707,81.3,0.3
200708,84.1,3.4
200709,77.2,0.4
200710,70.3,3.5
200711,56.2,-0.5
200712,55.8,5.8
200801,47.6,-1.6
200802,52.9,1.3
200803,57.4,-0.9
200804,65.5,-0.1
200805,73.3,-0.1
200806,81.1,1.8
200807,81.4,0.4
200808,79.6,-1.1
200809,76.5,-0.3
200810,64.8,-2.0
200811,54.2,-2.5
200812,54.6,4.6
200901,50.0,0.8
200902,50.0,-1.6
200903,59.0,0.7
200904,64.4,-1.2
200905,74.0,0.6
200906,82.1,2.8
200907,80.3,-0.7
200908,80.1,-0.6
200909,77.6,0.8
200910,68.5,1.7
200911,56.7,0.0
200912,49.5,-0.5
201001,44.5,-4.7
201002,44.5,-7.1
201003,54.2,-4.1
201004,66.7,1.1
201005,76.2,2.8
201006,82.7,3.4
201007,83.5,2.5
201008,83.4,2.7
201009,78.4,1.6
201010,67.2,0.4
201011,57.5,0.8
201012,42.4,-7.6
201101,43.8,-5.4
201102,53.4,1.8
201103,61.1,2.8
201104,68.4,2.8
201105,73.7,0.3
201106,83.6,4.3
201107,82.9,1.9
201108,83.4,2.7
201109,75.4,-1.4
201110,63.7,-3.1
201111,58.8,2.1
201112,54.1,4.1
201201,53.0,3.8
201202,56.1,4.5
201203,67.6,9.3
201204,67.6,2.0
201205,75.7,2.3
201206,77.5,-1.8
201207,82.8,1.8
