Broadwater County, Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,25.4,5.4
200002,30.9,6.3
200003,35.3,4.4
200004,44.3,3.7
200005,50.5,1.1
200006,57.7,0.8
200007,67.3,2.7
200008,65.9,2.7
200009,53.6,0.3
200010,43.0,-0.3
200011,22.5,-8.3
200012,19.8,-3.2
200101,23.8,3.8
200102,20.7,-3.9
200103,34.9,4.0
200104,40.2,-0.4
200105,53.0,3.6
200106,57.9,1.0
200107,65.5,0.9
200108,68.5,5.3
200109,59.2,5.9
200110,43.5,0.2
200111,37.4,6.6
200112,23.9,0.9
200201,25.0,5.0
200202,26.3,1.7
200203,24.2,-6.7
200204,38.0,-2.6
200205,47.4,-2.0
200206,57.6,0.7
200207,67.7,3.1
200208,60.0,-3.2
200209,55.0,1.7
200210,37.5,-5.8
200211,32.9,2.1
200212,27.7,4.7
200301,28.5,8.5
200302,22.6,-2.0
200303,32.4,1.5
200304,42.6,2.0
200305,49.4,0.0
200306,57.6,0.7
200307,70.1,5.5
200308,68.8,5.6
200309,55.1,1.8
200310,47.8,4.5
200311,26.8,-4.0
200312,26.7,3.7
200401,20.8,0.8
200402,27.6,3.0
200403,38.9,8.0
200404,43.6,3.0
200405,47.5,-1.9
200406,55.7,-1.2
200407,65.2,0.6
200408,62.2,-1.0
200409,52.3,-1.0
200410,43.5,0.2
200411,33.8,3.0
200412,28.7,5.7
200501,21.5,1.5
200502,29.7,5.1
200503,33.9,3.0
200504,41.4,0.8
200505,48.5,-0.9
200506,55.4,-1.5
200507,66.3,1.7
200508,62.6,-0.6
200509,54.5,1.2
200510,46.3,3.0
200511,32.8,2.0
200512,21.5,-1.5
200601,32.0,12.0
200602,25.1,0.5
200603,32.5,1.6
200604,44.2,3.6
200605,51.9,2.5
200606,60.4,3.5
200607,70.0,5.4
200608,63.9,0.7
200609,54.7,1.4
200610,41.1,-2.2
200611,31.6,0.8
200612,27.2,4.2
200701,23.3,3.3
200702,25.6,1.0
200703,39.6,8.7
200704,41.5,0.9
200705,50.8,1.4
200706,60.4,3.5
200707,72.8,8.2
200708,64.9,1.7
200709,54.2,0.9
200710,44.3,1.0
200711,32.4,1.6
200712,24.7,1.7
200801,20.2,0.2
200802,28.5,3.9
200803,31.0,0.1
200804,36.6,-4.0
200805,48.5,-0.9
200806,56.3,-0.6
200807,66.0,1.4
200808,64.5,1.3
200809,52.8,-0.5
200810,43.8,0.5
200811,37.5,6.7
200812,17.4,-5.6
200901,24.9,4.9
200902,29.4,4.8
200903,29.2,-1.7
200904,39.4,-1.2
200905,50.4,1.0
200906,55.7,-1.2
200907,63.7,-0.9
200908,63.3,0.1
200909,60.3,7.0
200910,36.0,-7.3
200911,34.1,3.3
200912,15.6,-7.4
201001,25.5,5.5
201002,27.2,2.6
201003,38.0,7.1
201004,41.0,0.4
201005,45.0,-4.4
201006,55.6,-1.3
201007,63.2,-1.4
201008,61.8,-1.4
201009,54.9,1.6
201010,48.1,4.8
201011,27.4,-3.4
201012,22.6,-0.4
201101,24.7,4.7
201102,19.4,-5.2
201103,33.7,2.8
201104,36.8,-3.8
201105,47.2,-2.2
201106,54.9,-2.0
201107,66.3,1.7
201108,66.3,3.1
201109,58.5,5.2
201110,45.5,2.2
201111,30.4,-0.4
201112,25.0,2.0
201201,27.2,7.2
201202,25.9,1.3
201203,38.6,7.7
201204,45.2,4.6
201205,48.4,-1.0
201206,58.5,1.6
201207,69.1,4.5
201208,66.3,3.1
201209,58.3,5.0
201210,41.9,-1.4
201211,34.5,3.7
201212,24.2,1.2
201301,23.0,3.0
201302,28.6,4.0
201303,33.9,3.0
201304,38.1,-2.5
201305,50.8,1.4
201306,58.6,1.7
201307,68.5,3.9
201308,67.3,4.1
201309,57.7,4.4
201310,40.1,-3.2
201311,33.4,2.6
201312,20.4,-2.6
201401,26.7,6.7
201402,16.9,-7.7
201403,33.0,2.1
201404,42.0,1.4
201405,50.9,1.5
201406,55.6,-1.3
201407,67.7,3.1
201408,63.6,0.4
201409,55.4,2.1
201410,48.8,5.5
201411,27.9,-2.9
201412,26.6,3.6
201501,27.6,7.6
201502,31.6,7.0
201503,40.1,9.2
201504,41.8,1.2
201505,49.4,0.0
201506,64.1,7.2
201507,64.6,0.0
201508,65.1,1.9
201509,57.0,3.7
201510,48.7,5.4
201511,29.0,-1.8
201512,24.2,1.2
201601,24.7,4.7
201602,34.2,9.6
201603,36.8,5.9
201604,45.4,4.8
201605,49.3,-0.1
201606,61.7,4.8
201607,64.8,0.2
201608,63.1,-0.1
201609,53.9,0.6
201610,45.9,2.6
201611,39.6,8.8
201612,16.2,-6.8
201701,16.1,-3.9
201702,26.8,2.2
201703,39.0,8.1
201704,42.0,1.4
201705,51.2,1.8
201706,58.8,1.9
201707,70.5,5.9
201708,65.5,2.3
201709,54.2,0.9
201710,41.6,-1.7
201711,31.9,1.1
201712,22.2,-0.8
201801,26.3,6.3
201802,16.0,-8.6
201803,32.2,1.3
201804,39.8,-0.8
201805,53.9,4.5
201806,57.3,0.4
201807,66.1,1.5
201808,63.3,0.1
201809,53.5,0.2
201810,42.4,-0.9
201811,31.3,0.5
201812,25.4,2.4
201901,26.3,6.3
201902,9.9,-14.7
201903,24.8,-6.1
201904,41.3,0.7
201905,48.3,-1.1
201906,57.5,0.6
201907,64.4,-0.2
201908,64.5,1.3
201909,54.8,1.5
201910,35.2,-8.1
201911,30.6,-0.2
201912,28.2,5.2
202001,28.2,8.2
