Lane County, Oregon, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,37.2,0.4
200002,41.2,1.5
200003,41.2,-0.9
200004,48.9,2.8
200005,51.4,0.1
200006,59.9,3.1
200007,62.4,-0.5
200008,63.3,0.3
200009,59.7,0.8
200010,50.6,-0.5
200011,39.6,-2.7
200012,40.3,2.3
200101,39.7,2.9
200102,39.2,-0.5
200103,44.0,1.9
200104,43.9,-2.2
200105,55.2,3.9
200106,55.0,-1.8
200107,62.6,-0.3
200108,64.6,1.6
200109,61.4,2.5
200110,50.9,-0.2
200111,44.5,2.2
200112,38.0,0.0
200201,37.5,0.7
200202,41.3,1.6
200203,40.4,-1.7
200204,46.8,0.7
200205,50.3,-1.0
200206,58.3,1.5
200207,65.8,2.9
200208,63.8,0.8
200209,60.5,1.6
200210,50.2,-0.9
200211,46.0,3.7
200212,40.6,2.6
200301,44.3,7.5
200302,40.2,0.5
200303,44.1,2.0
200304,43.9,-2.2
200305,51.6,0.3
200306,60.4,3.6
200307,67.1,4.2
200308,65.5,2.5
200309,62.1,3.2
200310,53.6,2.5
200311,39.7,-2.6
200312,39.2,1.2
200401,39.4,2.6
200402,40.9,1.2
200403,46.8,4.7
200404,49.4,3.3
200405,52.4,1.1
200406,58.7,1.9
200407,66.1,3.2
200408,66.1,3.1
200409,57.0,-1.9
200410,51.0,-0.1
200411,42.8,0.5
200412,40.4,2.4
200501,40.1,3.3
200502,41.8,2.1
200503,46.1,4.0
200504,46.1,0.0
200505,53.2,1.9
200506,55.1,-1.7
200507,65.7,2.8
200508,66.3,3.3
200509,57.8,-1.1
200510,51.7,0.6
200511,42.0,-0.3
200512,38.8,0.8
200601,40.0,3.2
200602,39.3,-0.4
200603,39.6,-2.5
200604,46.8,0.7
200605,53.7,2.4
200606,59.9,3.1
200607,66.2,3.3
200608,63.4,0.4
200609,60.6,1.7
200610,50.2,-0.9
200611,42.0,-0.3
200612,39.2,1.2
200701,36.5,-0.3
200702,40.6,0.9
200703,45.9,3.8
200704,46.4,0.3
200705,52.7,1.4
200706,56.6,-0.2
200707,65.8,2.9
200708,63.3,0.3
200709,57.7,-1.2
200710,48.7,-2.4
200711,42.6,0.3
200712,36.5,-1.5
200801,34.5,-2.3
200802,40.2,0.5
200803,39.5,-2.6
200804,42.5,-3.6
200805,52.1,0.8
200806,55.1,-1.7
200807,64.3,1.4
200808,63.9,0.9
200809,60.6,1.7
200810,50.8,-0.3
200811,46.4,4.1
200812,35.9,-2.1
200901,39.4,2.6
200902,40.2,0.5
200903,39.4,-2.7
200904,45.0,-1.1
200905,53.4,2.1
200906,58.2,1.4
200907,66.8,3.9
200908,64.1,1.1
200909,61.1,2.2
200910,49.0,-2.1
200911,42.3,0.0
200912,35.0,-3.0
201001,43.1,6.3
201002,43.1,3.4
201003,42.6,0.5
201004,44.3,-1.8
201005,48.3,-3.0
201006,54.9,-1.9
201007,63.8,0.9
201008,63.2,0.2
201009,59.4,0.5
201010,51.3,0.2
201011,41.6,-0.7
201012,39.2,1.2
201101,40.3,3.5
201102,37.3,-2.4
201103,41.2,-0.9
201104,41.9,-4.2
201105,47.8,-3.5
201106,55.0,-1.8
201107,60.7,-2.2
201108,64.1,1.1
201109,63.2,4.3
201110,51.6,0.5
201111,41.8,-0.5
201112,37.1,-0.9
201201,39.5,2.7
201202,39.2,-0.5
201203,39.6,-2.5
201204,47.1,1.0
201205,51.2,-0.1
201206,54.6,-2.2
201207,62.6,-0.3
201208,65.6,2.6
201209,61.8,2.9
201210,51.6,0.5
201211,44.7,2.4
201212,37.0,-1.0
201301,37.3,0.5
201302,39.3,-0.4
201303,44.2,2.1
201304,47.2,1.1
201305,53.4,2.1
201306,59.2,2.4
201307,66.4,3.5
201308,64.9,1.9
201309,58.8,-0.1
201310,49.8,-1.3
201311,43.5,1.2
201312,35.2,-2.8
201401,41.6,4.8
201402,39.8,0.1
201403,44.9,2.8
201404,47.9,1.8
201405,54.6,3.3
201406,57.3,0.5
201407,67.2,4.3
201408,66.6,3.6
201409,62.6,3.7
201410,55.6,4.5
201411,43.6,1.3
201412,41.8,3.8
201501,44.2,7.4
201502,46.0,6.3
201503,48.8,6.7
201504,46.4,0.3
201505,54.1,2.8
201506,64.0,7.2
201507,67.4,4.5
201508,66.4,3.4
201509,59.0,0.1
201510,56.5,5.4
201511,41.2,-1.1
201512,38.8,0.8
201601,39.8,3.0
201602,44.8,5.1
201603,43.8,1.7
201604,51.8,5.7
201605,54.6,3.3
201606,59.5,2.7
201607,62.6,-0.3
201608,66.5,3.5
201609,58.5,-0.4
201610,50.3,-0.8
201611,47.2,4.9
201612,33.9,-4.1
201701,34.9,-1.9
201702,39.4,-0.3
201703,43.1,1.0
201704,44.9,-1.2
201705,53.9,2.6
201706,58.9,2.1
201707,65.7,2.8
201708,68.7,5.7
201709,61.4,2.5
201710,50.6,-0.5
201711,42.8,0.5
201712,39.2,1.2
201801,42.0,5.2
201802,38.2,-1.5
201803,41.3,-0.8
201804,46.7,0.6
201805,55.0,3.7
201806,58.4,1.6
201807,67.1,4.2
201808,65.6,2.6
201809,58.6,-0.3
201810,52.7,1.6
201811,44.7,2.4
201812,38.8,0.8
201901,41.5,4.7
201902,33.7,-6.0
201903,41.6,-0.5
201904,48.0,1.9
201905,54.2,2.9
201906,59.6,2.8
201907,63.4,0.5
201908,66.0,3.0
201909,57.9,-1.0
201910,47.6,-3.5
201911,44.7,2.4
201912,40.2,2.2
202001,39.7,2.9
